price,address,Diện tích,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Hướng,Mặt tiền,Số toilet
"4,2 tỷ VNĐ",khương đình, 40m2, 4, 4,"- Vị trí: nhà nằm ngay Ngã Tư Sở, gần các tuyến phố lớn Trường Chinh, Khương Trung. - Ngõ thông khắp ngả, ba gác tránh, gần chợ, trường học, giao thông thuận tiện, an ninh tuyệt đối. - Diện tích: 40m2 xây 4 tầng. - Nhà lô góc, mặt tiền đẹp thiết kế cổ,đẹp đầy đủ nội thất cơ bản. - Sổ đỏ chính chủ. - Liên hệ ngay em Thảo 0348156621 chuyên thổ cư Hà Nội.",18/04/2022,Tin thường,batdongsan_so_com_vn_1673827401.2430184,,,
"17,5 tỷ VNĐ","Quốc Tử Giám, Đống Đa", 44m2,,,"Nhà Quốc Tử Giám cực đẹp, lô góc, nằm ngay vị trí giáp danh 3 quận trung tâm, kinh doanh cực VIP, tầm tiền rất hiếm nhà Mô tả: +Vị trí đẹp, nằm ngay vị trí giáp danh 3 quận trung tâm nên rất thuận tiện cho kinh doanh +Lô góc, mặt tiền rộng 3,7m +Khu vực dân trí, an ninh cao -Tầng 1: Mặt bằng kinh doanh, bếp, phòng khách và 1 vệ sinh -Tầng 2, 3: Mỗi tầng 2 phòng ngủ và 1 vệ sinh -Tầng 4: Phòng thờ, sân phơi *Pháp lý: +Sổ đỏ chính chủ, vuông vắn pháp lý chuẩn, sẵn sàng giao dịch, sang tên nhanh *Diện tích: 44m2 *Giá tiền: 17.5 tỉ (Có thương lượng) Liên hệ: Minh 0964 915 213 / 0389 609 210 Chúng tôi còn hàng trăm căn khác tại Hà Nội, hãy gọi điện ngay để được tư vấn miễn phí những căn nhà phù hợp với quý khách! Dịch vụ môi giới Bất Động Sản cùng nhiều dịch vụ khác theo tiêu chuẩn Nhật Bản. 0964 915 213 / 0389 609 210 (Minh) ",18/04/2022,Tin thường,batdongsan_so_com_vn_1673827402.452784,,,
"4,5 tỷ VNĐ",Của Bắc - Trúc Bạch - Ba Đình - Hà Nội, 34m2, 4, 4,"Cực hiếm nhà phố cổ đúng 30m ra phố, 1 đường thẳng tới nhà Ngõ to xe máy tránh thoải mái, an ninh đảm bảo, hàng xóm thân thiện Nhà 2 mặt ngõ thoáng vĩnh viễn, phòng nào cũng thoáng mát đón ánh sáng tự nhiên Trường học các cấp, khu vui chơi giải trí, hồ Trúc Bạch, khách sạn, bể bơi… chỉ vài bước chân là đến Mô tả: - Tầng 1: thông sàn kinh doanh - Tầng lửng: bếp - Tầng 2,3 mỗi tầng chia 2p - Tầng 4: phòng thờ sân phơi Diện tích rộng, vuông vắn sổ đỏ chính chủ, giao dịch ngay trong ngày Lh: E Quân: 0964875503",18/04/2022,Tin thường,batdongsan_so_com_vn_1673827403.5199292, Bắc, 3, 3
"8,5 tỷ VNĐ","Thái Hà, Trung Liệt, Đống Đa", 49m2, 4, 4,"CHỦ TỰ XÂY - KINH DOANH NHỎ- VÀI BƯỚC RA Ô TÔ TRƯỚC NHÀ CỰC THOÁNG  Mô tả:                                                         Hướng : Đông Bắc  + Diện tích: 49m2  + Mặt tiền: 3.9m  + Đường trước nhà rộng rãi, có thể kinh doanh được.  Thiết kế:  + Tầng 1 : Phòng Khách + Bếp + WC.  + Tầng 2,3 : 2PN + 1WC  + Tầng 4 : Phòng thờ + Sân  Sổ đỏ chính chủ.cất két sẵn sàng giao dịch!  Giá: 8.5 Tỷ  Liên Hệ 0857.570.705",18/04/2022,Tin thường,batdongsan_so_com_vn_1673827404.7336807, Đông bắc, 3, 3
"25,5 triệu VNĐ/m2","Chung cư B1, Đường Vĩnh Hồ, Quận Đống Đa, Hà Nội", 42m2,, 2,"Bán nhà tập thể tầng 1 P12 nhà B1 khu tập thể Vĩnh Hồ, Thịnh Quang, Quận Đống Đa, Hà NộiNhà tập thể bán có diện tích: 42m2, mặt tiền: 3.5m đã cải tạo gồm: 4 phòng, 1 bếp và 2 khu phụ, sân chơi rộng rãi trước và sau ( 2 mặt thoáng đều kinh doanh tốt, ôtô đỗ cửa ). Nhà gần trường mầm non Hoa Hồng, trường tiểu học và chợ Vĩnh Hồ thuận tiện sinh hoạt đi lại kinh doanh ( nhà trẻ, bán hàng ăn...). Sổ đỏ chính chủ. Giá bán có thỏa thuận.",18/04/2022,Tin thường,batdongsan_so_com_vn_1673827405.8217704, Đông nam, 3, 1
"18,7 tỷ VNĐ","Láng, Trung Liệt, Đống Đa", 61m2,,,"Cần bán NHÀ SIÊU VIP THÁI HÀ Nhà Thái Hà cực VIP, kinh doanh đắc địa, nhà mặt ngõ thông, phân lô, ô tô vào tận nhà Mô tả: +Vị trí đẹp nằm ngay trung tâm quận Đống Đa nhiều tuyến phố như Thái Thịnh, Chùa Bộc, Yên Lãng, Hoàng Cầu, Huỳnh Thúc Kháng, Láng, Khương Thượng, Ngã Tư Sở, Tây Sơn, … +Vị trí đắc địa mặt ngõ thông rất gần phố, đường trước nhà ô tô dừng đỗ thoải mái, vào nhà dễ dàng. +Rất phù hợp làm mặt bằng kinh doanh, văn phòng, phòng khám, spa, khách sạn, cho thuê, … +Nhà thiết kế hiện đại, kết cấu chắc chắn, có thể lên thêm tầng thoải mái, sau nhà có giếng trời rất thoáng +Khu vực dân cư tri thức, cán bộ, quan chức, dân trí cao -Tầng 1: Gara ô tô, bếp và 1 vệ sinh -Tầng 2: Phòng khách, phòng kho và 1 vệ sinh -Tầng 3, 4, 5: Mỗi tầng 2 phòng và 1 vệ sinh -Tầng 6: 1 phòng, sân phơi và 1 vệ sinh *Pháp lý: +Sổ đỏ chính chủ, vuông đẹp, pháp lý chuẩn *Diện tích: 61m2 *Giá tiền: 18.7 tỉ (Có thương lượng) Liên hệ: Minh 0964 915 213 / 0389 609 210 Chúng tôi còn hàng trăm căn khác tại Hà Nội, hãy gọi điện ngay để được tư vấn miễn phí những căn nhà phù hợp với quý khách! Dịch vụ môi giới Bất Động Sản cùng nhiều dịch vụ khác theo tiêu chuẩn Nhật Bản. 0964 915 213 / 0389 609 210 (Minh) ",18/04/2022,Tin thường,batdongsan_so_com_vn_1673827406.8739696,,,
"4,5 tỷ VNĐ","Bán nhà đẹp ở Quan Nhân, Thanh Xuân: 30m2 x 5 tầng x 3.9m mặt tiền - 4.5 tỷ thương lượng", 30m2, 5, 3,"
    Bán nhà mặt ngõ ở Quan Nhân - Thanh Xuân - Hà Nội.
Diện tích: 30m2 x 5 tầng - giá 4.5 tỷ thương lượng.
- Ngõ 3 gác, cách mặt phố 50m.
- Tiện ích xung quanh đầy đủ, gần ROYAL CITY.
- Sổ đỏ CC nở hậu, giao dịch ngay, không dính quy hoạch giải tỏa.
Thiết kế 5 tầng.
- Tầng 1: Phòng khách, bếp, vs.
- Tầng 2.3.4: Mỗi tầng 1 phòng rộng + vs.
- Tầng 5: Phòng thờ sân phơi.
Liên hệ 0365176087 Đoàn ( có zalo ).
",18/04/2022,Tin thường,batdongsan_so_com_vn_1673827408.0209022,, 3, 3
"6,3 tỷ VNĐ",Thái Thịnh, 43m2, 5, 6,"
    Nhà đẹp - cách ô tô tránh 30m - ngõ thông kinh doanh.
Địa chỉ: Thái Thịnh - Q, Đống Đa - Hà Nội.
Diện tích 43m2 x 5 tầng x 3.5m mặt tiền.
- Gần ô tô, cách mp 50m, nhà dân xây chắc chắn tỉ mỉ, nền nhà trải đá Thạch Anh để trấn phong thủy nên làm ăn cực thịnh.
- Nhà thiết kế 5 tầng tự xây dựng cực chi tiết, gồm 6 PN, 4 WC, sân phơi, phòng thờ. Chủ hiện sử dụng 1 phòng để thưởng nhạc, 1 phòng học và làm việc.
- Sổ đỏ CC vuông đẹp.
- Giá 6.3 tỷ thương lượng.
Liên hệ 0365176087 Đoàn ( có zalo ).
",18/04/2022,Tin thường,batdongsan_so_com_vn_1673827409.0132473,, 3, 6
"3,7 tỷ VNĐ",khương trung, 33m2, 4, 4," - Vị trí cực đẹp, ngõ thông, xe máy tránh, cách mặt phố 30m ra đường ô tô.  -  Nằm trong khu dân trí cao, an ninh tốt, gần chợ Khương Trung, cách ngã tư sở 1-2 km…   - Nhà 4 tầng thiết kế hiện đại, 2 mặt thoáng, trước nhà thoáng vĩnh viễn, nở hậu, có ban công đẹp tha hồ check in. - sổ đẹp, chính chủ, nở hậu. - Liên hệ ngay em Thảo 0348156621 chuyên thổ cư Hà Nội.",18/04/2022,Tin thường,batdongsan_so_com_vn_1673827410.2359986,,,
,Vũ Phạm Hàm, 30m2, 6, 4,"Vị trí đắc địa, khu vực Víp hiếm có, nhà cách mặt phố Nguyễn Khang 10m, cách phố Vũ Phạm Hàm 20m, ngõ rộng ô tô vào sát nhà - trước cửa nhà xe ba gác tránh xe máy + Nhà xây mới 5 tầng, nội ngoại thất châu âu, khu vực an ninh tốt và dân trí cao, tiện ích ngập tràn. + Thiết kế: từ 4 phòng ngủ đến 5 phòng ngủ + 1 phòng khách + 1 phòng bếp + 1 phòng thờ + 1 sân phơi đồ và vườn cây, tầng nào cũng có từ 1 đến 2 nhà vệ sinh - Nhà chủ đầu tư phân lô xây bán rất đẹp và hợp lý. + Nội ngoại thất đầy đủ, ai mua về chỉ việc vào ở + Chủ nhà là dân đầu tư nên xây nhà chắc chắn, thiết kế đẹp, hợp lý & rất thiện chí bán. Sổ Đỏ căn nào cũng vuông đẹp. Diện tích 30m2 – 40m2. Giá chỉ nhỉnh từ 5.5 tỷ đến 7.5 tỷ sẵn sàng giao dịch + Khách hàng quan tâm liên hệ: Em Chính 0792122918",18/04/2022,Tin thường,batdongsan_so_com_vn_1673827413.4883428,, 3, 6
