price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Hướng,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Lộ giới
"3,25 tỷ VNĐ","Ngọc Lâm, Long Biên, Hà Nội", 20m2,"- Tôi cần bán nhà khu phố Ngọc lâm, quận Long Biên. Diện tích 20m x 4 tầng. Ô tô đỗ cửa, ngõ kinh doanh sầm uất. Mua để kinh doanh rất phù hợp.- Nhà phố Ngọc Lâm di chuyển sang Nguyễn Văn Cừ, thông sang đường Hồng Tiến chỉ 1 phút. Tương lai kết nối cầu Trần Hưng Đạo, cầu Chương Dương, cầu Chui. - Vị trí đẹp dễ dàng di chuyển qua trường cấp 3 Nguyễn Gia Thiều, cấp 2 Ái Mộ, chợ Gia Lâm, bệnh viện Đa Khoa Quốc tế Bắc Hà, xung quanh kinh doanh sầm uất.- Nhà xây 4 tầng khung bê tông chắc chắn, thiết kế hiện đại. Đi bộ vài bước chân ra mặt phố Nguyễn Văn Cừ, Ngọc Lâm.- Sổ đỏ cất két, pháp lý rõ ràng sẵn giao dịch.- Chỉ 3.25 tỷ có thương lượng.- Liên hệ: Quang Anh - Chuyên viên tư vấnKhu vực nhà đất Long Biên",13/04/2022,Tin thường,batdongsan_so_com_vn_1673827798.9381423,,,,,,
9 tỷ VNĐ,"Sơn Đồng, Hoài Đức, Hà Nội", 90m2,"✅Cần bán đất đấu giá Sơn Đồng Center, mặt đường Song Phương Sơn Đồng, kết nối Trạm Trôi và Đại lộ Thăng Long, giao thông thuận tiện, trung tâm buôn bán đồ gỗ, mỹ nghệ của làng nghề Sơn Đồng.  ✔️Diện tích 92,19m2, nằm tại ngã tư Trịnh Văn Bô kéo dài và đường Song Phương Sơn Đồng. ✔️Mặt tiền 6,25m, sổ đỏ từng lô, pháp lý đảm bảo, tiềm tăng kinh doanh tốt. ✔️Quy hoạch xây 4 tầng, 1 tum, nhà ở thương mại. ———-------------------------------- ✔️ Liên hệ Hotline: : 0779273787",13/04/2022,Tin thường,batdongsan_so_com_vn_1673827800.0880654,,,,,,
"8,3 tỷ VNĐ","Sơn Đồng, Hoài Đức, Hà Nội", 75m2,"ƯU THẾ CỦA SẢN PHẨM📍 Shophouse mặt đường Trịnh Văn Bô kéo dài, kết nối Mỹ Đình – Vành đai 3 – Sơn Đồng chỉ 10p di chuyển📍 Shophouse mặt đường Sơn Đồng (cách ngã tư Sơn Đồng 300m)📍 Shophouse làng nghề 800 năm tuổi tại Hà Nội\📍 Shophouse Trung tâm ""quận"" Hoài Đức tương lai, tiềm năng tăng giá 150%-200% trong 1-2 năm tới🏊 Với 150 căn Shophouse DUY NHẤT, Sơn Đồng Center sẽ dự án kiểu mẫu tại Hoài Đức không chỉ bảo tồn nguyên vẹn mà còn góp phần quảng bá giá trị, nét đẹp truyền thống của làng nghề nghìn năm:🔹 Hệ thống các khu cây xanh🔹 Công viên vui chơi giải trí🔹 Trung tâm thương mại🔹 Phòng tập thể dục, thể thao như: Gym, Yoga,..🔹 Trường mầm non🔹 Công trình sinh hoạt công cộng🔹 Hệ thống an ninh 24/7.💎 Shophouse 2 mặt tiền thuận tiện kinh doanh hoặc cho thuê với tiềm năng lợi nhuận khủng, sinh lời bền vững, hình thành tâm điểm giao thương sầm uất, trung tâm triển lãm đồ thờ lớn nhất miền bắc thu hút đầu tư kinh doanh💎 Địa điểm vui chơi, giải trí duy nhất cho hàng ngàn cư dân tại làng nghề Sơn Đồng và trung tâm Hoài Đức⭕ Số lượng giới hạn chỉ 150 lô shophouse mặt tiền lên tới 6,5-7m.⭕ Pháp lý minh bạch - Sổ đỏ từng lô.⭕ Bàn giao 4 tầng - hoàn thiện mặt ngoài.⚜ Sơn Đồng Center – Nghìn năm tinh hoa khơi nguồn thịnh vượng ",13/04/2022,Tin thường,batdongsan_so_com_vn_1673827801.2858622, Đông nam, 6, 4, 3, 3,
"7,2 tỷ VNĐ","đường Bùi Xương Trạch, phường Khương Đình", 72m2,"Cần bán căn nhà 4 tầng, 72m2, mặt tiền 5m tại đường Bùi Xương Trạch, phường Khương Đình, quận Thanh Xuân. Diện tích rộng, cách Ô tô 3 bước chân, nhà xây kiên cố, lên tầng thoải mái Thiết kế: - Tầng 1: Sân để xe, phòng khách, bếp và vệ sinh - Tầng 2;3: mỗi tầng 2 phòng - Tầng 4: Phòng thờ và tum Chủ mới về ở luôn, ko phải sửa sang gì Sổ đỏ vuông đét Giá: 7,2 tỷ VNĐ Sổ đỏ chính chủ, nở hậu. Chủ hiểu chuyện tôn trọng khách mua Thanh Xuân giờ giá lên vù vù, anh chị em cô chú đi mua cứ mạnh dạn, nhanh chân là được! Liên hệ: Mr. Ngọc – 0344.978.570 (chuyên khu vực Bùi Xương Trạch). Hỗ trợ cho vay trả góp chỉ từ 7 triệu/tháng, thủ tục đơn giản, giải ngân nhanh.",13/04/2022,Tin thường,batdongsan_so_com_vn_1673827802.6123154,,, 4, 4, 3,
"3,42 tỷ VNĐ",Vĩnh Phúc, 30m2,"Hiện trạng nhà xây 4 tầng 30m2 chắc chắn đầy đủ nội thất ở ngay, đường trước nhà thông thoáng, gần đường oto, nhà 2 mặt thoáng. Xung quanh thuận tiện đường, tiện chợ. Giá bán có thương lượng, liên hệ 0962370591. Miễn quảng cáo, đăng tin",13/04/2022,Tin thường,batdongsan_so_com_vn_1673827803.8699489,,, 4, 2, 3,
"5,5 tỷ VNĐ",Đội Cấn, 40m2,"Cần bán gấp nhà Đội Cấn lô diện tích 40m2 5 tầng, xây dựng khung cứng bê tông chắc chắn, nội thất thiết kế sang trọng, nhà mới ở ngay Cách phố chỉ 20m lô góc 3 mặt thoáng Ngõ trước nhà rộng 2m thông thoáng Có sân để oto đầu ngõ Giao thông thuận tiện gần các con phố lớn như Hồ Tây, Phố Cổ,Phố đi bộ… Sổ đỏ chính chủ,pháp lý rõ ràng giá 5,5 tỷ (Có thương lượng) Lh: 0964875503 – Tô Anh Quân",13/04/2022,Tin thường,batdongsan_so_com_vn_1673827805.6342726,,, 5,,,
13 tỷ VNĐ,"Đường Cổ Loa, Xã Uy Nỗ, Huyện Đông Anh", 170m2,"Dự án đã có sổ đỏ từng căn, ký HĐMB ngay không phải chờ đợi. Hàng vừa ra trong tuần. Liên hệ tôi trực tiếp để nhận giá gốc, chính sách tốt nhất, tham quan dự án thực tế 08h00 - 18h00.1/ Căn góc liền kề TT 1.7-01: Vị trí giữa trung tâm lõi, đối diện trục Shophouse, cách mặt phố Cổ Loa 10m.- DT: 170,8 m2.- DTXD: Xây 3 tầng, 1 tum, hoàn thiện mặt ngoài. Tổng DTXD 469,5 m2.- Hướng: Nam và Đông Nam.- Đơn giá đất: 76,9tr/m2 (Tổng 13,1 tỷ).- Đơn giá xây dựng: 5,9tr/m2.Liên hệ trực tiếp 09472010862/ Căn góc liền kề TT 1.7-13: Vị trí gần bãi đỗ xe, công viên, trường học.- DT: 150,4 m2.- DTXD: Xây 3 tầng, 1 tum, hoàn thiện mặt ngoài. Tổng DTXD 409,2 m2.- Hướng: Đông Nam, Nam.- Đường vào: Mặt đường rộng 10m thoáng.- Đơn giá đất: 79,7tr/m2 (Tổng 12 tỷ).- Đơn giá xây dựng: 5,9tr/m2.3/ Căn góc liền kề TT 1.7-14: Vị trí sát cạnh trường học quốc tế, đối diện đài phun nước, công viên, bãi đỗ xe.- DT: 155,5 m2.- DTXD: Xây 3 tầng, 1 tum, hoàn thiện mặt ngoài. Tổng DTXD 423,6 m2.- Hướng: Tây Bắc, Bắc.- Đường vào: Mặt đường rộng 10m thoáng.- Đơn giá đất: 79,7tr/m2 (Tổng 12,4 tỷ).- Đơn giá xây dựng: 5,9tr/m2.4/ Căn hoa hậu Shophouse góc l TT 2.2-01: Vị trí mặt đường Cổ Loa 25m2, gần 4 tòa chung cư.- DT: 154,1 m2.- DTXD: Xây 3 tầng + 1 lửng, 1 tum, hoàn thiện ngoài. Tổng DTXD 451,4 m2.- Hướng: Tây Nam.- Đơn giá đất: 149,5tr/m2 (Tổng 23 tỷ).- Đơn giá xây dựng: 5,9tr/m2.5/ Căn á hậu Shophouse góc TT 2.2-30: Vị trí đối diện 4 tòa chung cư, sát trục chính Cổ Loa 25m2.- DT: 158,6 m2.- DTXD: Xây 3 tầng + 1 lửng, 1 tum, hoàn thiện ngoài. Tổng DTXD 464,1 m2.- Hướng: Đông Bắc, Bắc.- Đơn giá đất: 108,9tr/m2 (Tổng 17,2 tỷ).- Đơn giá xây dựng: 5,9tr/m2.6/ Căn Liền Kề cuối cùng của dự án TT1.8-08: Gần trương học Quốc Tế, công viên, cách mặt đường Cổ Loa 20m.- DT: 77,4 m2.- DTXD: Xây 3 tầng, 1 tum, hoàn thiện ngoài. Tổng DTXD 224,2 m2.- Hướng: Đông Bắc, Bắc.- Đơn giá đất: 63,6tr/m2 (Tổng 4,9 tỷ).- Đơn giá xây dựng: 5,9tr/m2.* Tiến độ thanh toán:Đặt cọc: 500.000.000 VNĐ.- Thanh toán 100% trong 10 ngày nhận chiết khấu 2%/Tổng giá trị đất niêm yết.- Thanh toán tiến độ:Sau 10 ngày kể từ ngày cọc: TT 50% Phí dịch vụ (Đã bao gồm tiền đặt cọc).Sau 20 ngày kể từ đợt 1: 50% Phí dịch vụ và phần tiền còn lại.Liên hệ phòng kinh doanh CĐT 319 Đông Anh để được tư vấn trực tiếp, xem thực tế dự án 0947201086",13/04/2022,Tin thường,batdongsan_so_com_vn_1673827806.7802172, Đông nam, 15, 4, 4, 4, 25
"4,7 tỷ VNĐ",Đào Tấn-Phường Liễu Giai-Quận Ba Đình-Hà Nội, 44m2,"Gia đình cần bán gấp nhà Đào Tấn 3 mặt thoáng,cách mặt ngõ 30m,44m2 4 tầng,nhà mới ở ngay Hiện tại chủ nhà đang ở và cho thuê 3 phòng khép kín. Thu nhập thêm 10tr/ tháng. Nhà thoáng 2 mặt trước sau, phòng nào cũng cửa sổ, cây xanh mát. Thiết kế: T1 : Để xe + 01 phòng cho thuê + wc T2 : Phòng ăn + Phòng khách + wc T3,4 : Mỗi tầng 02 ngủ + wc T5 : Phòng thờ + Sân phơi Giá:4.7 tỷ(có thương lượng) LH:0962370591-Nguyễn Phúc Lộc",13/04/2022,Tin thường,batdongsan_so_com_vn_1673827807.9281902,,,,,,
"8,6 tỷ VNĐ",Phố Nghĩa Tân, 33m2,"Chủ nhà cần Bán căn nhà 6 tầng Phố Nghĩa Đô, trung tâm Quận Cầu Giấy. Nhà đẹp về ở ngay, ô tô vào nhà Vị trí: cách mặt phố 30m, trước mặt nhà đường rộng, có sân chơi tạo độ thông thoáng. Nhà cách mặt phố Hoàng Quốc Việt 100m Diện tích: 33m2 - Mặt tiền: 5.5m  - Giá: 8.6 tỷ Tầng 1: Gara ô tô hoặc phù hợp kinh doanh theo ý chủ Tầng 2: Phòng khách, phòng bếp Tầng 3,4,5: Mỗi tầng 1 phòng ngủ + Wc Tầng 6: Gia chủ thiết kế làm Phòng thờ, sân phơi Sổ đỏ vuông vắn nở hậu, sẵn sàng giao dịch. Nhà phù hợp an sinh, kết hợp kinh doanh, giữ tiền. Sẵn sang giao dịch liên hệ: 0792122918 - Mr Chính",13/04/2022,Tin thường,batdongsan_so_com_vn_1673827809.0073023,, 55, 6, 3, 4,
16 tỷ VNĐ,Hà Nội, 79m2,"BÁN GẤP NHÀ PHỐ KIM MÃ - TRUNG TÂM QUẬN BA ĐÌNH - Ô TÔ THANG MÁY - SĐT: 0366 555 258.KHU HIẾM - SỔ PHÂN LÔ - AN NINH DÂN TRÍ CAO - ĐẤT VƯỢNG - KINH DOANH SẦM UẤT.Diện tích 79 m2, 6 tầng thang máy, mặt tiền 5.3m. Gía chào chỉ 16 tỷ ra lộc cực mạnh.Vị trí đắc địa, ngõ ô tô tránh kinh doanh sầm uất mọi loại hình.Nhà thiết kế đẹp xuất sắc, toàn bộ nội thất nhập khẩu châu Âu.Sổ đỏ chính chủ sẵn sàng giao dịch.Xem nhà gấp liên hệ nhanh em Thanh - 0366 555 258.",13/04/2022,Tin thường,batdongsan_so_com_vn_1673827810.1951241,,,,,,
