price,address,Diện tích,Hướng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số tầng
"5,225 tỷ VNĐ","Đường Võ Chí Công, phường Phú Thượng, Tây Hồ, Hà Nội", 148m2, Đông nam, 4, 2,"Siêu Phẩm 4N Giá Chỉ 35tr/m2 Giá Đang Tốt Nhất Khu Vực Tây Hồ. Nhân viên tư: 0977568223 - Địa chỉ: Tòa Udic Westlake đường Võ Chí Công, phường Phú Thượng, Tây Hồ, Hà Nội - Diện tích: 148m2 thông thủy, 4 phòng ngủ, 2 vệ sinh, 1 phòng khách, 1 bếp, 2 ban công - Cửa Đông nam, Ban công hướng Tây bắc - Tầng 7, view nội khu - Tiện ích: Đối diện Lotte Mall, 00m, nằm trên mặt đường Võ Chí Công, cách bệnh viện Tim 500m. Siêu thị Winmat, trường mầm non, bể bơi 4 mùa trong nhà - Sổ hồng vĩnh viễn - Bàn giao gồm: Nóng lạnh, Điều hòa, Tủ bếp, Sàn Gỗ, Trần thạch cao, Hút mùi, Thiết bị vệ sinh, Thiết bị điện - Giá bán: 5 tỷ 225 triệu Lh em Vân Anh: 0977568223",11/04/2022,Tin thường,batdongsan_so_com_vn_1673827983.1764426,,,
"4,3 tỷ VNĐ",ngõ 176 Trương Định HBT Hà Nội, 40m2, Tây, 6, 3,"Chuyển đổi tôi cần bán nhà  mới xây được 2 năm ngõ 104 Nguyễn An Ninh đi thông sang 176 Trương Định, Hai Bà Trưng,Hà Nội.DT 40m2 x 5 tầng, giá 4.3 tỷ.Nhà xây dựng 40m2 x 5 tầng,  nhà đẹp không lỗi phong thủy. Thiết kế có giếng trời lấy ánh sáng và không khí vào phòng. để lại toàn bộ nội thất.-Thiết kế bao gồm - Tầng 1: Phòng khách, bếp ăn riêng biệt, WC.- Tầng :2,3: Mỗi tầng 2 phòng rộng, 1 WC.- Tầng 4:1 phòng ngủ, phòng thờ-Tần 5: sân phơi và vườn trồng cây.Khu dân trí cao, an ninh tốt, hàng xóm thân thiện, tiện chợ gần trường học bệnh viện, cách ĐH Kinh Tế, Bách Khoa, Xây Dựng 1km, ngõ trước nhà 2 xe tránh nhau thoải mái.Sổ đỏ chính chủ. Giá 4.3 tỷ (có thương lượng) Liên hệ chị Yến ĐT:0702138238",11/04/2022,Tin thường,batdongsan_so_com_vn_1673827985.6727972, 3, 3, 4
"11,5 tỷ VNĐ",ngõ Lạc Trung, 85m2, Đông bắc, 5, 6,"Bán nhà khu phân lô cán bộ phố Yên Lạc, Kim Ngưu, Hai Bà Trưng,Hà Nội , DT 85m2x5 tầng, thang máy, ô tô vào nhà. Giá 11.5 tỷ Gia đình tự tay thiết kế và xây dựng theo phong cách hiện đại nên vô cùng chắc chắn, tối ưu công năng sử dụng, nội thất thiết bị toàn hàng chính hãng, cầu thang , cửa cính, cửa thông phòng đều được làm từ gỗ Lim nguyên khối, cửa sổ Nhôm Xingfa bản dày chất lượng cao, hệ thống đèn chùm, đèn chiếu sáng hiện đại tiết kiệm điện tối ưu…- Tầng 1: Gara ô tô, khu bếp ăn rộng rãi, thang máy và thang bộ được thiết kế giữa nhà để chia mỗi tầng 2 phòng rất hợp lý- Tầng 2,3 mỗi tầng thiết kế 2 phòng ngủ rộng,vệ sinh khép kín  _Tầng 4 1 phòng thờ,1 phòng ngủ, 1 vệ sinh - Tầng 5 là  sân trồng rau, sân phơi Vị trí nằm trọn trong khu phân lô cán bộ nên dân trí cực cao, an ninh đảm bảo, rất nhiều tiện ích đồng bộ như Trường đại học, bệnh viện, TTTM , đường trước nhà rộng rãi thoáng đãng, 2 mặt thoáng trước sau…Sổ đỏ chính chủ, giá 11.5 tỷ ( có thỏa thuận)liên hệ chị Yến ĐT:0702138238",11/04/2022,Tin thường,batdongsan_so_com_vn_1673827986.8138359, 4, 4, 5
"5,45 tỷ VNĐ",ngõ 101 Thanh Nhàn, 55m2, Đông nam, 4, 4,"Bán  căn nhà dân ngay ngã tư Võ Thị sáu Thanh Nhàn, Hai bà Trưng Hà Nội.- Diện tích 55m2x4 tầng, thiết kế có sân riêng để xe từng nhà kiểu biệt thự Mini, phía sau có tiểu cảnh:+ Tầng 1: Sân cổng để xe, Phòng khách, phòng bếp, wc phụ, tiểu cảnh.+ Tầng 2, 3: Mỗi tầng 2 phòng ngủ rộng + WC.+ Tầng 4: Phòng thờ + sân phơi.- Nội thất được gia đình lựa chọn kỹ lưỡng gồm: Cầu thang đá, tủ bếp gỗ sồi Nga, thiết bị vệ sinh ToTo, trần thạch cao phòng khách, phòng ngủ, các phòng được lát sàn gỗ công nghệ Đức.- Nhà nằm trong khu vực cán bộ dân trí cao, an ninh tốt. Gần công an, UBND phường, chợ, trường mầm non, tiểu học và các trường đại học.- Giá bán: 5.45 tỷ (có thương lượng) bao phí sang tên sổ đỏ.liên hệ chị Yến ĐT:0702138238",11/04/2022,Tin thường,batdongsan_so_com_vn_1673827987.996672, 3, 2, 4
11 tỷ VNĐ,Phố Phúc Tân Hoàn Kiếm Hà Nội, 48m2,,,,"+ Diện tích 48m2,6 tầng ,nhà xây chắc chắn,đầy đủ công năng.+ Đường trước nhà thông ô bàn cờ,ô tô đỗ cửa,vị trí kinh doanh đẹp.+ Khu vực sầm uất,các tiện ích quanh nhà như trường cấp 1,2 Phúc Tân,chợ Phúc Tân,Long Biên,sát phố cổ.+ Đất nhà đẹp, không lỗi phong thủy, + Giá bán 11 tỷ.+ Liên hệ xem nhà: Dũng 0948677782.",11/04/2022,Tin thường,batdongsan_so_com_vn_1673827989.1406116,,,
"2,3 tỷ VNĐ",ngõ 17 Tạ Quang Bửu, 60m2, Nam, 2, 1,"Bán căn nhà Tập Thể khu E1 Bách Khoa. Diện tích sử dụng 60m , 2pn, 1 bếp, 1vs, 1 phòng khách cực rộng. nhà 2 mặt thoáng , ban công hướng nam.ô tô đỗ chân cầu thang. Full đồ ( ti vi, máy giặt, bếp từ, giường tủ, đầy đủ vv. Gần các trường đại học lớn, Bách khoa, Kinh Tế , Xây Dựng , bệnh viện Bạch Mai, bệnh  Viện Việt Pháp, Bệnh Viện Thanh Nhàn . Nhà Nằm ngay khu Trung Tâm phường Bách Khoa rất phù hợp mua cho con học Đại Học có thể đi bộ đi học cách các trường XD, BK,KT ko quá 500m sổ đỏ chính chủ giá 2.3 tỷ có thương lượngliên hệ chị Yến ĐT 0702138238",11/04/2022,Tin thường,batdongsan_so_com_vn_1673827990.2080567,, 4, 3
16 tỷ VNĐ,Hà Nội, 78m2,,,,"Bán nhà phố Liễu Giai - LH: 0856 968 656.Phân lô ngõ to hơn phố, diện tích 78 mét vuông, mặt tiền 5 mét, 6 tầng thang máy. - Nhà gần phố, kinh doanh, giao thông thuận tiện, cách Lotte, công viên Thủ Lệ, đại sứ quán Nhật, Úc… chỉ vài phút đi bộ. - Khu phố văn minh, trung tâm quận Ba Đình, dân trí cao, hàng xóm toàn quan chức và người hiền hòa có học. - Nhà xây đẹp, chắc chắn chủ xây tâm đắc từng viên gạch.Tầng 1 Gara ô tô, khách, bếp, vệ sinh.Tầng 2, 3, 4, 5 Các phòng đẹp, vệ sinh.Tầng 6 Sân chơi, phòng thờ ấm cúng và kín đáo.Một căn nhà đáng sống và kinh doanh tốt. - Sổ đỏ vuông đét cất két sẵn sàng giao dịch.Giá chào chỉ 16 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ ngay 24/7: 0856 968 656.",11/04/2022,Tin thường,batdongsan_so_com_vn_1673827991.226332,,,
16 tỷ VNĐ,Hà Nội, 70m2,,,,"Bán nhà đường Núi Trúc quận Ba Đình - LH: 0856 968 656.Chính chủ là giám đốc công ty thiết kế, nhà xây để ở nên cực kỳ chắc chắn, nội thất nhập khẩu. - Phù hợp kinh doanh mọi loại hình, ở cực sướng. - Nhà mới đẹp, sạch sẽ, thoáng mát. - Ngõ rộng ô tô ra vào thoải mái, dân trí cao, an ninh tốt. - Diện tích sổ đỏ 70 m2, 6 tầng thang máy, mặt tiền 5 m.Mô tả:* Tầng 1: Gara để ô tô, kinh doanh, wc.* Tầng 2, 3, 4, 5: Các phòng đẹp, nội thất lung linh, wc.* Tầng 6: Phòng thờ, sân phơi. - Sổ đỏ chính chủ, sẵn sàng giao dịch.Giá chào chỉ 16 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ ngay 24/7: 0856 968 656.",11/04/2022,Tin thường,batdongsan_so_com_vn_1673827992.2645526,,,
"4,49 tỷ VNĐ","đường Giáp Nhị, quận Hoàng Mai, Hà Nội", 50m2,, 2,,"KINH DOANH ĐỈNH – KHÔNG QUY HOẠCH – SỔ ĐỎ VUÔNG ĐẸPS = 50m, mặt tiền 6.5m, giá 4.49 tỷ * Vị trí cực đẹp, mặt phố , lô góc 2 mặt tiền, ô tô qua nhà, vào nhà. * Thiết kế: Nhà 3 tầng dân xây chắc chắn, ở ngay, kinh doanh tốt. + Giao thông: Bến xe Giáp Bát, Nước Ngầm, chung cư Nam Đô, Trương Định, Sông Sét, Thịnh Liệt,… + Sổ đỏ vuông vắn, không vướng quy hoạch, giao dịch ngay. * Liên hệ ngay em Bình, 0345752279 để được tư vấn và xem nhà miễn phí mọi khung giờ! * Môi giới bỏ qua bài viết.  ",11/04/2022,Tin thường,batdongsan_so_com_vn_1673827993.554165, 6,, 3
"11,2 tỷ VNĐ",Phố Vũ Trọng Khánh, 62m2,, 4, 4,"+ Vị trí nhà Ngay gần BigC Hà Đông gần Ngã 4 Trần Phú, Vũ Trọng Khánh, Nguyễn Khuyến .. sát KĐT Mỗ Lao, tiện ích quanh nhà không thiếu thứ gì.+ Đường trước nhà ô tô tránh có vỉa hè, vìa hè 3m ô tô dừng đỗ thoải mái, bãi đỗ ô tô ngay chung cư, Siêu thị Big C tiện ích quá nhiều.+ Nhà phù hợp vừa ở, vừa kinh doanh, khu dân trí cao, thông nhiều phố lớn.+ Thiết kế tầng 2 phòng cầu thang giữa. Tầng 1 kinh doanh.+ Giá chào: 11.2 tỷ (Có thương lượng).+ Sổ đỏ chính chủ. Chủ nhà thiện chí, hợp tác muốn bán gấp. + Liện hệ xem nhà: 0902.083.139",11/04/2022,Tin thường,batdongsan_so_com_vn_1673827994.6971376, 4,, 5
