price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Số toilet,Hướng,Mặt tiền,Lộ giới
"2,66 tỷ VNĐ",Xa la- Hà Đông, 36m2, 4,"Nhỉnh 2 tỷ nhà đẹp 36mx 4 tầng, Xa La, Hà Đông, ngõ thoáng, ô tô gần Căn nhà đẹp nằm vị trí trung tâm giáp Khu đô thị Xa La sầm uất, bán kính xung quanh là trường , chợ, bệnh viện, ngân hàng, siêu thị không thiếu thứ gì, cạnh các Khu đô thị Thanh Hà, Văn Quán, Văn Phú, Phú Lương di chuyển rất thuận tiện. Nhà đẹp khang trang xây tâm huyết khung cột bê tông chắc chắn, phong cách hiện đại thoáng sáng, đầy đủ công năng sử dụng, nội thất xịn. Nhà mới chỉ việc xách vali đến ở. Giao thông vô cùng thuận lợi di chuyển các phố trung tâm: Mậu Lương, Đa Sỹ, Phùng Hưng, Phúc La, Yên Xá, Văn Phú,... Xung quanh đầy đủ tiện ích, an ninh tuyệt đối, môi trường trong lành, hàng xóm thân thiện, gia chủ thành đạt, khu văn minh đáng sống. Sổ đỏ vuông, pháp lý sạch. Giá: 2.66 tỷ ( có thương lượng). Liên hệ ngay với em Huyền : 0965472910 ( miễn trung gian).",13/03/2022,Tin thường,batdongsan_so_com_vn_1673830279.7000465,,,,,
"2,65 tỷ VNĐ",Kiến Hưng- Hà Đông, 35m2, 4,"Bán nhà Kiến Hưng, Hà Đông, 35mx4 tầng, ô tô gần, ngõ thoáng, nhỉnh 2 tỷ Cần bán nhà đẹp trung tâm Hà Đông, gần các bện viện lớn, gần các khu đô thị hiện đại: Xa La, Phú Lương, Thanh Hà, Văn Phú, vài bước chân ra chợ đầu mối 365, bán kính xung quanh đầy đủ tiện ích. Ngõ thoáng , ô tô gần,có ngân hàng, siêu thị, chợ, bệnh viện, trường học các cấp... không thiếu thứ gì. Nhà đẹp thiết kế phong cách hiện đại, khung cột bê tông chắc chắn, đầy đủ công năng sử dụng , nhà mới chỉ việc xách vali đến ở. Giao thông di chuyển các tuyến phố trung tâm: Phúc La, Mậu Lương, Văn Phú, Tô Hiệu, Bà Triệu,... Hàng xóm thân thiện, nơi ở rất tĩnh, chủ là  doanh nhân giàu có, nhà rất có lộc. Giá: 2.65 tỷ ( có thương lượng). Sổ đỏ vuông, sẵn sàng giao dịch. Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",13/03/2022,Tin thường,batdongsan_so_com_vn_1673830280.7332811,,,,,
"15,5 tỷ VNĐ","Bán căn liền kề Galaxy 32 Ngân Hà, Vạn Phúc, Hà Đông, 15,5 tỷ; 0973651981", 94m2,,"Bán căn liền kề Galaxy 32 Ngân Hà, Vạn Phúc, Hà Đông, 15,5 tỷ; 0973651981  Nhà  gần toà chung cư Roma, gần chợ hoa, gần đường to Tố Hữu, Diện tích: 94.2m2/sàn; mặt tiền 5m; nhà 5 tầng 1 tum   Giá bán: 15 tỷ 500 triệu LHCC: 0973651981       http://www.sanbatdongsanviet.com.vn",13/03/2022,Tin thường,batdongsan_so_com_vn_1673830281.564059,,,,,
60 triệu VNĐ/m2,Số 25 Lê Văn Lương-Nhân Chính-Thanh Xuân-Hà Nội, 106m2,,"
    
Mở bán Dự án BRG Diamond Residence - Số 25, Đường Lê Văn Lương


 Tọa lạc tại vị trí đắc địa với 2 mặt tiền quý giá Lê Văn Lương và Hoàng Đạo Thúy.


 BRG Diamond Residence tổ hợp căn hộ cao cấp và TTTM hiện đại bậc nhất phí Tây Hà Nội với tiện ích vượt trội như: TTTM hạng A, vườn thượng uyển trên cao, bể bơi thông minh trên cao, trường học, thang máy tốc độ cao......


 Tổng quan dự án:


* Tổng diện tích đất : 8.004 m2 với mật độ XD: 46%


* Tổng số căn hộ: 662 căn trong đó:


+ Diện tích căn hộ: 61m2-275m2


+ 35 tầng nổi và 5.5 tầng hầm


+ Với 753 chỗ để xe ô tô và 1155 chỗ để xe máy


 Với chính sách bán hàng ưu việt :


* Hỗ trợ lãi suất 0% trong vòng 18 tháng (Tối đa 65%)


* Khách hàng TTS 95% chiết khấu lên tới 7% giá bán


* Khách hàng TTS 70% chiết khấu 5% giá bán


* Giảm trừ nhận bàn giao thô


* Tiến độ thanh toán linh hoạt: chia thành 6 đợt


 Tiêu chuẩn bàn giao: hoàn thiện đồ liền tường cao cấp và bàn giao không gian sáng tạo
LH:0327375585

",03/03/2022,Tin thường,batdongsan_so_com_vn_1673830283.0810418, 3, 2,,,
"3,4 tỷ VNĐ","Võ Chí Công, Tây Hồ, Hà Nội", 86m2,,"🏢Bán chung cư Udic Westlake - Q. Tây Hồ-HN.-Cam kết giá tốt nhất trong khu vực  -Nhà vừa nhận bàn giao mới tinh chưa sử dụng   -Thiết kế căn hộ  căn hộ từ 2->4 Phòng ngủ-2 phòng tắm-Nội thất Cơ bản chủ đầu tư, diện tích từ 84-85-126-148-168-186-195-250 -255-295m2-Chất lượng thi công cực tốt -Miễn 2 năm phí dịch vụ -Ngân hàng hỗ chợ vay 50% tổng  giá trị căn hộ lãi suất 0%Xem nhà và tư vấn miễn phíLH : 0977568223",13/03/2022,Tin thường,batdongsan_so_com_vn_1673830284.100324, 2, 2, Tây bắc,,
"18,5 tỷ VNĐ","phố Khương Hạ, phường Khương Đình", 117m2, 8,"Cần bán căn nhà tại phố Khương Hạ, phường Khương Đình, quận Thanh Xuân với giá cực bất ngờ. TOÀ NHÀ SIÊU DÒNG TIỀN TRUNG TÂM THANH XUÂN PHỐ KHƯƠNG HẠ; 117 M2 X 8 TẦNG, CÓ THANG MÁY, 20 PHÒNG KHÉP KÍN - Ô TÔ QUAY ĐẦU. Phố Khương Hạ tuy ngắn nhưng rộng rãi với các hoạt động kinh doanh sầm uất, lại thông các ngả ra Bùi xương Trạch, Khương Trung, Vũ Tông Phan, Khương Đình, Kim Giang; đi ngã tư Sở, tới Khuất Duy Tiến hay ra cầu Dậu để lên đường vành đai 3 cũng rất gần... Nhà đẹp, vị trí siêu đẹp, thoáng sáng vĩnh viễn trước sau, cổng là mặt phố (ô tô đỗ, tránh, kinh doanh), gần khu vui chơi, sân thể dục, hồ Khương Trung. Tối ra đi bộ mát mẻ. Xung quanh: trường học, ủy ban, chợ, sân, bãi gửi ô tô, các cơ sở y tế lớn... tiện ích tung tóe. Quá xứng đáng để quý anh chị em nhanh chân kết duyên sớm. Nhà mặt ngõ như mặt phố ô tô quay đầu dòng tiền ổn định bất chấp các mùa ccovid doanh thu đều 70 triệu/ tháng, quy hoạch ổn định. Nhà 117m2, mặt tiền 6m, xây 8 tầng mới tinh, được thiết kế quy mô chuẩn 8 tầng, 20 căn hộ hạng sang (tất cả các phòng đều có cửa sổ thoáng, sáng) khách đông đuổi không hết. + Tầng 1: để xe phòng bảo vệ. + Tầng 2, 3, 4, 5, 6, 7: mỗi tầng 3 phòng khép kín có gác xép. + Tầng 8: tum, 2 phòng khép kín và tầng đặc biệt. Pháp lý sạch, sổ đỏ đầy đủ, vuông đét nét căng. Khách nhìn qua, đếm gạch là biết, thích thì đo luôn. Giá: 18,5 tỷ Thanh Xuân giờ giá lên vù vù, ACE cô chú đi mua cứ mạnh dạn, nhanh chân là được! Liên hệ: Mr. Ngọc – 0344.978.570 (miễn phí xem nhà, miễn môi giới, trung gian). Hỗ trợ cho vay trả góp chỉ từ 7 triệu/tháng, thủ tục đơn giản, giải ngân nhanh.",13/03/2022,Tin thường,batdongsan_so_com_vn_1673830285.25718, 10,,,,
35 tỷ VNĐ,"Huỳnh Thúc Kháng, Đống Đa, Hà Nội", 100m2, 8,"Bán nhà Ngõ 49 phố Huỳnh Thúc Kháng, Đống Đa 100m2, 8 tầng thang máy, mặt tiền 16m, giá chào 35 tỷ có thương lượng.8 TẦNG THANG MÁY - LÔ GÓC VỈ HÈ - MẶT NGÕ ĐẸP NHẤT HUỲNH THÚC KHÁNG - Ô TÔ TRÁNH - KINH DOANH MAXPING.+ Vị trí tuyệt vời nhà lô góc, mặt ngõ phân lô Huỳnh Thúc Kháng, ngõ rộng, đẹp nhất phố, không có mỹ từ để mô tả thêm.+ Khu vực kinh doanh sầm uất, hiệu suất cho thuê miễn bàn. Khách mua có thể sử dụng làm công ty, hoặc kinh doanh, cho thuê đều xuất sắc.+ Thiết kế 8 tầng thang máy thông sàn các tầng 2,3,4,5. Tầng 6,7,8 tổng 6 phòng + bếp và sân.+ Sổ đỏ vuông đẹp sẵn sàng giao dịch.+ Liên hệ: Mr. Hoan 0877.855.777 Zalo, Viber, Fb ( Hoan Biệt thự, Liền Kề, Mặt Phố, Khách Sạn). Miễn phí xem nhà đến tư vấn pháp lý.+ Fanpage: https://www.facebook.com/Estatebds.vn",13/03/2022,Tin thường,batdongsan_so_com_vn_1673830287.047433, 10, 10,, 16, 6
"6,6 tỷ VNĐ","Ngõ Phố Võng Thị, Tây Hồ, Hà Nội", 50m2, 5,"✅ Bán nhà tuyệt đẹp xây mới phố Võng Thị, phường Bưởi, Quận Tây Hồ. Diện tích 50m2, xây 5 tầng mới đẹp long lanh, khung bê tông cốt thép, kiên cố chắc chắn, thiết kế phong cách kiến trúc hiện đại, công năng hợp lý: ✔️ Công năng nhà: - Tầng 1: Để xe, bếp phòng ăn, vệ sinh phụ. - Tầng 2: Phòng khách rộng sang trọng + Phòng làm việc. - Tầng 3, 4: Mỗi tầng 2 phòng ngủ rộng (phòng master), vệ sinh chung. –Tầng 5: Phòng thờ, sân phơi, kho. ✔️ Nội thất: Cao cấp gồm cầu thang gỗ Lim nguyên khối, sàn gỗ nhập khẩu, cửa chính 2 lớp gồm kính cường lực và cửa cuốn, tủ bếp, nóng lạnh, mành rèm, thiết bị vệ sinh Toto cao cấp. ✔️ Vị trí: Nhà nằm vị trí đẹp, ngõ thẳng. Gần phố, thuận tiện giao thông, nhìn ra Hồ Tây, không gian thoáng mát. Gần chợ Võng Thị, trường mầm non Bình Minh, Cấp 1, 2 Đông Thái, cấp 3 Đông Đô dân trí cao, an ninh tốt. ✔️ Cam kết sổ đỏ chính chủ, GPXD đầy đủ, mua bán nhanh gọn. ✔️ Giá bán 6.6 tỷ (Có thương lượng, bao toàn bộ chi phí sang tên). ✔️ Liên hệ xem nhà trực tiếp Mr.Tuấn: 0964 357 352 (miễn TG)",13/03/2022,Tin thường,batdongsan_so_com_vn_1673830288.4406636, 4, 4,, 4, 3
5 tỷ VNĐ,175 Lạc long Quân, 48m2,,"Vị trí đẹp, gần phố, gần bãi gửi oto. Nhà xây khung cột kiên cố chắc chắn, chủ tự xây ở tâm huyết, phòng nào cũng thoáng sáng . Vài phút ra các tuyến đường lớn: Lạc Long Quân, Hồ Tây, Cầu Giấy, Thụy Khuê Võ Chí Công, Nguyễn Văn Huyên, gần trường Đại Học lớn...Sổ đỏ chính chủ, pháp lý rõ ràng, chủ thiện chí bán. Trịnh Hiền 0963839587-0915999462 (gọi hoặc inbox 24/24) chuyên nhà thổ cư, sở hữu thông tin trên 10.000 căn nhà trên địa bàn Hà Nội, đủ các phân khúc giá tốt cần thanh khoản gấp. Miễn phí xem nhà, gặp chính chủ thương lượng giá. Hỗ trợ thủ tục pháp lý, sang tên chuyển nhượng, hỗ trợ vay vốn ngân hàng 24/7. Xin cảm ơn anh/ chị đã quan tâm tin đăng.",13/03/2022,Tin thường,batdongsan_so_com_vn_1673830289.4898949,,,,,
6 tỷ VNĐ,105 Xuân La, 40m2,,"Vị trí đẹp, gần phố, gần chợ, nhà nằm trong khu phân lô quân đội thuộc tổng cục 2 an ninh, phân lô bàn cờ, oto tránh, vỉa hè. Nhà xây khung cột kiên cố chắc chắn, chủ tự xây ở tâm huyết. Vài phút ra các tuyến đường lớn: Lạc Long Quân, Hồ Tây, cạnh ngay Khu Ngoại Giao Đoàn, Xuân Đỉnh, Võ Chí Công, Nguyễn Văn Huyên, gần trường Đại Học Nội Vụ...Sổ đỏ chính chủ, pháp lý rõ ràng, chủ thiện chí bán. Trịnh Hiền 0963839587-0915999462 (gọi hoặc inbox 24/24) chuyên nhà thổ cư, sở hữu thông tin trên 10.000 căn nhà trên địa bàn Hà Nội, đủ các phân khúc giá tốt cần thanh khoản gấp. Miễn phí xem nhà, gặp chính chủ thương lượng giá. Hỗ trợ thủ tục pháp lý, sang tên chuyển nhượng, hỗ trợ vay vốn ngân hàng 24/7. Xin cảm ơn anh/ chị đã quan tâm tin đăng.",13/03/2022,Tin thường,batdongsan_so_com_vn_1673830290.7095938,,,,,
