price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Hướng,Số toilet
"5,9 tỷ VNĐ","Văn Khê, La Khê, Hà Đông, Hà Nội", 50m2, 5, 8, 5, 5,"Diện tích: 50m2. 5 tầng 1 tum. Mặt tiền 5m. Vỉa hè 2,5m. Đường trước nhà siêu rộng, xe ô tô 7 chỗ quay đầu. Giá 5,9 tỷ. Bán kính quanh nhà 400m có đầy đủ các tiện ích Trường học, Bể bơi, Phòng GYM, Quán ăn, Nhà hàng, Chợ, Siêu thị, Nhà văn hóa, Khu vui chơi, và đặc biệt là có Hồ và công viên nhỏ. Gần ĐẠI SIÊU THỊ AEON MALL và SIÊU CÔNG VIÊN THIÊN VĂN. Nhà xây mới hoàn toàn, có bản vẽ xây dựng và thuê thiết kế nên rất hiện đại và đẹp. Trong khu vực đang có tốc độ phát triển cao và giá Nhà đất quanh khu vực đang tăng theo ngày. Sổ đỏ chính chủ. Liên hệ: Mr. Tuấn 0978275753",05/12/2020,Tin thường,batdongsan_so_com_vn_1673830807.020814,,
"3,7 tỷ VNĐ",Trương Định Hai Bà Trưng Hà Nội, 45m2, 4,, 4, 4,"+  Gia đình thiện trí cần bán nhà phố Trương Định quận Hai Bà Trưng. + Nhà mặt ngõ rộng 2.5 mét, lô góc 2 thoáng, vị trí tiếp giáp với Minh Khai và Bạch Mai, rất thuận tiện cho việc đi lại. + Mặt ngõ rộng 2.5m, nhưng trước nhà mình rộng gần 3m, cho nên để được nhiều xe máy, khu vực anh ninh cực tốt, hàng xóm rất thân thiện và đều thành đạt, gia chủ trong ngành Y, nhà ở rất có lộc, thiện chí bán để chuyển lên nhà mới phục vụ cho công việc đi lại. + Giá : 3 tỷ 700 triệu + Ai thiện trí vui lòng LH trực tiếp: Minh Quang 0327085656 ( để biết thêm thông tin chi tiết )",07/03/2022,Tin thường,batdongsan_so_com_vn_1673830808.5783534,,
30 tỷ VNĐ,"Tứ Hiệp , Thanh Trì", 218m2,,,,,"Vị trí đẹp: - Trung tâm đắc địa Huyện Thanh Trì - Vị trí đỉnh cao hiếm người bán. - Diện tích: 218m x 3 tầng,  Sổ đỏ chính chủ, pháp lý sạch. - Giá: 30 tỷ ( Có thương lượng ). Liên hệ Ngọc 0961339889 (Liên hệ để được tư vấn, xem nhà hoàn toàn miễn phí).",07/03/2022,Tin thường,batdongsan_so_com_vn_1673830810.1889994,,
8 tỷ VNĐ,"số 120 ngõ 47 Văn Cao, Ba Đình, Hà Nội", 65m2,,,,,"Chính chủ bán gấp nhà số 120 ngõ 47 Văn Cao, Ba Đình, Hà NộiDiện tích: 65m2 x 4,5 tầng-Nhà xây kiên cố , thiết kế hợp lý mỗi tầng có 4 phòng gồm 2 phòng ngủ + 1 phòng khách và 1 vệ sinh- Vị trí đẹp, thuận tiện giao thông, an ninh rất tốt, dân trí cao+ Cách mặt đường100m+ Cách Hồ Tây 170m- Có thể ở hoặc làm văn phòng Công ty đều đượcGiá bán: 8 tỷ - Có thương lượngLiên hệ chính chủ: 0976788998 - Sổ đỏ chính chủ
 
 
Nguồn:  http://nhadathanoi.net.vn/chinh-chu-ban-nha-rieng/chinh-chu-ban-gap-nha-so-120-ngo-47-van-cao-ba-dinh-ha-noi-3539.html

",07/03/2022,Tin thường,batdongsan_so_com_vn_1673830812.487339,,
"7,3 tỷ VNĐ","Vũ Trọng Khánh, Mỗ Lao, Hà Đông, Hà Nội.", 46m2, 4, 12, 4, 4," # Cần bán gấp nhà LK Mỗ Lao, Hà Đông, phân lô, ô tô đỗ cửa, kinh doanh sầm uất, an ninh, an sinh đỉnh. DT 46m, 4T, MT 4.5m Giá chỉ 7.3 tỷ ( Có Thương Lượng ).  + Vị trí kinh doanh, đẹp, hiếm, tiềm năng, gần đường Vũ Trọng Khánh KĐT Mỗ Lao quận Hà Đông.  +  Đường trước nhà ô tô tải tránh, khu dân trí cao, KD, an ninh, an sinh đỉnh, giao thông vô cùng thuận lợi.  + Gần Big C Hà Đông cạnh chợ Mỗ Lao gần nhiều trường Đại Học, trung tâm phố tiện ích.  + Nhà 4T chủ tự xây khung cột chắc, móng 6T kiên cố chủ mới thêm tầng vô tư.  + Thiết kế cơ bản cầu thang giữa, mỗi tầng 2 phòng rộng đầy đủ công năng.  + Nay chủ cần tiền có viêc giêng, lên rất thiện trí cần bán nhanh trong tháng.  + Giá chỉ 7.3 tỷ ( Qũy đất hạn hẹp, giá cực tốt ).  + Sổ đỏ chính chủ, pháp lý chuẩn.  + Để tham khảo thêm hàng 100 ngôi nhà mặt phố, vị trí kinh doanh, lô góc, đẹp độc lạ, những khu đất vượng khí đón tài lộc giá từ 3 đến 40 tỷ.  # LH SĐT: 0906113879 Tình nhà phố ( chuyên nhà đẹp, nhà phố, nhà tiềm năng, dòng tiền, có uy tín trong giới nhà đất ).",07/03/2022,Tin thường,batdongsan_so_com_vn_1673830813.9813707,,
"31,8 tỷ VNĐ",LA THÀNH - ĐỐNG ĐA - HÀ NỘI, 84m2, 4,, 8, 8,"Vị Trí : DT 84M2 X 8 TẦNG . Tầng hầm , thang máy . Sân thượng ngắm cảnh thành phố. Khu vực kinh doanh sầm uất, đầy đủ tiện ích. Ngã 5 Hoàng Cầu, La Thành, Đê La Thành, Hào Nam, Xã Đàn.- Thiết kế: + Tầng 1 : Tầng hầm để xe, Kinh Doanh  + Tầng 2,3,4,5,6,7,8 : Thông sàn, đủ công năng.Đang cho thuê mùa dịch 90tr/1tháng. Chủ mới về có thể kết thúc hợp đồng hoặc ký hợp đồng dài hạn.- Sổ đỏ chính chủ, vuông đẹp, nét căng. Không lỗi phong thủyLH 0339178021 Em Trọng để xem nhà ",07/03/2022,Tin thường,batdongsan_so_com_vn_1673830815.3200262, Tây nam, 8
"2,6 tỷ VNĐ","Ngô Quyền, Hà Đông, Hà Nội.", 38m2,,,,," # Bán đất trong ngõ đường Ngô Quyền, Hà Đông, an ninh, an sinh đỉnh. DT 38m giá chỉ 2.6 tỷ. + Vị trí thoáng, đẹp, rất gần mặt đường chính Ngô Quyền, giao thông di chuyển thuận lợi. + Ngõ xạch đẹp, ba gác tránh, vài bước ra phố, hiếm có khó tìm. + Khu yên tĩnh, hàng xóm văn minh, an ninh tốt. + Hiên trạng đất, chủ mới mua về phù hợp xây tòa nhà 5T mới hoặc đầu tư giữ tiền, hay cho thuê đều đỉnh. + Gần ngay Học viện Chính Trị, Cầu Am, chợ, trường, trung tâm mua sắm, trung tâm phố tiện ích. + Giá 2.6 tỷ.( Vị trí hiếm, giá bán không có căn thứ 2 ). + Sổ đỏ đẹp, nở hậu sẵn sàng giao dịch. + Để tham khảo thêm hàng 100 ngôi nhà mặt phố, vị trí kinh doanh, lô góc, đẹp độc lạ, những khu đất vượng khí đón tài lộc giá từ 3 đến 40 # LH SĐT: Tình nhà phố 0906113879 ( chuyên nhà đẹp, nhà phố, nhà tiềm năng, dòng tiền, có uy tín trong giới nhà đất quận Hà Đông, Hà Nội ).",07/03/2022,Tin thường,batdongsan_so_com_vn_1673830816.6165571,,
22 triệu VNĐ,Khu đất đấu giá sen phương đồng bưởi, 110m2, 5,,,,"cần tiền thanh khoản gấp Lô N05-13 khu đất đấu giá sen phương phúc thọ hà nội vị trí giáp trường mầm non, trường cấp 2 , trường tiểu học sen phương đường trải nhựa 5m , vỉa hè 1.5m",07/03/2022,Tin thường,batdongsan_so_com_vn_1673830818.4779744,,
"8,4 tỷ VNĐ","phố Tô Vĩnh Diện, phường Khương Trung", 40m2,,,,,"PHÂN LÔ QUÂN ĐỘI - 6 TẦNG THANG MÁY - LÔ GÓC - Ô TÔ NHỎ ĐỖ CỬA - NHÀ FULL NỘI THẤT SỊN, ĐẸP LUNG LINH Vị trí cực đẹp: - Nhà thuộc khu phân lô quân đội trên phố Tô Vĩnh Diện, an ninh khỏi bàn nên nhiều khách tìm. - Ngõ nông, rộng, ô tô 5 chỗ vẫn chở vật liệu xây dựng vào tận nơi, ba bước ra mặt phố. - Nhà lô góc, mặt tiền rộng, cực thoáng sáng, các phòng và wc đều có cửa sổ đón ánh sáng tự nhiên. Nhà vừa hoàn thiện mới kính koong, ban đầu chủ nhà xây để ở, nên xây dựng chắc chắn và lựa chọn nội thất rất đảm bảo. Nhà hoàn thiện sẽ đầy đủ nội thất: Điều hoà, nóng lạnh, bếp, thiết bị vệ sinh toto... Khách mua chỉ việc xách vali về ở. Thông tuyến: Hoàng Văn Thái + Vương Thừa Vũ (ra Trường Chinh), Khương Trung (ra ngã tư Sở, Nguyễn Trãi, cầu Dậu),…; đi tới trường học các cấp, khu vui chơi, chợ, Bệnh viện Đại học Y Hà Nội và các cơ sở y tế khác… rất gần. Diện tích 40m2 mà mặt tiền hẳn 5,2m, được xây làm 6 tầng: Tầng 1: Khách, để xe, wc. Tầng 2, 3, 4: Mỗi tầng 1 phòng khép kín, rộng. Tầng 5: Thờ + 1 ngủ, wc. Tầng 6: Tum. Sổ đỏ vuông như bao diêm. Chủ hợp tác, hiểu chuyện. Giao dịch ngay và luôn. Giá: 8,4 tỷ. Liên hệ: E. Ngọc – 0344.978.570 (miễn phí xem nhà, miễn môi giới, trung gian).",07/03/2022,Tin thường,batdongsan_so_com_vn_1673830820.0751736,,
"2,65 tỷ VNĐ",Kiến Hưng- Hà Đông, 36m2,,, 5,,"Nhà đẹp ở ngay Kiến Hưng, Hà Đông, ngõ thoáng, gần ô tô, 36mx 5 tầng, nhỉnh 2 tỷ Người thân gửi bán nhà nằm vị trí trung tâm gần chợ lớn Hà Đông, bán kính xung quanh là trường , chợ, bệnh viện, ngân hàng, siêu thị không thiếu thứ gì. Ngõ rất thoáng, ô tô đỗ gần. Chủ nhà xây tâm huyết khung cột chắc chắn, phong cách hiện đại thoáng sáng, đầy đủ công năng sử dụng, nhà rất đẹp nội thất xịn. Chỉ việc xách vali đến ở. Giao thông vô cùng thuận lợi di chuyển các phố: Văn Quán, Phùng Hưng, Đa Sỹ, Lê Lợi, Tô hiệu, Bà Triệu,... Môi trường trong lành, hàng xóm thân thiện, gia chủ thành đạt, khu văn minh đáng sống. Sổ đỏ vuông, pháp lý sạch. Giá: 2.65 tỷ ( có thương lượng). Liên hệ ngay với em Huyền : 0965472910 ( miễn trung gian).",07/03/2022,Tin thường,batdongsan_so_com_vn_1673830821.8354676,,
