price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Hướng,Mặt tiền,Lộ giới,Số toilet
"3,3 tỷ VNĐ",Vạn Phúc- Hà Đông, 37m2, 5,"Nhỉnh 3 tỷ, Vạn Phúc, Hà Đông, 37m, 5 tầng, ô tô gần, ngõ thoáng Cần bán nhà đẹp vị trí đắc địa nằm trong khuôn viên làng Lụa Vạn Phúc- tuyến đường huyết mạch của Quận Hà Đông, giao thông di chuyển muôn nơi:Thanh Bình, Ngô Quyền, Yết Kiêu, Chu Văn An, Quang Trung, Văn Quán, Phùng Hưng, Nguyễn Trãi,... gần xe bus, ô tô đỗ rất gần. Nhà xây rất đẹp, khung cột chắc chắn đầy đủ công năng sử dụng, thiết bị hiện đại, đường trước nhà thoáng sáng, nơi ở văn minh tĩnh, dân cư đông đúc sầm uất. Tiện ích xung quanh đầy đủ: Trường học các cấp, ngân hàng, siêu thị, bênh viện, chợ,...không thiếu thứ gì, khu vực đáng sống bậc nhất. Chủ cần bán gấp đầu tư nhà xưởng, nhà rất có lộc của, lộc con cái. Giá: 3.3 tỷ ( có thương lượng). Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",26/02/2022,Tin thường,batdongsan_so_com_vn_1673831105.6906614,,,,,
"10,5 tỷ VNĐ","phố Đội Cấn, phường Liễu Giai", 63m2,,"ĐẤT VIP BA ĐÌNH - Ô TÔ TRÁNH - XÂY TÒA VĂN PHÒNG HOẶC APARTMENT Hàng xóm toàn quan chức, có bảo vệ 24/24 đầu ngõ nên an ninh tuyệt đối. Đường trước nhà ô tô tránh/ dừng đỗ ngày đêm. Diện tích 63m2, mặt tiền gần 6m, rất thích hợp xây tòa văn phòng hoặc căn hộ apartment, còn không thì để ở cũng rất tuyệt vời bởi không khí thoáng đãng và sạch sẽ. Thông tuyến: Hoàng Hoa Thám, Liễu Giai, Văn Cao, Ngọc Hà; gần khách sạn La Thành, đạp xe 5 phút ra tới Hồ Tây. Rất thuận tiện khi tới: trường học các cấp, chợ Cống Vị, các trung tâm mua sắm - khu vui chơi, Quân y viện 354 và cơ sở y tế khác,… Sổ đỏ đầy đủ, pháp lý rõ ràng. Chủ hợp tác và hiểu chuyện. Giá: 10,5 tỷ Ba Đình là nơi diễn ra các hoạt động kinh doanh du lịch - mua sắm - nghỉ dưỡng tấp nập bậc nhất Thủ đô, mọi người nên lưu ý đầu tư! Liên hệ: Mr. Ngọc – 0344.978.570 (miễn phí xem nhà, miễn môi giới, trung gian).",04/03/2022,Tin thường,batdongsan_so_com_vn_1673831107.0151203,,,,,
7 tỷ VNĐ,Lam Điền Chương Mỹ Hà Nội, 860m2,,"Bán đất tại Xã Lam Điền, Chương Mỹ, Hà Nội diện tích 860m2 giá 7 Tỷ Bán đất tại Xã Lam Điền, Chương Mỹ, Hà Nội diện tích 860m2 giá 7 Tỷ Bán đất tại Xã Lam Điền, Chương Mỹ, Hà Nội diện tích 860m2 giá 7 Tỷ",04/03/2022,Tin thường,batdongsan_so_com_vn_1673831108.0294044,,,,,
5 tỷ VNĐ,"Oto đỗ cửa, Xuân Đỉnh, 5m ra phố, DT 57mx5T, MT 5,5m, 5 tỷ hơn.", 57m2,,"Vị trí đẹp, 5m ra phố, ngõ thoáng sạch oto đõ cửa. Chủ nhà tự xây kiên cố tâm huyết, về ở ngay. Xung quanh tiện ích vô vàn không thiếu thứ gì, hàng xóm thân thiện. Khu dân trí, an ninh tốt, gần Ủy ban, gần chợ đầu mối Xuân Đỉnh, gần trường Mần non, Tiểu học Xuân Đỉnh, ĐH lớn như: trường ĐH Nội Vụ, Ngoại Giao Đoàn, Đại Sứ Quán Hàn...Vài phút ra Công viên Hòa Bình, các tuyến phố lớn Phạm Văn Đồng, Võ Chí Công, Xuân La, Lạc Long Quân, Tây Hồ...Sổ đỏ vuông đẹp nở hậu, sẵn sàng giao dịch. Trịnh Hiền 0963839587-0915999462 (gọi hoặc inbox 24/24) chuyên nhà thổ cư, sở hữu thông tin trên 10.000 căn nhà trên địa bàn Hà Nội, đủ các phân khúc giá tốt cần thanh khoản gấp. Miễn phí xem nhà, gặp chính chủ thương lượng giá. Hỗ trợ thủ tục pháp lý, sang tên chuyển nhượng, hỗ trợ vay vốn ngân hàng 24/7. Xin cảm ơn anh/ chị đã quan tâm tin đăng.",04/03/2022,Tin thường,batdongsan_so_com_vn_1673831109.2631042,,,,,
"15,9 tỷ VNĐ",Hà Nội, 55m2,,"Gia đình cần bán nhà mặt phố Phan Kế Bính, quận Ba Đình - SĐT: 0366 555 258. + Khu vực, tập trung người Nhật Bản, Hàn Quốc, Úc...Vị trí sầm uất, đông người qua lại, tiếp giáp với các tuyến phố Linh Lang, Đào Tấn, Vạn Phúc, Liễu Giai... Gần chợ, trường học, trung tâm thương mại, nhà hàng, khách sạn, siêu thị… + Nhà thiết kế đẹp, nội thất cao cấp - đang cho thuê 60tr/tháng. + Vị trí trước nhà hè rộng 4m, giá trị thương mại rất lớn như kinh doanh cafe, nhà hàng, spa, văn phòng, viện thẩm mỹ, trụ sở cty... rất là đẹp. + Diện tích 55 m2, mặt tiền 5 m, xây 6 tầng. + Giá chỉ 15.9 tỷ thương lượng mạnh. + Sổ đỏ chính chủ - sẵn sàng giao dịch. + Hotline: 0366 555 258.",04/03/2022,Tin thường,batdongsan_so_com_vn_1673831110.3322632,,,,,
4 tỷ VNĐ,"Oto đỗ cửa, Xuân Đỉnh, gần Ngoại Giao Đoàn, DT 66m, MT 4,2m, chỉ 4 tỷ nhỉnh.", 66m2,,"Vài bước ra phố, ngõ thoáng sạch, oto đỗ cửa, oto tránh 20m. Xung quanh tiện ích vô vàn không thiếu thứ gì, hàng xóm thân thiện. Khu dân trí, an ninh tốt, gần Ủy ban, gần chợ đầu mối Xuân Đỉnh, gần trường Mần non, Tiểu học Xuân Đỉnh, ĐH lớn như: trường ĐH Nội Vụ, Ngoại Giao Đoàn, Đại Sứ Quán Hàn...Vài phút ra Công viên Hòa Bình, các tuyến phố lớn Phạm Văn Đồng, Võ Chí Công, Xuân La, Lạc Long Quân, Tây Hồ...Sổ đỏ vuông đẹp nở hậu, sẵn sàng giao dịch. Trịnh Hiền 0963839587-0915999462 (gọi hoặc inbox 24/24) chuyên nhà thổ cư, sở hữu thông tin trên 10.000 căn nhà trên địa bàn Hà Nội, đủ các phân khúc giá tốt cần thanh khoản gấp. Miễn phí xem nhà, gặp chính chủ thương lượng giá. Hỗ trợ thủ tục pháp lý, sang tên chuyển nhượng, hỗ trợ vay vốn ngân hàng 24/7. Xin cảm ơn anh/ chị đã quan tâm tin đăng.",04/03/2022,Tin thường,batdongsan_so_com_vn_1673831111.317609,,,,,
13 tỷ VNĐ,KĐT Đại Kim - Hoàng Mai - Hà Nội, 55m2, 6,"Bán nhà Nguyễn Cảnh Dị, KĐT Đại Kim Hoàng Mai 55m, 6 tầng, 4.5m MT, chỉ 13 tỷ. Vị trí: Rất đẹp để vừa ở vừa làm văn phòng công ty, giá rất rẻ cho vị trí. Tiện ích: Tương lai tăng giá đột biến khi AEON MALL khởi công năm 2022, tuyến phố dân trí cao toàn văn phòng công ty, đường phố rộng cộng thêm vỉa hè, KĐT đã quy hoạch ổn định đồng bộ, vài bước chân sang hồ điều hòa Linh Đàm, chợ Đại Từ, trường quốc tế, kinh doanh cực đa dạng. Thiết kế: 55m, 6 tầng, MT 4.5m, thiết kế đẹp hài hòa và hiện đại. Giao thông: Cách bến Nước Ngầm, Giáp Bát chỉ vài phút đi xe , Nguyễn Cảnh Dị kết nối Nguyễn Xiển, Nguyễn Hữu Thọ, Định Công, Kim Giang…vv. Pháp lý: Sổ đỏ phân lô có khe thoáng sẵn sàng thương lượng. Liên hệ: Minh Hoàng 0902253303. Các bạn môi giới kxin không làm phiền tránh mất thời gian của nhau, xin cảm ơn.",04/03/2022,Tin thường,batdongsan_so_com_vn_1673831113.0719142, 6,,,,
"9,477 tỷ VNĐ",25 lê văn lương, 160m2,,"BRG DIAMOND RESIDENCE 25 LÊ VĂN LƯƠNG VÌ SAO NÊN MUA NGAY CĂN HỘ cao cấp TẠI ĐÂY??? Tính chất HIẾM dẫn đến TRỊ GIÁ. Trong bối cảnh khan HIẾM nguồn cung BĐS tại khu vực hà nội như hiện nay, 1 Dự án uy tín với pháp lý đầy đủ đã vào giai đoạn cất nóc. Là tòa nhà cao nhất trục đường Lê Văn Lương sầm uất. Chỉ cần khi cư dân bắt đầu về ở là tăng giá 1 nhịp nữa ngay. - HIẾM ở diện tích rộng??? Khẳng định là dinh thự trên không. Chung cư hạng sang duy nhất tại nội đô có sự xuất hiện của các căn hộ 3pn - 3wc & 4pn - 3wc với 3 ban công rộng rãi, giúp gia chủ tận hưởng không gian sống như resort nghỉ dưỡng quanh năm. - Vị trí đắt giá, ngay góc ngã tư Hoàng Đạo Thúy & Lê Văn Lương, trái tim của KĐT Trung Hòa Nhân Chính, giao điểm của 3 quận Cầu Giấy, Đống Đa, Thanh Xuân - trung tâm tài chính của Hà Nội, nơi sinh sống của cộng đồng người nước ngoài và doanh nhân thành đạt. - Dự án rộng 8004m2 với 4 MẶT THOÁNG và 2 lối vào từ 2 đường lớn, đảm bảo tính THANH KHOẢN cực cao do vị trí mang lại. =>>> Quy hoạch đường Vành đai 2,5 là yếu tố quan trọng về hạ tầng và tiềm năng tăng giá của dự án và cả khu vực. - Những con số ấn tượng không thể bắt gặp tại bất kỳ chung cư cao cấp nào khác +Hành lang rộng 2,1m được ốp đá và trang bị điều hòa, đạt tiêu chuẩn khách sạn 5*. +Trần nhà cao 3,6m tạo sự phóng khoáng và sang trọng cho căn hộ. 5,5 tầng hầm cung cấp 753 chỗ để ô tô/ 662 căn hộ. + Mật độ cực thấp, chỉ 11 - 12 căn/sàn với 5 thang máy mỗi tòa. 30% số căn hộ sở hữu tới 3 ban công rộng như một khu vườn. + Chính sách bán hàng hấp dẫn, có lợi cho nhà đầu tư + Chiết khấu 2% nếu thanh toán theo tiến độ + Chiết khấu tới 6% nếu thanh toán sớm 95% + Hỗ trợ vay miễn lãi 65% và ân hạn nợ gốc tới 31.6.2023 + Miễn 1 năm phí dịch vụ và phí gửi xe ô tô. - Quy mô khu cao tầng: 2 tòa D01 và D02 chung 1 khối đế cao 35 tầng. * Diện tích căn hộ bao gồm: + Căn hộ 2PN: 61m2 giá từ 3.7- 4.2 tỷ (chưa tính chiết khấu). + Căn hộ 3PN: 103m2-106m2- 119m2 - 144m2 giá từ 6,2 - 8,5 tỷ (chưa tính chiết khấu). + Căn hộ 4PN: 160m2 - 201m2, giá từ 8.6 - 12.5 tỷ (chưa tính chiết khấu). - Tiện ích căn hộ BRG 25 Lê Văn Lương: + Khối đế trung tâm thương mại 5 tầng với nhiều thương hiệu thời trang và ẩm thực quốc tế, sảnh coffe Starbucks với diện tích 5002m2. + Bể bơi, vườn dạo bộ, sky bar, BBQ, khu vui chơi trẻ em, gym, spa tại tầng 5M. + Vườn thiền, khu đá massage, khu tâm linh, vườn yoga, sky coffe tại tầng mái. + Dịch vụ 5* cho giới thượng lưu như: đỗ và lấy xe cho cư dân, bác sĩ gia đình, giặt ủi, quản gia, siêu thị giao hàng tận cửa căn hộ. Cùng hàng ngàn tiện ích khác... Vừa được HƯỞNG THỤ vừa là NƠI TRÚ ẨN DÒNG TIỀN thời điểm hiện tại, tại sao lại không liên hệ ngay Thanh Huy 0865992501 để lựa chọn được căn hộ đẹp nhất.",04/03/2022,Tin thường,batdongsan_so_com_vn_1673831114.4033535,, Tây nam,,,
"45,5 tỷ VNĐ","Xã Đàn, Đống Đa, Hà Nội", 81m2, 7,"Bán tòa nhà mặt phố Xã Đàn quận Đống Đa 81m, 5m mặt tiền, 7 tầng, THANG MÁY 45.5 tỷ. Vị trí: Tòa nhà nằm ở vị trí đắc địa nhất phố Xã Đàn, trung tâm quận Đống Đa. Thiết kế: 7 tầng thông sàn, thang máy hiện đại, phong thủy tốt. Tiện ích: Vị trí đẹp gần ngã 6 Ô Chợ Dừa, Ngã Tư Kim Liên, kinh doanh đa dạng như ngân hàng, spa, trụ sở công ty…vv, vừa ở vừa cho thuê mặt bằng hoặc cho thuê cả tòa nhà, gần các trung tâm thương mại như Vincom Phạm Ngọc Thạch, bệnh viện Bạch Mai, Việt Pháp,..vv Các trường đại học Bách Khoa, Xây Dựng, Kinh Tế, Ngân Hàng,...vv các tuyến phố thương mại như Phạm Ngọc Thạch, Chùa Bộc, Ô Chợ Dừa, Tôn Đức Thắng…vv. Pháp lý: Sổ đỏ chính chủ, sẵn sàng thương lượng. Liên hệ: Minh Hoàng 0902253303 Các bạn môi giới ko làm phiền, mất thời gian của nhau, xin cảm ơn.",04/03/2022,Tin thường,batdongsan_so_com_vn_1673831115.6043181, 10,, 5,,
37 triệu VNĐ/m2,279  Hoàng Mai, 77m2,,"💥Ra tầng 10 - 15 - 22 Fantasy Feliz Homes, nhận chỉ vàng 9999, chưa đến 37 triệu/m2, vốn tự có 900tr - 1 tỷ ký HĐMB căn 2PN - 3PN giá từ 2,8 tỷ - 4 tỷ. Tiện ích resort 5 sao.️🍀Feliz Homes Hoàng Mai.Bể bơi điện phân đồng.Vườn dạo bộ chân mây.Khu yoga, vườn thiền, các tổ hợp thư giãn gym, hoạt động ngoài trời.🚌Bãi đỗ xe thông minh ngoài trời. 💰Chính sách bán hàng:️🍀Miễn 2% kinh phí bảo trì, 1 năm phí dịch vụ.️🍀Hỗ trợ lãi suất 0% 18 tháng, Ân hạn nợ gốc.️🍀Vay 75% thời gian 25 năm.💰Báo giá các căn hộ đẹp nhất dự án:🏠Căn hộ 2PN 77m2 giá từ 2,8 tỷ.🏠Căn hộ 3PN diện tích 97m2 giá từ 3.25 tỷ.🏠Căn hộ 3PN diện tích 108m2 (căn góc) view thành phố, view hồ Đền Lừ giá từ 3.6 tỷ.🚌Liên kết vùng thuận lợi:Các trục đường Vành Đai 2 - 2,5 3 thuận tiện giao thông phát triển kinh tế.+ Bệnh viện Bạch Mai: 5Km.+ Hồ Hoàn Kiếm: 6Km.+ Đại học Bách Khoa KT Quốc Dân: 3km.+ Trường TH, THCS Mai động.+ Công viên Thống Nhất: 4Km.+ Bến xe Giáp Bát: 3Km.+ TTTM Metro Hoàng Mai: 2Km.💎Đậm chất la tinh, kiệt tác nghệ thuật đầy xa hoa và sang trọng được lấy cảm hứng từ kiến trúc Bắc Âu. Phân khúc nhà chung cư đầy đủ tiện ích xanh bậc nhất của Thủ Đô nói chung và Hoàng Mai nói riêng. 🏠Thiết kế căn hộ đề cao tính hữu dụng, tối ưu diện tích và công năng sử dụng. Toàn bộ không gian phòng ngủ đều được thiết kế cửa sổ kính và ban công rộng để đón ánh sáng tự nhiên và tận hưởng trọn vẹn làn gió mát lành từ hồ sinh thái thổi vào.Dự án cạnh tranh bậc nhất khu vực Hoàng Mai và Thủ Đô.🔑Nhận nhà: Quý IV /2022.☎️Hotline Phòng BH trực tiếp CĐT: 0983.223.911 – 0818.978.979#FelizHomes#Felizhomes279hoangmai#Felizhomes92maidong ",04/03/2022,Tin thường,batdongsan_so_com_vn_1673831116.6086302,,,,,
