Title,Price,Area,Address,Gen_descrip,Loại hình,Số phòng ngủ,Tình trạng pháp lý,Nội thất,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Mặt tiền,Số tầng,Hướng nhà,Hướng ban công,Căn góc
"
CỰC SỐC, bán gấp căn 2PN1VS, 60m2, Full nội thất cao cấp, chỉ 1.6 tỷ, tại Vinhomes Ocean Park
","
1,6
Tỷ ","
60
m2
",['Mua bán Căn hộ chung cư  Vinhomes Ocean Park'],"
Thông tin căn hộ:- Căn hộ cao cấp khu đô thị Vinhomes Ocean Park Gia Lâm Hà Nội.- Tổng diện tích: 60m2-  Đầy đủ nội thất cao cấp- Pháp lý: sổ đỏ chính chủ lâu dài- Thiết kế: 2 phòng ngủ, 1WC, phòng khách, bếp. Các phòng đều đón ánh sáng tự nhiên và rộng rãi, thoáng đãng* Tiện ích nội khu chuẩn quốc tế:- Hồ bơi, vườn dạo bộ, khu vui chơi trẻ em.- Khu TDTT (tennis, bóng rổ, bơi... ).- Khu BBQ ngoài trời.- Khu TTTM, nhà trẻ, gym, spa...- Phòng lánh nạn, an ninh đảm bảo 24/24- Liên hệ xem nhà ngay: (Xem nhà miễn phí 24/7)
",Căn hộ,2,Sổ đỏ,Đầy đủ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 05/10/2023,02/11/2023,Bán,2045702,,,,,
"
Bán nhà riêng ngõ 30 hạ yên,quận Cầu Giấy - Hà Nội giá 4.70 Tỷ
","
4,7
Tỷ ","
30
m2
","['Hà Nội', 'Quận Cầu Giấy', 'Mua bán Nhà riêng tại Đường Hạ Yên']","
bán nhà riêng ngõ 30 hạ yên quyết,cầu giấy,hà nộidiện tích:30m2x 5 tầngnội thất đầy đủ,để lại toàn bộ nội thấtthuộc vị trí trung tâm đi lại thuận tiệngiá bán:4,7 tỷlh:09714408***để xem nhà trực tiếp
",Nhà riêng,3,Sổ đỏ,đầy đủ ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 05/10/2023,02/11/2023,Bán,2023607,"3,5m",5,,,
"
Bán Biệt Thự Tây Hồ Tây, suất ngoại giao 180M2, 4 Tầng, có Hầm, thang máy, 35 Tỷ
","
Thỏa thuận
","
180
m2
","['liền kề  The Jade Orchid Garden', 'Mua bán Nhà biệt thự']","
BÁN BIỆT THỰ TÂY HỒ TÂY, SUẤT NGOẠI GIAO 180M2 4 TẦNG, CÓ HẦM, THANG MÁY, 35 TỶ- Biệt thự nằm trong 1 trong 3 khu đáng sống nhất Tây Hồ Tây: Hàng xóm giàu, có trí tuệ; tiện ích cao cấp và đầy đủ nhất vùng.- Xung quanh đầy đủ tiện ích cao căp phục vụ đầy đủ nhu cầu gia đình.- Đường trước nhà rộng, vỉa hè rộng, dừng đỗ xe thoải mái.- Biệt thự thiết kế 3 tầng nổi, 1 tầng hầm, có thang máy.- Giá 35 Tỷ.- Liên Hệ: Văn Tú 12: 09118963***để đi xem và mua căn BT Tuyệt vời này.
","Nhà biệt thự, liền kề",,,,,,,,,,,,,,,,,, 05/10/2023,02/11/2023,Bán,2555271,,,,,
"
Bán nhà Nguyễn Văn Cừ siêu đẹp 61M 6T kinh doanh thang máy ô tô đỗ cửa 11.8 tỷ
","
11,8
Tỷ ","
61
m2
","['Hà Nội', 'Quận Long Biên', 'Mua bán Nhà riêng tại Đường Nguyễn Văn Cừ']","
+ Nhà ở vị tri rất đẹp gần cầu Chương Dương rất tiện sang trung tâm Quận Hoàn Kiếm, Phố Đi Bộ Hà Nội.- Gần phố Ngọc Lâm, Nguyễn Sơn, Hồng Tiến, Ngô Gia Tự.- Gần bệnh viện Quốc Tế bệnh viện Tâm Anh.- Gần chợ Bồ Đề chợ Ngọc Lâm khu phố ẩm thực.-Gần Trường Học cấp 1.2 Ngọc Lâm.Tầng 1: Bếp + Để xe + vệ sinh.Tầng 2: Phòng khách + vệ sinh.Tầng 3,4,5: Mỗi tầng 1 phòng ngủ Ful đồ + vệ sinh khép kín.Tầng 6: Phòng thờ + Sân phơi.+ Sổ đỏ sẵn sàng giao dịch.+ Liên hê: Ms Dương. 03571683***chuyên bán nhà đất khu vực quận Long Biên Hoàn Kiếm để được tư vấn.
",Nhà riêng,,Sổ đỏ,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 05/10/2023,02/11/2023,Bán,2555057,,,,,
"
Bán Nhà Cầu Diễn, Bắc từ Liêm, HN, 5 tầng 114m2, oto 7 chỗ vào nhà, oto tránh, giá 11 Tỷ
","
11
Tỷ ","
114
m2
","['Hà Nội', 'Quận Bắc Từ Liêm', 'Mua bán Nhà riêng tại Đường Cầu Diễn']","
Cầu Diễn: - Ngõ to như sân đỗ oto - Nhà 5 tầng ( Cải tạo lại là đẹp mê ly) - Diện tích rộng, mặt tiền rộng - Thích hợp làm ccmn, nhà nghỉ, khách sạn,nhà trẻ, trung tâm tiếng anh.... - Sổ vuông, đẹp sẵn giao dịch - Tiện ích ngập tràn, từ nhà ra đường cầu Diễn chỉ 5 phút - Nhà nằm cạnh Ngõ 136 rẽ vào, Ngõ 136 là ngõ oto tránh, tương lai thành đường 4 làn xe - Nhà nằm trong khu phân lô, trước nhà 3 oto tránh, khu vực dân trí cao
",Nhà riêng,,Sổ trắng,,,,,,,,,,,,,,,, 04/10/2023,01/11/2023,Bán,2554565,,,Tây,,
"
Chính chủ bán cắt lỗ 200tr căn 80m2 tòa S2.15 Vinhomes Ocean Park, giá 2.45 tỷ
","
2,35
Tỷ ","
80
m2
",['Mua bán Căn hộ chung cư  Vinhomes Ocean Park'],"
Gia đình cần chuyển nhượng căn 3PN tại Vinhomes Ocean Park để đầu tư kinh doanh.Diện tích 80m2 tim tường, thông thủy 75m2 thiết kế 3PN, 2vs, 2 logia thoáng.Hướng cửa Tây Nam, ban công Đông Bắc view quảng trường.Nội thất đầy đủ đồ cao cấp, người mua chỉ mang valy về ở.Giá bán thiện chí 2.35 tỷ ( giá gốc 2.55 tỷ)Sổ hồng chính chủ, không vay ngân hàng.
",Căn hộ,3,Sổ hồng,Hoàn thiện cao cấp chủ đầu tư,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,, 04/10/2023,01/11/2023,Bán,1902902,,19,Tây-Nam,Đông-Bắc,Có
"
Siêu Rẻ - Nhà Hoàng Mai - 66M, Giá Chỉ >2 Tỷ. Gần Phố. Ngõ Thông, Ba Gác. Kinh Doanh Hoặc Cho Thuê
","
2E-06
Triệu ","
66
m2
","['Hà Nội', 'Mua bán Nhà riêng tại Quận Hoàng Mai']","
Cần thanh khoản gấp- Nhà Vĩnh Hưng - Hoàng Mai- Diện tích <66m- Giá chỉ > 2 TỶ- 5 phút ra Time City- 5 phút ra chợ đầu mối Tam Trinh- Gần các trường tiểu học, trung học phổ thông, Khoa Luật Đại Học Mở...- Cho thuê hoặc kinh doanh, online...Liên Hệ: 032.678.3***
",Nhà riêng,,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,, 28/09/2023,26/10/2023,Bán,2542014,,,,,
"
Đơn lập Góc_Cạnh Vincom_Giá rẻ nhất KĐT_LH: 0913296***
","
43
Tỷ ","
230
m2
","['Hà Nội', 'Huyện Gia Lâm', 'liền kề tại Xã Dương Xá', 'Mua bán Nhà biệt thự']","
  🌟Cần bán Đơn Lập Góc SB21-02 Vinhomes Ocean Park 1Nhà phố 1 bước chạm ngàn tiện ích - Trường tồn với thời gian.✅ Cách Vincom - 20m✅ Biển 6,1ha - 50m✅ Quảng trường cá voi - 80m✅ Hồ 24ha - 99m✅ DT Đất : 230m2✅ Mặt sàn Xây dựng tầng 1 88m²✅ Hướng : Đông nam - Đông Bắc✅ Giá bao Rẻ nhất dự án - 43 tỷ Chi tiết liên hệ:A PhúcPhone: 0913296*** #VinhomesOceanPark
","Nhà biệt thự, liền kề",,,,,,,,,,,,,,,,,, 04/10/2023,01/11/2023,Bán,2554389,,,,,
"
Chung cư 4PN rẻ nhất Hà Nôi-có sổ hồng-0974544***
","
3,1
Tỷ ","
127
m2
",['Mua bán Căn hộ chung cư  Tecco Garden'],"
 ❌Giá sốc từ  25tr/m2 - Nhận nhà ở Ngay- Sổ đỏ cầm tay ❌ 🎁Vay lãi suất 0%, ân hạn gốc  18 tháng🎁Chiết khấu tới 08%giá trị căn hộ🎁Đóng 30% nhận nhà ở Ngay  trả góp dần trong 24 tháng🎁Tặng ngay gói hoàn thiện nội thất cao cấp 150tr ----------🌳---------🌳-------------👉Căn hộ 4PN diện tích 127 m2 - 135 m2 - 141 m2-----------🌳----------🌳------------Bàn giao nội thất cao cấp: Khóa từ, sàn gỗ, trần thạch cao, thiết bị vệ sinh, tủ Lavabo, vách tắm kính, bình nóng lạnh, đèn Led Downlight -----------🌳------------🌳----------👉Dự án sở hữu vị trí đắc địa, phù hợp cho khách hàng sinh sống và làm việc tại Hoàng Mai, Đống Đa, Hai Bà Trưng, Hoàn Kiếm, Thanh Xuân.👉Chỉ 5 phút tới bến xe nước Ngầm, 10 phút tới bến xe Giáp Bát, 15 phút tới đại học Bách Khoa, Bệnh viện Bạch Mai👉Thuộc trung tâm hành chính Quận, bên cạnh là công viên hồ điều hòa, môi trường sống trong lành, nhiều cây xanhChợ, trường học cấp 1, cấp 2 ngay cạnh dự án ☎Liên hệ: 0974544***
",Căn hộ,,Sổ hồng,,,,,,,,,,,,,,,, 04/10/2023,01/11/2023,Bán,2554371,,,Đông-Nam,,
"
Bán nhà gần phố đi bộ Trịnh Công Sơn, Tây Hồ, 57m vuông giá 7 tỷ 500 triệu
","
7,5
Tỷ ","
57
m2
","['Hà Nội', 'Quận Tây Hồ', 'Mua bán Nhà riêng tại Đường Trịnh Công Sơn']","
Bán nhà gần phố đi bộ Trịnh Công Sơn, Tây Hồ, 57m vuông giá 7 tỷ 500 triệu *Mô tả :- Nhà cách mặt phố Trịnh Công Sơn 3 bước chân. Tiện ích và giao thông thuận tiện. Khu vực đáng sống nhất tại Tây Hồ.- Đường trước nhà rộng rãi, ôtô đỗ cổng, 1 Phút RA LOTTE TÂY HỒ- Tiện ích xung quanh nhiều, phố đi bộ, Công viên nước Hồ Tây, SEN BUFFET và nhiều ẩm thực nổi tiếng......- Nhà hiện cho thuê cả nhà 21 triệu/tháng. * Thiết kế :- Tầng 1 : Để xe - Bếp - Phòng ăn - WC.- Tầng 2 : Phòng khách - 1 phòng ngủ - WC.- Tầng 3,4 : Mỗi tầng 2 phòng ngủ - WC.- Tầng 5 : phòng thờ - Sân phơi. * Sổ đỏ chính chủ* Giá bán thương lượng trực tiếp 0819860*** ( Em Huy )Cảm ơn
",Nhà riêng,,Sổ đỏ,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 04/10/2023,01/11/2023,Bán,2554268,,,,,
