Title,Price,Area,Address,Gen_descrip,Loại hình,Tình trạng pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Hướng nhà,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách
"
Bán nhà riêng Quận Hai Bà Trưng - Hà Nội giá 7.60 Tỷ
","
7,6
Tỷ ","
50
m2
","['Hà Nội', 'Quận Hai Bà Trưng', 'Mua bán Nhà riêng tại Đường Đại Cồ Việt']","
Nhà 4 tầng, nội thất toàn gỗ Lim Lào, ngõ thông xe 3 gác, ô ô tô cách nhà 20m, gần Bộ Giáo Dục, CV Thống Nhất, Đại học Bách Khoa, trường Tô Hoàng, Trường Tây sơn, khu Hành chính quận Hai Bà Trưng, 5 phút ra Vincom Bà Triệu. Khu Đại Cồ Việt, Hoa Lư, Phố Huế, Bạch Mai, Tạ Quang Bửu.Sổ đỏ chính chủLH: Mr Kiên- 0987209***
",Nhà riêng,Sổ đỏ, 03/10/2023,31/10/2023,Bán,2551170,,,,,,,,,,,,,,,
"
Căn hộ 2 phòng ngủ Vinhomes Times City - Diện tích 79,2m² - Giá 4 tỷ 700 triệu
","
4,7
Tỷ ","
79
m2
",['Mua bán Căn hộ chung cư  Khu đô thị Vinhomes Times City'],"
Cần bán gấp căn 2 phòng ngủ tại tòa Park 12 Vinhomes Times City cần bán với các thông tin sau: Diện tích: 79m² - Mới làm full nội thất đẹpSố phòng ngủ: 2Số WC: 2Hướng ban công: Hướng Đông NamGiá bán: 4 tỷ 700trLiên hệ xem căn hộ: 0919.889.896***Không tiếp môi giới
",Căn hộ,Sổ hồng, 03/10/2023,31/10/2023,Bán,2551096,Đông-Nam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"
Bán nhà gần Cầu Diễn 5 TỶ 64m 3 tầng Nam Từ Liêm lô góc ô tô đỗ cửa
","
5
Tỷ ","
64
m2
","['Hà Nội', 'Quận Nam Từ Liêm', 'Mua bán Nhà riêng tại Đường Hàm Nghi']","
+ Cách bến xe Mỹ Đình vài phút đi xe, sân vận động Mỹ Đình 1km, ngay sát khu đô thị VINHOME Gardenia, gần bệnh viên Đa khoa Chữ Thập Xanh, bệnh viên Từ Liêm, Trung tâm Y Tế Nam Từ Liêm.+ Gần các trường Đại học Thương Maị, Ngoại Ngữ, Sư Phạm, Cao đẳng Du Lịch, Học Viện, Báo Chí Tuyên Truyền, Trường Múa.+ Sổ đỏ vuông đẹp pháp lý sạch sẵn sàng giao dịch.Liên hệ: Gia Huy 0336923*** (vui lòng nhắn qua số zalo).Gia Huy chuyên nhà đất thổ cư khắp Hà Nội.Tư vấn hợp đồng pháp lý sổ Đỏ 24/7.
",Nhà riêng,Sổ đỏ, 02/10/2023,30/10/2023,Bán,2550749,,,,,,,,,,,,,,,
"
Nhà gần phố-Diện tích rộng-Chủ thiện chí bán-Nhiều tiện ích
","
5,2
Tỷ ","
64
m2
","['Hà Nội', 'Quận Hai Bà Trưng', 'Mua bán Nhà riêng tại Phố Bạch Mai']","
273 Bạch MaiDiện tích: 54/64mGiá: 5.2 tỷ Mô tả : Ngõ 273 ngay sát ngã tư Bạch Mai - Thanh Nhàn - Lê Thanh Nghị . Từ nhà ra mặt phố chỉ vài chục mét - Trước nhà có khoảng sân 10m2 , để xe thoải mái , diện tích sử dụng 64m , khách mua về xây đua từ tầng 2 lên hết 64m . Thiết kế - Tầng 1 : Phòng khách + 1 phòng ăn + 1 bếp + wc - Tầng 2 : 2 phòng ngủ + 1 phòng thờ + sân phơi + 1 wc SỔ ĐỎ CHÍNH CHỦ 
",Nhà riêng,Sổ đỏ, 02/10/2023,30/10/2023,Bán,2550699,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"
Nhà Lê Đức Thọ 5.2tỷ 46m 6 tầng Nam Từ Liêm chủ tự xây chắc chắn ô tô cách 15M
","
5,2
Tỷ ","
50
m2
","['Hà Nội', 'Quận Nam Từ Liêm', 'Mua bán Nhà riêng tại Đường Lê Đức Thọ']","
NHÀ LÊ ĐỨC THỌ 5.2 TỶ 46m 6 TẦNG NAM TỪ LIÊM CHỦ TỰ XÂY CHẮC CHẮN Ô TÔ CÁCH 15MMÔ TẢ+ Gần các đường lớn như Lê Đức Thọ, Trần Hữu Dực, Tân Mỹ, Nguyễn Cơ Thạch, Nguyễn Hoàng, Lê Quang Đạo, …+ Nhà cách ô tô 15m, ngõ thẳng, nông. Có sân cổng để xe thoải mái, gần các trường Đại học Thương Maị, Ngoại Ngữ, Sư Phạm, Cao đẳng Du Lịch, Học Viện, Báo Chí Tuyên Truyền, Trường Múa.+ Gần bệnh viên Đa khoa Chữ Thập Xanh, bệnh viên Từ Liêm, Trung tâm Y Tế Nam Từ Liêm, siêu thị.- Tầng 01 phòng khách, bếp và WC.- Tầng 2, 3, 4, 5 mỗi tầng 02 phòng (08 phòng WC ở giữa).- Tầng 06 phòng thờ (hoặc Ngủ), sân phơi.+ Sổ đỏ vuông đẹp pháp lý sạch sẵn sàng giao dịch.Liên hệ: Gia Huy 0336923*** ( vui lòng nhắn qua số zalo ).Gia Huy chuyên nhà đất thổ cư khắp Hà Nội.Tư vấn hợp đồng pháp lý sổ Đỏ 24/7.
",Nhà riêng,Sổ đỏ, 02/10/2023,30/10/2023,Bán,2550682,,,,,,,,,,,,,,,
"
Trung tâm quận Thanh Xuân-Nhà 4 lô góc-Chủ tự xây chắc chắn-An sinh đỉnh.
","
5,1
Tỷ ","
39
m2
","['Hà Nội', 'Quận Thanh Xuân', 'Mua bán Nhà riêng tại Đường Nguyễn Trãi']","
262B. Nguyễn Trãi DT: 39m,nhà 4 tầng,mặt tiền: 4.8mGiá 5.1 tỷ Mô tả:+ Ngõ 262B Nguyễn Trãi ba gác tránh xe máy thoải mái, nhà gần phố, khu vực trung tâm quận Thanh Xuân, giao thông thuận tiện, an sinh đỉnh. Xung quanh nhiều tiện ích: Các trường Đại học lớn, Royal City, nhà ga tàu điện ngay đầu ngõ…+ Nhà xây 4 tầng chủ tự xây, khung cột chắc chắn chủ mới về chỉ việc ở. Lô góc 2 mặt thoáng sáng.-T1: Khách, bếp, vệ sinh.-T2,3: Mỗi tầng 2 ngủ, vệ sinh.-T4: Phòng thờ, sân phơi.+ Sổ đỏ chính chủ, đẹp 
",Nhà riêng,Sổ đỏ, 02/10/2023,30/10/2023,Bán,2550680,,,,,,,,,,,,,,,
"
Bán nhà mặt phố Quận Hoàng Mai - Hà Nội giá 4.30 Tỷ
","
4,3
Tỷ ","
29
m2
","['Hà Nội', 'Mua bán Nhà mặt phố tại Quận Hoàng Mai']","
-Bán nhà mới xây,29m2,5 tầng mặt phố Tân Mai -—Mặt tiền 4m1 .phố kinh doanh buôn bán tấp lập,tiện ích bảo là,gần trườn cấp 1,2 Tân Mai,100m đến chợ đầu mối phía nam,giao thương 8 hướng.Lh:0963250***(Lâm)  
",Nhà mặt phố,, 02/10/2023,30/10/2023,Bán,2550555,,,,,,,,,,,,,,,
"
Bán nhà-Trần Phú-hoàng mai-hà nội .diện tích 35m2
","
2,3
Tỷ ","
35
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Mua bán Nhà riêng tại Phường Trần Phú']","
-Nhà mới xây ,4 tầng,1 tum gồm 3 Phòng ngủ,3 wc,Phòng khách,bếp ăn ,mặt tiền 3,8m ngõ ôtô tránh 10m,khu vực vô vàn tiện ích Gần ủy ban phường,mầm non,cấp 1,2 .khu vực hàng xóm thân thiện,an ninh rất tốt.Lh:0963250***(lâm)
",Nhà riêng,, 02/10/2023,30/10/2023,Bán,2550501,,,,,,,,,,,,,,,
"
Bán nhà riêng Quận Hoàng Mai - Hà Nội giá 2.80 Tỷ
","
2,8
Tỷ ","
34
m2
","['Hà Nội', 'Mua bán Nhà riêng tại Quận Hoàng Mai']","
  🌹🌹🌹  NHÀ  ĐẸP---5 TẦNG - ĐỦ CÔNG NĂNG- NGÕ NÔNG THOÁNG - GẦN ĐƯỜNG Ô TÔ - GẦN CHỢ __3 BƯỚC RA TRƯỜNG HỌC+Khu vực nhiều người tìm mua.+ Nhà 5 tầng còn mới đẹp, khách chỉ việc mang đồ về ở.+ Thiết kế mỗi tầng 1 phòng rộng, Tổng 3 phòng ngủ, 1 kh,bếp,1 thờ, sân phơi.+ Sổ đỏ chính chủ.Lh:0963250***(lâm)
",Nhà riêng,, 02/10/2023,30/10/2023,Bán,2550459,,,,,,,,,,,,,,,
"
Hơn 3 tỷ có nhà Khương Đình Thanh Xuân ở ngay 35m2 *4T- Ngõ 3m thoáng- Cạnh ngã Tư Sở
","
3,2
Tỷ ","
35
m2
","['Hà Nội', 'Quận Thanh Xuân', 'Mua bán Nhà riêng tại Đường Khương Đình']","
Bán nhà Khương Đình Thanh Xuân 34m²* 4 tầng- Ngõ 3m thoáng trước sau- Ngay đầu Ngã Tư Sở- Hàng xóm RoyalCity. Lh 090.200.6***- Nhà đầu Phố Khương Đình, cách đường ô tô vài chục mét, đi ra Nguyễn Trãi, Ngã Tư Sở rất gần. Khu vực trung tâm, tiện ích không thiếu gì.- Nhà dân xây 4 tầng chắc chắn, có thể lên thêm tầng nếu cần.- Sổ đỏ chính chủ, sẵn sàng giao dịch.- Giá bán 3.2 tỷ- LH xem nhà trực tiếp 090.200.6***
",Nhà riêng,, 02/10/2023,30/10/2023,Bán,2550147,,,,,,,,,,,,,,,
