Title,Price,Area,Address,Gen_descrip,Loại hình,Số phòng ngủ,Số tầng,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Bình nóng lạnh,Tủ bếp,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Tình trạng pháp lý,Hướng nhà,Máy hút mùi,Đường vào,Mặt tiền,Bàn ăn,Nội thất,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bàn ghế P.khách
"
Chỉ nhỉnh 4 tỷ! lô góc, 6 tầng, 4 ngủ, 38m2, xuân la, tây hồ, view thoáng, ngõ ngắn, 80m ô tô tránh
","
4,2
Tỷ ","
38
m2
","['Hà Nội', 'Quận Tây Hồ', 'Mua bán Nhà riêng tại Đường Xuân La']","
Chỉ nhỉnh 4 tỷ! Lô góc, 6 tầng, 4 ngủ, 38m2, Xuân La, Tây Hồ, 2 thoáng, ngõ ngắn, 80m ô tô tránh, Võ Chí Công, cách đường Lạc Long Quân 200m, chỉ vài phút ra ho tay. Full diện tích 38m2 - 5 tầng - lô góc - ngõ thẳng - cực gần Võ Chí Công - view thoáng tây hồ tây.- Vị trí nhà chỉ 2 ngoặt rất ngắn, gần đường Võ Chí Công, đứng từ tầng 4 nhìn thẳng KĐT TÂY HỒ TÂY.- Cửa nhà và cầu thang tủ bếp làm toàn bằng gỗ lim chắc chắn. Có phòng khách riêng biệt, tối ưu phòng ngủ, không gian cực thoáng.- Ngõ vào tuy 2m nhưng được tận dụng khoảng không ngõ bên cạnh tạo cảm giác rất thoáng cho lối vào không bị bí mắt. Chỉ 100m ra chợ, 50m ra mặt phố Võ Chí Công, ăn uống kinh doanh sầm uất.- Nhà văn hóa Phường ngay cạnh, khỏi lo chỗ đỗ xe Ô TÔ, i10 vào ra gần đến nhà. Thiết kế 6 tầng hiện đại.+ Tầng 1: P khách, bếp, WC.+ Tầng 2, T3, T4, T5: Tổng 4 P ngủ, 4 WC.+ Tầng 6: Phòng thờ, sân phơi. - Sổ đỏ chính chủ, pháp lý chuẩn, giao dịch ngay.- Chỉ nhỉnh 4 tỷ! Lô góc, 6 tầng, 4 ngủ, 38m2, Xuân La, Tây Hồ, 2 thoáng, ngõ ngắn, 80m ô tô tránh, Võ Chí Công, cách đường Lạc Long Quân 200m, chỉ vài phút ra Trịnh Công Sơn, trích Sài, võng Thị, thụy Khuê. Full diện tích 38m2 - 5 tầng - lô góc - ngõ thẳng - cực gần Võ Chí Công - view thoáng tây hồ tây.- Vị trí nhà chỉ 2 ngoặt rất ngắn, gần đường Võ Chí Công, đứng từ tầng 4 nhìn thẳng KĐT TÂY HỒ TÂY.- Cửa nhà và cầu thang tủ bếp làm toàn bằng gỗ lim chắc chắn. Có phòng khách riêng biệt, tối ưu phòng ngủ, không gian cực thoáng.- Ngõ vào tuy 2m nhưng được tận dụng khoảng không ngõ bên cạnh tạo cảm giác rất thoáng cho lối vào không bị bí mắt. Chỉ 100m ra chợ, 50m ra mặt phố Võ Chí Công, ăn uống kinh doanh sầm uất.- Nhà văn hóa Phường ngay cạnh, khỏi lo chỗ đỗ xe Ô TÔ, i10 vào ra gần đến nhà. Thiết kế 6 tầng hiện đại.+ Tầng 1: P khách, bếp, WC.+ Tầng 2, T3, T4, T5: Tổng 4 P ngủ, 4 WC.+ Tầng 6: Phòng thờ, sân phơi. - Sổ đỏ chính chủ, pháp lý chuẩn, giao dịch ngay.- ☎️ Liên hệ Dư nhà ĐẸP chuyên bán nhà ngõ 28 xuân La, ngõ 36 xuân la, ngõ 34 xuân La, nhà ngõ 12 xuân La, tây hồ, bán nhà Võ Chí Công, nhà Lạc Long Quân, Võng Thị, Trích Sài, Thụy Khuê, Trịnh Công Sơn, Âu Cơ, Xuân Diệu, hẹn xem nhà.* Liên hệ Dư nhà ĐẸP chuyên bán nhà ngõ 28 xuân La, ngõ 36 xuân la, ngõ 34, nhà ngõ 12 xuân La, xuân La, tây hồ, bán nhà Võ Chí Công, nhà Lạc Long Quân, Võng Thị, Trích Sài, Thụy Khuê, Trịnh Công Sơn, Âu Cơ, Xuân Diệu, hẹn xem nhà.
",Nhà riêng,3,5, 28/09/2023,26/10/2023,Bán,2489992,,,,,,,,,,,,,,,,,,,
"
Bán căn hộ Moon Light 1 giá 2.87 Tỷ KĐT An Lạc Green Symphony, Hoài Đức HN
","
2,87
Tỷ ","
67
m2
","['Hà Nội', 'Mua bán Căn hộ chung cư tại Huyện Hoài Đức']","
🌿 Cơ Hội Độc Đáo Tại KĐT An Lạc Green Symphony! 🌿 Sống trong một môi trường xanh? Đừng bỏ lỡ cơ hội độc đáo tại Khu Đô Thị An Lạc Green Symphony! 🏡 Vị trí lý tưởng: Gần đường Đại lộ Thăng Long, đường 70, vành đai 3.5, Trịnh Văn Bô - Trần Hữu Dực, Văn Tiến Dũng kéo dài, tiện lợi di chuyển đến trung tâm thành phố. 🌳 Môi trường xanh: Hòa mình vào thiên nhiên, tận hưởng cuộc sống trong lành với mật độ xây dựng thấp nhất nội đô. 🏫 Học hành tốt: Trường Đoàn Thị Điểm trong KĐT, sát cạnh Làng giáo dục quốc tế, chỉ vài phút di chuyển tới các trường ST Paul American, liên cấp Hà Nội Toronto, Xuân Phương, mầm non Hương Canh B,...mang lại tương lai tươi sáng cho con trẻ. Đón đầu cuộc sống xanh, hãy đón đầu cơ hội tại KĐT An Lạc Green Symphony bằng đặt mua chung cư Moon Light 1 bàn giao 31/12/2023 ngay hôm nay với mức giá vô cùng ưu đãi CHỈ từ 2.87 tỷ để bắt đầu cuộc hành trình mới. 🌟 LIÊN HỆ: 034 7727 3***để được tư vấn chi tiết.
",Căn hộ,,, 28/09/2023,26/10/2023,Bán,2543139,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
"
Bán căn 2PN Chung cư Moonlight An Lạc với vốn tự có chỉ 955 triệu, HTLS 0% tới 24 tháng
","
2,84
Tỷ ","
66,68
m2
","['Hà Nội', 'Huyện Hoài Đức', 'Mua bán Căn hộ chung cư tại Xã An Khánh']","
Thông tin căn hộ: Căn hộ 2 PN, 2WC, diện tích thông thủy 66,68m2 nằm trong quần thể KĐT An Lạc Green Symphony với đầy đủ các tiện ích đẳng cấp: Bể bơi 4 mùa, bể bơi ngoài trời, 3 công viên cây xanh diện tich 60.000m2, đường dạo bộ, vườn nướng BBQ, khu vui chơi trẻ em, trung tâm mua sắm, Gym, Spa, nhà hàng….Vị trí dự án: Nằm trên vị trí đắc địa - cửa ngõ khu trung tâm phía Tây Hà Nội, sát đường vành đai 3.5, cách trung tâm Mỹ Đình, Từ Liêm, Hà Đông chỉ 10 phút di chuyển.Chính sách ưu đãi cực lớn từ CĐT:Hỗ trợ vay lãi suất 0% lên tới 24 tháng KH thanh toán sớm được CK lên tới 11,5% và nhận quà tân gia lên tới 6 chỉ vàng SJCMiễn phí 02 năm quản lý dịch vụ bởi CBREPháp lý rõ ràng, ký HĐMB trực tiếp với CĐTBàn giao: Full nội thất: Sàn gỗ, trần thạch cao, tủ bếp, bếp từ, bình nóng lạnh, điều hòa….Chi tiết tư vấn dự án anh/chị vui lòng liên hệ hotline 24/7: 0936865***    
",Căn hộ,,, 28/09/2023,26/10/2023,Bán,2543204,,,,,,,Sổ hồng,Đông-Bắc,,,,,,,,,,,
"
Bán căn hộ cao cấp Moonlight AnLacgreensymphony khu vực phía Tây Hà Nội
","
2,8
Tỷ ","
66,68
m2
","['Hà Nội', 'Huyện Hoài Đức', 'Mua bán Căn hộ chung cư tại Đường 70']","
Những ưu đãi chính sách gì khiến căn hộ Moonlight1 trở nên thu hút đông đảo khách hàng quan tâm đến vậy  +Chỉ từ 2T8 sở hữu ngay căn hộ cao cấp +Vị trí cạnh Vành Đai 3.5 +Diện tích từ: 66,68m2 - 95,19m2 +Nội thất bàn giao: full nội thất liền tường +Chiết khấu lên tới 11,5% GTCH +Quà tặng kèm lên tới 6 chỉ vàng +Miễn phí dịch vụ 2 năm +Wifi miễn phí trọn đời +Cuối năm nhận nhà ở ngay Để biết thêm thông tin chi tiết Liên Hệ Ngay : 0376.79.2***
",Căn hộ,,, 28/09/2023,26/10/2023,Bán,2542978,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,
"
Bán nhà mặt phố Dương Văn Bé, quận Hai Bà Trưng - Hà Nội, diện tích 131m2 nhà 2 tầng, giá 29.5 tỷ
","
29,5
Tỷ ","
131
m2
","['Hà Nội', 'Quận Hai Bà Trưng', 'Mua bán Nhà mặt phố tại Đường Dương Văn Bé']","
Bán nhà mặt phố Dương Văn Bé, Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội. Diện tích 131m2 nhà 2 tầng cũ, mặt tiền 5.8m, khu phố mới kinh doanh sầm uất, đường rộng 24m, hè 3m, vị trí đẹp nhất phố, tiện kinh doanh, xây tòa nhà vp, ngân hàng…,sđcc. Giá bán: 29.5 tỷ.#bannhaquanhaibatrung #nhamatphoduongvanbequanhaibatrunghanoi 
",Nhà mặt phố,2,2, 28/09/2023,26/10/2023,Bán,1496501,,,,,,,Sổ đỏ,Tây-Bắc,,24m,"5,7m",,,,,,,,
"
Bán nhà 8/3 - Thiết kế hiện đại tối ưu - 20m2 - 1.38 tỷ
","
1,38
Tỷ ","
20
m2
","['Hà Nội', 'Quận Hai Bà Trưng', 'Mua bán Nhà riêng tại Phường Quỳnh Mai']","
Bán nhà 8/3 - Thiết kế hiện đại tối ưu - 20m2 - 1.38 tỷ_ Thuộc khu tập thể có sân rộng rãi, đón nắng và gió rất thoải mái dễ chịu. Khu vực an ninh tốt, hàng xóm thân thiện_Nhà thiết kế hiện đại, tối ưu toàn bộ công năng đầy đủ các phòng. Phòng ngủ rộng rãi tiện nghi. Ban công, cửa sổ nhìn thẳng ra toàn bộ khu tập thể, rất phù hợp để ngắm cảnh thư giãn. Nhà được chủ giữ gìn cẩn thận, sạch sẽ như mới_Đi vài bước là ra chính giữa chợ 8/3, hàng quán tiện ích khắp nơi, thích gì có đó. Từ phố 8/3 có thể thuận tiện di chuyển đến phố Kim Ngưu, Thanh Nhàn và các bệnh viện Thanh Nhàn và Trường Đại học lớn Bách Khoa, Kinh tế Quốc dân_Liên hệ Quốc Anh chuyên BDS thổ cư Hà Nội tại 0813739*** (di động hoặc Zalo) để được tư vấn và xem nhà
",Nhà riêng,,, 28/09/2023,26/10/2023,Bán,2542639,,,,,,,,,,,,,,,,,,,
"
Chính thức nhận Booking Dự án Solasta Mansion - KHU B Dương Nội
","
Thỏa thuận
","
170 - 267
m2
","['liền kề  Khu đô thị mới Dương Nội', 'Mua bán Nhà biệt thự']","
Siêu phẩm tại cửa ngõ phía Tây Hà NộiVị trí tâm điểm 2 siêu vành đai Thủ đôPháp lý minh bạch - nơi trú ẩn an toàn của dòng tiềnSổ đỏ lâu dài, an tâm sở hữuKĐT đầu tiên được vận hành bởi đơn vị Quốc tế CBRE trong chuỗi sản phẩm của KĐT mới Dương NộiKĐT Semi Compound đầu tiên tại phía Tây Hà Nội--------------------------------Chiết khấu lên tới 6%Hỗ trợ lãi suất vay NH 0% tới 23 thángBốc thăm trúng thưởng Mercedes GLC 300 trị giá 3,5 tỷ5 Tour du lịch Mỹ và Singapore--------------------------------Liên hệ em Hiệp: 0376341***
","Nhà biệt thự, liền kề",,, 28/09/2023,26/10/2023,Bán,2542588,,,,,,,Sổ đỏ,Đông-Nam,,,,,,,,,,,
"
2 tỷ - 80m2 đất Full thổ cư Kim Âu - Cạnh KĐT Đặng Xá- Gia lâm
","
Thỏa thuận
","
80
m2
","['Hà Nội', 'Huyện Gia Lâm', 'Mua bán Đất tại Đường Kim Âu']","
80m² Full thổ cư đất Kim Âu - Đặng xá nằm ở khu trung tâm cạnh Khu đô thị Đặng dân cư Sầm Uất. Giá cắt lỗ chỉ chỉ 2 tỷ rất phù hợp ở và đầu tư!- DT: 80m².- Mặt tiền: 5m.- Hướng Tây Nam.- Giá bán: 2 tỷ bao sang tên.- Đường trước đất rộng 2.2m cách 10m ra đường oto đỗ ngày đêm.- Đất nằm trong khu dân cư sầm uất, dân cư văn minh, thân thiện, cách 200m là chợ thương mại đang xây dựng, trường học C1, C2 Cao Bá Quát, Đặng Xá... Công Viên, siêu thị...- Sổ đỏ chính chủ, cam kết không tranh chấp, quy hoạch.- Bác nào quan tâm mua ở hoặc đầu tư alo em Thắng 0977 818 ***#nhà đất Gia Lâm#nhà đất long biên
",Đất,,, 28/09/2023,26/10/2023,Bán,2542576,,,,,,,Sổ đỏ,Tây-Nam,,,,,,,,,,,
"
Em chính chủ bán căn hộ chung cư tại CC The Legend 2PN 73m2 tại 109 Nguyễn Tuân
","
4,35
Tỷ ","
73
m2
","['Hà Nội', 'Quận Thanh Xuân', 'Mua bán Căn hộ chung cư tại Đường Nguyễn Tuân']","
1. Thông tin căn hộ thuộc chung cư The Legend.- Căn hộ 2 phòng ngủ 73m², phòng khách, bếp nấu đều thoáng khí, ánh sáng tự nhiên vào nhà. Chung cư có cung cấp khí tươi cho căn hộ.- Trạng thái căn hộ: Nhà đã có đủ nội thất do Chủ nhà ở từ khi nhận bàn giao nên được lựa chọn kỹ lưỡng, còn mới, có thể ở luôn hoặc thiết kế thêm theo nhu cầu sử dụng của gia đình.2. Pháp lý và tài chính.- Nhà đã có sổ hồng chính chủ, sang tên nhanh gọn, dễ dàng.3. Giá bán: 4,35 tỷ.Có thương lượng với khách thiện chí xem và mua nhà.
",Căn hộ,,, 28/09/2023,26/10/2023,Bán,2542582,,,,,,,Sổ đỏ,Tây-Nam,,,,,,,,,,,
"
#lêtrọngtấn #7tầng #thangmáy 30m ra #mặtphố giá 7.3 tỷ có thương lượng lh: 0948358***
","
7,3
Tỷ ","
38
m2
","['Hà Nội', 'Quận Thanh Xuân', 'Mua bán Nhà riêng tại Đường Lê Trọng Tấn']","
#LÊTRỌNGTẤN #7TẦNG #THANGMÁY 30M RA #MẶTPHỐ GIÁ 7.3 TỶ CÓ THƯƠNG LƯỢNG LH: 
Vị trí đẹp, ngõ thẳng tắp, Khu #phânlô #quâ đội, #dântrí cao, #an ninh đảm bảo.
#Nhà mới xây 7 tầng #thangmáy, #thiếtkế #thông sàn.
#Sổ đẹp không tỳ vết.
LH xem nhà: #HoàngNgà - # (zalo – call)#NhàNgãTưSở, #NhàĐốngĐa #NhàTâySơn, #NhàThanhXuân, #LêTrọngTấn, #VươngThừaVũ, #NguyễnTrãi
",Nhà riêng,4,6, 28/09/2023,26/10/2023,Bán,2542462,,,,,,,Sổ đỏ,,,,,,,,,,,,
"
Quỹ căn Duplex, Penthouse view hồ điều hòa chung cư Khai Sơn City, mua trực tiếp chủ đầu tư
","
7,8 - 13
Tỷ ","
148 - 271
m2
",['Mua bán Căn hộ chung cư  Khai Sơn Town'],"
Liên hệ ngay em Mạnh - phòng kinh doanh chủ đầu tư để lựa chọn được những căn hộ đẹp nhất, giá tốt nhất. Hotline:  (Mr. Mạnh)* Tổng quan dự án.CĐT: Công ty Cổ phần Khai Sơn.Ra hàng 3 tòa chung cư K1 - K2 - K3, mỗi tòa 21 tầng.Tổng 545 sản phẩm bao gồm:- 457 Căn hộ 2PN - 3PN diện tích: 77m2 - 90m2 - 97m2(căn góc) - 102m2 - 120m2(căn góc).- 26 Duplex Penthouse diện tích: 148m2 - 179m2 - 240m2(căn góc) - 243m2(căn góc) - 272m2.- 16 Gian thương mại thông tầng (Tầng 1,2).- 46 Gian thương mại thường Officetel (Tầng 3).* Chính sách bán hàng hot nhất.Chiết khấu Early Bird chiết khấu 1,5% cho 60 khách hàng đầu tiên.Tặng suất mua để ô tô cho 60 khách hàng đầu tiên.Hỗ trợ vay lên tới 65% GTCH - LS 0% trong 24 tháng (dành cho 60 căn hộ đầu tiên ký HĐMB).CK 5% khi TTS 70% - CK 8% khi TTS 95%.CK 1,5% khi TT bằng vốn tự có.Thông tin chi tiết vui lòng liên hệ: 
",Căn hộ,,, 03/08/2023,23/11/2023,Bán,1877297,1.0,1.0,1.0,1.0,1.0,1.0,Sổ hồng,Đông-Nam,1.0,,,1.0,,,,,,,
"
Bán nhà mặt đường 3 tầng, trung tâm đồ sơn, gần khu du lịch quóc tế đồi rồng giá 11.90 Tỷ
","
11,9
Tỷ ","
100
m2
","['Hà Nội', 'Mua bán Nhà mặt phố tại Quận Hoàn Kiếm']","
Nhà 3 tầng, diện tích 100 mét vuông  , mặt tiền 13 mét, hướng tây, đường 8 mét, vỉa hè 5 mét, điện cao áp, hạ tầng đầy đủNgay trung tâm, gần chợ, tiện kinh doanh buôn bán mọi ngành nghềCạnh sân vận động, công viên, sạch sẽ , thoáng mát, an ninh tốt, dân trí caoGần khu du lịch, gần biểnSổ đỏ chính chủGiá 11,9 tỷLiên hệ số đt. 086 5479 ***
",Nhà mặt phố,,, 28/09/2023,26/10/2023,Bán,2542069,,,,,,,Sổ đỏ,Tây,,,,,,,,,,,
"
Bán đất đẹp 2 mặt tiền , trung tâm đồ sơn, gần khu du lịch quốc tế đồi rồng giá 3.20 Tỷ
","
3,2
Tỷ ","
140
m2
","['Hà Nội', 'Mua bán Đất tại Quận Hoàn Kiếm']","
Diện tích 140 mét vuông, 2 mặt tiền, đường rộng 8 mét, vỉa hè 3 mét, điện cao áp, hạ tầng đầy đủ, Ngay trung tâm, gần mọi tiện ích, gần khu du lịch quốc tế đồi rồng . Tiềm năng cực lớn.Sạch sẽ, thoáng mát, sơn thủy hữu tìnhSổ hồng chính chủ. Giá 3,2 tỷLiên hệ số đt. 086 5479 ***
",Đất,,, 28/09/2023,26/10/2023,Bán,2542067,,,,,,,Sổ hồng,,,,,,,,,,,,
"
Chính chủ bán suất chung cư IA20 Ciputra 92m2 giá 2.870tỷ
","
Thỏa thuận
","
92
m2
",['Mua bán Căn hộ chung cư  IA20 Ciputra'],"
Chung cư IA20 Ciputra giá 16.8tr - 18,5tr + chênh thấpĐể đảm bảo quyền lợi khi mua căn hộ - xin vui lòng liên hệ trực tiếp quản lý dự án để chọn căn - tầng.- Mr. Thanh: Hiện tôi đang có mấy suất ngoại giao chung cư IA20 Ciputra nhà ở của thành phố Hà Nội dành cho cán bộ cấp cao. Dự án nằm trong quần thể KĐT Ciputra tiếp giáp với hai trục đường huyết mạch chính là Phạm Văn Đồng - Võ Chí Công. Chung cư IA20 Ciputra KĐT Nam Thăng Long được thừa hưởng toàn bộ tiện ích cao cấp đã tích hợp sẵn của KĐT Ciputra, là một phức hợp tòa nhà căn hộ cao cấp trong quần thể Ciputra. Dự án gồm có 02 tòa chung cư cao 29 tầng - 01 tòa cao 40 tầng và biệt thự - liền kề. Khu vực dân trí cao, an ninh đảm bảo 24/24, gần và tích hợp đầy đủ các tiện ích cao cấp, giao thông hết sức thuận tiện, không gian sống đẳng cấp và cảnh quan mang đến hơi thở trong lành.- Diện tích căn hộ: 92m2 - 95m2 - 98m2 - 100m2 - 107m2 - 110m2 - 112m2.- Giá gốc: 16.8tr/m2 – 18,5tr/m2 ( Chưa bao gồm thuế VAT) + chenh- Vào tên Hợp đồng chính chủ. - Liên hệ trực tiếp: Mr. Thanh- Tiến độ thanh toán:  - Đóng 30%, 70% hỗ trợ vay Bank lên 20 năm.II. Thông tin dự án:- Tên dự án: Cụm công trình nhà ở khu I. A20 khu đô thị Nam Thăng Long.- Vị trí: Lô đất I. A20 Khu Đô Thị Nam Thăng Long, Phường Đông Ngạc, Q. Bắc Từ Liêm, TP. Hà Nội (Ciputra - Hà Nội).- Chủ đầu tư: Công Ty CPĐT BĐS Đông Đô - Bộ Quốc Phòng.- Đơn vị thi công: Tập đoàn Vingroup & Tổng công ty đầu tư phát triển hạ tầng đô thị - UDIC.- Đơn vị thiết kế: Công Ty Cổ Phần Kiến Trúc Tây Hồ.- Quy mô khu đất rộng 30.091m2, trong đó:+ Khu cao tầng: 18.329m2, gồm 3 tòa chung cư cao tầng 29-40 tầng.+ Sân vườn: 7.214m2.+ Bãi đỗ xe ngoài trời: 1.020m2.+ Cây Xanh + Sân Chơi: 2.481m2.+ Khu thấp tầng: 5.356m2.+ Giao thông nội bộ: 3.825m2.- Mật độ xây dựng:+ Khu cao tầng: 54,5% đối với khối đế và 35,5% đối với phần thân.+ Khu thấp tầng: 77,6%.III. Vị trí dự án:- Chung cư IA20 Ciputra nằm về phía Tây Bắc Hà Nội, toạ lạc trên đường Phạm Văn Đồng - quận Bắc Từ Liêm và Võ Chí Công quận Tây Hồ - Hà Nội. Phía ông giáp đường Võ Chí Công - vành đai 2, bao quanh bởi sông Hồng và Hồ Tây.- Dự án chung cư I. A20 Ciputra được xây dựng với mục đích chính là đáp ứng nhu cầu nhà ở cho cán bộ cấp cao thuộc các ban ngành như: Văn Phòng Quốc Hội, Văn Phòng Chính Phủ, Văn Phòng Trung Ương Đảng,... Vậy nên, nếu so sánh với các dự án thương mại cùng khu vực, trong quần thể khu đô thị Ciputra, thì giá bán căn hộ tại chung cư I. A20 đang là thấp nhất, cạnh tranh nhất. Đây chính là cơ hội sở hữu/đầu tư căn hộ trong quần thể khu đô thị đẳng cấp bậc nhất thủ đô Hà Nội.- Quản lý dự án: Mr. Thanh:
",Căn hộ,,, 28/09/2023,26/10/2023,Bán,1490907,,,,,,,Sổ hồng,Tây-Bắc,,,,,,,,,,,
"
Mặt phố Vũ Tông Phan, Thanh Xuân, 150m2, 9 tầng, giá 66 tỷ, mặt tiền 8.3m, cho thuê 200 triệu/tháng
","
66
Tỷ ","
150
m2
","['Hà Nội', 'Quận Thanh Xuân', 'Mua bán Nhà mặt phố tại Phố Vũ Tông Phan']","
+ Bán nhà mặt phố Vũ Tông Phan, quận Thanh Xuân, con phố luôn nhộn nhịp và tấp nập người qua lại, là tuyến phố dài chạy dọc theo bờ sông Tô Lịch, song song với trục đường Kim Giang, Khương Đình, Thượng Đình, vị trí gần Ngã Tư Sở. + Nhà xây mới được thiết kế 9 tầng, thông sàn, với tầng hầm rộng rãi có thể để được 2 xe ô tô và 50 xe máy, vỉa hè 2 bên, ô tô dừng đỗ ngày đêm, trang thiết bị hiện đại, hồ sơ pccc đầy đủ, phù hợp kinh doanh mọi loại hình: Văn phòng Công ty, Showroom, Phòng Khám Đa Khoa, Karaoke, Nhà hàng, Khách Sạn,... + Diện tích: 150 m2, xây 9 tầng. + Mặt tiền: 8.3m. + Giá bán: 66 tỷ (có thương lượng). + Sổ đỏ nở hậu 10cm, pháp lý rõ ràng, sẵn sàng giao dịch. + Liên hệ Mr Dần ( Chuyên nhà mặt phố Hà Nội ) để biết thêm thông tin. + Tư vấn, xem nhà MIỄN PHÍ.
",Nhà mặt phố,4,9, 27/09/2023,25/10/2023,Bán,1723874,1.0,1.0,1.0,1.0,1.0,1.0,Sổ hồng,,1.0,20m,"8,3m",1.0,Có,1.0,1.0,1.0,1.0,1.0,1.0
