Title,Price,Area,Address,Gen_descrip,Loại hình,Tình trạng pháp lý,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Hướng nhà,Số phòng ngủ,Đường vào,Mặt tiền,Chiều sâu
"
Cần BÁN Nhà ĐẸP Đường Nguyễn Trãi - Q. Thanh Xuân, 40m2, 5 Tầng, MT 4,5m, GIÁ 4 Tỷ 788 Triệu
","
4,79
Tỷ ","
40
m2
","['Hà Nội', 'Quận Thanh Xuân', 'Mua bán Nhà riêng tại Đường Nguyễn Trãi']","
CẦN BÁN NHÀ ĐẸP TRONG NGÕ 262B ĐƯỜNG NGUYỄN TRÃI - Q. THANH XUÂN, 40M2, 5 TẦNG, GIÁ 4 TỶ 788 TRIỆU - Diện tích: 40m2, mặt tiền 4,5m, nhà tầng 5 tầng xây dựng chắc chăn, tâm huyết, an sinh tốt.+ Gần nhiều trường Đại học - Bệnh viện lớn, trường học các cấp, gần Ngã Tư Sở - Nguyễn Trãi - Trường Chinh, Gần Ngã tư đường Nguyễn Trãi - Khuất Duy Tiến - Nguyễn Xiển, giao thông thuận tiện các ngả, tiện ích quanh khu đầy đủ,+ Đường ngõ của khu mới làm lại, đổ nhựa sạch sẽ, di chuyển thông thoáng các ngả rất thuận lợi.+ Căn nhà thiết kế 5 tầng xây dựng: phòng ngủ + phòng tâm linh + bếp + sân phơi, WC công năng đầy đủ... + Sổ đỏ chính chủ, nở hậu.- Giá: 4 tỷ 788 triệu (có thương lượng tốt, chủ thiện chí bán). Quý cô/chú/anh/chị quan tâm vui lòng liên hệ: 094l. 66. 8ll8 (hỗ trợ 24/7).
",Nhà riêng,Sổ đỏ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 26/09/2023,24/10/2023,Bán,2540029,,,,,
"
Ngoại giao CĐT chung cư Khai Sơn City, 30% nhận nhà, chiết khấu lên tới 1,3 tỷ LH 0973 6688***
","
2,9
Tỷ ","
79
m2
",['Mua bán Căn hộ chung cư  Khai Sơn Hill'],"
Chung cư cao cấp Khai Sơn City - Long Biên. Bùng nổ giao dịch tháng ngâu.- Chính sách ưu đãi chưa từng có của CĐT dành cho khách hàng:+ Chiết khấu lên đến 16,5%.+ Tặng gói quà tân giá: 350 Triệu (Áp dụng cho 3 Khách Hàng cuối cùng trong tháng ngâu).+ Hỗ trợ lãi suất 0%/18 Tháng.+ Miễn Phí dịch vụ 1 năm.Liên hệ nhận ưu đãi ngay.! Hotline: 0973668***+ Diện tich căn hộ từ 77,5m2 - 119,7m2. Thiết kế 2 - 3PN.+ Căn hộ Penhouse + Duplex: 197m2 - 230m2.Đăng ký tham quan căn hộ mẫu và nhận chính sách tốt nhất từ chủ đầu tư.Hotline TPKD: Mr.Dương 0973668***Dự án: Khai Sơn City
",Căn hộ,Sổ đỏ,,,,,,,,,,,,,,, 26/09/2023,24/10/2023,Bán,2539933,Đông-Nam,,,,
"
Trực tiếp CĐT Khai Sơn City - Duy Nhất 3 Suất Cuối Cùng Ck 16,5% + Gói Tân Gia 350 Triệu.
","
2,9
Tỷ ","
79
m2
",['Mua bán Căn hộ chung cư  Khai Sơn Town'],"
Trực tiếp CĐT Khai Sơn City - Duy Nhất 3 Suất Cuối Cùng Ck 16,5% + Gói Tân Gia 350 Triệu. Chỉ 10% Ký HĐMB  TPKD Mr.Dương 0973668***Chung cư cao cấp Khai Sơn City - Long Biên. Bùng nổ giao dịch tháng ngâu.- Chính sách ưu đãi chưa từng có của CĐT dành cho khách hàng:+ Chiết khấu lên đến 16,5%.+ Tặng gói quà tân giá: 350 Triệu (Áp dụng cho 3 Khách Hàng cuối cùng trong tháng ngâu).+ Hỗ trợ lãi suất 0%/18 Tháng.+ Miễn Phí dịch vụ 1 năm.Liên hệ nhận ưu đãi ngay.! Hotline: 0973668***+ Diện tich căn hộ từ 77,5m2 - 119,7m2. Thiết kế 2 - 3PN.+ Căn hộ Penhouse + Duplex: 197m2 - 230m2.Đăng ký tham quan căn hộ mẫu và nhận chính sách tốt nhất từ chủ đầu tư.Hotline TPKD: Mr.Dương 0973668***Dự án: Khai Sơn City
",Căn hộ,Sổ đỏ,,,,,,,,,,,,,,, 26/09/2023,24/10/2023,Bán,2539931,Đông-Nam,,,,
"
Bán nhà trương định dt khủng 47m 5t ô tô. chỉ hơn 3 tỷ
","
3,9
Tỷ ","
47
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Mua bán Nhà riêng tại Đường Trương Định']","
BÁN NHÀ TRƯƠNG ĐỊNH DT khủng 47m 5T Ô tô. chỉ hơn 3 Tỷ. LH - Khu Vực trung tâm 3 phút lên Bạch Mai, 9 phút lên bờ Hồ. Nhà Chủ xây 4 tầng, thiết kế tầng 2 Ngủ rộng + WC. Tổng 4 ngủ rộng. Thừa công năng.- Phố Trương Định thông Nguyễn Đức Cảnh, Hoàng Mai, Tân Mai, Lương Khánh Thiện, thông Hoàng Mai, Nguyễn Đức Cảnh, Đền Lừ, Trương Định, Tân Mai ...- Giá: 3.9 Tỷ (Có TL)- Sổ vuông pháp lý chuẩn, chỉnh.CAM KẾT TT CHUẨN. XEM NHÀ MIỄN PHÍ - LÀM VIỆC CHÍNH CHỦ.- LH Hiền:313 9980
",Nhà riêng,Sổ đỏ,,,,,,,,,,,,,,, 26/09/2023,24/10/2023,Bán,2539648,,4,,,
"
Nhà phố trung tâm Bạch Mai. Thiết kế 2PN thoáng, gần trường chợ, an ninh tốt
","
2,25
Tỷ ","
18
m2
","['Hà Nội', 'Quận Hai Bà Trưng', 'Mua bán Nhà riêng tại Phường Bạch Mai']","
NHÀ PHỐ TRUNG TÂM BẠCH MAI - NHÀ MỚI - GẦN Ô TÔ - NGÕ THÔNG⚡️Thông số:Diện tích: 15/18m2Giá: 2,25 tỷMô tả:+ Vị trí nhà rất đẹp gần ô tô, gần phố, gần chợ. Đi lại giao thông thuận tiện.+ Thiết kế:- Tầng 1: phòng bếp + chỗ để xe + WC- Tầng 2: phòng khách- Tầng 3,4: phòng ngủ khép kín.
",Nhà riêng,,,,,,,,,,,,,,,, 26/09/2023,24/10/2023,Bán,2539550,,,,,
"
Bán nhà Cầu Giấy. CCMN mặt ngõ Trần Duy Hưng. Ngõ thông, rộng. 51m2 x5T. Giá 8.5 tỷ
","
8,5
Tỷ ","
51
m2
","['Hà Nội', 'Quận Cầu Giấy', 'Mua bán Nhà mặt phố tại Đường Trần Duy Hưng']","
Chính chủ bán căn nhà đang làm CCMN nằm ngay mặt ngõ Trần Duy Hưng. Trung tâm Cầu Giấy.Dòng tiền đang ổn định 30tr/tháng với 10P cho thuê.- Diện tích: 51m² x 5 tầng.* Tầng 1: Nhà để xe, phòng bếp, phòng khách.* Tầng 2,3,4,5: Tổng 10P.- Mặt tiền 4m: Có lối xe máy đi vào để xe riêng nên chủ nhà mới có thể setup lại tầng 1 kinh doanh ngon lành.- Mặt ngõ rộng 3m. Những nhà xung quanh đều mở của hàng kinh doanh.Ngõ thông, mặt tiền rộng. 100m ra mặt phố Trần Duy Hưng.Sổ vuông chờ giao dịch.Giá: 8.5 tỷ (có thương lượng).Liên hệ Ms. Thu: 0986.629.***
",Nhà mặt phố,Sổ hồng,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 26/09/2023,24/10/2023,Bán,2539515,,,,,
"
Bán nhà Cầu Giấy, Yên Hòa, 25/28m2, 5 tầng, 3 PN, giá hơn 3 tỷ, nhà đẹp ở luôn
","
3,35
Tỷ ","
28
m2
","['Hà Nội', 'Quận Cầu Giấy', 'Mua bán Nhà riêng tại Đường Yên Hòa']","
NHÀ ĐẸP FULL NỘI THẤT SANG SỊN GẦN PHỐ. Nhà trong ngõ 42 phố Yên Hòa, diện tích 25/28m2, 5 tầng, mặt tiền 4m, giá 3.35 tỷ. Nhà cách mặt phố Yên HÒA chỉ 100m. Ngõ thoáng. Vị trí cực đẹp, gần Nguyễn Khang , đường Yên Hoà , tiện ích ngập tràn, giao thông thuận tiện. Thiết kế: - Tầng 1: Khách , bếp, wc - Tầng 2,3,4: mỗi tầng 1 ngủ khép kín. - Tầng 5: phòng thờ, sân phơi Sổ đỏ chính chủ 25m2. Nhà đẹp ở luôn. Ảnh thật 100%. Miễn trung gian.
",Nhà riêng,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 26/09/2023,24/10/2023,Bán,2539512,,,,,
"
Chủ nhà cần bán gấp Thăng Long Number One căn siêu VIP 3PN 109m2 Giá nhỉnh 4 TỶ RẺ nhất thị trường!
","
4,5
Tỷ ","
109
m2
",['Mua bán Căn hộ chung cư  Thăng Long Number One'],"
Chủ nhà cần bán gấp Thăng Long Number One căn siêu VIP 3PN 109m2 Giá nhỉnh 4 TỶ RẺ nhất thị trường!Mình cần bán gấp chung cư Thăng Long Number One căn 3PN siêu VIP 109M2 Giá Rẻ nhất thị trường!- Thiết kế 109m2. 1PK + 1 Bếp + 3PN + 2WC- Nội thất: FULL NỘI THẤT CAO CẤP KHÁCH CHỈ CẦN XÁCH VALI TỚI Ở.- hướng view siêu đẹp.- Ban công cực rộng thoáng mát, View đẹp.Giá mong muốn 4,5x tỷ--------------------------Liên hệ Đức Giang 0922630*** 
",Căn hộ,,,,,,,,,,,,,,,, 26/09/2023,24/10/2023,Bán,2539510,,,,,
"
Chủ nhà chuyển lên căn 4PN góc cần bán gấp căn 3PN góc giá tốt nhất dự án Vinhomes Gardenia
","
6,1
Tỷ ","
106
m2
",['Mua bán Căn hộ chung cư  Khu đô thị Vinhomes Gardenia'],"
Chủ nhà chuyển lên căn 4PN góc cần bán gấp căn 3PN góc giá tốt nhất dự án Vinhomes GardeniaMình cần bán gấp Căn 3PN+1 Vinhomes Gardenia Hàm Nghi- Thiết kế: 3PN + 1 Phòng làm việc +2WC- Diện tích: 106m2- Nội thất: full nội thất chỉ cần xách vali vào ở luôn.- Tầng trung yên tĩnh thoáng mát- Ban công Đông Nam cực thoáng mát, View bể bơi cực đẹpGiá mong muốn 6,x Tỷ (x tiểu học thôi ạ)- - - - - - - - - - - - - - - - - - - - - - - - - -Liên hệ Đức Giang 0922 630 ***
",Căn hộ,,,,,,,,,,,,,,,, 26/09/2023,24/10/2023,Bán,2539483,,,,,
"
Hiếm: Bán tòa nhà mặt phố Nguyễn Văn Huyên - 8 tầng thang máy - vỉa hè 8m - giá tốt
","
Thỏa thuận
","
50 - 70
m2
","['Hà Nội', 'Quận Cầu Giấy', 'Mua bán Nhà mặt phố tại Đường Nguyễn Văn Huyên']","
+ Nhà mặt phố vip nhất quận.+ Vị trí không thể đẹp hơn.+ Mặt tiền thênh thang, vỉa hè rộng, kinh doanh gì cũng được.+ Thiết 8 tầng thang máy, thông sàn kinh doanh.+ Sổ vuông, pháp lý chuẩn.+ Liên hệ: Em Trường - vua mặt phố để xem nhà và gặp trực tiếp chủ đàm phán giá tốt.+ Kết bạn zalo theo số điện thoại để trao đổi thông tin các căn nhà mặt phố - tòa nhà văn phòng - nhà dòng tiền triệu đô khắp Hà Nội.
",Nhà mặt phố,Sổ đỏ,,,,,,,,,,,,,,, 26/09/2023,24/10/2023,Bán,2539416,,,,,
