Title,Price,Area,Address,Gen_descrip,Loại hình,Tình trạng pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Hướng nhà,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách,Đã bao gồm thuế?,Chính chủ hay không?,Mặt tiền,Hướng ban công,Số tầng,Căn góc,Sofa phòng khách,Bàn trà,Đệm,Trần thả,Số phòng ngủ,Nội thất
"
Bán đất Giá Hơn 1 Tỉ - Dtich 110m2 Tặng Nhà Cấp 4 Mới Xây - Quận Nam Từ Liêm - Hà Nội
","
Thỏa thuận
","
110
m2
","['Hà Nội', 'Quận Nam Từ Liêm', 'Mua bán Đất tại Đường Cầu Diễn']","
- Chỉ nhỉnh 1 tỉ sở hữu lô đất 120m2 sẵn nhà cấp 4 mới xây ở Phú Diễn - Nam Từ Liêm.- Nằm gần UBND phường Phú Diễn. Xung quanh chợ, quán xá sầm uất.- Thích hợp cho các hộ gdinh là công nhân ngoài tỉnh ở và lập nghiệp.-- Giá rẻ bất ngờ cho quý a chị. liên hệ e ngay vì giá bán nhanh trong tuần.
",Đất,Giấy tờ hợp lệ, 26/09/2023,24/10/2023,Bán,2340896,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
CĐT Giảm 500tr Căn 3pn+ 127m2 Tecco Garden Siêu Rẻ. HTLS 0% 18 Tháng Giá Chỉ 25tr/m
","
3
Tỷ ","
127
m2
","['Hà Nội', 'Huyện Thanh Trì', 'Mua bán Căn hộ chung cư tại Đường Quang Lai']","
* Khi Khách Hàng đặt mua căn hộ trong tháng này sẽ được tặng gói nội thất trị giá 150 triệu, không lấy nội thất được trừ vào giá bán căn hộ. Chiết khấu thanh toán sớm 9% lên tới 350tr đồng* Tặng thêm phí gửi ô tô trong năm đầu hoặc quà tặng tương đương cho 10 khách hàng đầu tiên đặt chỗ trong tuần.----------------------------------* 5 lý do để lựa chọn mua ngay Tecco Garden:1/ Giá bán căn hộ tốt nhất tại khu vực phía Nam đã có sổ đỏ.2/ Chính sách mua lại căn hộ chưa từng có trong giao dịch mua bán BĐS. Cam kết mua lại Căn hộ bằng 100% giá trị hợp đồng mua bán căn hộ trong vòng 18 tháng kể từ ngày Khách Hàng ký hợp đồng mua bán.3/ Chính sách chiết khấu và thanh toán siêu tốt:+ Thanh toán sớm 100% CK 9% giá trị căn hộ.+ Thanh toán theo hình thức vay NH: Hỗ trợ vay 60% GTCH, miễn LS 0% và ân hạn gốc trong 18 tháng. Vay tối đa trong 20 năm.4. Tiện ích hiện đại, nhiều không gian xanh.- Hiếm có dự án nào tại Hà Nội có được không gian xanh mát như tại Tecco Garden phần lớn dành cho cây xanh cực nhiều cây si, cây đa, cực nhiều cây ăn trái như Gioi, Xoài, Đào được Chủ Đầu Tư trồng và chăm chút rất kỹ càng, quần thể khu vui chơi giải trí tích hợp sân thể thao.- Tecco Garden là chung cư hiếm hoi có mật độ căn hộ thấp, chỉ 8 căn/sàn cùng với hệ thống 4 thang máy hiện đại và hành lang rộng 3,5m đem lại không gian sống, sinh hoạt chung thoáng rộng.- Tiện ích nội ngoại khu đa dạng và chất lượng cao đảm bảo thỏa mãn mọi nhu cầu sống của tất cả các thế hệ thành viên trong gia đình.- Hệ thống phòng tập gym, spa cao cấp, ngân hàng, trung tâm vui chơi trẻ em, nhà hàng, siêu thị, trường học... Đã đi vào hoạt động.5/ Thiết kế ưu việt.- Tất cả các phòng ngủ đều có cửa sổ ánh sáng trực tiếp không cần qua lô gia, đều có 2 mặt thoáng, 2 logia rộng.- Căn hộ duy nhất 3PN + 1 thiết kế 3 phòng Vệ Sinh Riêng.- Phòng bếp riêng biệt: Thiết kế chuẩn theo phong thủy, tạo không gian sống sang trọng tiện nghi.- Thích hợp cho các gia đình muốn tìm chốn an cư lâu dài.
",Căn hộ,Sổ hồng, 26/09/2023,24/10/2023,Bán,2539149,Đông-Nam,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Bán Căn Hộ CT10A Đại Thanh, Thanh Trì, 60m2, giá: 1.5 tỷ, lô góc, 2 ngủ, 2 vệ sinh, đã có sổ
","
1,5
Tỷ ","
60
m2
","['Hà Nội', 'Huyện Thanh Trì', 'Mua bán Căn hộ chung cư tại Đường Phan Trọng Tuệ']","
Do chuyển công tác, gia đình tôi cần bán căn hộ Chung cư Kđt Đại Thanh, toà CT10ACăn hộ lô góc, ban công hướng Đông Nam vô cùng thoáng mát, gia đình tôi đã ở 8 năm, diện tích 60m2, đã có sổ hồng, có 2 phòng ngủ, 2 nhà vệ sinh, nội thất cơ bản gồm sàn gỗ, điều hoà 2 chiếc, tủ bếp mới, trạn bát, bếp Gas, hút mùi, bình nóng lạnh, các bác mua về chỉ việc ở luôn.Giá bán: 1.5 tỷLiên hệ chính chủ: 0979.26.9***
",Căn hộ,Sổ hồng, 26/09/2023,24/10/2023,Bán,2539085,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
"
Bán nhà biệt thự, liền kề Dự án Sông Đà 7, phường Xuân Phương, quận Nam Từ Liêm - Hà Nội
","
Thỏa thuận
","
88 - 128
m2
","['liền kề  Khu đô thị sinh thái Xuân Phương Tasco', 'Mua bán Nhà biệt thự']","
Chủ đầu tư Sông Đà 7 mở bán 41 lô liền kề tại Foresa Xuân Phương, Nam Từ Liêm, Hà NộiDiện tích: 88,5m2, 90m2, 99m2; 100m2, 206m2Vị trí: Gần đường 70, trên trục đường Foresa 2 (40m) với 6 làn xe, mặt tiền rộng 5m; 6,3m, vỉa hè 3mNhà xây thô hòan thiện mặt ngoài, 5 tầng, vị trí rất đẹp để ở và kinh doanh 
","Nhà biệt thự, liền kề",, 26/09/2023,24/10/2023,Bán,1951921,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Biệt thự Mặt phố Âu Cơ – Lô Góc Ô Tô tránh – View Hồ 127m2, mặt tiền 7,4m. Giá 29 tỷ
","
29
Tỷ ","
127
m2
","['Hà Nội', 'Quận Tây Hồ', 'Mua bán Nhà mặt phố tại Đường Âu Cơ']","
- Biệt thự Lô Góc mặt phố Âu Cơ – View Hồ Tây 127m2, 3 tầng. - Ô Tô Tránh, Mặt tiền cực đẹp 7,4m. Thiết kế căn hộ hay tòa văn phòng view Hồ Tây mát lộng.- Vị trí đẹp giao Xuân Diệu, Từ Hoa…. Giao thông thuận tiện Gần cầu Nhật Tân, 20p sân bay nội bài- Trung tâm các tuyến đường : Đường Thanh Niên, lăng Bác Hồ, Hồ Trúc Bạch, Hồ Gươm, các cơ quan hành chính cấp cao. - Tiện ích xung quanh đầy đủ, sinh sống nơi đây rất thuận tiện mọi thứ. - Nhà thiết kế Biệt Thự 3 tầng: có sân vườn, Ô Tô, ban công tiểu cảnh. Tổng 4 ngủ. - Nhà có khe thoáng hậu và hông nhà. - Sổ đỏ chính chủ.  
",Nhà mặt phố,Sổ đỏ, 26/09/2023,24/10/2023,Bán,2539101,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Mới! Căn 108m2 phòng ngủ như khách sạn của Hoàng Thành Pearl giá chỉ 5,2 tỷ. Liên hệ: 0973038***
","
5,2
Tỷ ","
108
m2
",['Mua bán Căn hộ chung cư  Hoàng Thành Pearl'],"
- Căn hộ hiếm hoi ở Hà Nội có phòng ngủ master như phòng khách sạn với ban công và bồn tắm Bravat riêng- Căn hộ bố trí tận 3 phòng ngủ với 1 phòng khách, 1 phòng bếp và 1 phòng kho- Nội thất bàn giao cao cấp: 2 phòng vệ sinh đầy đủ thiết bị Grohe, điều hòa ầm trần nối ống gió inverter 2 chiều Daikin, cửa chính chống cháy khóa điện tử thông minh Kaadas, 3 bình nóng lạnh Ariston, tủ bếp trên, bếp dưới gỗ công nghiệp cao cấp phủ laminate, bếp từ Hafele 3 vùng nấu nhâp khẩu Đức, hút mùi và chậu rửa Hafele, sàn gỗ Malaisia 12mm***Giá ưu đãi: 5,2 tỷ***Để biết thêm thông tin chi tiết vui lòng gọi qua số: 0973038*** (Mr. Thành- TPKD)
",Căn hộ,, 26/09/2023,24/10/2023,Bán,2539043,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
"
Bán căn 2PN 2VS view công viên Đông nam - Trả trước 800tr nhận nhà ở ngay tại Le Grand Jardin
","
2,5 - 3,4
Tỷ ","
64 - 107
m2
",['Mua bán Căn hộ chung cư  Le Grand Jardin Sài Đồng'],"
- Diện tích lên sổ 67m², diện tích tim tường hơn 70m².- Thiết kế 2 ngủ 2 vệ sinh khép kín, vuông vắn tối ưu công năng.- Ban công view công viên trường học, hướng đông nam thoáng mát.- Các phòng được sắp xếp thông minh, có cửa sổ lớn giúp lấy ánh sáng tự nhiên và giúp tăng khả năng tương tác giữa các thành viên trong gia đình tại không gian sinh hoạt chung.- Rất thích hợp cho vợ chồng trẻ có con nhỏ, hoặc gia đình có từ 3 - 4 thành viên.- Bàn giao full nội thất cao cấp liền tường nguyên bản CĐT: Sàn gỗ cao cấp, trần thạch cao full đèn led, thiết bị vệ sinh Toto, bình nóng lạnh, đầu chờ điều hoà...- Tiện ích chân đế đầy đủ, nhiều cây xanh, hồ, công viên, đường dạo bộ... Gần nhiều trường học mầm non, trường chất lượng cao, trường cấp 1, cấp 2 và 3... Gần nhiều bệnh viện lớn như Bắc Hà, Tâm Anh, Đức Giang... Gần nhiều khu vui chơi giải trí như Aeon, BigC, Vincom...- Giao thông vô cùng thông thoáng, tiện kết nối vùng đi các tỉnh thành.- Đặc biệt cư dân đã về ở khoảng 70 - 80%, dân trí cao và vô cùng thân thiện.- Khách hàng nhận nhà về ở ngay không phải chờ đợi.- Pháp lý đầy đủ, sổ đỏ sở hữu lâu dài.- Giá chỉ 2 tỷ 42 nhận nhà (95% GTCH, đã gồm VAT và 2% KPBT).- Hoặc thanh toán 25% ~800tr nhận nhà. Ngân hàng cho vay 70% còn lại, miễn gốc lãi 12 tháng.#legrandjardin #brggroup #brgland #LGJ #canhocaocap #canhocaocaplongbien #chungculongbien
",Căn hộ,Sổ hồng, 26/09/2023,24/10/2023,Bán,2356851,Đông-Nam,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
"
Các căn biệt thự ở Ciputra, khu đô thị Nam Thăng Long, Hà Nội, giá tốt
","
14,9 - 38,5
Tỷ ","
126 - 421
m2
","['liền kề  Khu đô thị Nam Thăng Long - Ciputra', 'Mua bán Nhà biệt thự']","
Tổng hợp danh sách biệt thự bán khu đô thị Nam Thăng Long - Ciputra Tây Hồ Hà Nội.I. Biệt thự giai đoạn 1.1. Biệt thự C4, diện tích 126m2, 4 phòng ngủ, 4 phòng vệ sinh, hướng TN, giá 119 triệu/m2 ~ 14.994 tỷ.2. Biệt thự C2 diện tích 126m2 hướng ĐB, nhìn sang trường KinderWorld. Giá 125 triệu/m2 ~ 15.7 tỷ.3. Biệt thự C2, Hướng TN, mặt đường đôi, nhìn ra trường Hanoi Academy, 198m2, giá 132 triệu/m2 ~ 26,136 tỷ.4. Biệt thự C1, 345m2, hướng ĐN, mặt đường đôi. Giá 115tr/m2.5. Biệt thự C1 diện tích 126m2 hướng ĐB, Giá 120 tr/m2 ~ 15tỷ.6. Biệt thự C5 hướng cửa nhìn ra trường học, sau là sân golf hồ điều hòa, 217.5m2, hướng TN, 5PN, giá 128 tr/m2 ~ 28 tỷ.7. Biệt thự C7 hướng ĐN, 323m2, giá 120 triệu/m2 ~ 38,7 tỷ.8. Biệt thự D3 khu đường đôi hướng nhìn ra trường UNIS, 180m2, 5PN, 4WC, hướng ĐB, giá 135 tr/m2 ~ 24.3 tỷ.9. Biệt thự D2 căn góc 207m2, hướng TN - TB, giá 125 tr/m2 ~ 26tỷ.10. Biệt thự D2, 180m2, hướng TN, giá 110 tr/m2 ~ 19,8 tỷ.11. Biệt thự D5 hướng TB, 180m2, giá 125 tr/m2 ~ 22.5 tỷ.12. Biệt thự G6, 180m2, hướng ĐN, giá 128 tr/m2 ~ 23 tỷ.13. Biệt thự G căn góc 225m2, hướng TB - TN, giá 138 tr/m2 ~ 31 tỷ.14. Biệt thự G, 150m2, 4 PN, hướng ĐN, giá 132 tr/m2 ~ 20 tỷ.15. - Biệt thự G6, 180m2, hướng ĐN, giá 128 tr/m2 ~ 23 tỷ.II. Biệt thự giai đoạn 2:1. Biệt thự T1 căn góc, 305m2, 6PN, hướng TN, giá 120 tr/m2 ~ 36.6 tỷ.2. Biệt thự T1, 200m2, hướng ĐB, 5PN, giá 115 Tr/m2 ~ 23 tỷ.3. Biệt thự T1, 300m2, hướng ĐN, giá 130 tr/m2 ~ 39 tỷ.4. Biệt thự T2, căn góc 201m2, hướng TN, giá 130tr/m2 ~ 26 tỷ.5. Biệt thự T4, 150m2, hướng TN, giá 120 tr/m2 ~ 18 tỷ.6. Biệt thự T4, 242m2, căn góc ĐN - ĐB, giá 125 tr/m2 ~ 30 tỷ.7. Biệt thự T6, 230m2, 5PN, hướng TN, giá 85 tr/m2 ~ 19,55 tỷ.III. Biệt thự giai đoạn 3:1. Biệt thự K3, 140 m2, 5PN, 4WC, hướng Nam, giá: 20,4 tỷ.2. Biệt thự K2, 180m2, giá: 25 tỷ.3. Biệt thự K4, 189m2, giá 23 tỷ.4. Biệt thự K4 view vườn hoa, giá 21 tỷ.5. Biệt thự Q là khu đẹp nhất Ciputra nằm trong lõi của khu đô thị, 421,3m2, giá ~ 38.5 tỷ, hướng Nam.6. Biệt thự Q 384.8m2.
","Nhà biệt thự, liền kề",Sổ hồng, 26/09/2023,24/10/2023,Bán,1021008,,1.0,,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,,Không,Có,10m,Đông-Nam,3,Có,1.0,1.0,1.0,1.0,,
"
Một số căn hộ từ 2 - 4 phòng ngủ Ciputra Tây Hồ đang cần bán
","
4,5
Tỷ ","
117
m2
",['Mua bán Căn hộ chung cư  Khu đô thị Nam Thăng Long - Ciputra'],"
MỘT SỐ CĂN HỘ TỪ 2 - 4PN CIPUTRA ĐANG CẦN BÁN* Toà E1, E4, E5: - Căn E1, DT 123m2, 3PN, 2WC, đủ đồ,ban công ĐN. giá 4,9 tỷ. - Căn E1, Penhouse, 180m2 , ban công ĐN , Giá bán 5,4 tỷ  - Căn E5, DT 123m2, 3 PN, 2 WC, đã sửa đẹp, Giá 6,2 tỷ. - Căn E4, DT 123m2, 3 PN, 2 WC. Giá 4,5 tỷ.- Căn E4, DT 153m2, 4 PN, 2 WC. Giá 8,7 tỷ. - Căn E4, DT 123m2, 3 PN, 2 WC, tầng cao . Giá 6,3 tỷ. - Căn E5 tầng cao, DT 123m2, 3 PN, 2 WC . Giá 6,3 tỷ* Toà G2, G3: - Căn G2, DT 150m2, 4 PN, 2 WC. Giá 5.3 tỷ. - Căn G2, DT 119m2, 3PN,  view sân trước . Giá 5 tỷ  - Căn G3, DT, 119m2 view Hồ Tây thoáng mát, thiết kế hiện đại, 4PN, 3WC, ban công TN . Giá 6,3 tỷ. - Căn G3, DT 148m2, 4 PN, 2 WC, tầng cao, ban công ĐN - TN . Giá 6,8 tỷ.  - Căn G3 , Penhouse 180m2 , 3PN, Giá 5,8 tỷ* Toà P1, P2: - Căn P1, 145m2,3PN,tầng cao,ban công TB, cửa chính TN, view nội khu .Giá 6 tỷ - Căn P2,  145m2, 3 PN, 3 WC, ban công  TN, cửa ĐB. view nội .Giá 6 tỷ. - Căn 145m2, đã sửa đẹp, sạch sẽ, 3 WC, view sân Golf. Giá 7 tỷ. - Căn 182m2: 4 PN, 4 WC, ban công ĐB view sân golf. Giá 8 tỷ. * Toà L1, L2, L3, L4, L5: - Căn diện tích 267m2, 4 PN, 2 WC, view sân golf. Giá 19,5 tỷ. - Căn L1 ,DT 154m2, 3PN,2WC ,ban công TN-TB,cửa chính ĐN, giá 8,2 tỷ ( có TL) - Căn diện tích 114m2, 3 PN, 2 WC, đủ đồ. Giá 5,8 tỷ. - Căn diện tích 58m2, 2 PN, 1 WC, đủ đồ. Giá 3,2 tỷ. - Căn diện tích 71,8m2, 2 PN, 2 WC, đủ đồ. Giá: từ 4,3 - 4,6 tỷ.
",Căn hộ,Sổ hồng, 26/09/2023,24/10/2023,Bán,1698772,Đông-Nam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,Có,,,,,4,Có
"
Biệt thự Ciputra Hà Nội cần bán giá tốt, sổ đỏ chính chủ, nhận nhà ngay
","
35
Tỷ ","
140
m2
","['liền kề  Khu đô thị Nam Thăng Long - Ciputra', 'Mua bán Nhà biệt thự']","
Biệt thự Ciputra Hà Nội cần bán giá tốt, sổ đỏ chính chủ, giao nhận nhà ngay.Khu vực giao thông thuận tiện, gần cầu Nhật Tân tiện đi sân bay Nội Bài.Gần Hồ Tây, khu ẩm thực Sen Tây Hồ, công viên nước, đại siêu thị Lotte Mail lớn nhất miền Bắc.An ninh tốt, dân trí cao, nhiều trường học Quốc Tế, nhiều người nước ngoài thuê ở.Nhiều tiện ích cao cấp: Sân golf, sân tennis, sân bóng rổ, phòng tập, bể bơi.Liên hệ Ms Phương 0972 3629***để xem nhà.Khu biệt thự được chia làm 3 giai đoạn:Giai đoạn 1.C1: DT 345m², 6PN, hướng ĐN, mặt đường đôi. Giá 300tr/m².C2: DT 126m², 4PN, hướng ĐB, view trường học SIS. Giá 280tr/m².C2: DT 638m², 6PN, lô góc. Giá 325tr/m².D1: DT 189m², 5PN, hướng ĐB, nguyên bản CĐT. Giá 260tr/m².D3: DT 180m², 5PN, hướng ĐB, mặt đường đôi. Giá 310tr/m².D4: DT 240m², 5PN, hướng ĐN TN, lô góc đã sửa đẹp. Giá 300tr/m.D4: DT 180m², 5PN, nguyên bản, hướng ĐN. Giá 300tr/m².G1: DT 330m², 6PN, hướng TB. Giá 295tr/m².G6: DT 150m², nguyên bản, hướng ĐN. Giá 275tr/m².Giai đoạn 2:T5: DT 140m², 4PN, hướng ĐB, nguyên bản CĐT. Giá bán 280tr/m².T6: DT 140m², 5PN, hướng ĐB, nhà đã sửa đẹp. Giá 280tr/m².T7: DT 180m², 5PN, hướng ĐB, nguyên bản. Giá 250tr/m².T9; DT 230m², 5PN, hướng TN, mặt đường đôi, đã sửa đẹp, sang. Giá 290tr/m².Giai đoạn 3:K2: DT 140m², 5PN, hướng N, đã sửa đẹp. Giá 315tr/m².K4: DT 180m², 5PN, hướng ĐB, đã sửa đẹp, có hầm. Giá 310tr/m².K6: DT 400m², hướng B, xây thô, hoàn thiện mặt ngoài. Giá 226tr/m².Q: DT 427m², 6PN, hướng ĐB, đang cho thuê giá tốt. Giá bán 270tr/m².
","Nhà biệt thự, liền kề",Sổ đỏ, 26/09/2023,24/10/2023,Bán,2480523,Đông-Bắc,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
