Title,Price,Area,Address,Gen_descrip,Loại hình,Tình trạng pháp lý,Hướng nhà,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Số phòng ngủ,Số tầng,Mặt tiền,Nội thất,Đường vào
"
Tòa 17T2 Trung Hòa, Bán căn 153m2 3pn 3vs, ban công ĐN - KĐT Trung Hoà Nhân Chính, Hà Nội giá 5 tỷ
","
5,3
Tỷ ","
155
m2
",['Mua bán Căn hộ chung cư  Khu đô thị Trung Hòa - Nhân Chính'],"
Gia đình chuyển vào Nam, cần bán căn hộ tại tòa 17T2 -  KĐT Trung Hòa Nhân Chính, Cầu Giấy.- Thiết kế 3PN 3VS.- Diện tích 153m². Cửa Tây Bắc, ban công Đông Nam.- Tiện ích: Trường THCS Trần Duy hưng, Gần chợ.- Sổ đỏ vĩnh viễn.Giá: 5.3 tỷ có thương lượng.Liên hệ: 0338 662 *** 
",Căn hộ,Sổ hồng,Tây-Bắc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 25/09/2023,23/10/2023,Bán,2405218,,,,,
"
Bán Nhà Trần Khát Chân - 32m2 x 4,5 tầng - ngõ nông rộng - 80m ra Ô TÔ - giá 3,9 tỷ
","
3,9
Tỷ ","
32
m2
","['Hà Nội', 'Quận Hai Bà Trưng', 'Mua bán Nhà riêng tại Đường Trần Khát Chân']","
💥 Ô TÔ ĐỖ CỔNG 80M - NHÀ CÓ VỊ TRÍ ĐẸP - MỘT BƯỚC RA PHỐ - KIÊN CỐ - KHÁCH MUA VỀ LÀ Ở LUÔN - NGÕ THOÁNG 💥 MÔ TẢ 👉 Ngõ nông. Ô tô đỗ cổng cách nhà 80m. Khu vực cực phát triển, nhiều tiện ích, gần các trường, trung tâm mua sắm, chủ thiện trí, an sinh tốt... 👉 Nhà được thiết kế 04 tầng: - Nhà có vị trí đẹp, xây chắc chắn và kiên cố. Vị trí gần đường lớn thuận lợi cho công việc đi lại sinh hoạt, gần trung tâm mua sắm sầm uất. 💥 Căn nhà được thiết kế như sau: - Tầng 1: Khách bếp + WC. - Tầng 2: 01 ngủ + WC. - Tầng 3: 01 ngủ + WC. - Tầng 4: 01 ngủ + WC. 💥 Tầng tum: Phòng thờ, sân phơi thoáng rộng. Liên Hệ 0865422***
",Nhà riêng,,,,,,,,,,,,,,,,, 25/09/2023,23/10/2023,Bán,2537322,,,,,
"
Ưu đãi đặc biệt căn cao cấp 3 ngủ 105m2 rẻ nhất CĐT dự án Capital Elite 18 Phạm Hùng LH 0763456***
","
5,7 - 6,92
Tỷ ","
105 - 127
m2
",['Mua bán Căn hộ chung cư  Capital Elite'],"
Capital Elite 18 Phạm Hùng, Mỹ Đình 2, Nam Từ Liêm.Căn hộ hạng sang, vô vàn tiện ích.Sở Hữu lâu dài, bàn giao Q4/2024.-------------------------------------Ưu đãi đặc biệt Căn hộ 3 ngủ 105m² rẻ nhất CĐT chung cư Capital Elite 18 Phạm Hùng đến trước ngày 18/9/2023. Hotline vp CĐT 0763 456 ***.Căn 3 ngủ 105m rẻ nhất dự án.Mã căn 1115A.Loại hình căn hộ: Căn hộ cao cấp, Căn hộ cho thuê, TTTM và Văn Phòng cao cấp.Ban công Đông Bắc.Cửa chính Đông Nam.Giá thanh toán sớm 70% còn 5.7 tỷ đã gồm VAT.Giá niêm yết 6.187 tỷ.Bàn giao nhà quý 4/2024. Full nội thất liền tường cao cấp và điều hòa âm trần Daikin.Hotline CĐT Mr Quý: 0763 456 ***.Capital elite Vị trí huyết mạch - kết nối hoàn hảo.+ 0 phút đến bến xe Mỹ Đình, ga Metro.+ 5 phút đến Bộ tài nguyên và Môi trường, Đại học Quốc Gia, Đại học thương mại, Đại học sân khấu điện ảnh.+ 10 phút đến Công viên Cầu Giấy, sân vận động Mỹ Đình, Học viện Báo Chí và Tuyên Truyền, THPT Marie Curie, Keangnam Landmark, khách sạn JW Marriott.+ 15 phút Vincom Mega Mall Smart City, Big C Thăng Long, Lotte center Hà Nội, Bảo tàng Dân tộc học Việt Nam, Trung tâm hội nghị Quốc Gia, Công viên Thủ Lệ.+ 30 phút đến Sân bay Nội Bài, hồ Hoàn Kiếm, Nhà Hát Lớn Hà Nội.Chung cư cao cấp Capital Elite tiêu chuẩn sống 4 * tại phố Phạm Hùng, Mỹ Đình 2, Nam Từ Liêm.Sống chất với tiện nghi đủ đầy.- Trung tâm thương mại đẳng cấp.- Bể bơi bốn mùa & bể sục jacuzzi.- 4,5 tầng hầm đỗ xe rộng lớn.- Sky bar & sky Garden thời thượng.- Văn phòng & co - working space cao cấp.Đã lên cọc sàn tầng 10 nhưng Cao bằng tầng 15 toà bên cạnh và các căn hộ chung cư bình thường khác.Nhận nhà bàn giao dự kiến quý 4/2024.Bàn giao nội thất liền tường cao cấp.Quy mô: 01 tòa tháp gồm.- 4.5 hầm.- 9 tầng thương mại dịch vụ văn phòng.- Tầng 10 - 31 để ở.- Tầng 32 sân vườn và sky bar trên mái.Tiện ích chủ đạo bên trong gồm có:- Siêu thị.- Trường mầm non quốc tế.- Nhà sách.- Trung tâm thương mại.- Golf 4D.- Bể bơi 4 mùa.- Nhà hàng.- Coffee.- Gym & Fitness.- Spa & Beauty.- Phòng sinh hoạt cộng đồng.- Khu văn phòng.- Co - Working Space.- Phòng hội thảo.- Sky Bar.- Sky Garden.- Lối dạo bộ trên mái.Đặc biệt: Đã có sổ đỏ tổng, công trình hạng A niên hạn trên 100 năm, chịu được 7 độ richter.Diện tích chủ yếu 3 phòng ngủ: 105m, 114m, 119m, 127m.Tổng giá từ: 6.1 tỷ - 7.6 tỷ.---Chính sách ưu đãi:- Thanh toán 70% chiết khấu 8%.- Thanh toán 50% chiết khấu 5%.- Thanh toán tiến độ chiết khấu 2%.- Thanh toán vay 65% được Hỗ trợ lãi suất 0% trong 12 tháng.Quý cô chú anh chị có nhu cầu cần mua để ở hay đầu tư thì liên hệ nhận thông tinHotline phòng kinh doanh CĐT: 0763 456 ***
",Căn hộ,Sổ hồng,Đông-Nam,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,, 25/09/2023,23/10/2023,Bán,2537264,,,,,
"
Chỉ từ 2,7 tỷ sở hữu ngay căn hộ 2 ngủ full nội thất cao cấp
","
2,7
Tỷ ","
74
m2
","['Hà Nội', 'Quận Long Biên', 'Mua bán Căn hộ chung cư tại Đường Đức Giang']","
 Vị trí dự án : 93 Đức Giang - Quận Long Biên , Cách Phố Cổ Đúng 𝟏𝟎 𝐩𝐡𝐮́𝐭 𝐝𝐢 𝐜𝐡𝐮𝐲𝐞̂̉𝐧.Ưu đãi thanh toán sớm CK : 𝟐4,𝟓%Ưu đãi vay ngân hàng CK : 𝟏3.𝟓%  Hỗ trợ lãi suất 𝟎% trong 𝟏8 𝐭𝐡𝐚́𝐧𝐠𝐍𝑯𝑨̣̂𝑵 𝑵𝑯𝑨̀ 𝑶̛̉ 𝑵𝑮𝑨𝒀 - 𝑭𝑼𝑳𝑳 𝑵𝑶̣̂𝑰 𝑻𝑯𝑨̂́𝑻 :CĂN HỘ 2 PHÒNG NGỦ : Diện tích 74m2 - giá từ 𝟮,𝟳 𝘁𝘆̉CĂN HỘ 3 PHÒNG NGỦ : Diện tích 92m2 - 104 giá từ 𝟯,1 𝘁𝘆̉.Bàn giao full nội thất - Chỉ cần xách vali vào ởLayout cực tối ưu - ban công kéo dàiThiết kế đa dạng, diện tích phù hợp nhu cầu và tài chính của với nhiều khách hàng👍KHÁM PHÁ NHỮNG CẶN HỘ CHỈN CHU, HIỆN ĐẠI, ĐẦY TÍNH DUY MỸ VÀ TIỆN NGHI QUA:📍 Thiết kế tinh chuẩn 3 KHÔNG; Không góc chết, không khoảng tối, không phòng kín📍 Không gian thoáng đãng 4 MỞ: Tràn ánh sáng, rộng không gian, xa tầm nhìn, tới thiên nhiên.📍 Diện tích đa dạng, tối ưu và các khu vực chức năng được bố trí hài hòa, ấm cúng.📍 Nội thất, thiết bị tinh tế, sang trọng đáp ứng tiêu chuẩn bàn giao cao cấp của căn hộ hạng sang với các thương hiệu uy tín, hàng đầu thế giới.Đ𝑨̣̆𝑪 𝑸𝑼𝒀𝑬̂̀𝑵 𝑻𝑰𝑬̣̂𝑵 𝑰́𝑪𝑯 𝑪𝑨𝑶 𝑪𝑨̂́𝑷:Vườn nướng BBQ, vườn hoa dạo bộ, vườn đánh cờ, bể bơi Resort,...Hệ thống tiện ích nội khu đẳng cấp: Trung tâm thương mại, nhà hàng, Gym, spa, khu vui chơi trẻ em...Liên hệ nhận báo giá và thăm quan căn hộ thực tế.Hotline: 0973 087 9***Ms Hiền / 0982 195 3***Mr Để.
",Căn hộ,Sổ đỏ,Đông-Nam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 25/09/2023,23/10/2023,Bán,2537260,,,,,
"
Nhà đẹp lô góc trung tâm nở hậu gần trường đại học y ,gần chợ
","
3,8
Tỷ ","
3
m2
","['Hà Nội', 'Quận Đống Đa', 'Mua bán Nhà riêng tại Đường Trường Chinh']","
🔥NHÀ ĐẸP - LÔ GÓC - TRUNG TÂM - NỞ HẬU🔥- Ngõ Trường Chinh thông ra ngõ 22 Tôn Thất Tùng ngay sát bên viện Đại Học Y, nhà mình đi theo lỗi ngõ 22 Tôn Thất Tùng vào sẽ gần hơn, anh chị khảo sát để tìm cho mình đường đi đẹp nhất.- Ngõ kinh doanh sầm uất, khu vực trung tâm đi đâu cũng tiện, ngõ trước nhà rộng thoáng, ngay cạnh có cái sân để xe thoái mái.-  Nhà lô góc 2 mặt ngõ không thể thoáng hơn, thiết kế tầng nào cũng có cửa sổ thoáng mát vô cùng.- Nhà xây 5 tầng kiến cố thoáng mát, thiết kế hợp lý, tổng 3 phòng ngủ + WC.- Sổ đỏ chính chủ, sẵn sàng giao dịch. 
",Nhà riêng,,,,,,,,,,,,,,,,, 25/09/2023,23/10/2023,Bán,2537206,,,,,
"
Bán căn hộ Long Biên - Hà Nội giá 2.38 Tỷ - 3PN -2VS - Đông Nam
","
2,38
Tỷ ","
86
m2
",['Mua bán Căn hộ chung cư  Canal Park'],"
Chính chủ bán căn hộ Chung cư Canal Park, KĐT Hà Nội Garden City, Thạch Bàn, Long BiênDo chuyển công tác, gia đình tôi cần bán căn hộ tại Chung cư Canal ParkPháp lý: Sổ hồng chính chủHướng căn hộ: Đông NamDiện tích: 86m2, 3 phòng ngủ, 2 WC, rộng rãi thoáng mát, yên tĩnh, không gian sống lý tưởng ở quận Long Biên.Tiện ích nội khu: Thư viện, Bể bơi, phòng chơi thể thao và phòng GYM đều miễn phí; siêu thị ngay chân tòa nhà; công viên ngoài trời và không gian cây xanh rộng 5ha.Tiện ích xung quanh: Ngay gần các trường công lập: Mầm non, Tiểu học, THPT, có thể đi bộ ra được; gần chợ Đồng Dinh, Siêu thị Aeon Mall (mất 5 phút đi xe máy).Căn hộ ngay sát cửa thoát hiểm. Mặt sàn mỗi tầng chỉ 8 căn hộ, không gian hành lang mở, cực thoáng, yên tâm về an toàn PCCC.  Giá bán: 2,38 tỷĐT liên hệ: 0862.754.***(miễn tiếp trung gian môi giới)
",Căn hộ,Sổ đỏ,Đông-Nam,1.0,,1.0,,,,,,,1.0,1.0,1.0,1.0,, 25/09/2023,23/10/2023,Bán,2537115,,,,,
"
BÁN nhà 5 tầng 38m vạn phúc hà đông căn góc ngõ oto thông
","
7,07
Tỷ ","
38
m2
","['Hà Nội', 'Quận Hà Đông', 'Mua bán Nhà riêng tại Đường Ngô Thì Sỹ']","
BÁN nhà 5 tầng 38m  vạn phúc hà đông căn góc ngõ oto thôngMẶT NGÕ Ô TÔ- LÔ GÓC 2 MẶT THOÁNG- MẶT TIỀN SIÊU RỘNG - Ô TÔ VÀO NHÀ - KINH DOANHNhà nằm vị trí mặt ngõ Ngô Thì Sỹ, ngõ lớn ô tô vào nhà với diện tích 38m2 xây 5 tầng• Tầng 1 thông sàn kinh doanh, để xe• Tầng 2 bếp + khách• Tầng 3,4 mỗi Tầng 2 PN• Tầng 5 phòng thờ sân phơi- Sổ đỏ pháp lý rõ rànggiá chỉ 7 tỷ xíu có thương lượnglh xem nhà 0989156***
",Nhà riêng,Sổ đỏ,,,,,,,,,,,,,,,, 25/09/2023,23/10/2023,Bán,2537101,,,,,
"
Nhà tt đống đa, 35m, mt 3.8m, giá 6.3 tỷ, ô tô 20m, lh: hoàng ngà 0948358***
","
16,5
Tỷ ","
68
m2
","['Hà Nội', 'Quận Đống Đa', 'Mua bán Nhà riêng tại Phố Vũ Ngọc Phan']","


VIP ĐỐNG ĐA - PHÂN LÔ - Ô TÔ TRÁNH, DỪNG ĐỖ - KINH DOANH ĐỈNH. LH: HOÀNG NGÀ - 
 Vị trí gần trường tiểu học Nam Thành Công - Nguyên Hồng- Vũ Ngọc Phan. Thông Huỳnh Thúc Kháng, Láng Hạ, Đống Đa
 Kinh doanh sầm uất - 2 mặt ngõ thoáng trước sau.
 Xây 7 tầng, kinh doanh dịch vụ, làm toà văn phòng, ở hoặc mở văn phòng công ty đều phù hợp.
 Diện tích 68m 16.5 tỷ hiện trạng nhà 2 tầng. 
Bán vị trí nên nhà không có gì để nói.
 Liên hệ: zalo (Ưu tiên cuộc gọi)

#DongDa #nhangatuso #nhathanhxuan #nhadepchinhchu #fullnoithat #4ty
#xadan #tonducthang #khamthien #ochodua #nguyenluongbang #dongda #Haibatrung #Hoangmai #Dautu #Dongtien #Thunhapthudong
#Nhathocu #NhaHanoi #Hoangngathocu
",Nhà riêng,Sổ đỏ,,,,,,,,,,,,,,,, 25/09/2023,23/10/2023,Bán,2536757,3,2,,,
"
Bán nhà Minh Khai - Nhà mới toanh - 33m2x4T - 3.9 tỷ
","
3,9
Tỷ ","
33
m2
","['Hà Nội', 'Quận Hai Bà Trưng', 'Mua bán Nhà riêng tại Phường Minh Khai']","
BÁN NHÀ MINH KHAI - NHÀ MỚI TOANH - 33m2×4T - 3.9 tỷ_Ngõ trước nhà rộng 3 gác đỗ thoải mái. Ngay gần có 1 khoảng không rộng rất thoáng mát dễ chịu. Khu vực an ninh tốt._Nhà thiết kế 4 tầng, 3 ngủ đc xây dựng hiện đại chắc chắn. Mặt tiền siêu rộng. View tum rộng thoáng siêu đỉnh. Tặng kèm nội thất cơ bản. Nhà mới toanh chỉ chờ chủ dọn đến ở_Đi vài phút thông ra mặt đường Minh Khai và Mai Động. Di chuyển thuận tiện đến bệnh viện Thanh Nhàn, Vinmec và các trường Đại học lớn. Từ Mai Động di chuyển dễ dàng đến khu đô thị Đền Lừ, Gamuda City cũng như các dự án sắp mở Feliz Homes Hoàng Mai và Louis City Hoàng Mai_Sổ đỏ chính chủ_Liên hệ Quốc Anh chuyên BDS thổ cư Hà Nội tại 0813739*** (di động hoặc Zalo) để được tư vấn và xem nhà
",Nhà riêng,,,,,,,,,,,,,,,,, 25/09/2023,23/10/2023,Bán,2536698,,,,,
"
Chính chủ bán căn hộ Ocean Park, 2PN, 1,65 tỷ, tầng trung view thoáng
","
1,65
Tỷ ","
60
m2
",['Mua bán Căn hộ chung cư  Vinhomes Ocean Park'],"
Chính chủ mua nhưng do nhà kinh tế khó khăn cần bán gấp căn 2 phòng ngủ, 1 nhà vệ sinh tại Vinhomes Gia Lâm, Vinhomes Ocean Park.Giá đợt đầu mua từ chủ đầu tư cao hơn nhưng cần bán gấp nên gia đình bán 1,6 5tỷ các căn như nhà mình thấy toàn bán hơn 1.8 tỷ.Nhà hướng Đông Bắc, view nhìn trọn hồ điều hòa 24,5m.Ưng lắm. Đã thế nhà trong đại đô thị Vinhomes, sử dụng bể bơi, bếp nướng, công viên, biển hồ miễn phí hết, bệnh viện trường học cũng ngay trong dự án không phải đi đâu xa.
",Căn hộ,,,,,,,,,,,,,,,,, 25/09/2023,23/10/2023,Bán,1940784,,15,,,
