Title,Price,Area,Address,Gen_descrip,Loại hình,Số phòng ngủ,Tình trạng pháp lý,Đường vào,Mặt tiền,Số tầng,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách,Hướng nhà,Bồn tắm
"
Bán biệt thự và shophouse KĐT Starlake khu K3, K5, K7 mặt đường 24m, 30m - 172.5m2
","
77,6
Tỷ ","
173
m2
","['liền kề  Khu đô thị Tây Hồ Tây - Starlake Hà Nội', 'Mua bán Nhà biệt thự']","
Chính chủ gửi bán shophouse và biệt thự khu đô thị Starlake, vị trí đẹp, mặt đường lớn, lô góc.Bán biệt thự và shophouse KĐT Starlake giai đoạn mới khu K3, K5, K7 vị trí đẹp, mặt đường 24m, 30m, đường Nguyễn Văn Huyên.1 Biệt thự.- Biệt thự 214m2, 243m2 giá 290tr/m2. Xây dựng 3 tầng nổi, hoàn thiện mặt ngoài.- Biệt thự lô góc 230m2, 290m2 giá bán 315tr/m2. Xây dựng 3 tầng nổi, hoàn thiện mặt ngoài.- Biệt thự 286m2 giá bán 280tr/m2. Xây dựng 3 tầng nổi + 1 tầng hầm, hoàn thiện mặt ngoài.- Biệt thự lô góc 300m2, 320m2, 360m2, 400m2 giá bán 300tr/m2. Xây dựng 3 tầng nổi + 1 tầng hầm, hoàn thiện mặt ngoài.2 Shophouse.- Shophouse 150m2 giá bán 410tr/m2. Xây dựng 5 tầng, hoàn thiện mặt ngoài.- Shophouse lô góc 170m2, 180m2, 210m2, 250m2 giá bán 420tr/m2. Xây dựng 5 tầng, hoàn thiện mặt ngoài.Phân khu K3 đã bàn giao, phân khu K5, K7 đang triển khai xây dựng.- Liên hệ em Tuấn để được tư vấn và hỗ trợ xem nhà 24/7.
","Nhà biệt thự, liền kề",4,Sổ đỏ,175m,"5,5m",4,CDT, 24/09/2023,22/10/2023,Bán,1797493,,,,,,,,,,,,,,,
"
Bán nhà cấp 4, khoảng 15m2, có giấy tờ hợp pháp, giá 700tr có bớt, liên hệ Đắc
","
700
Triệu ","
15
m2
","['Hà Nội', 'Quận Thanh Xuân', 'Mua bán Nhà riêng tại Phố Hạ Đình']","
Khu nhà có vị trí thuận lợi như gần trường cấp 1,2 Hạ Đình, cách 1 nhà ra mặt đường, có sân để xe, phơi phóng, gần Hồ Hạ Đình thoáng mát, gần chợ.Nhà có 2 tầng, có 1 nhà bếp nhỏ, có nhà vệ sinh khép kín, giấy tờ hợp pháp, hướng nhà hợp phong thủyGiá bán căn nhà là 700tr có bớt, miễn trung gian
",Nhà riêng,,,,,,, 24/09/2023,22/10/2023,Bán,2535765,,,,,,,,,,,,,,,
"
Đẳng cấp Khu vườn Đào ! Tây Hồ, Căn Hộ chung cư cao cấp 98m2, 2 Phòng Ngủ. Full Nội Thất cao cấp.
","
4,45
Tỷ ","
98
m2
","['Hà Nội', 'Quận Tây Hồ', 'Mua bán Căn hộ chung cư tại Đường Lạc Long Quân']","
+ Chủ đầu tư: Công ty CP Lắp Máy Điện nước và Xây Dựng, tòa nhà cao 23 tầng, 2 tầng hầm, 4 tầng thương mại dịch vụ, sân vườn, 4 thang máy tốc độ cao, phí dịch vụ 3k/m2, có slot ô tô 800k/tháng, xe máy 80k/tháng.+ Tiện ích nội khu ngoại khu không thiếu thứ gì, từ siêu thị, bể bơi, nhà hàng, cafe, karaoke, gym, spa, khu đi bộ, khu vui chơi, chi nhánh ngân hàng, trung tâm thương mại,...cách Hồ Tây vài bước chân, thuận tiện di chuyển sân bay Nội Bài & Trung tâm Thành phố.+ Thiết kế nguyên bản CĐT 2 phòng ngủ,  full nội thất xịn tiền tỷ, dịch vụ rẻ, ngập tràn tiện ích xung quanh, cạnh Lotte Lạc Long Quân.+ Hướng cửa Đông Nam, Ban công Tây Bắc & Đông Bắc.+ Sổ đỏ chính chủ cất két, chủ thiện chí, sẵn sàng giao dịch.+ Liên hệ Mr Xuân 09416528***bđs nội đô.
",Căn hộ,,,,,,, 24/09/2023,19/11/2023,Bán,2535680,,,,,,,,,,,,,,,
"
Bán căn hộ 3 phòng ngủ 2VS Full đồ cực đẹp -Sổ đỏ chính chủ - Duy nhất 1 căn tại KĐT Xa La, Hà Đông
","
2,65
Tỷ ","
106
m2
",['Mua bán Căn hộ chung cư  Khu đô thị mới Xa La'],"
Nhà đẹp giá tốt! Duy nhất 1 căn 3 phòng ngủ tòa CT4 Xa La, full nội thất đẹp, sổ đỏ chính chủGia đình làm ăn được lộc nên chuyển xuống liền kề, nên gia đình có nhu cầu nhượng lại căn 3 ngủ tầng trung đẹp tại tòa CT4 - KĐT Xa La - Hà Đông, cho gia đình nào có nhu cầu.Chi tiết cụ thể như sau:- Diện tích: 106m².- Thiết kế: 3 ngủ, 2 vệ sinh, 1 khách, 1 ban công.- Hướng cửa: Tây Bắc, ban công Đông nam.- Nội thất để lại: Toàn bộ nội thất gia đình đã làm mới và sửa sang cẩn thận, trần thạch cao, sàn gỗ, bàn ghế sofa, điều hòa, nóng lạnh, giường, tủ quần áo, tủ bếp,... Khách mua chỉ cần mang theo đổ cá nhân về ở.- Pháp lý sổ đỏ chính chủ, sẵn sàng giao dịch.- Giá bán: 2, 65  tỷ - chấp nhận thương lượng.- Anh chị có nhu cầu mua nhà liên hệ SĐT hoặc zalo 0376 685 1***HOẶC 0949744***
",Căn hộ,,Sổ đỏ,,,,, 24/09/2023,22/10/2023,Bán,2480199,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
"
Bán căn hộ 3 ngủ - Sổ đỏ chính chủ tại Đại Thanh - Thanh Trì - Hà Nội giá 1.74 Tỷ
","
1,74
Tỷ ","
78
m2
","['Hà Nội', 'Huyện Thanh Trì', 'Mua bán Căn hộ chung cư tại Đường Phan Trọng Tuệ']","
Nhà có thêm thành viên mới, cần chuyển đổi lên căn hộ rộng hơn, vì vậy, chính chủ mình cần bán gấp căn hộ tòa ct10c tầng 16 chung cư đại thanh, Thông tin căn hộ như sau:- Diện tích: 78m².- Thiết kế căn hộ: 3PN 2WC.- Nội thất: Gia đình để lại bàn ghế, điều hòa, nóng lạnh, tủ bếp,...- Giá bán: 1,74 tỷ thương lượng mạnh- Sổ đỏ lâu dài sang tên ngay , hỗ trợ khách vay bankCăn hộ ở rất có lộc, nhà đẹp không thấm ẩm, xung quanh tòa nhà bạt ngàn tiện ích, các tuyến đường giao thông đi lại thuận lợi.Lh em Ngọc xem nhà trực tiếp: 03766851***hoặc 0949744***
",Căn hộ,,Sổ đỏ,,,,, 24/09/2023,22/10/2023,Bán,2473798,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
"
Chỉ 1,05 tỷ sở hữu ngay căn 61m 2PN tại tòa CT2 KĐT Xa La - Hà Đông
","
1,05
Tỷ ","
61
m2
",['Mua bán Căn hộ chung cư  Khu đô thị mới Xa La'],"
Gia đình làm ăn được lộc lá nên đã tìm mua được căn 3 phòng ngủ. Vì vậy muốn nhượng lại căn 2 phòng ngủ tại tòa CT2 KDT Xa La, Hà Đông cho gia đình nào có nhu cầu.- Diện tích căn hộ: 61m²- Thiết kế: 2 phòng ngủ, 1 nhà vệ sinh, 1 ban công thoải mái phơi đồ- Nội thất: Đầy đủ đồ cơ bản: sàn gỗ, điều hòa, nóng lạnh, tủ bếp,...- Giá 1.05 tỷ  có gia lộc thêm cho chủ mới về làm ăn lộc lá.Liên hệ em để xem nhà và tư vấn miễn phí Ms Ngọc SĐT 03766851***hoặc 0949744***
",Căn hộ,,,,,,, 24/09/2023,22/10/2023,Bán,2470577,1.0,,1.0,,1.0,,,,,1.0,1.0,1.0,,,
"
Còn duy nhất căn 36m2 - 1PN 1WC bán nhanh giá 670 triệu. LH 0376 685 ***
","
670
Triệu ","
36
m2
","['Hà Nội', 'Huyện Thanh Trì', 'Mua bán Căn hộ chung cư tại Đường Phan Trọng Tuệ']","
Chuyển đổi lên căn 2 phòng ngủ, chính chủ có nhu cầu bán nhanh căn hộ 36m vuông tại tòa CT10, chung cư Đại Thanh, Thanh Trì.- Diện tích: 36m (Thiết kế 1 phòng ngủ, 1 vệ sinh).- Nội thất: Sàn gỗ, giường, tủ, điều hòa, nóng lạnh, tủ bếp,..- Giá bán: 670 triệu (khách thiện chí có gia lộc mạnh).- Vị trí tầng trung, thuận tiện đi lại.Liên hệ xem nhà SĐT/Zalo 0376 685 1***hoặc 0949 744 682***Chị Ngọc
",Căn hộ,,,,,,, 24/09/2023,22/10/2023,Bán,2504907,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,
"
Bán nhà Tôn Đức Thắng 30m2x4 tầng ở luôn 2.5 tỷ
","
2,4 - 2,5
Tỷ ","
30
m2
","['Hà Nội', 'Quận Đống Đa', 'Mua bán Nhà riêng tại Phố Tôn Đức Thắng']","
  Vị trí nhà đi phố Tôn Đức Thắng , phố kết nối trục chính giao thông ba quận Đống Đa, Hoàn Kiếm , Ba Đình. Nhà gần Văn Miếu Quốc Tử Giám  chạy thẳng Ô Chợ Dừa, Xã Đàn, Khâm ThiênDT 30m2 xây từ tầng 1, thiết kế hợp lý , ngõ nông rộng vài bước chân ra phố.Gần ga Cát Linh Hà Đông, xung quanh trường phổ thông các cấp  Tô Vĩnh Diện, PTTH Đống Đa, bệnh viện Xanh Pôn, Tràng An. 5 phút lên phố cổ, Hồ Hoàn Kiếm  Khu dân cư hài hòa, chủ thiện chí bán  LH: Ms Phương Đông 0988899***(Tư vấn chuyên nghiệp và tin cậy).
",Nhà riêng,,,,,,, 24/09/2023,22/10/2023,Bán,2434403,,,,,,,,,,,,,,,
"
Nhà đẹp ô tô phố Nguyên Hồng 50mx2 ngủ 1 tỷ 68
","
1,6 - 1,68
Tỷ ","
50
m2
","['Hà Nội', 'Quận Ba Đình', 'Mua bán Nhà riêng tại Đường Nguyên Hồng']","
  Chủ cần bán căn tập thể Thành Công đi phố Nguyên Hồng hay La Thành, đều được. Thuộc quận Ba Đình giáp ranh quận Đống Đa, trung tâm, sầm uất và giao thông thuận tiện - ô tô đỗ cửa.Diện tích 50m²:- Nhà thiết kế 2 phòng ngủ + 1 wc + bếp...- Nhà đã sửa sang sạch sẽ, khách về ở luôn + nội thất cơ bản.- Khu vực dân trí cao, an ninh tốt, hàng xóm thân thiện...+ Sổ đỏ đẹp, chủ thiện chí bán giao dịch nhanh.Lh Phương Đông 0988899***(Tư vấn chuyên nghiệp và tin cậy ).
",Nhà riêng,,,,,,, 24/09/2023,22/10/2023,Bán,2535495,,,,,,,,,,,,,,,
"
Bán căn hộ Home City Cầu Giấy - Hà Nội giá 4.10 Tỷ
","
4,1
Tỷ ","
71,4
m2
",['Mua bán Căn hộ chung cư  Home City'],"
Chính chủ cần bán căn hộ 2 ngủ 2 vs căn đẹp, đầy đủ nội thất. Vị trí siêu đẹp, xung quanh đầy đủ tiện ích. Giá bán 4.1 tỷ có thuongw lượng.
",Căn hộ,,Sổ đỏ,,,,, 24/09/2023,22/10/2023,Bán,2535463,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,Tây-Bắc,1.0
