Title,Price,Area,Address,Gen_descrip,Loại hình,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Số phòng ngủ
"
Cần bán nhanh nhà 4 tầng, 39 m2 tại Đường Vạn Phúc - Vạn Phúc - Hà Đông - Hà Nội, giá 4.25 tỷ
","
4,25
Tỷ ","
39
m2
","['Hà Nội', 'Quận Hà Đông', 'Mua bán Nhà riêng tại Đường Vạn Phúc']","
 Khu vực đẹp nhất khu vực Vạn Phúc khu vực an  sinh  xã  hội tốt văn hóa, mệnh danh kinh đô Hà Đông, vị trí cách 1 nhà ra Mặt Phố, bãi xe vòng quanh nhà rộng thang thang, giao thông thổ kỳ thuận lợi rất gần trường các cấp, gần nhiều trường  DH. Rất gần bưu điện Hà Đông, chợ Hà Đông, giao thông thuận lợi các thông thông Him Lam Vạn Phúc, Thanh Bình, Tố Hữu, Lê Văn Lương, Dương Nội, La Khe, Văn Khe, Ngô Quyền, Ngô Thì Nhậm, Nguyễn Viết Xuân, Quang Trung, Trần Phú, Nguyễn Trãi, Bế Văn Đàn, Lê Lợi, Tô Hiệu, Bà tr, Trưng Nhị, Tố Hữu, Dương Nội, Lê Trọng Tấn, Cầu Giấy, Đống Đa, Văn Khe, La Khe. Gần các trường  DH, Trường liên cấp 1, 2, 3, BV Hà Đông, chợ Hà Đông, Nhà Thi Đấu, Q. Hà Đông, tiện ích cực gần... Thiết kế: 4 tầng, đầy đủ công năngpháp  lí: bìa  đỏ vuông  vức, sẵn sàng giao dịch. liên  hệ em Trang để đc xem nhà: 0375 741 *** 
",Nhà riêng, 19/11/2023,17/12/2023,Bán,2639484,
"
Cần bán ngay lô đất nền 40 m2, mặt tiền 4m, hướng Bắc tại Xã An Khánh - Hoài Đức - Hà Nội, giá tốt
","
Thỏa thuận
","
40
m2
","['Hà Nội', 'Huyện Hoài Đức', 'Mua bán Đất tại Xã An Khánh']","
 Gia đình cần bán  ngay trong 10 ngày 40m đất  DV khu Đồng mới An Thọ (Cách cổng chào khu  đô  thị Nam An Khánh chỉ hơn 300m).DT: 40m2 - MT - 4.8 m - hướng Bắc.Đường trước nhà 10m..Vị trí rất đẹp, ngay ngã  4.pháp  lí: bìa  đỏ.Tiềm năng tăng giá xyz... Khi đã thông Vinsmart City... Làm cầu vượt vành đai 3.5 VS ĐL Thăng Long.Bao quanh nhiều căn  hộ  chung  cư, shop, văn phòng, KD sầm uất....Cần bán  ngay với giá: 4.x tỉ (hỗ trợ bên mua vay bank).ACE có nhu cầu xem đất, tham khảo giá cả 24/24.liên  hệ  ngay trực tiếp Em Tỵ An Khánh: 0936 123 * để biết thêm thông tin. 
",Đất, 19/11/2023,17/12/2023,Bán,2639480,
"
Cần bán gấp miếng đất mặt tiền 3m, hướng Bắc tại Xã An Khánh - Hoài Đức - Hà Nội, giá 1.85 tỷ
","
1,85
Tỷ ","
--
","['Hà Nội', 'Huyện Hoài Đức', 'Mua bán Đất tại Xã An Khánh']","
 Nhà em cần bán mảnh  đất tái định cư Phú Vinh - 38.5 mét  vuông -Ngõ 12 - ngay vòng xuyến cầu vượt An Khánh.MT: 3.7m- hướng Bắc.Ngõ trước nhà thông thoáng gần 3m.Vị trí đi lại rất thuận tiện.Ngay vòng xuyến cầu vượt An Khánh cách 15m, gần chợ Phú An.Khu đông cư  dân, sầm uất trung tâm xã An Khánh.Xung quanh hàng xóm - dân tứ xứ về mua ở . Giá bán  ngay: 1.85 tỉ a/c có nhu cầu mua ở hay đầu tư gọi  ngay trực tiếp Tỵ An Khánh: 0936 123 *** để xem đất ! 
",Đất, 19/11/2023,17/12/2023,Bán,2639479,
"
Cần bán lô đất 50 m2, mặt tiền 9m, hướng Tây - Nam tại An Khánh - Hoài Đức - Hà Nội, thỏa thuận
","
Thỏa thuận
","
50
m2
","['Hà Nội', 'Huyện Hoài Đức', 'Mua bán Đất tại Đường Đại lộ Thăng Long']","
 Gia đình cần bán  gấp nền  đất dịch vụ góc đẹp An Thọ - An Khánh.DT: 50 mét  vuông - hướng Nam (hàng hiếm).pháp  lí: bìa  đỏ - cách 1 lô là mặt đường vành đai 3,5.Vị trí đất rất đẹp - tiềm năng tăng giá xyz.. Khi chuẩn bị thông từ Lê Trọng Tấn sang.Giá bán  gấp: 8x tr/ mét  vuông (x bé xíu).Cách TT hội nghị quốc gia hơn 7 kilomet.ACE có nhu cầu mua ở & đầu tư LH trực tiếp: 0936 123 *** để biết thêm thông tin! 
",Đất, 19/11/2023,17/12/2023,Bán,2639473,
"
Sở hữu ngay căn nhà đẹp 5 tầng, 40 m2, mặt tiền 3m tại Đường Huỳnh Cung - Thanh Trì, giá 2.35 tỷ
","
2,35
Tỷ ","
40
m2
","['Hà Nội', 'Huyện Thanh Trì', 'Mua bán Nhà riêng tại Đường Huỳnh Cung']","
 Chính chủ bán nhà Huỳnh Cung Tam Hiệp, Thanh Trì, HN, nhà gần trường mẫu  giáo Huỳnh Cung, gần chợ, gần NH Nông Nghiệp, ngõ thông rộng, cách đường Giải Phóng 500m, cách đường nhựa lớn 30m, cách BV Nội Tiết 1  kilomet.Khu vực đông cư  dân, thân thiện an  ninh  đảm  bảo..- DT 40 mét  vuông.- Xây 5 tầng.- MT rộng.- Thiết kế:+ Tầng 1: khu  bếp, xe,  toilet.+ Từ tầng 2 trở lên mỗi tầng 2 PN.+ Tầng 2, 3: PN +  toilet.- Có sân để xe riêng.+ Tầng 5: Phòng thờ, sân phơi.- oto đỗ gần nhà.- Nội thất gồm: Cửa inox, cửa gỗ Lim, cầu thang gỗ, sàn gỗ. Thiết bị bình  nóng  lạnh, ánh sáng đầy đủ. Thiết kế sang trọng và hiện đại, xây không chung tường, không chung cột.- pháp  lí: Rõ ràng, bìa  đỏ chính chủ.- giá: 2.35 tỉ, (bao sang tên).- GPXD đầy đủ.- liên  hệ: 0969 438 *** có thỏa  thuận, tư vấn tận tình và chu đáo.Giúp quý khách mua đc ngôi  nhà ưng ý. Quý khách đi xem không mất bất khoản phí nào. 
",Nhà riêng, 19/11/2023,17/12/2023,Bán,2639472,4
"
Chuyển nhượng nhà phố 3 tầng, 70 m2, mặt tiền 4m tại Phố Hàng Quạt - Hoàn Kiếm, giá 29 tỷ
","
29
Tỷ ","
70
m2
","['Hà Nội', 'Quận Hoàn Kiếm', 'Mua bán Nhà mặt phố tại Phố Hàng Quạt']","
 Cần bán ngôi  nhà mặt phố Hàng Quạt, P. Hàng Gai, Q. Hoàn Kiếm.Thông tin: Thửa đất vuông, DT 70 mét  vuông, có bìa  đỏ riêng, chính chủ. Nhà xây 3 tầng cũ hiện đang vừa ở vừa KD.- Do không còn nhu cầu sử dụng, cần bán để chia cho con cháu.- Thửa đất phù xây toà nhà hotel hoặc nhà hàng. Phố Hàng Quạt gần hồ Gươm nhưng không thuộc tuyến đi bộ, nên giao thương thoải mái 24/24, đường rộng 3 oto tránh, có vỉa hè 2m.- Gia đinh ở và sinh sống lâu đời tại đây, mong muốn bán cho quý KH có nhu cầu thực, tôi miễn  MG, trung gian.call  ngay: 0903 444 *** Anh Trường. Cảm ơn đã xem tin. 
",Nhà mặt phố, 19/11/2023,17/12/2023,Bán,2639466,3
"
Cần bán gấp nhà phố 1 tầng, 17 m2, mặt tiền 3m tại Đường Tạ Hiện - Hoàn Kiếm, giá 4.9 tỷ
","
4,9
Tỷ ","
17
m2
","['Hà Nội', 'Quận Hoàn Kiếm', 'Mua bán Nhà mặt phố tại Đường Tạ Hiện']","
 Gia đình muốn nghỉ tuổi già lên bán.Phố Tạ Hiện là con phố lõi HK, nơi khách du lịch muốn ở lại lâu nhất khi đến HN, phố ăn uống, chơi bời, thâu đêm suốt sáng. Nơi hiệu suất KD vô địch.Nhà nằm ngay gần với phố Hàng Buồm, nhà hiện đang tự kd VP công ty du lịch mỗi tháng nhẹ 50 tr/1th.Nhà xây chắc chắn công năng đủ, 1 PN, 1  toilet.bìa  đỏ vuông  vức.Giá 4.9 tỉ.Alo anh Thiện (Miễn TG).Chuyên gia BDS và XD. 
",Nhà mặt phố, 19/11/2023,17/12/2023,Bán,2639465,1
"
Cần bán nhanh căn 3 phòng ngủ, 133 m2, giá 4 tỷ tại Đường Trần Hữu Dực - Nam Từ Liêm - Hà Nội
","
4
Tỷ ","
133
m2
","['Hà Nội', 'Quận Nam Từ Liêm', 'Mua bán Căn hộ chung cư tại Đường Trần Hữu Dực']","
 chung  cư : 124 mét  vuông và 133 mét  vuông Thiết kế : 3pn2vs 2 ban công rộng.Nội thất : vừa thiết kế và làm lại toàn bộ nội thấtGiá : 32tr/m2SHR chính chủ sẵn sàng giao dịchgọi  ngay : 0338 890 *** 0833 928 *** 
",Căn hộ, 19/11/2023,17/12/2023,Bán,2639464,3
"
Cần bán nhanh căn chung cư 536A Minh Khai, 2 phòng ngủ, 75 m2, giá 3.15 tỷ tại Hai Bà Trưng
","
3,15
Tỷ ","
75
m2
",['Mua bán Căn hộ chung cư  536A Minh Khai'],"
 Tôi cần tiền gấp cần bán chung  cư 536A Minh Khai, Q. Hai Bà Trưng.DT 75m2, căn  hộ  góc tầng trung, thiết kế 2 PN, 2  phòng  vệ  sinh, nội thất full đẹp chỉ việc ở, bìa  đỏ chính chủ. Khu dân trí cao nhiều tiện ích.giá 3,15 tỉ.a/c quan tâm thông tin và xem nhà hotline e Liên: 0869 916 *** 
",Căn hộ, 19/11/2023,17/12/2023,Bán,2639424,2
"
Bán nhà sổ hồng riêng 3 tầng, 35 m2, mặt tiền 4m tại Đường Tố Hữu - Hà Đông, giá 1.93 tỷ
","
1,93
Tỷ ","
35
m2
","['Hà Nội', 'Quận Hà Đông', 'Mua bán Nhà riêng tại Đường Tố Hữu']","
 Giảm giá 250 tr bán  nhanh nhà trong tháng 7 âm lịch. Chỉ còn 1.93 tỉ.* Vị trí: Kết bạn zalo số 0988 074 *** để nhận định vị clip chỉ đường của nhà.Cách AONE 2  kilomet.Sát KĐT Đô Nghĩa - Hà Đông.Cạnh ngay BV Nhi thành  phố  Hà  Nội đang khởi công xây dựng.oto Morning đỗ gần, xe 7 chỗ đỗ trước nhà. Ngõ 4 m.Nhà xây 4 tầng có 3 ngủ và 2 phòng  vệ  sinh.DT đất 35  mét  vuông:* Hoàn thiện nội thất đẹp như hình, chỉ mang đồ về ở.Tầng 1: pk + bếp ăn.Tầng 2 + 3: Gồm 3 PN, 1 phòng thờ.Tầng 4: Sân phơi.* Nội thất:Cầu thang gỗ Lim.Cửa thông phòng gỗ. Tủ bếp hiện đại.Cửa nhôm chất lượng, cửa chính gỗ Lim cực sang trọng.Thiết bị vệ sinh cao cấp, trần thạch cao sáng đẹp.Sơn cao cấp. Bồn nước Sơn Hà. Máy bơm nước tiện lợi.Dây điện Trần Phú, ống nhựa Tiền Phong bền bỉ chất lượng.Đá ốp cầu thang hoa cương tự nhiên.* bìa  đỏ đầy đủ, pháp  lí minh bạch rõ ràng.Hỗ trợ NH tối đa 70 phần  trăm giá trị cho khách có nhu cầu vay vốn. Chỉ cần có từ 400 - 500tr có thể mua đc nhà.Giá hoàn thiện như hình về ở ngay là 1 tỉ 930 tr.liên  lạc để xem nhà.ĐT: 0988 074 ***. 
",Nhà riêng, 19/11/2023,17/12/2023,Bán,2639421,3
