Title,Price,Area,Address,Gen_descrip,Loại hình,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Tình trạng pháp lý,Hướng nhà,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách
"
Căn 3PN view Sông đẹp nhất dự án HC Golden City - giá 5tỷ quà tặng 280tr miễn phí DV
","
5
Tỷ ","
102
m2
",['Mua bán Căn hộ chung cư  HC Golden City'],"
 Thông tin mô tả:Vị trí dự án:* Chỉ cách Phố Cổ, cầu Chương Dương 1km. HC Golden City sản phẩm chung cư cao cấp của Bộ Quốc Phòng được đông đảo khách hàng phía bên kia Cầu rất tin tưởng và ủng hộ lựa chọn làm nơi để nghỉ ngơi sau 1 ngày dài làm việc.* Vị trí được đánh giá là đẹp nhất, tiềm năng nhất khu vực Long Biên khi nằm trên trục đường Hồng Tiến hiện đang nối tiếp qua khu vực Ngọc Thụy với công trình cầu vượt sắp sửa tiến hành giai đoạn 4.- Dự án nằm trên mặt đường dát vàng Hồng Tiến.- 2 Tầng TMDV, 2 tầng hầm.- Bao quanh bởi shophouse, liền kề.- Đường nội khu sạch sẽ, thoáng mát, hạn chế xe cộ.- Công viên - vườn hoa phường Bồ Đề nằm ngay dưới chân dự án.- Chỉ mất 5' di chuyển sang Phố Cổ.- Cách cầu Chương Dương chỉ 1KM.==================================Thông tin căn hộ:Chỉ 5 tỷ sở hữu ngay căn 3PN + 2WC 102m² full nội thất cao cấp tại HC Golden City. Thông tin chi tiết căn hộ:- Diện tích thông thủy: 102m².- Phòng khách + phòng ăn: 38m².- Phòng Bếp: 6.58m².- Phòng ngủ: 17.92m² - 14.92m² - 10.97m².- 2 WC mỗi phòng: 4m² - 4.92m².- 2 logia.- Giá bán: 5 tỷ.* Hình thức sở hữu: Sổ hồng lâu dài.================================Chính sách ưu đãi cho căn hộ:+ Tặng quà tân gia trị giá 100 triệu.+ Miễn phí 2 năm phí dịch vụ.+ Tặng thẻ tập gym vip 1 năm.================================Nội thất bàn giao đầy đủ đồ liền tường cao cấp bậc nhất Long Biên (trị giá 500tr).- Tủ bếp trên dưới gỗ Gõ Đỏ, thiết bị bếp Hafele, máy lọc nước Kangaroo.- Tủ âm tường, tủ giày gỗ Gõ đỏ tự nhiên.- Thiết bị vệ sinh, bồn rửa mặt, vách kính tắm. Vòi sen, nóng lạnh Kohler.- Sàn gỗ Lim Nam Phi nhập khẩu, cửa chính gỗ chống cháy khóa từ Hafele, cửa phòng gỗ Lim Nam Phi, khóa vân tay.- Điều hòa âm trần VRV hai chiều lấy gió tươi tự nhiên.- Giàn phơi thông minh, cửa kính chống tia cực tím 3 lớp, rèm các cửa.- Giấy dán tường cao cấp, chống ẩm, chống khuẩn, dễ dàng vệ sinh.================================* Dự án đã bàn giao cho quý cư dân về ở.* Nhận nhà ở ngay Quên đi nỗi lo mua nhà trên giấy.* Giấy tờ chính chủ, thủ tục nhanh gọn.
",Căn hộ, 15/11/2023,13/12/2023,Bán,2261614,,,,,,,,,,,,,,,,
"
Nhận nhà ở ngay - sổ đỏ trao tay, căn hộ 2 PN 2 VS chỉ từ 2,2 tỷ - Full nội thất cao cấp
","
2,2
Tỷ ","
63
m2
",['Mua bán Căn hộ chung cư  Eco City Việt Hưng'],"
* Mở bán quỹ căn ngoại giao giá chỉ từ 2,2x tỷ /căn.+ Căn hộ 2PN - 2VS diện tích 63m²- Phòng bếp thiết kế quầy bar sang trọng, có logia thông thoáng, giảm mùi tối đa.- Phòng ngủ có logia riêng, diện tích lớn, view trực diện công viên nội khu và bể bơi.- Phòng vệ sinh rộng rãi, có vách kính đứng.- Thiết kế căn hộ theo tiêu chuẩn 5 sao.- Hình thức sở hữu: Sổ hồng lâu dài.+ Miễn phí 1 năm Phí dịch vụ vận hành* Liên hệ trực tiếp phòng kinh doanh chủ đầu tư:  0839 62 8*** ( Mr. Trung Kiên) -------------------------------------------* Bàn giao full nội thất liền tường nhập khẩu cao cấp.+ Sàn gỗ nhập khẩu Đức, trần thạch cao.+ Thiết bị vệ sinh ToTo, vách tắm đứng, tủ gỗ Lavabo.+ Điều hòa 2 chiều Mitsubishi.+ Tủ bếp trên + dưới, bếp từ, hút mùi Hafele.+ Hệ thống cửa chính, cửa ngăn phòng, thiết bị chiếu sáng đầy đủ.--------------------------------------------- Vị trí vàng: Nằm trong khu đô thị mới Việt Hưng, ngay cạnh Vincom Long Biên và nhiều địa điểm khác rất gần & thuận tiện (TTTM Savico Long Biên, Aeon Mall Long Biên, BVĐK Đức Giang... ).- Hệ thống cơ sở hạ tầng đồng bộ: Đường sá, trường học, y tế, siêu thị, khu vui chơi, bể bơi ngoài trời, gym, cafe, BBQ, shophouse... Rất tiện lợi!- Đặc biệt Eco City Việt Hưng còn được hưởng lợi từ dự án Vinhomes Riverside nằm ngay bên cạnh với các hệ thống cơ sở hạ tầng phát triển, khuôn viên đẹp & được triển khai xây dựng đồng bộ cùng với những lợi thế về vị trí.Liên hệ phòng kinh doanh của chủ đầu tư để được nhận hỗ trợ tư vấn và đăng ký xem thực tế căn hộ 24/7: *** Hotline: 0839 62 83***Mr Trung Kiên
",Căn hộ, 15/11/2023,29/11/2023,Bán,2289489,Sổ đỏ,Đông-Bắc,,,,,,,,,,,,,,
"
Chcc A4 Hàm Nghi, MĐ tầng 5. gia chỉ có 4 tỷ với diện tích 126m2
","
4
Tỷ ","
126
m2
","['Hà Nội', 'Quận Nam Từ Liêm', 'Mua bán Căn hộ chung cư tại Đường Hàm Nghi']","
Chcc A4 Hàm Nghi, MĐ tầng 5.Dt = 126,4m², 3N, 2Wc, nội thất đẹp, căn góc thoáng tất cả các phòng, góc Nguyễn Đổng Chi, Hàm Nghi, gần khu VinCom Hàm Nghi, 300m tới Hồ điều hòa, chân tòa nhà là chợ, siêu thị... Tiện ích bạt ngàn, khu này tập hợp các trường từ mầm non tới đại học...Pháp lý: Sđcc.Giá chỉ có 4,1 tỷ.Call, zalo: 0912 607 ***.Miễn: MG, TG, Qc.
",Căn hộ, 15/11/2023,13/12/2023,Bán,2631506,,,,,,,,,,,,,,,,
"
Chính chủ tôi bán căn nhà 3Tầng khung BTCT tại số 34 ngõ 21/59 Lê Đức Thọ, Mỹ Đình
","
9,8
Tỷ ","
64
m2
","['Hà Nội', 'Quận Nam Từ Liêm', 'Mua bán Nhà riêng tại Đường Lê Đức Thọ']","
Chính chủ tôi bán căn nhà 3Tầng khung BTCT tại số 34 ngõ 21/59 Lê Đức Thọ, Mỹ Đình (Ngõ sau nhà 14 - 16 Lê Đức Thọ).- S= 64m² (7.4x8.6), Hướng Đông Bắc, Gồm 3PN lớn, 3Wc, bếp, p. Khách, p. Thờ.- Nhà mới sửa đẹp đẽ, diện tích xây 50m2x3 tầng, còn lại chỗ để xe ô tô rộng.- Ngõ ô tô vào thẳng nhà quay xe, ngõ sạch sẽ, văn minh.- Nhà cách sân Mỹ Đình 600m, bến xe Mỹ Đình 1km, giao thông, tiện ích, dịch vụ bao quanh, gần trường TH, TRH, ĐH...Giá bán: 9.8 tỷ (có TL cho khách nhiệt tình).LH: Chính chủ: 0912 607 ***.Miễn: TG, MG, QC vui lòng ko làm phiền.Cảm ơn đã đọc tin!
",Nhà riêng, 15/11/2023,13/12/2023,Bán,2631500,Sổ đỏ,Đông-Bắc,,,,,,,,,,,,,,
"
Tin thật 100%, Tập thể Đại học Sư Phạm Hà Nội, ngõ ô tô, full nội thất - Thùy Cầu Giấy
","
2,15
Tỷ ","
70
m2
","['Hà Nội', 'Quận Cầu Giấy', 'Mua bán Căn hộ chung cư tại Phố Trần Quốc Hoàn']","
- Ngay sát Đại học Sư phạm HN, ngõ ô tô rộng thênh thang- Khu dân trí cao, toàn giáo sư về hưu- Nhà cực đẹp, full nội thất, chỉ cần xách vali về ở- Full công năng, 1 gia đình ở thoải mái- Sổ chính chủ, giao dịch phút mốtCòn rất nhiều nhà đẹp khác cùng phân khúc, A/c vui lòng liên hệ Mrs Thùy 0938460*** / 0332671*** (MIỄN TRUNG GIAN)*** THÙY CẦU GIẤY ***- KHO NHÀ CỰC LỚN - QUẬN CẦU GIẤY- UY TÍN - TẬN TÂM - CHUYÊN NGHIỆP1ab.a.a7.327.tqh
",Căn hộ, 15/11/2023,13/12/2023,Bán,2631497,Sổ đỏ,,,,,,,,,,,,,,,
"
Chuyển Nhượng căn Penthouse 300m2 (Bàn Giao thô) toà Dreamland Bonanza mặt phố Duy Tân .Q Cầu Giấy
","
Thỏa thuận
","
303
m2
",['Mua bán Căn hộ chung cư  Dreamland Bonanza'],"
Siêu phẩm Biệt thự trên cao Penthouse/SkyVilla Bonanza tọa lạc tầng 32 đẹp nhất Phố Duy Tân Cầu Giấy.Nơi hưởng thụ không gian sống riêng tư - sang trọng .==========================Tổng diện tích: 300m². Trong đó:- Diện tích tầng 1: 180m² - Tầng 2: 120m².- Diện tích khoảng ban công 17m2.Thiết kế: (4 - 5 phòng ngủ - 5 wc). Độ cao trần phòng khách: 6.6m. Mỗi tầng cao 3.3m.- Bàn giao: Thô.- Có bể bơi, gym, golf, bóng bàn, yoga, sân chung nằm tại tầng 6  và 7 toà nhà.- Tầng 1 2 là khối thương mại ngân hàng & Siêu thị đã đi vào vận hành.==========================Đặc biệt căn Penthouse sở hữu view siêu thoáng nằm trên tầng cao nhất toà nhà,  công viên cầu giấy, trường ĐH quốc gia HNTất cả các phòng đều có ánh sáng, cửa Full kính, Ngoài ra có sẵn các tiện ích toà nhà chủ nhân được sử dụng miễn phí trong 2 năm.Chủ nhân sở hữu căn Penthouse được sử dụng thang riêng biệt.Khách hàng quan tâm, muốn sở hữu căn nhà đẳng cấp trêm phố Duy Tân liên hệ em để xem nhà:Hotline: Zalo/viber: 0987 106  521Trân trọng!
",Căn hộ, 15/11/2023,29/11/2023,Bán,2098669,Sổ hồng,Đông-Bắc,,,,,,,,,,,,,,
"
Penthouse 300m2 thiết kế Duplex Bonanza Phố Duy Tân - Cầu Giấy ( bàn giao thô) LH 0987106***
","
Thỏa thuận
","
303
m2
",['Mua bán Căn hộ chung cư  Dreamland Bonanza'],"
Siêu phẩm Biệt thự trên cao Penthouse/SkyVilla Bonanza .tầng 32 đẹp nhất Phố Duy Tân - Q.Cầu Giấy.==========================Tổng diện tích: 300m². - Diện tích tầng 1: 180m² - Tầng 2: 120m².- Diện tích khoảng ban công 17m.Thiết kế: (4 - 5 phòng ngủ - 5 wc). Độ cao trần phòng khách: 6.6m. Mỗi tầng cao 3.3m.- Bàn giao: Thô.- Có bể bơi, gym, golf, bóng bàn, yoga, sân chung nằm tại tầng 6 7 toà nhà.- Tầng 1 2 là khối thương mại ngân hàng & Siêu thị đã đi vào vận hành.==========================Ngoài ra có sẵn các tiện ích toà nhà chủ nhân được sử dụng miễn phí trong 2 năm.Chủ nhân sở hữu căn Penthouse được sử dụng thang riêng biệt. 1 Slot để xe  Free 3 năm đầu dưới hầm.Sổ hồng sở hữu 50 nămGiá bán: 12 (tỷ). Giá tốt nhất cho căn Penthouse 300m2  tại Phố Duy TânKhách hàng quan tâm, muốn sở hữu căn nhà đẳng cấp trêm phố Duy Tân liên hệ em để xem nhà:Hotline: Zalo/viber: 0987 106 ***Trân trọng !!! 
",Căn hộ, 21/09/2023,30/11/2023,Bán,2137490,Sổ hồng,Tây-Nam,,,,,,,,,,,,,,
"
Siêu phẩm Penthouse The Zei Plaza 329m2 ( thiết kế Duplex) Bàn giao thô Hotline 0987106***
","
Thỏa thuận
","
329
m2
",['Mua bán Căn hộ chung cư  The Zei Mỹ Đình'],"
Biệt Thự Nghỉ Dưỡng Trên Cao – Penthouse The Zei Plaza – Mỹ Đình   Penthouse The Zei nơi hưởng thụ không gian sống đẳng cấp giới hạn – riêng biệt – đẳng cấp. Với tầm view Full kính ngắm toàn thành phố. View toàn cảnh không gian mở.================================+ Penthouse  The Zei. Thiết kế Dạng Duplex – sân vườn ngoài trời, - Diện tích:  329m2  - Lầu  40 - 41  (phong thuỷ cực đẹp, 5 phòng ngủ, 5 toilet),- Ban công: Đông Bắc. - Tây băc -  Chiều cao trần 6,7m giúp cho phòng khách thông thoáng. Đầy sang trọng..   Hiện trạng bàn giao thô , Chủ nhận thoả sức không gian sáng tạo riêng theo Gu thẩm mỹ của mìnhVị trí toà nhà là tâm điểm trung tâm Mỹ Đình. Tiền ích đầy đủ ,giao thông thuận tiện di chuyển đến các điểm khu vực TT Thành Phố,Với thiết kế nổi bật , các phòng được bố trí Full kính lấy ánh sáng từ bên ngoài,Giá bán:  23 tỷ - 24.4 tỷ/căn penthouseVới Chiều dài ban công  sân vườn Siêu rộng. Được bố ngoài trời. trồng cây xanh mang không gian sống xanh riêng biệt cho căn Penthouse.Nhận thông tin mặt bằng – báo giá chi tiết từng căn !!!Hotline: 0987 106 *** trân trọng !!!
",Căn hộ, 02/11/2023,30/11/2023,Bán,2606989,Sổ hồng,Đông-Bắc,,,,,,,,,,,,,,
"
Biệt thự trên cao - Penthouse The Zei Plaza Mỹ Đình 329m2 đẳng cấp - giới hạn ( bàn giao thô)
","
Thỏa thuận
","
329
m2
",['Mua bán Căn hộ chung cư  The Zei Mỹ Đình'],"
Biệt Thự Nghỉ Dưỡng Trên Cao – Penthouse The Zei Plaza – Mỹ Đình   Penthouse The Zei nơi hưởng thụ không gian sống đẳng cấp giới hạn – riêng biệt – đẳng cấp. Với tầm view Full kính ngắm toàn thành phố. View toàn cảnh không gian mở.================================+ Penthouse  The Zei. Thiết kế Dạng Duplex – sân vườn ngoài trời, - Diện tích:  329m2  - Lầu  40 - 41  (phong thuỷ cực đẹp, 5 phòng ngủ, 5 toilet),- Ban công: Đông Bắc. - Tây băc -  Chiều cao trần 6,7m giúp cho phòng khách thông thoáng. Đầy sang trọng..   Hiện trạng bàn giao thô , Chủ nhận thoả sức không gian sáng tạo riêng theo Gu thẩm mỹ của mìnhVị trí toà nhà là tâm điểm trung tâm Mỹ Đình. Tiền ích đầy đủ ,giao thông thuận tiện di chuyển đến các điểm khu vực TT Thành Phố,Với thiết kế nổi bật , các phòng được bố trí Full kính lấy ánh sáng từ bên ngoài,Giá bán:  23 tỷ - 24.4 tỷ/căn penthouseVới Chiều dài ban công  sân vườn Siêu rộng. Được bố ngoài trời. trồng cây xanh mang không gian sống xanh riêng biệt cho căn Penthouse.Nhận thông tin mặt bằng – báo giá chi tiết từng căn !!!Hotline: 0987 106 *** trân trọng !!!
",Căn hộ, 02/11/2023,30/11/2023,Bán,2607319,Sổ hồng,Tây-Bắc,,,,,,,,,,,,,,
"
Cần bán căn biệt thự song lập gamuda 160m2 vị trí đẹp giá 28 tỷ LH 0977699***
","
28
Tỷ ","
160
m2
","['liền kề  Khu đô thị Gamuda Gardens', 'Mua bán Nhà biệt thự']","
Biệt thự gamuda 160m2 xây 3,5 tầng, 85m2/sàn, xây thô hoàn thiện mặt ngoài.nằm vị trí đắc địa đẹp, thoáng.giá bán: 28 tỷ bao phí có thương lượng.LH chi tiết 0977699***
","Nhà biệt thự, liền kề", 20/10/2023,17/11/2023,Bán,2444317,Sổ đỏ,Tây-Bắc,,,,,,,,,,,,,,
