Title,Price,Area,Address,Gen_descrip,Loại hình,Số phòng ngủ,Ngày đăng,Ngày hết hạn,Loại tin,ID tin
"
Bán nhanh nhà đất 45 m2 tại Đường Láng - Thịnh Quang - Đống Đa - Hà Nội, giá 6.8 tỷ
","
6,8
Tỷ ","
45
m2
","['Hà Nội', 'Quận Đống Đa', 'Mua bán Nhà riêng tại Đường Láng']","
 - ngôi  nhà nằm trên vị trí rất đắc địa, phố Yên Lãng, ngõ đẹp thoáng phân lô, ô  tô đỗ cửa, an  sinh  xã  hội tuyệt đỉnh, gần các tuyến phố lớn, hoàng cầu, thái thịnh, Đường Láng...- Tiện ích xung quanh không thiếu thứ gì, gần nhiều trường  DH, BV, siêu thị...- Gia chủ ở nhà rất có lộc , nhà vừa  xây sửa đc 3 năm , cần bán để sang Nước Đức cùng Con Trai,- Nhà đích thân gia chủ thiết kế, xây dựng nội thất đẹp long lanh, chắc chắn vô cùng.- Xây dựng DT 45m, tổng 4 PN, cầu thang giữa,  p.khách, bếp, ban thờ, sân phơi đầy đủ công năng sửu dụng.bìa  đỏ vuông đẹp không lỗi phong thủy, giao dịch ngay.gọi  ngay: Em Tuyến 0969 023 *** - hỗ trợ công chứng, tư vấn xem nhà 24/7. 
",Nhà riêng,4, 30/11/2023,28/12/2023,Bán,2659793
"
Chuyển nhượng nhà đất 5 tầng, 22 m2, mặt tiền 3m tại Đường Nguyễn Lương Bằng - Đống Đa, giá 2.7 tỷ
","
2,7
Tỷ ","
22
m2
","['Hà Nội', 'Quận Đống Đa', 'Mua bán Nhà riêng tại Đường Nguyễn Lương Bằng']","
 2 tỉ NHỈNH CÓ NHÀ ĐẸP siêu  hiếm ĐỐNG ĐA - NGÕ ĐẸP - ĐI BỘ RA VƯỜN HOA TẬP THỂ DỤC. MÔ TẢ:+ nhà mặt ngõ ba gác rộng cực thoáng sáng ,MT rộng,thiết kế rất hợp lý.+ Khu vực phát triển mạnh, giá đất tăng từng ngày, mua về sẵn nhà dân xây kiên cố chắc chắn. + Gần các trường  Tiểu  học,2,3 Đống Đa, các trường  đại  học lớn thành  phố  Hà  Nội, các BV lớn như Bạch Mai tiện ích bạt ngàn- an  sinh  xã  hội đỉnh- ở sướng. Thiết kế:Tầng 1: Để xe ( do 2 vk ck không dùng hết DT )Tầng 2, 3: Mỗi tầng 1 PN +  toilet. ( rất thoáng , hợp lý so với DT )Tầng 4: Phòng ăn - bếp -  toilet Tầng 5: Phòng thờ - sân phơi . Sổ vuông đẹp như tờ A4***gọi  ngay chị Nga 0372 596 *** 
",Nhà riêng,3, 30/11/2023,28/12/2023,Bán,2659792
"
Sở hữu nhà shr 3 tầng, 56 m2, mặt tiền 7m tại Đường Đội Cấn - Đội Cấn - Ba Đình, giá 6.1 tỷ
","
6,1
Tỷ ","
56
m2
","['Hà Nội', 'Quận Ba Đình', 'Mua bán Nhà riêng tại Đường Đội Cấn']","
 DT bìa  đỏ 56m2, MT rộng 7m.ngõ  tương  đối  rộng 2 oto tránh nhau, cách phố Đội Cấn, 20m, có quy hoạch mở đường Vạn Phúc tương lai càng đẹp.Nhà xây 3 tầng thiết kế bố trí hợp lý.+ Tầng 1: pk + bếp + Phòng ăn + Sân.+ Tầng 2 + 3: Mỗi tầng 2 phòng +  toilet.Tiện ích đầy đủ, gần nhiều trường  cấp  1,2,3, 100m ra chợ.Giá 6.1 tỉ.KH quan tâm call  ngay Hiếu 0906 298 *** 
",Nhà riêng,4, 30/11/2023,28/12/2023,Bán,2659787
"
Bán căn nhà 5 tầng, 30 m2, mặt tiền 4m tại Đường Văn Cao - Liễu Giai - Ba Đình, giá 3.7 tỷ
","
3,7
Tỷ ","
30
m2
","['Hà Nội', 'Quận Ba Đình', 'Mua bán Nhà riêng tại Đường Văn Cao']","
 Cần bán ngôi  nhà vị trí cực đẹp ngõ phố Văn Cao Hoàng Hoa Thám, Liễu Giai, Ba Đình DT 30 mét  vuông xây 5 tầng, gồm 3 PN, 4 vệ sinh, phòng thờ sân phơi rộng rãi, nhà cách phố chỉ 50m, cách Hồ Tây 200m, ngõ thoáng đi lại thuận tiện, gần trường  Tiểu  học,2,3 Chu Văn An. Giá 3.7 tỉ (có thỏa  thuận) L/H Anh Kiên 0973 581 *** để xem nhà (miễn TG, MG). 
",Nhà riêng,3, 30/11/2023,28/12/2023,Bán,2659786
"
Sở hữu ngay nhà đẹp 5 tầng, 48 m2, mặt tiền 5m tại Đường Ngọc Thụy - Long Biên, giá 3.75 tỷ
","
3,75
Tỷ ","
48
m2
","['Hà Nội', 'Quận Long Biên', 'Mua bán Nhà riêng tại Đường Ngọc Thụy']","
 👉 BÁN NHÀ NGỌC THUỴ - MỚI TINH - 48m x 5 TẦNG - NGÕ oto SÁT NHÀ - 3 tỉ nhỉnh👉🔥Duy Nhất 1  căn_Phố Ngọc Thụy_Long Biên_Gia Thượng _Gần Trường Quốc tế Việt Pháp. 🔥DT 48m ,_5 tầng nhà mới.3 PN. Ngõ riêng , cổng riêng để 10 xe máy...😄⚡Giá : 3.x tỉ có thỏa  thuận.Gần hồ điều hòa, đường trước nhà rộng rãi - 30m ra oto. Đi bộ ra công viên Ngọc Thụy _10m nên Cầu Chương Dương sang tttp⚡Ảnh Chuẩn 100 phần  trăm📕pháp  lí chuẩn 100 phần  trăm ✔️ Hỗ trợ vay vốn NH 70 phần  trăm giá trị nhà đất ✔️ Hỗ trợ đàm phán giá  siêu  mềm nhất ☎️ L/H ngay chị Thu 0977 318 *** 
",Nhà riêng,3, 30/11/2023,28/12/2023,Bán,2659775
"
Cần bán ngay căn nhà riêng 5 tầng, 31 m2 tại Đường Ngọc Thụy - Ngọc Thụy - Long Biên, giá 4.5 tỷ
","
4,5
Tỷ ","
31
m2
","['Hà Nội', 'Quận Long Biên', 'Mua bán Nhà riêng tại Đường Ngọc Thụy']","
 oto vào nhà - trước nhà oto tránh - lô góc.+ Nhà vị trí vô cùng đẹp, Trước nhà oto tránh nhau thoải mái, Chủ cán bộ nhà nước Vị trí vô cùng đắc địa, gần chợ, bệnh viên, trường  cấp  1,2,3, xung quanh nhiều khu vui chơi ăn uống. Tiện ích vô vàn, an  sinh  xã  hội cực đỉnh.+ Thiết kế:Tầng 1: Khách + Bếp.Tầng 2: 1 Phòng + 1  nhà  vệ  sinh.Tầng 3: 1 Phòng + 1  nhà  vệ  sinh.Tầng 4: 1 Phòng + 1  nhà  vệ  sinh.Tầng 5: 1 Phòng + Sân phơi.bìa  đỏ sẵn sàng.L/H Sơn 0981 798 *** zalo để dc tư vấn free. 
",Nhà riêng,4, 30/11/2023,28/12/2023,Bán,2659774
"
Cần bán ngay nhà đẹp 4 tầng, 46 m2, mặt tiền 5m tại Phố Phương Mai - Đống Đa, giá 5.4 tỷ
","
5,4
Tỷ ","
46
m2
","['Hà Nội', 'Quận Đống Đa', 'Mua bán Nhà riêng tại Phố Phương Mai']","
 Nhà chính chủ vợ chồng cán bộ chuyển công tác, muốn gấp ngôi  nhà rất có lộc, tọa lạc trên vị trí tuyệt đẹp, phố Phương Mai, trung tâm Q. Đống Đa.Ngõ thông khắp ngả, khu phân lô yên tĩnh ngày đêm, gần chợ nhiều trường học lớn, đi đâu cũng rất tiện.Nhà đích thân chủ xây dựng thiết kế, khung cột chắc chắn, nội thất long lanh chủ có  thiện  chí tặng lại hết.Xây dựng DT tổng 46m, 4 tầng, tổng 4 PN, cầu thang giữa, phòng rất rộng.+ bìa  đỏ chính chủ vuông đẹp sẵn sàng giao dịch ngay.contact: Em Tuyến 0969 023 ***- hỗ trợ công chứng, tư vấn xem nhà free 24/7. 
",Nhà riêng,4, 30/11/2023,28/12/2023,Bán,2659773
"
Cần bán gấp nhà đẹp 4 tầng, 40 m2, mặt tiền 5m tại Phố Hoàng Cầu - Đống Đa, giá 6.8 tỷ
","
6,8
Tỷ ","
40
m2
","['Hà Nội', 'Quận Đống Đa', 'Mua bán Nhà riêng tại Phố Hoàng Cầu']","
 Chủ cần bán  nhanh nhà vẫn đang sử dụng, rất có lộc khu phố vip Hoàng Cầu, trung tâm Q. Đống Đa, ô  tô đỗ cửa, giáp ranh đường hào nam, phố võ văn dũng, cạnh hồ hoàng cầu siêu  hiếm.Tiện ích xung quanh không thiếu thứ gì, khu vui chơi giải trí, công viên, siêu thị...Nhà chủ xây dựng chắc chắn, nội thất long lanh, khung cột, ở yên tích, tặng hết nội thất.Xây dựng nhà DT 40m, 4 tầng, tổng 4 PN cầu thang giữa, đầy đủ công năng sửu dụng cho cả hộ gia đình đông người.bìa  đỏ cực đẹp chính chủ, giao dịch 24/24.L/H: Em Tuyến 0969 023 ***- tư vấn xem nhà mọi lúc. 
",Nhà riêng,4, 30/11/2023,28/12/2023,Bán,2659772
"
Chuyển nhượng căn nhà 5 tầng, 80 m2, mặt tiền 5m tại Đường Cổ Linh - Long Biên, giá 10.8 tỷ
","
10,8
Tỷ ","
80
m2
","['Hà Nội', 'Quận Long Biên', 'Mua bán Nhà riêng tại Đường Cổ Linh']","
 * Sở hữu căn  nhà sang trọng - Thạch Bàn đẳng cấp*.- DT: 80 mét  vuông, 5 tầng, thiết kế đẳng cấp. MT 5.2m.+ Tầng 1: 2 nhà  để  xe ô  tô.+ Tầng 2: Lửng.+ Tầng 3,4, mỗi tầng 2 ngủ - vệ sinh.+ Tầng 5 sân phơi rộng + phòng thờ.- nhà  để  xe 2 ô  tô, 2 mặt thoáng, ngõ thông, tiện ích tuyệt vời.- đầy  đủ  nội  thất sang trọng, thang máy xò tiện lợi.* giá: 10,8 tỉ  VNĐ.liên  hệ  ngay: 0981 627 *** 
",Nhà riêng,5, 30/11/2023,28/12/2023,Bán,2659763
"
Chuyển nhượng căn nhà đẹp 4 tầng, 40 m2, mặt tiền 3m tại Phố Ngọc Trì - Long Biên, giá 4.3 tỷ
","
4,3
Tỷ ","
40
m2
","['Hà Nội', 'Quận Long Biên', 'Mua bán Nhà riêng tại Phố Ngọc Trì']","
 Bán nhà Ngọc Trì - oto đỗ cửa - nhà dân xây - 40 mét  vuông nhỉnh 4 tỉ.+ Vị trí đẹp, ngõ  tương  đối  rộng nông oto tránh xe máy, gần đường Cổ Linh giao thông thuận tiện.+ Chủ muốn chuyển nhà to, rất có  thiện  chí. bìa  đỏ vuông  vức.Gọi Nhung: 0348 689 *** 
",Nhà riêng,4, 30/11/2023,28/12/2023,Bán,2659762
