Title,Price,Area,Address,Gen_descrip,Loại hình,Tình trạng pháp lý,Hướng nhà,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Số phòng ngủ,Nội thất,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách,Hướng ban công,Số tầng,Căn góc
"
Bán đất Huyện Hoài Đức - Hà Nội giá thỏa thuận
","
Thỏa thuận
","
40
m2
","['Hà Nội', 'Huyện Hoài Đức', 'Mua bán Đất tại Đường Cao Trung 2']","
Tôi có mảnh đất 40m2 sổ đỏ chính chủ  tại xóm Hai Bà , Thôn Cao Trung , Xã Đức Giang , Huyện Hoài Đức, do không có nhu cầu ở nên nhượng lại.Đường trước nhà 2m, hướng Tây, cách đường ô tô 7 chỗ 20m,  cách đường 32 tầm 500m, trường học bệnh viện chợ bán kính 500m,  ngõ nông.Giá mong muốn 1 tỷ 450 triệu.Miễn trung gian
",Đất,Sổ đỏ,Tây, 13/11/2023,11/12/2023,Bán,2628527,,,,,,,,,,,,,,,,,,,
"
Chính chủ bán gấp đất Di Trạch, phân lô oto tránh, 120m, chỉ 8.5 tỷ
","
8,5
Tỷ ","
120
m2
","['Hà Nội', 'Mua bán Đất nền dự án tại Huyện Hoài Đức']","
ĐẤT DỊCH VỤ DI TRẠCH - PHÂN LÔ - VỈA HÈ OTO TRÁNH - SỔ HOA HẬU - KINH DOANH ĐỈNH CAO - GIÁ ĐẦU TƯ.✈✈✈+ Dịch vụ 16.32ha Di Trạch: 116m Đất, mặt tiền 10.4m, 8.5 tỷ.+ Vị trí cực đẹp, view KĐT Hindo Royal Park đang hoàn thiện diện mạo từng ngày, giá trị tăng cao.+ Sổ phân lô, sang tên ngay.liên hệ trực tiếp để xem đất và chốt cọc: 0919073***, môi giới dẫn khách mình gửi hoa hồng.
",Đất nền dự án,Sổ đỏ,, 13/11/2023,11/12/2023,Bán,2628188,,,,,,,,,,,,,,,,,,,
"
Bán nhà biệt thự, liền kề tại Dự án Khu đô thị Geleximco - Lê Trọng Tấn, Hà Đông, Hà Nội
","
6,5
Tỷ ","
80
m2
",['Mua bán Nhà mặt phố  Khu đô thị Geleximco'],"
Bán căn nhà liền kề mua đợt đầu vị trí đẹp, đường lớn gần công viên mặt tiền 5m diện tích 80m2.Nhà thô xây 4 tầng có sãn cầu thang và chờ thang máy, khách mua dễ dàng thiết kế theo ý muốn. Đáp ứng mọi nhu cầu ở và kinh doanhSổ đỏ sang tên dễ dàng nhanh chóngĐiện nước ngay đầu chờ chỉ việc kéo về sử dụngKhu vực gần bv, trường học, tttm. cư dân về ở đông vui, An ninh đảm bảo.
",Nhà mặt phố,Sổ đỏ,Nam, 13/11/2023,11/12/2023,Bán,2628053,,,,,,,,,,,,,,,,,,,
"
Sở hữu đất nền có tầm View ""Triệu Đô"" với mức giá ""Triệu Đồng""
","
16,9
Triệu ","
114
m2
","['Hà Nội', 'Mua bán Đất nền dự án tại Quận Hai Bà Trưng']","
🩸Bên cạnh vị trí đắc địa, sở hữu tầm nhìn vĩnh cửu BĐS "" VIEW SÔNG THƠ MỘNG "" mang đến cảm giác thanh bình, sự riêng tư và yên tĩnh tuyệt vời. 🩸Đất có diện tích 120m2 – 170m2, mặt tiền rộng 6m, hạ tầng cao, không ngập lụt. Đường thông quy hoạch 7m5 - 10m5- 15m, tiềm năng tăng giá cực cao. 🩸Đất ở đây phù hợp cho vợ chồng trẻ định cư lâu dài hay khách hàng có nhu cầu kinh doanh nhà hàng, quán ăn, coffee, homesaty. Vị trí: gần chợ, trường học từ mầm non – THPT, UBND, bệnh viện Quốc tế, gần khu công nghiệp … duy chuyển dễ dàng, cơ hội công việc cao. 💥 Đặc biệt lô đất nằm ở trung tâm tiện ích, cung cấp đầy đủ nhu cầu dân sinh và chỉ cách Phố cổ Hội An 3km. 🩸Đất nền gần chợ - Lợi thế kép cho đầu tư. Không phải ngẫu nhiên mà bất động sản gần chợ lại được săn đón ngày càng ráo riết. Người xưa đã từng đúc kết ""Nhất cận thị, nhị cận giang"", đề cập tới sự thuận tiện và những giá trị hữu hình mà nhà gần chợ, gần bến sông đem lại. ☎️Liên hệ: 0765 375 6***để được hỗ trợ xem đất, xem sổ.
",Đất nền dự án,Sổ đỏ,, 13/11/2023,11/12/2023,Bán,2628050,,,,,,,,,,,,,,,,,,,
"
Bán nhà liền kề 112,5 m2, giá 9,65 tỷ, khu Đô thị Xuân Phương Tasco, Quốc Hội, Nam Từ Liêm, Hà Nội
","
9,65
Tỷ ","
112,5
m2
","['Hà Nội', 'Quận Nam Từ Liêm', 'liền kề tại Đường 70', 'Mua bán Nhà biệt thự']","
Mô tả: Bán nhà liền kề xây thô diện tích 112,5 m2, mặt tiền 6m, xây 4 tầng. Đường trước mặt 9m. Khu Đô thị Xuân Phương Tasco, Quốc Hội.Hướng: Tây - Nam.  Pháp lý: HDMB.Địa chỉ: Foresa 8, Đường 70, Quận Nam Từ Liêm, Hà Nội.
","Nhà biệt thự, liền kề",Giấy tờ hợp lệ,Tây-Nam, 13/11/2023,11/12/2023,Bán,2628057,,,,,,,,,,,,,,,,,,,
"
Nhận nhà ở ngày, căn hộ 3PN, tầng đẹp, tại HC Golden City, giá chỉ 3.85 tỷ full nội thất liền tường
","
3,85
Tỷ ","
82
m2
",['Mua bán Căn hộ chung cư  HC Golden City'],"
Trực tiếp chủ đầu tư căn hộ 3PN, diện tích 82m2, tầng 5.Hướng căn hộ: Cửa chính Tây Bắc, ban công Đông Bắc, Tây Bắc.* Bố trí căn hộ:- Phòng khách và phòng ăn: 28.1m2.- Phòng bếp: 6.75m2.- Phòng ngủ 1,2,3 lần lượt là: 8,75m2; 10.38m2; 14.41mm2.- 2 wc: 3.48m2 và 4.6m2.- 2 ban công: 2.8m2 và 3.9m2.* Nội thất bàn giao cao cấp; nhập khẩu:- Điều hòa âm trần Daikin + Hệ thống hút - đẩy gió tươi.- Hệ thống trần âm cách điệu phào Hàn và tường dán, thiết Kế theo phong cách tân cổ điển.- Hệ thống sàn, cửa chính + khóa từ, cửa thông phòng chất liệu gỗ Lim và chậm cháy.- Cửa ban công - cửa kính 3 lớp Low - E3, chống tia bức xạ, cực tím, cách âm, cách nhiệt.- Hệ thống tủ bếp, tủ đồ các phòng chất liệu là gỗ Gỗ Thịt.- Full thiết bị phòng bếp NK Đức. Thiết kế quầy bar sang trọng và hiện đại.- Full thiết bị WC đồng bộ NK Thái Lan, thiết bị báo & xử lý cháy NK USA.- Chuông báo khách màn hình Panasonic, đón khách từ sảnh lễ tân.Dự án HC Golden City được coi là độc nhất vô nhị trên tuyến đường dát vàng Hồng Tiến - Tuyến đường Cổ Linh kéo dài kết nối 3 cây cầu - Cầu Vĩnh Tuy, cầu Trần Hưng Đạo, cầu Chương Dương - được thừa Hưởng vị trí vàng thuận tiện kết nối, nơi kinh doanh đầu tư sầm uất nhất Quận Long Biên. Không có dự án thứ 2 có vị trí đẹp như này;- Ngay cạnh là bệnh viện đa khoa Tâm Anh, công viên vườn hoa Bồ Đề.- Các Hồ Gươm trung tâm Hà Nội 5 phút đi xe.- Cách hệ thống trường cấp 1, 2, 3 Quốc Tế Wellspring Hà Nội 200m.- Cách cầu Trần Hưng Đạo, Cầu Chương Dương, Cầu Long Biên 500m.- Cách trung tâm hành chính quận Long Biên 3km.- Cách trung tâm mua sắm Aeon Mall Long Biên, BIG C Long Biên 5 phút đi xe.- Cách sân golf Long Biên: 2km.Dự án đã chính thức bàn giao nhà và cư dân đã về ở. Quý khách có thể tham quan căn hộ mẫu và trải nghiệm Web: https://hcgoldencity.vn/
",Căn hộ,,, 17/10/2023,14/11/2023,Bán,1715934,3,Có,,,,,,,,,,,,,,,,,
"
Bán cc Hồ Gươm Plaza, Hà Đông, Siêu Phẩm TIện Ích, chỉ 1,5 tỷ (30%) nhận nhà ở ngay, 0559845***
","
Thỏa thuận
","
120
m2
",['Mua bán Căn hộ chung cư  Hồ Gươm Plaza'],"
Căn hộ chung cư mặt đường Trần Phú đẹp long lanh đón tết, dự án Hồ Gươm Plaza, Hà Đông- 3 phòng ngủ, 2 vệ sinh, diện tích rộng, ở sướng.- Khu vực trung tâm đất học quận Hà Đông, đi lại thuận tiện khắp nơi.- Tiện ích đầy đủ: Siêu thị Big C, bể bơi 4 mùa, rạp chiếu phim CGV, Điện Máy Xanh, nhà hàng, Highland coffee, khu vui chơi trẻ em,...- Ga đường sắt Cát Linh - Hà Đông ngay gần.
",Căn hộ,,, 13/11/2023,11/12/2023,Bán,2628023,,,,,,,,,,,,,,,,,,,
"
Bán 4 Lô Shop TMDV 1800m2 khối đế Tầng (1 - 2) Toà nhà Deamland Bonaza Số 23 Duy Tân _ Cầu Giấy
","
Thỏa thuận
","
1800
m2
",['Mua bán Nhà phố thương mại Shophouse  Dreamland Bonanza'],"
HOT - SHOPHOUSE TMDV MẶT PHỐ DUY TÂN LỢI NHUẬN ĐẦU TƯ CHO THUÊ HẤP DẪN – SẴN HĐ THUÊ DÀI HẠNChủ đầu tư mở  bán  Lô Shophouse TMDV tại. Tầng 1 – 2 DreamdLand Bonanza. Số 23 Duy Tân – Cầu Giấy  2 Lô mặt tiền chính Sàn tại tầng 1, kinh doanh, đang cho  HĐ bank  và CMC. Thuê dòng tiền ổn định, hợp đồng lâu dài.=> Giá HĐ đang cho thuê từ: 256tr – 270tr/tháng.-----------------------------------------* Lô Shophouse Cty Gạch CMC đang thuê dài hạn mặt đường duy tân- Diện tích 657m² :(tầng 1 : 287m2 + Tầng 2: 369m2)* Lô Shophouse  Ngân Hàng HD Bank đang thuê dài hạn mặt đường duy tân- Diện tích 576m² (tầng 1:256m2 + Tầng 2:320m2 )-------------------------------------------* Ngoaì ra còn 2 lô mặt trong sảnh cư dân:- Diện tích 290m² đã hoàn thiện. - Diện tích 282m² đã hoàn thiện. - Diện tích 725m² làm nhà trẻ (tầng 2). (đã bán)* Tất cả các lô đều dc trag bi sẵn điều hoà trung tâm, có thể vào vận hành được luôn.Lợi nhuận dòng tiền cho thuê siêu tốt đôi với khu vực này,* Sổ 50 năm, tách sổ riêng từng lô.- Tổng Diện tích 4 lô Shop: 1.800m2 - Ký HDMB trực tiếp CDT. Gia bán  liên hệ em gửi chi tiếtQuý khách LH : 0987 106 *** ( zalo Trung Kiên)Trân trọng !!!
",Nhà phố thương mại Shophouse,Sổ hồng,Đông-Bắc, 31/10/2023,28/11/2023,Bán,2602698,,,,,,,,,,,,,,,,,,,
"
Bán Penthouse/Duplex Udic Westlake – View Hồ Tây, Lotte mall FUll nôi thất cao cấp Lh: 0987106***
","
Thỏa thuận
","
200
m2
",['Mua bán Căn hộ chung cư  Udic Westlake'],"
Penthouse/Duplex Udic Westlake – View Hồ Tây, Lotte mall Vị trí: Mặt đường Võ Chí Công, Q.Tây Hồ thuận tiện di chuyển ngay cạnh cầu Nhật Tân, bên đối diện là Lotte Tây Hồ. Thiết kế: 200m², 4 phòng ngủ, 3 phòng tắm, 1 toilet. Chủ nhà đã thiết kế lại và trang bị toàn bộ nội thất nhập khẩu, tỉ mỹ hoàn thiện nội thất để ở. - View 180 độ nhìn Hồ Tây + sông Hồng + cầu Nhật Tân, ban công hướng ĐN cực mát. - Sổ đỏ chính chủ, - Giá bán : 18.9ỷ hotline: 0987 106 ***
",Căn hộ,Sổ hồng,Đông-Nam, 31/10/2023,28/11/2023,Bán,2458032,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
"
Chuyển nhượng Vinhomes Smarrt City Tổng hợp quỹ căn 09/11/2023
","
2,3
Tỷ ","
59
m2
",['Mua bán Căn hộ chung cư  Vinhomes Smart City'],"
MUA CHUYỂN NHƯỢNG NHẬN NHÀ NGAY Mua chung cư chuyển nhượng Vinhomes Smart City là lựa chọn thông thái cho các nhà đầu tư vì giá tốt và xem nhà trực tiếp được Kính gửi quý khách hàng quỹ căn bán chuyển nhượng Vinhomes Smart City Cập nhật 09/11/2023: • Stuido - S302 trục căn 17 full đồ giá 1,3 tỷ bao thuế phí - SA2 trục căn 08 Full đồ giá 1,350 bao thuế phí làm sổ - I3 trục căn 10 giá 1,340 tỷ đồ cơ bản - Tk1 tầng trung giá 1,4 tỷ đồ cơ bản • Căn 2PN 1WC 55m2 - S2 tầng trung đồ cơ bản giá 2,3 tỷ ban công đông nam - S403 trục căn 19 đồ cơ bản bán 2,450 tỷ có thương lượng - SA3 đồ cơ bản tầng cao giá 2,3 tỷ thu về - Tk1 căn 03 2N2VS 60m2 giá 3,3 tỷ đồ cơ bản • Căn 2PN+1 63m2 - S202 tầng thấp giá 2,650 tỷ bao phí - S403 giá 2,770 tỷ trục căn 01 - GS3 trục căn 11 giá 2,9 tỷ - TK1 3,4 tỷ bao phí trục căn 11 - Masteri 4.5 tỷ view hồ căn 2N+ - Masteri 4,1 tỷ bao phí view hồ căn 2n2vs thường 60m2 • Căn 3PN 75m2 - S401 ban công nội khu giá 3,2 tỷ đang làm sổ 15 ngày nữa có sổ - Gs2 giá 3,2 tỷ - Masteri 4,6 tỷ chuẩn bị nhận nhà Ngoài ra còn rất nhiều căn khác mà không thể liệt kê hết ở đây với quỹ căn chuyển nhượng bên mình tại Smart khoảng gần 300 căn toàn khu Với gần 5 năm kinh nghiệm tư vấn căn hộ tại Smart City, chắc chắn sẽ giúp anh chị lựa chọn được phương án phù hợp và tối ưu nhất về tài chính. Gọi điện hoặc zalo để được tư vấn. alo là có căn 0974.750.***
",Căn hộ,Sổ đỏ,Đông-Nam, 19/10/2023,16/11/2023,Bán,2581226,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
