Title,Price,Area,Address,Gen_descrip,Loại hình,Tình trạng pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Số phòng ngủ,Hướng ban công,Căn góc,Nội thất,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách,Đường vào,Mặt tiền,Hướng nhà,Số tầng
"
Bán căn hộ chung cư Thanh Hà Hà Đông diện tích72m
","
Thỏa thuận
","
72
m2
",['Mua bán Căn hộ chung cư  Khu đô thị Thanh Hà Cienco 5'],"
CHÍNH CHỦ GỬI BÁN CĂN HỘ FULL NỘI THẤT MỚI - 1732 HH03B B2.1 KĐT THANH HÀ Diện tích: 72m2 thiết kế 2 ngủ, 2 vs, căn hộ được thiết kế tâm huyết, chắc chắn và hiện đại 🏡 Thiết kế nội thất tỉ mỉ:- Sàn gỗ, trần thạch cao- Tủ bếp đã bao gồm + hút mùi + chậu rửa- Bàn ăn 4 ghế, Sofa khách + bàn trà + kệ tivi- Điều hoà, nóng lạnh- Giường tủ và hệ các đèn trang trí, decor tranh ảnh tạo điểm nhấn thêm không gian các phòngLH 09834057***Hà Phương
",Căn hộ,Giấy tờ hợp lệ, 13/11/2023,27/11/2023,Bán,2627487,,,,,,,,,,,,,,,,,,,,,,
"
Top 10 lý do nên đầu tư sở hữu căn hộ CANOPY Vinhomes Smart City
","
2,7
Tỷ ","
50
m2
",['Mua bán Căn hộ chung cư  Vinhomes Smart City'],"
Canopy là phân khu cao cấp thuộc khu đô thị Vinhomes Smart City trên trục Đại lộ Thăng Long, nằm trong giao điểm của 3 tuyến Metro trọng yếu thuộc tuyến đường sắt trên cao Cát Linh – Hà Nội, đồng thời cũng là trung tâm hành chính mới của thủ đô Hà Nội.Tại sao nên chọn phân khu Canopy? 1. Sở hữu vị trí tâm điểm giàu sang, trung tâm các phân khu siêu VIP, kế cận công viên Trung tâm Central Park rộng 10,2ha.2. Thiết kế tối ưu với chỉ 16 căn/sàn (thấp nhất tại Smart City). 100% căn hộ vuông vắn, không bị ôm thang máy, không gần phòng rác.3. Thiết kế cảnh quan chuẩn Singapore với 23 tiện ích nội khu như: bể bơi ngoài trời phong cách Resort, bể sục jacuzzi, vườn cây sinh thái kiểu Sing, khu vui chơi trẻ em...4. Sở hữu lâu dài, pháp lý rõ ràng, đa dạng diện tích sử dụng từ 28m2 đến 93m2 (Studio, 1PN, 2PN, 2PN+1, 3PN, 3PN+1)5. Thiết kế 2 hầm xe (duy nhất trong các tòa cùng phân khúc), kế cận các đại tiện ích như: 2 nhà để xe cao 10 tầng Parkingzone 3 & 4, bể bơi và công viên nội khu Tonkin, MWH, kế bên trường học liên cấp.6. Giá: giá đợt đầu mở bán, mua nhà từ lúc xây dựng nên giá tốt nhất, ưu đãi ck đến 9% 👉 khi hoàn thiện sẽ tăng 15-20%. Tiềm năng gia tăng giá trị.7. Chính sách thanh toán vô cùng linh hoạt với 4 phương án thanh toán: Đóng theo tiến độ chỉ từ 0,67%/tháng. Hỗ trợ vay trả góp lãi suất 0% lên đến 4 năm. (chi tiết)8. Quản lý vận hành bởi Vinhomes, đơn vị quản lý số 1 Việt Nam.9. Thừa hưởng mọi tiện ích trong đại đô thị Vinhomes Smart City như: TTTM Vincom Mega Mall, bộ 3 công viên rộng 16,5ha, bệnh viện VinMec, 19 điểm trường học liên cấp, hệ thống Vinbus điện nội khu miễn phí.10. Nhu cầu thuê và tìm thuê rất cao: Trong bán kính 10km là 30 trường ĐH-CĐ, các quận Bắc Từ Liêm, Nam Từ Liêm, Cầu Giấy, Thanh Xuân, Đống Đa, Hà Đông, Hoài Đức và khu CNC Hòa Lạc. Liên hệ Em Hằng cư dân S103 09022203***để chọn căn phù hợp ạ!Em bán hàng trực tiếp chủ đầu tư.
",Căn hộ,, 13/11/2023,11/12/2023,Bán,2627431,,,,,,,,,,,,,,,,,,,,,,
"
CĐT bán căn góc 99m2, 3PN, BC Đông Nam view sân chơi, Legrand Jardin giá chỉ 3.7 tỷ - Miễn DV 18T
","
3,7
Tỷ ","
99
m2
","['Hà Nội', 'Quận Long Biên', 'Mua bán Căn hộ chung cư tại Đường Huỳnh Văn Nghệ']","
1. Thông tin căn hộ:- Căn hộ diện tích 97m2, thiết kế kiểu Bắc Âu sang trọng & hiện đại với 3 phòng ngủ, 3 logia thoáng rộng theo phong cách Paronama.- Vị trí căn góc, 2 mặt thoáng, phòng khách và phòng ngủ được thiết kế cửa kính tràn chân tường nên tầm view căn hộ càng thoáng rộng và tràn ngập ánh sáng.* Phòng khách + ăn: 13.4 m2 + vệ sinh chung: 3 m2 + Ban công thoáng rộng, khách hàng có thể thiết kế ghế ngồi thư giãn, trồng cây xanh tươi mát.* Phòng bếp được thiết kế khu riêng: 6.2 m2 + logia thông thoáng sẽ giúp khử mùi, lưu thông với không khí bên ngoài.* Phòng ngủ 1: 15.1 m2 + vệ sinh riêng: 3.5 m2.* Phòng ngủ 2: 12.3 m2.* Phòng ngủ 3: 12 m2 + logia với tầm view thoáng rộng.- Căn hộ có ban công Đông Nam mát mẻ, view sân chơi trẻ em.- Tình trạng căn hộ: Mới 100% đã hoàn thiện và sẵn sàng bàn giao nội thất cao cấp.- Sổ đỏ trao tay - Nhận nhà ở ngay.- Mức giá hấp dẫn chỉ từ 3 tỷ/căn. 2. Chính sách bán hàng siêu hấp dẫn:Tặng ngay chuyến du lịch châu âu trị giá lên đến 60tr- Chiết khấu 6% GTCH khi khách hàng thanh toán 95% GTCH.- Hỗ trợ vay 70% giá trị căn hộ, Miễn gốc lãi trong 12 tháng.- Miễn phí dịch vụ 18 tháng từ ngày bàn giao căn hộ.3. Ngoài ra, còn rất nhiều quỹ căn giá trực tiếp của chủ đầu tư:- Căn hộ 2 phòng ngủ, 2 WC, 1 - 2 logia, diện tích 65m2, 76m2; giá chỉ từ 2,5 tỷ.- Căn hộ 3 phòng ngủ, 2 WC, 2 - 3 logia, diện tích 83m2; 105m2 giá chỉ từ 3,2 tỷ.4. Thông tin dự án.- Vị trí đắc địa ngay ngã tư Huỳnh Văn Nghệ và Nguyễn Lam.- Đơn vị phát triển dự án uy tín: Tập đoàn BRG Group.- Tiện ích nổi bật.+ Sở hữu 50 tiện ích nâng tầm chất lượng sống, 4 bể bơi, 6 khu vui chơi và thể thao hiện đại, 8 vườn khu nghệ thuật rực rỡ sắc màu.+ Hưởng trọn tiện ích đẳng cấp của Vinhomes Riverside kế bên.+ Dự án là tâm điểm giải trí với TTTM Aeon Mall, Savico Megamall, sân golf Long Biên.+ Sảnh, trung tâm thương mại với đầy đủ tiện ích gym, spa, yoga cao cấp, bể bơi thiết kế thao phong cách resort đẳng cấp.5. Liên Hệ Phòng Kinh Doanh Của Chủ Đầu Tư Để Được Nhận Hỗ Trợ Tư Vấn Và Đăng Ký Xem Thực Tế Căn Hộ:Website:https://legrandjardinlongbien.net/
",Căn hộ,, 20/10/2023,17/11/2023,Bán,1713870,2,Đông-Nam,Có,Có,,,,,,,,,,,,,,,,,,
"
Bán 70m2 đất ở Kim Chung Hoài Đức đường ô tô vào tận đất giá 2.6tỷ.
","
2,6
Tỷ ","
70
m2
","['Hà Nội', 'Huyện Hoài Đức', 'Mua bán Đất tại Xã Kim Chung']","
Bán 70m2 đất ở Kim Chung Hoài Đức đường ô tô vào tận đất giá 2.6tỷ.  + Vị trí nằm trên trục giao thông chính  thông đi khắp nơi.+ Cách trung tâm hành chính xã, trung tâm chợ, trường chỉ 500m, cách trường học các cấp  MN, 1,2,3 chỉ 200m, giáp với Khu Đô Thị Hinode..  Cơ hội đầu tư tăng lãi vốn là rất lớn khi Hoài Đức lên Quận vào năm 2025...LH: PHẠM VĂN TƯỞNG.- 0 CHÍN 8 MỘT 0 55 SÁU 5 BA.CHUYÊN NHÀ ĐẤT THỔ CƯ HÀ NỘIXem nhà 24/7 hoàn toàn Miễn PhíTẬN TÂM-UY TÍN-CHUYÊN NGHIỆP.  
",Đất,, 13/11/2023,11/12/2023,Bán,2627114,,,,,,,,,,,,,,,,,,,,,,
"
Bán nhà trong ngách đường Dốc Lã, Yên Thường diện tích 102m
","
8,16
Tỷ ","
102
m2
","['Hà Nội', 'Huyện Gia Lâm', 'Mua bán Nhà riêng tại Đường Dốc Lã Ninh Hiệp']","
Nhà 4 tầng nằm trong ngách nông đi 50m đến mặt ngõ to, 300m đến mặt đường Dốc Lã. Vị trí rất đẹp. Chủ nhà thiện chí bánThiết kếTầng 1: khách, bếp, wcTầng 2: 1 ngủ 1 wcTầng 3: 1 ngủ 1 wcTầng 4: phòng thờ + ban công Giá bán 8.16 tỷ liên hệ chị Loan 0333673***
",Nhà riêng,Sổ đỏ, 13/11/2023,27/11/2023,Bán,2578360,,,,,,,,,,,,,,,,,,,,,,
"
HIẾM - Đúng 2 bước ra ngay mặt phố VĂN CAO - Liên hệ ngay kẻo lỡ cọc
","
Thỏa thuận
","
50
m2
","['Hà Nội', 'Quận Ba Đình', 'Mua bán Nhà riêng tại Đường Văn Cao']","
👉 Diện tích tận 50m2 - Vị trí cực đẹp, cực hiếm, không có căn thứ 2 với giá như này👉 Nhà đẹp trung tâm phố, xung quanh đầy tiện ích, vài phút ra ngay chợ, bệnh viện 354, Lotte, Hồ Tây, trường học, giải trí ăn uống,..👉 Giao thông thuận tiện, ô tô đỗ ngay gần, an sinh cực đỉnh, hàng xóm văn minh, thân thiện,..Giá chào: Nhỉnh 8T (chủ rất thiện chí bán - có TL)Sổ đỏ vuông như tờ A4 , sẵn sàng giao dịch☎️ LH xem nhà: 09137 39*** (Em Tú Linh)
",Nhà riêng,Sổ đỏ, 12/11/2023,10/12/2023,Bán,2627080,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
"
Ngõ thông/ kinh doanh sầm uất - Diện tích rộng giá tốt - Liên hệ ngay trước khi lỡ cọc
","
Thỏa thuận
","
53
m2
","['Hà Nội', 'Quận Ba Đình', 'Mua bán Nhà riêng tại Đường Đào Tấn']","
Diện tích: 53m2 - 4 tầngMặt tiền: 4.2m👉 Vị trí cực đẹp, cực hiếm, không có căn thứ 2 với giá như này 👉 Nhà cực đẹp và tốt cho gia đình; trung tâm phố, tiện ích vô vàn k thiếu, vài phút ra ngay chợ, Lotte, công viên thủ lệ không khí trong lành, bệnh viện 354, Lotte, trường học, giải trí ăn uống,..👉 Giao thông thuận tiện gần ngã 3, an sinh cực đỉnh, hàng xóm thân thiện,..Giá chào: 7T (chủ rất thiện chí bán - có TL)Sổ đỏ chính chủ, sẵn sàng sang tên ngay.☎️ LH xem nhà: 09137 39*** (Em Tú Linh)
",Nhà riêng,Sổ đỏ, 12/11/2023,10/12/2023,Bán,2627079,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
"
Trung tâm Thủ Đô Ba Đình cực HIẾM - Ngõ rộng nông thoáng - - Giá quá tốt
","
Thỏa thuận
","
40
m2
","['Hà Nội', 'Quận Ba Đình', 'Mua bán Nhà riêng tại Đường Đội Cấn']","
Diện tích: 40m2 - 5 tầngMặt tiền: 3.4m 👉Nhà nằm trên con phố giá trị nhất nhì quận Ba Đình, cực hiếm, trong tầm giá không có căn nào vị trí đẹp hơn - khách mua chỉ việc xách vali về ở ngay không phải sửa chữa gì.👉 Nhà cực đẹp ô tô đỗ thoải mái cho gia đình; trung tâm phố, tiện ích vô vàn k thiếu, vài phút ra ngay chợ, Lăng Bác, Lotte, bệnh viện 354, Lotte, trường học, giải trí ăn uống,..👉 Giao thông thuận tiện, an sinh cực đỉnh, hàng xóm thân thiện,.. Giá chào: 8.5T (chủ rất thiện chí bán - có TL)Sổ đỏ chính chủ, sẵn sàng sang tên ngay.☎️ LH xem nhà: 09137 39*** (Em Tú Linh)
",Nhà riêng,Sổ đỏ, 12/11/2023,10/12/2023,Bán,2627077,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
"
(ĐỘI CẤN) Làm ăn phát đạt cần sang tên nhà cực hiếm - - sẵn sàng thương lượng san sẻ LỘC
","
Thỏa thuận
","
72
m2
","['Hà Nội', 'Quận Ba Đình', 'Mua bán Nhà riêng tại Đường Đội Cấn']","
Diện tích: 72m2 - 4 tầngMặt tiền: 6.6m Giá chào: 9.8T (rất thiện chí bán - có TL)👉Nhà nằm trên con phố giá trị nhất nhì quận Ba Đình, cực hiếm, trong tầm giá không có căn nào vị trí đẹp & lộc lá hơn. ngõ rộng nông thoáng👉 Nhà cực đẹp; xe máy tránh thoải mái, trung tâm phố, tiện ích vô vàn k thiếu, vài phút ra ngay chợ, Lotte, bệnh viện 354, trường học, giải trí ăn uống,..👉 Giao thông thuận tiện, an sinh cực đỉnh, hàng xóm thân thiện,.. Sổ đỏ chính chủ, sẵn sàng sang tên ngay - LIÊN HỆ NGAY KẺO BỎ LỠ BỞI GIÁ QUÁ TỐT☎️ LH xem nhà: 09137 39*** (Em Tú Linh)
",Nhà riêng,Sổ đỏ, 12/11/2023,10/12/2023,Bán,2627076,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
"
Hiếm - Hàng xóm Lăng Bác - Sẵn sàng thương lượng san se lộc lá
","
Thỏa thuận
","
40
m2
","['Hà Nội', 'Quận Ba Đình', 'Mua bán Nhà riêng tại Đường Ngọc Hà']","
Diện tích: 40m2 (T2) - 4 tầngMặt tiền: 4.3M Giá chào: 4.5T (rất thiện chí bán - có TL) 👉Nhà nằm trên con phố giá trị nhất nhì quận Ba Đình, cực hiếm, trong tầm giá không có căn nào vị trí tốt & đẹp hơn. Ngõ tránh xe máy thoải mái👉 Nhà đẹp, phía trước có sân. Ngay trung tâm phố gần Lăng Bác cực an ninh, tiện ích vô vàn k thiếu, vài phút ra ngay chợ, công viên Bách Thảo trong lành, bệnh viện Xanh- Pôn, trường học, giải trí ăn uống,..👉 Giao thông thuận tiện, an sinh cực đỉnh, hàng xóm thân thiện,.. Sổ đỏ chính chủ, sẵn sàng sang tên ngay - LIÊN HỆ NGAY KẺO BỎ LỠ BỞI GIÁ QUÁ TỐT☎️ LH xem nhà: 09137 39*** (Em Tú Linh)
",Nhà riêng,Sổ đỏ, 12/11/2023,10/12/2023,Bán,2627075,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
