Title,Price,Area,Address,Gen_descrip,Loại hình,Đường vào,Mặt tiền,Số tầng,Nội thất,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Số phòng ngủ,Căn góc,Tình trạng pháp lý,Hướng nhà,Hướng ban công
"
Bán nhà PHAN ĐÌNH GIÓT, Hà Đông , 43M2, 3 TẦNG, MT 5M, GIÁ CHỈ NHỈNH 6TỶ.
","
6,3
Tỷ ","
43
m2
","['Hà Nội', 'Quận Hà Đông', 'Mua bán Nhà mặt phố tại Đường Phan Đình Giót']","
BÁN NHÀ PHAN ĐÌNH GIÓT, HÀ ĐÔNG, 43M2, 3 TẦNG, MT 5M, GIÁ CHỈ NHỈNH 6TỶ.Bán nhà mặt phố Phan Đình Giót, phố xá đông đúc, kinh doanh sầm uất, kinh doanh mặt hàng gì cũng được, khu vực đất tăng giá hàng ngày.Phố thông nhiều ngả, trước nhà ô tô tránh. Nhà mặt tiền rộng, sổ nở hậu rất đẹp.Sổ đỏ pháp lý rõ ràng, sẵn sàng giao dịch.Mọi chi tiết xin liên hệ: Mr. Trường
",Nhà mặt phố,8m,5m,3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 10/11/2023,05/01/2024,Bán,2621992,,,,,
"
Bán nhà Hồ Đền Lừ ( Đền Lừ 1) - 65m2 x 5 Tầng - Giá 12,5 tỷ
","
12,5
Tỷ ","
65
m2
","['Hà Nội', 'Quận Hoàng Mai', 'liền kề tại Đường Đền Lừ 1', 'Mua bán Nhà biệt thự']","
+ Vị trí: khu dân trí, Phân lô ô tô tránh, đỗ, vào nhà. Cách 30m ra công viên. 50m ra mặt phố Tân Mai và Hồ Đền Lừ. Thích hợp để ở, + DT 65m2. Nhà 4,5 tầng: chủ tự xây. Chắc chắn. Về sơn sửa lắp thang máy là đẹp. - T1: khách, bếp ăn, wc, để xe. - T2 - 4: mỗi tầng 2 phòng ngủ, 1 wc - Tum: sân phơi, để đồ. - nhà bớt lại khe thoáng đằng sau thành 2 thoáng. + Pháp lý: sổ đỏ chính chủ, vuông đét.
","Nhà biệt thự, liền kề",,,,,,,,,,,,,,,,,,, 10/11/2023,08/12/2023,Bán,2622783,,,,,
"
2,7 tỷ bán căn 2pn+ Bc Đông Nam, nội khu tầng thấp, gần nhà xe Vinhomes Smart City. LH: 0987825***
","
2,7
Tỷ ","
63
m2
",['Mua bán Căn hộ chung cư  Vinhomes Smart City'],"
Chính chủ bán căn hộ 2pn+ DT 63m2, BC Đông Nam, View nội khu, gần 2 nhà để xe 10 tầng, gần công viên hồ điều hoà Vinhomes Smart City. LH: 098.782.5*** (call/ zalo)- Diện tích sử dụng: 63m2. Thiết kế gồm: 1 phòng khách, 2 phòng ngủ chính và không gian cộng đa năng có thể thiết kế theo nhu cầu- Hướng cửa chính: Tây Bắc- Ban công: Đông Nam- View tiện ích nội khu- Nội thất nguyên bản- Đã có sổ, sẵn sàng giao dịch nhanh gọn- Giá: 2,7 tỷ bao toàn bộ thuế phí đến khi ra sổLiên hệ 098.782.59***để nhận thông tin chi tiếtĐặc quyền khi trở thành cư dân Vinhomes: Sử dụng Full tiện ích 5 sao như: Bể bơi 4 mùa và hệ thống bể bơi tại các cụm KĐT, Công viên trung tâm hồ điều hoà cát trắng có hệ thống bếp nướng BBQ, Công viên thể thao với hàng nghìn máy tập, Khu vui chơi trẻ em nội khu và ngoại khu, Vườn Nhật mang đậm phong cách xứ Phù Tang, Trung tâm thương mại Mega Mall lớn nhất miền Bắc, Bệnh viện Vinmec, Trường học liên cấp Vinschool và 16 điểm trường quanh dự án.Liên hệ: Zalo 098.782.59***để trở thành cư dân Vinhomes Smart City.
",Căn hộ,,,,False,,,,,,,,,,,,,,, 10/11/2023,08/12/2023,Bán,2622772,2,Có,,,
"
Bán nhà Khu Đô Thị Đại Kim, 51m2 x 5 Tầng - Đường trước nhà 3 ô tô tránh - Giá 11 Tỷ
","
11
Tỷ ","
51
m2
","['Hà Nội', 'Quận Hoàng Mai', 'liền kề tại Đường Nguyễn Cảnh Dị', 'Mua bán Nhà biệt thự']","
✅ Đường trước nhà 3 ô tô tránh, phù hợp ở và kinh doanh. ✅ Nhà được chủ tự xây móng, cột rất chắc chắn, toàn bộ cửa được làm bằng gỗ lim không hề cong vênh qua thời gian. Chủ để lại toàn bộ nội thất cho khách thiện chí. ✅Thiết kế 5 tầng: + Tầng 1: phòng khách + phòng bếp + wc + Tầng 2,3: mỗi tầng 02 phòng ngủ + wc + Tầng 4: phòng thờ + sân phơi. ........Sổ đỏ chính chủ, giao dịch ngay.
","Nhà biệt thự, liền kề",,,,,,,,,,,,,,,,,,, 10/11/2023,08/12/2023,Bán,2622743,,,,,
"
Nhà đẹp Đông La 42m Kinh doanh siêu đỉnh mặt đường 3 ô tô tránh
","
4,3
Tỷ ","
42
m2
","['Hà Nội', 'Huyện Hoài Đức', 'Mua bán Nhà riêng tại Đường La Tinh']","
Nhà đẹp Đông La 42m Kinh doanh siêu đỉnh mặt đường 3 ô tô tránh Diện tích: 42m2, Đường trước nhà 10m giao thông thuận tiện. Bán kính cách nhà 500m có đầy đủ trường học, khu vui chơi, Vinmart, spa, phòng gym.. Hướng: Tây Bắc -Nội Thất: đầy đủ điện nước, thiết bị vệ sinh, thiết bị chiếu sáng, tủ bếp, máy bơm, tét nước. . .v .v. . -Vị trí: Đường trước nhà 3 ô tô tránh nhau. Chạy 2phut ra ngay hồ điều hòa siêu rộng lớn sạch đẹp ( có thể câu cá ). 500m chạy ra ngay khu Đô Thị Đô Nghĩa và hưởng ngay tiện ích siêu tốt của hà Đông -Giá: 4.3 tỷ ( có gia lộc + bao sang tên sổ ) Liên hệ em Thắng
",Nhà riêng,,,,,,,,,,,,,,,,,,, 10/11/2023,08/12/2023,Bán,2622852,,,Sổ hồng,Tây-Nam,
"
Bán Studio Vinhomes Ocean Park 33m2 thông thuỷ chỉ 1.13tỷ bao phí
","
1,13
Tỷ ","
33
m2
",['Mua bán Căn hộ chung cư  Vinhomes Ocean Park'],"
🆘🆘🆘 Bán #Studio full đồ chỉ việc xách vali vào ở  ⚡⚡Tầng trung view thoáng🌱🌱 S: 33m2🌷🌷 Thuộc phân khu S2 👉👉 Giá: 1.13 tỷ bao phí📲📲📞 Liên hệ em Phương Anh
",Căn hộ,,,,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 10/11/2023,08/12/2023,Bán,2622701,1,Không,Sổ đỏ,Đông-Nam,
"
Nhà đẹp 5 tầng Ô tô vào nhà Giá dưới 3 tỷ- ngay sát KĐT Đô Nghĩa
","
2,9
Tỷ ","
35
m2
","['Hà Nội', 'Huyện Hoài Đức', 'Mua bán Nhà riêng tại Đường Quán Chảy']","
Nhà đẹp 5 tầng Ô tô vào nhà Giá dưới 3 tỷ- ngay sát KĐT Đô Nghĩa Nhà thiết kết đẹp và sang gạch đá lát nền nhà và cầu thang cửa thông phòng toàn hàng xịn.Diện tích: 35m².Mặt tiền 4m.Ngõ 4m Ô tô vào nhàHướng Tây nam.Giá 2.9 tỷ.Có thương lượng và bao phí sang sổ hỗ trợ trả góp ngân hàng. Vị trí cách đê đông la 200m, cách trạm bơm yên nghĩa 500m, cách khu thương mại AONE 3km cách bến xe mỹ đình 13km. Khu vực dân cư đông đúc gần trường chợ, giao thông thuận tiện đi lại, an ninh rất yên tâm.ACE có nhu nhà ở luôn.Liên Hệ e Thắng ngay
",Nhà riêng,,,,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,, 10/11/2023,08/12/2023,Bán,2622709,,,Sổ hồng,Tây-Nam,
"
Bán căn Duplex 186m2 tòa A view SVĐ Mỹ Đình tại dự án The Zei - Mua trực tiếp chủ đầu tư
","
Thỏa thuận
","
186
m2
",['Mua bán Căn hộ chung cư  The Zei Mỹ Đình'],"
Bán căn Duplex 186m2 tòa A view SVĐ Mỹ Đình tại dự án The Zei. Mua trực tiếp chủ đầu tưCăn hộ view cực đẹp, ngắm pháo bông đêm giao thừaKhoảng tầng đẹp 25- 35Quà tặng lên tới 450 triệuchiết khấu bàn giao thô tới 1tỷchiết khấu thanh toán sớm lên tới 15.5%Ngoài ra các căn 3PN sở hữu chỉ với 2 tỷMiễn lãi suất 0% trong 24 tháng.Nhận nhà và nhận sổ ngay khi bàn giao căn hộ thông tin chi tiết vui lòng liên hệ: 
",Căn hộ,,,,Full cao cấp,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,, 10/11/2023,08/12/2023,Bán,2035087,3,Có,Sổ đỏ,Tây-Nam,
"
Quỹ ngoại giao căn Duplex Penthouse tại dự án Berriver 390 Nguyễn Văn Cừ, Long Biên, Hà Nội
","
20,18
Tỷ ","
475
m2
",['Mua bán Căn hộ chung cư  Premier Berriver Long Biên'],"
Quỹ ngoại giao căn Duplex Penthouse tại dự án Berriver 390 Nguyễn Văn Cừ, Long Biên, Hà NộiChỉ còn duy nhất 5 căn.Diện tích: 252m2, 462m2, 475m2Thông tin chi tiết vui lòng liên hệ (Em Việt - QLDA)
",Căn hộ,,,,,,,,,,,,,,,,,,, 10/11/2023,08/12/2023,Bán,1912241,4,Có,Giấy chứng nhận quyền sở hữu,Tây-Nam,Tây-Nam
"
Quỹ ngoại giao 3PN hướng Đông Nam, view bể bơi, công viên hồ tại dự án Le Grand Jardin
","
Thỏa thuận
","
97
m2
",['Mua bán Căn hộ chung cư  Le Grand Jardin Sài Đồng'],"
Liên hệ ngay em Việt - phòng kinh doanh chủ đầu tư để lựa chọn được những căn hộ đẹp nhất, giá tốt nhất. Hotline: - Quỹ căn 2PN - 2WC góc: 2,4 - 2,8 tỷ.- Quỹ căn 3 phòng ngủ góc hướng Đông Nam: 3,4 - 3,6 tỷ.- Quỹ căn ngoại giao, độc quyền tầng trung.Chính sách bán hàng tốt nhất trong tháng 09/2023.* Chiết khấu lên đến 9,5% GTCH.* Tặng 1,5 năm phí dịch vụ.* Quà tặng:- Voucher trị giá 75 - 85- 100 triệu* Hỗ trợ lãi suất 0% trong vòng 15 tháng gói vay 70% GTCH.Thanh toán theo tiến độ xây dựng, khách hàng sẽ được chiết khấu 5%.Chiết khấu 6,5% - 7,5% - 8,5% khi thanh toán sớm 50% - 70% - 95% * Đóng 10% ký HĐMB sở hữu căn hộ ngay.
",Căn hộ,,,15,Cơ bản,1.0,,1.0,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0, 10/11/2023,08/12/2023,Bán,1874785,2,Có,Sổ hồng,Đông-Nam,Đông-Nam
