Title,Price,Area,Address,Gen_descrip,Loại hình,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Tình trạng pháp lý,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách,Số phòng ngủ,Hướng nhà,Số tầng,Căn góc,Nội thất,Hướng ban công
"
Chính chủ - bán cắt lỗ Chung cư Cự Lộc - Nguyễn Trãi 1 – 3PN, 1- 2WC - Nhận nhà ngay - Mới
","
600
Triệu ","
35
m2
","['Hà Nội', 'Mua bán Căn hộ chung cư tại Quận Thanh Xuân']","
Chính chủ bán - Chung cư Nguyễn Trãi - Cự Lộc 36 - 55m, Full Nội Thất, Ở ngay Tặng Vàng 24k.* Gần các trường đại học lớn* Vị trí chung cư : Trung tâm quận, gần các tuyến đường lớn, Gần các trường c1 c2* Gần ngay Trường Tiểu học Trung học, Gần công viên trung tâm* Diện tích: 35m2 - 40m2 - 44m2 - 45m2 - 46m2 - 48m2 - 50m2.* Giá bán: Từ 600tr - 760tr - 860tr - 920 tr hơn 1 tỷ 2* CHIẾT KHẤU GIẢM GIÁ NGAY 50 TRIỆU MỖI CĂN. * Quy mô và thiết kế: Gồm 6 tầng căn hộ, mỗi tầng 4-5 căn, rộng thoáng, tầng 1 để xe.* Tòa nhà được trang bị 1 thang máy tốc độ cao, bảo vệ trực 24/24, PCCC hiện đại.* Giá bán đã bao gồm chi phí làm sổ và nội thất căn hộ.* Nội thất: Tủ bếp trên dưới, bếp từ, hút mùi, thiết bị vệ sinh, bình nóng lạnh, đầu chờ internet, điều hòa.* Liên hệ chủ đầu tư Phương 0974.199.*** (tôi là chủ).* Xem nhà 24/24 - Có tư Vấn Zalo
",Căn hộ, 04/11/2023,02/12/2023,Bán,2610392,,,,,,,,,,,,,,,,,,,,,
"
Chính chủ bán chung cư A5 Giải Phóng - gần ĐH Kinh Tế siêu đẹp thoáng 1-3PN, giá rẻ, tách sổ hồng
","
600
Triệu ","
35
m2
","['Hà Nội', 'Mua bán Căn hộ chung cư tại Quận Hoàng Mai']","
CHUYÊN BÁN CHUNG CƯ UY TÍN - CHUYÊN NGHIỆP - GIÁ RẺchung cư siêu đẹp - ở ngay tại Giải Phóng - gần đại học Kinh Tế, Hoàng Mai Hiện tại dự án đã hoàn thiện chỉ việc dọn vào ở ngay.Vị trí: Đường Giải Phóng Hoàng Mai, Hà Nội. Thuận tiện đến các tuyến phố: Vọng, trường ChinhGần các trường ĐH: Bách Khoa, Kinh tế Quốc Dân, Xây Dựng. Đường đẹp thoáng, sáng.Diện tích đa dạng: 30m - 35m2 - 46m2 - 48m2 - 50m2 - 65m2 Thiết kế 1 - 3 ngủ, 1 khách, 1 bếp, 1 ban công, 1 - 2 vệ sinhGiá bán: 600tr - 900tr - 1 tỷ - 1 tỷ 300 - 1 tỷ600Chiết khấu ngay 3 - 4%.Căn hộ vuông, sáng, thoáng. Xem nhà miễn phíNội thất cơ bản đầy đủ, chỉ việc vào ở: Sàn gạch, trần thạch cao, tủ bếp, bếp từ, hút mùi, truyền hình cáp, internet, bình nóng lạnh, bảo ôn điều hòa, thang máy tốc độ cao.Pháp lý: Sổ đỏ, giấy phép xây dựng.Liên hệ ngay để xem nhà và tư vấn chính xác: 0974.199.***
",Căn hộ, 26/10/2023,23/11/2023,Bán,2112354,Sổ đỏ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
"
Chính chủ xây bán chung cư cao cấp Kim Ngưu- Lò Đúc giá rẻ 1-3PN oto đỗ cửa, tách sổ hồng, CK cao
","
600
Triệu ","
45
m2
","['Hà Nội', 'Mua bán Căn hộ chung cư tại Quận Hai Bà Trưng']","
TRỰC TIẾP CHỦ ĐẦU TƯ XÂY BÁN UY TÍN - CHUYÊN NGHIỆP - GIÁ RẺChung cư mini Kim Ngưu được xây dựng trên nền đất vuông vắn rộng hơn 300m2 có quy mô gồm tầng căn hộ. Mỗi tầng có 5 căn hộ với hệ thống gồm 1 thang bộ và 1 thang máy hiện đại tốc độ cao.- Nằm vị trí trung tâm quận Hai Bà Trưng trên phố Kim Ngưu - Lò Đúc vị trí vàng hiện nay. Giao thông thuận tiện, kết nối trung tâm thành phố qua các con đường: Bạch Mai, Phố Huế, Bà Triệu, Đại Cồ Việt, Lò Đúc, Kim Ngưu... Chung cư rất gần các trường đại học, trung tâm thương mại các cơ quan hành chính.Quy mô.Tòa nhà thiết kế tầng 1 để xe, tầng trên cùng là tầng tum sân phơi chung còn lại là các tầng căn hộ. Có đầy đủ hệ thống PCCC, an ninh tòa nhà bảo vệ chuyên nghiệp 24/24.Diện tích và thiết kế.Các căn hộ được phân thành đa dạng các loại diện tích từ 35m2 - 46m2 - 48m2 - 55m2. Được thiết kế từ 1 - 2 phòng ngủ, 1 - 2WC, các phòng được thiết kế rất rộng thoáng mát đón gió đón sáng mang lại không gian sống lý tưởng cho gia đình bạn.Giá bán.+ Căn 26m2 - 35m2: Giá từ 600tr - 750tr - 900tr.+ Căn 46m2: Giá từ 1.1 tỷ - 1 tỷ380+ Căn 55 - 65m2: Giá từ 1 tỷ300 - 1 tỷ700Pháp lý.Mua chung cư mini Kim Ngưu - Lò Đúc, khách hàng không phải mất thêm chi phí nào, ký hợp đồng trực tiếp CĐT với đầy đủ pháp lý: Sổ đỏ PTCC, giấy phép XD, hợp đồng mua bán, mặt bằng căn hộ, danh mục thiết bị, nội quy sử dụng.Quá tuyệt vời hãy nhấc máy và gọi ngay cho tôi (chủ đầu tư).Tư vấn miễn phí 24/7, tuyệt đối giá chuẩn đại diện chủ đầu tư! Hãy liên hệ ngay để được tư vấn: 0974.199.***
",Căn hộ, 04/11/2023,02/12/2023,Bán,1553024,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,,,,
"
Chủ thầu xây bán chung cư mini Minh Khai gần TimeCity 32-56m2 chỉ từ 600 triệu/căn tách sổ hồng
","
600
Triệu ","
40
m2
","['Hà Nội', 'Mua bán Căn hộ chung cư tại Quận Hai Bà Trưng']","
CHỦ ĐẦU TƯ TRỰC TIẾP XÂY BÁN UY TÍN - CHUYÊN NGHIỆP - GIÁ RẺMở bán chung cư mini Minh Khai - Hai Bà Trưng siêu đẹp, nhận nhà ở ngay, nội thất cao cấp* Vị trí chung cưNằm trên đường Minh Khai , gần nhiều tuyến đường huyết mạch: Trần Khát Chân, Minh Khai, Lò Đúc...Gần các trường học như THCS - THPT tiểu học , mầm non Tuổi Hoa, siêu thị Điện Máy Xanh, UBND phường* Quy mô thiết kế.Mỗi sàn thiết kế 4 căn hộ. Từ 1 - 2 phòng ngủ, có ban công thoáng mát, mặt ngõ đẹp, nhiều ánh sáng, phòng khách rộng, thang máy, thang bộ thoát hiểm.* Diện tích và giá bán: 30m2, 35m2, 40m2, 50m2, 56m2, 60m2Gía bán:  chỉ từ hơn 600tr - 850tr - 950tr - 1,2 tỷ - 1 tỷ 400 - 1 tỷ 700 (căn 3 ngủ, 2 vệ sinh)Chiết khấu khủng cho khách mua nhà  * Nội thất thiết kế theo phong cách Châu Âu cực hiện đại, sang trọng, dễ dàng cho việc trang trí căn hộ. Nội thất khi bàn giao căn hộ gồm có: Tủ bếp, nóng lạnh, hút mùi, bếp từ, thiết bị vệ sinh, sàn đá cao cấp, hệ thống cửa, hệ thống đèn điện chiếu sáng, đầu chờ cáp internet.* Pháp lý:Mua chung cư Minh Khai khách hàng không phải mất thêm chi phí nào, ký hợp đồng trực tiếp CĐT với đầy đủ pháp lý: Sổ đỏ PTCC, giấy phép XD, hợp đồng công chứng, mặt bằng căn hộ, danh mục trang thiết bị, nội quy sử dụng.
",Căn hộ, 04/11/2023,02/12/2023,Bán,1552006,Sổ đỏ,,,,,,,,,,,,,,,1,,,,,
"
Cần bán gấp chung cư A10 - Lê Duẩn giá rẻ 33- 60m2 view thoáng, nội thất cao cấp, PCCC đạt chuẩn
","
600
Triệu ","
45
m2
","['Hà Nội', 'Quận Đống Đa', 'Mua bán Căn hộ chung cư tại Đường Hồ Ba Mẫu']","
UY TÍN - CHUYÊN NGHIỆP - GIÁ RẺ.chung cư Lê Duẩn, quận Đống Đa, vị trí trung tâm, thiết kế đẹp hiện đại nhưng có mức giá bán từ 600 triệu đến 900tr/căn đã hoàn thiện nội thất.Vị trí.Chung cư  Lê Duẩn sở hữu vị trí vô cùng đẹp ngay trên mặt đường, đi bộ 2'  ra hồ ngắm cảnhGần nhiều chợ, trường học, bệnh viện: Trường tiểu học, trường bệnh viện đa khoa Xanh Pôn, ĐH Thủy Lợi, đại học Ngân Hàng, đại học Y Hà Nội, bệnh viện Bạch Mai, bệnh viện. Đây được đánh giá là nơi sống lý tưởng cho các gia đình sinh sống, làm việc và học tập xung quanh khu vực Thanh Xuân, Hai Bà Trưng, Ba Đình,...Giá bán.Chung cư mini Hồ Ba Mẫu - Lê Duẩn đầy đủ nội thất vào ở luôn, sở hữu vị trí vàng trung tâm quận Đống Đa mà lại có mức giá vô cùng hợp lý chỉ từ 600tr - 1tỷ 500/căn hộ.+ Căn 25 - 33 - 35m2: Giá từ 600tr - 990tr+ Căn 46m2 - 55m2: Giá từ 1 tỷ200 - 1 tỷ 500Diện tích và thiết kế.Các căn hộ được phân thành đa dạng các loại diện tích từ 25m2 - 33m2 - 46m2 - 47m2 - 55m2. Chung cư mini Hồ Ba Mẫu - Lê Duẩn được thiết kế từ 1 - 2 phòng ngủ, 1WC, các phòng được thiết kế rất rộng thoáng mát đón gió đón sáng mang lại không gian sống lý tưởng cho gia đình bạn.Tòa nhà thiết kế tầng 1 để xe, tầng trên cùng là tầng tum sân phơi chung còn lại là các tầng căn hộ. Có đầy đủ hệ thống PCCC, an ninh tòa nhà bảo vệ chuyên nghiệp 24/24.Tư vấn miễn phí 24/7, tuyệt đối giá chuẩn đại diện chủ đầu tư! Hãy liên hệ ngay để được tư vấn: 0974.199.***
",Căn hộ, 26/10/2023,23/11/2023,Bán,1137250,Sổ hồng,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,Đông,7,Có,Có,
"
Shophouse TMDV 1800m2 Mặt đường Duy Tân Lợi nhuận dòng tiền cho thuê sẵn, Hotline 0987106***
","
Thỏa thuận
","
1800
m2
",['Mua bán Nhà phố thương mại Shophouse  Dreamland Bonanza'],"
HOT - SHOPHOUSE TMDV MẶT PHỐ DUY TÂN LỢI NHUẬN ĐẦU TƯ CHO THUÊ HẤP DẪNChủ đầu tư mở  bán  Lô Shophouse TMDV tại Bonanza 23 Duy Tân – Cầu Giấy  2 Lô mặt tiền chính Sàn tại tầng 1, kinh doanh, đang cho  HĐ bank  và CMC. Thuê dòng tiền ổn định, hợp đồng lâu dài.=> Giá HĐ đang cho thuê từ: 256tr – 270tr/tháng.-----------------------------------------* Lô Shophouse. CMC đang thuê dài hạn mặt đường duy tân- Diện tích 657m² :(tầng 1 : 287m2 + Tầng 2: 369m2)* Lô Shophouse HD bank đang thuê dài hạn mặt đường duy tân- Diện tích 576m² (tầng 1:256m2 + Tầng 2:320m2 )-------------------------------------------* Ngoaì ra còn 2 lô mặt trong sảnh cư dân:- Diện tích 290m² đã hoàn thiện.- Diện tích 282m² đã hoàn thiện.- Diện tích 725m² làm nhà trẻ (tầng 2). (đã bán)* Tất cả các lô đều dc trag bi sẵn điều hoà trung tâm, có thể vào vận hành được luôn.Lợi nhuận dòng tiền cho thuê siêu tốt đôi với khu vực này,*Sổ 50 năm, tách sổ riêng từng lô.- Tổng Diện tích 4 lô Shop: 1.800m2 -Ký HDMB trực tiếp CDT.Quý khách LH : 0987 106 *** ( zalo Trung Kiên)
",Nhà phố thương mại Shophouse, 10/11/2023,24/11/2023,Bán,2594916,Sổ hồng,,,,,,,,,,,,,,,,Bắc,,,,
"
Chủ Cần Bán Penthouse/Skyvilla Dreamland Bonanza 303m2 phố Duy Tân - Cầu Giấy hotline: 0987106***
","
Thỏa thuận
","
303
m2
",['Mua bán Căn hộ chung cư  Dreamland Bonanza'],"
Căn Penthouse  Dream Land Bonanza  Phố Duy Tân - Cầu Giấy mang đến sự Đẳng cấp -  Sang trọng - Tinh tế. Xu hướng giới thượng lưu đang sở hữu hiện nay.Siêu phẩm biệt thự trên cao Penthouse/SkyVilla  Dreamland Bonanza ,Tầng 32 đẹp nhất phố Duy Tân, Cầu Giấy.Nơi hưởng thụ không gian sống riêng biệt – 1 cộng đồng  tinh hoa hội tụ.==========================Tổng diện tích: 303m2.- Diện tích tầng 1: 180m2 - Tầng 2: 120m.- Diện tích khoảng ban công chính:  17m2Thiết kế: (4 - 5 phòng ngủ - 5 WC). Độ cao trần phòng khách: 6.9m. Mỗi tầng cao 3.3m.- Bàn giao: Thô – Không gian sáng tạo- Có bể bơi, gym, golf mô phỏng, bóng bàn, yoga, sân chung nằm tại tầng 6 & 7 toà nhà.- Tầng 1 2 là khối thương mại, khu vui chơi, ngân hàng & Siêu thị đã đi vào vận hành.==========================Đặc biệt căn Penthouse sở hữu view siêu thoáng nằm trên tầng cao nhất toà nhà, view  Trường DH  Quốc Gia,  TP thành Phố.Gia chủ có thể thưởng thức bình minh buổi sáng và ngắm hoàng hôn chiều trên căn Penthouse Full kính căn góc rộng. Ngoài ra có sẵn các tiện ích toà nhà chủ nhân được sử dụng miễn phí trong 2 năm.Chủ nhân sở hữu căn Penthouse được sử dụng thang riêng biệt. bên cạnh các công viên lớn như Hồ Skylake , Cv  cầu giấy…… Tặng lại bản vẽ thiết kế  3D cho khách mua Khách hàng quan tâm, muốn sở hữu căn nhà đẳng cấp trêm phố Duy Tân liên hệ em để xem nhà ạ.Hotline: Zalo/viber: 0987 106 ***Trân trọng!
",Căn hộ, 13/10/2023,24/11/2023,Bán,1700863,Sổ đỏ,,,,,,,,,,,,,,,4,Đông,,Có,thô,Đông-Bắc
"
Tìm Chủ Nhân- Duplex Park Kiara khu đô thị Park City - Hà Đông ( Bàn giao thô) Lh 0987106***
","
Thỏa thuận
","
200
m2
",['Mua bán Căn hộ chung cư  Park Kiara'],"
TÌM CHỦ NHÂN CHO CĂN DUPLEX  (PARK KIARA) – Q. HÀ ĐÔNGPhiên bản Dupex Park kiara – Park CityKhông gian sống Đẳng cấp - Giới hạn.========================== Dự án:  Park kiara –  KĐT Park City  ( Lê Trọng Tấn _ Hà Đông)Tổng diện tích: 191m². - Thiết kế: Duplex ( Full kính )Thiết kế: ( 3 phòng ngủ - 3 wc). View Full kính nhìn sang khu Biệt thự .- Bàn giao: Thô.- Có bể bơi, gym, golf, bóng bàn, yoga, - Tầng 1 - 2  Siêu thị đã đi vào vận hành.==========================Park City Khu đô thi được xem là đáng sống nhất Hà Đông, với các phân khu cao cấp thiên về hưởng thụ cuộc sống, và cây xanh phủ đến 80% kđt. ( nhận ảnh và video thực tế)Giá bán: 16 (tỷ)  Sang nhượng HDMBHotline: Zalo/viber 0987 106 ***
",Căn hộ, 10/11/2023,24/11/2023,Bán,2551872,Sổ hồng,,,,,,,,,,,,,,,,Nam,,,,
"
Chuyển nhượng dự án xây 3 tòa nhà chung cư tại trung tâm quận Hoàng Mai sát AEON giá chỉ 12tr/m2
","
120
Tỷ ","
10000
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Mua bán Đất nền dự án tại Đường Nguyễn Cảnh Dị']","
Chuyển nhượng dự án xây 3 tòa nhà chung cư tại trung tâm quận Hoàng Mai sát AEON Hoàng Mai- Diện tích đất 10,000m2 ,mật độ xây dựng 57%,chiều cao là 28 tầng nổi và 1 tầng hầm- Pháp lý đầy đủ ,mặt bằng sạch chỉ việc vào triển khai.- Vị trí trung tâm mặt đường hiện hữu rộng 30m,xung quanh là 3 khu đô thị lớn Linh đàm,Đại kim,Định công và dân cư hiện hữu đông đúc. - Gía : 12tr/m2Liên hệ:0969744***  gặp chủ đầu tư để vào việc.
",Đất nền dự án, 10/11/2023,08/12/2023,Bán,2499080,Sổ đỏ,,,,,,,,,,,,,,,,Nam,,,,
"
Chung cư cao cấp 2 ngủ tại trung tâm quận Hà Đông giá 2 tỷ 7
","
Thỏa thuận
","
70 - 114
m2
",['Mua bán Căn hộ chung cư  Grand SunLake Văn Quán'],"
Suất 5 căn Ngoại giao Cuối Cùng Grand Sunlake  View Thẳng Hồ Văn Quán  Giá tốt hơn CDT 30%( Sở Hữu Vĩnh Viễn Vị trí trung tâm Quận Hà Đông, Ngay Sát Cạnh Thanh Xuân Bàn Giao FULL nội thất Liền Tường Thiết kế mới nhất, Không Góc Chết- 100% phòng đón ánh sáng Tự nhiên, Thoáng mát- Căn 2N : 70m2 từ 2,7x tỷ- Căn 2N+1 : 92m2 từ 3,5x tỷ ( thiết kế lên 3PN thoáng mát)- Căn 3N : 112m2 từ 4,4x tỷ GRAND SUNLAKE – SỐNG SANG GIỮA TỌA ĐỘ VÀNG Vị trí đắc địa độc tôn: Ngã 4 Nguyễn Khuyến – Trần Phú Liền kề ga đường sắt trên cao Cát Linh – Hà Đông và hồ đôi Văn Quán Tích hợp 50+ tiện ích nội khu: TTTM, trường mầm non, bể bơi 4 mùa, sân thể thao, vườn thượng uyển,.. Hồ sơ pháp lý chuẩn chỉ, đầy đủ , dự kiến bàn giao tháng 12/ 2024----------------------------------------------------- Anh/Chị để được hỗ trợ thông tin 24/7  Hotline: 098 hai chín 07594
",Căn hộ, 10/11/2023,08/12/2023,Bán,2622096,,,,,,,,,,,,,,,,,,,,,
