Title,Price,Area,Address,Gen_descrip,Loại hình,Số phòng ngủ,Tình trạng pháp lý,Hướng nhà,Bình nóng lạnh,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bàn ghế P.khách,Hướng ban công,Số tầng,Căn góc,Nội thất,Bồn tắm
"
Nhà đẹp sát Vinhomes, 97m2, 3PN, giá 3.6 tỷ chung cư Le Grand Jardin Sài Đồng, Long Biên, Hà Nội
","
3,6
Tỷ ","
97
m2
",['Mua bán Căn hộ chung cư  Le Grand Jardin Sài Đồng'],"
Bán chuyển nhượng căn 3PN diện tích 97m2 giá 3.6 tỷ tại chung cư Le Grand Jardin Sài Đồng hàng xóm vinhomes Riverside Long Biên+ Diện tích: 97m2.+ Thiết kế thông minh, ngập tràn ánh sáng và thoáng mát với 3PN, 2WC, có tới 03 lô gia.+ View được cả nội khu và hồ Sài Đồng thơ mộng. Tiện ích thời thượng.+ Giá tốt nhất dự án: Chỉ 3.6 tỷ.--------------------------------------------------------------+ Miễn phí dịch vụ 18 tháng.+ Tặng voucher du lịch trị giá đến 60 triệu+ Chiết khấu lên tới 6% GTCN+ Hỗ trợ vay 70% với lãi suất 0% và miễn trả lãi và miễn phí trả nợ trước hạn trong 12 tháng.--------------------------------------------------+ Vị trí: Tọa lạc tại KĐT Sài Đồng mới trên mặt đường Huỳnh Văn Nghệ dẫn vào KĐT Vinhomes Riversiden. Đây là vị trí giao lộ vàng giữa các tuyến đường đi tỉnh và đường vào nội đô thành phố Hà Nội:- Kết nối trực tiếp với Quốc Lộ 5 đi Hải Dương, Hải Phòng, Quảng Ninh,...- Thông tuyến lên sân bay quốc tế Nội Bài và các tỉnh Vĩnh Phức, Thái Nguyên, Phú Thọ, Bắc Ninh, Bắc Giang, Hưng Yên, .....- Thông theo cầu Vĩnh Tuy,  Chương Dương và cầu Long Biên vào phố cổ chỉ 15 phút.+ Tiện ích: Đầy đủ trong khu dự án là tổ hợp của 9 tòa nhà như: bể bơi, phòng Gym, Yoga, khu đi dạo, hồ điều hòa sài đồng, vườn BBQ, Vườn massa chân, Bàn chơi cờ ...+ Xung quanh đã được đồng bộ về cơ sở hạ tầng và hệ thống tiện ích, Bic C Long Biên, Aeon Mall Long Biên, Vincom Central,...Liên hệ xem nhà và chọn căn đẹp nhận chính sách mua nhà tốt alo em Thiện ngay: 0911339***
",Căn hộ,3,Sổ hồng,Đông-Bắc,1.0,1.0,1.0,1.0, 09/11/2023,23/11/2023,Bán,1524241,,,,,,,,,,,,,,
"
Bán căn hộ 3 ngủ 85m2 Full đồ tại chung cư Eurowindow River Park giá 2.6Tỷ, LH 0911339***
","
2,6
Tỷ ","
85
m2
",['Mua bán Căn hộ chung cư  Euro River Park'],"
Chính chủ cần bán nhà 3 ngủ 85m2 Full đồ nội thất hiện đại tại Eurowindow River ParkDiện tích: 85 m Giá: 2,6 tỷKhu đô thị Eurowindow River Park Đông Trù  Long Biên  Hà NộiHiện nay do cần tiền nên tôi cần bán gấp căn hộ tại tòa nhà chung cư Eurowindow River Park Đông Trù  ĐÔng Anh Hà Nội. Nhà mới hoàn thiện Full đồ đẹp, xem là thích liền, có giấy tờ đầy đủ, không tranh chấp. Nằm trong quần thể dự án đáng sống với đầy đủ hệ thống tiện ích hiện đại như: Trung tâm thương mại, Bể bơi 4 mùa. Gym, Yoga, Xông hơi, Spa, Khu vườn dạo bộ trên tầng 4 và các vườn khu vui chơi dưới tầng 1. Ngoài ra, có thêm hệ thống shop chân đế cao 3 đến 4 tầng vừa ở và vừa kinh doanh hay làm văn phòng.Ví trị thuận lợi di chuyển ra mọi hướng, không kẹt xe, đường thoángGần Big C Long Biên, Bệnh viện Đức Giang, Chợ và các hệ thống trường học từ mầm non đế trường cấp 3 Đặc biệt vị trí này được đánh giá an toàn, an ninh được quản lý chặt chẻ, hiếm xảy ra tệ nạn.Liên hệ xem nhà trực tiếp gặp chủ nhà: 09.1133.9***
",Căn hộ,,Sổ hồng,Đông-Nam,1.0,1.0,1.0,1.0, 09/11/2023,23/11/2023,Bán,2228511,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
"
Chuyện nhượng 2PN, DT 88m2 giá 3.78 tỷ chung cư Premier Berriver Long Biên - Hà Nội, LH 0911339***
","
3,78
Tỷ ","
88
m2
",['Mua bán Căn hộ chung cư  Berriver Jardin'],"
CĂN 88M2 BERRIVER JARDIN NHÀ ĐẸP BÊN SÔNG LIỀN KỀ PHỐ  Chỉ từ .3.78tỷ sở hữu ngay căn hộ cao cấp 2PN #trung_tâm_Long_Biên  Chuyển nhượng căn hộ chung cư Premier Berriver vị trí trung tâm quận Long Biên của tập đoàn Masteri Homes tại số 390 Nguyễn Văn Cừ, Long Biên, Hà NộiThiết kế diện tích đa dạng: 2 PN + 2 WC : 71m2 – 88m2 giá từ 3.48 tỷ3 PN + 2 WC : 105m2 – 124m2 giá từ 4.5 tỷCăn PENTHOUSE DUPLEX ( 4 PN + 3 WC ) : 262m2 – 475m2 Giá từ 10.4 tỷChính sách quà tặng và chiết khấu khi mua nhà tại Premier BerriverMiễn phí 24 tháng dịch vụTặng gói nội thất 90 triệu – 120 triệuChiết khấu đến 7% GTCNHỗ trợ VAY 70% GTCN lãi suất 0%/ 12 tháng + Miễn trả gốc và Phí thanh toán trước hạn trong 12 tháng đầu.Nếu cần thêm thông tin và hỗ trợ tốt hơn nữa thì liên hệ ngay Em Thiện: 0911339***-------------------------------------  GIAO ĐIỂM VÀNG TRUNG TÂM LONG BIÊN  Tọa lạc trên trục đường huyết mạch Nguyễn Văn Cừ sôi động và sầm uất nhất quận Long Biên, #PremierBerRiver  sở hữu tọa độ kết nối đáng mơ ước: ́: Tiểu học Ngọc Lâm, Elite Fitness, Hồ Hàng Không, BV Tâm Anh, siêu thị Intimex  ́: AEON Long Biên, vườn hoa Gia Lâm, bến xe Gia Lâm, trường quốc tế Well Spring, BV đa khoa QT Bắc Hà.  ́: Trung tâm Hà Nội, hồ Hoàn Kiếm, nhà hát lớn, Mipec Long Biên, Vinhomes Riverside  ́: Sân bay Nội Bài   
",Căn hộ,3,Sổ hồng,Đông-Nam,,1.0,1.0,1.0, 09/11/2023,23/11/2023,Bán,1744647,,,,,,,,,,Tây-Bắc,13,Không,,
"
Bán nhà biệt thự, liền kề Thạch Bàn - Long Biên - Hà Nội diện tích 344m2 hoàn thiện nhận nhà ở ngay
","
37
Tỷ ","
344
m2
","['liền kề  Biệt thự liền kề Arden Park - Hà Nội Garden City', 'Mua bán Nhà biệt thự']","
Bán khẩn cấp Biêt thự liền kề khu đô thị Garden City Thạch Bàn  Long Biên- Diện tích đất 244m2  - Diện tích sân vườn thêm 100m2 nữa- Diện tích xây dưng 107.7m2  diện tích sàn 313m2- Xây 3 tầng cao: Gồm có 2 chỗ để xe, 4 phòng ngủ và 5 nhà vệ sinh- Lô góc mặt tiền rộng và có cả khu sân vườn tuyệt đẹp- Nhà hoàn thiện rồi xây 3 tầng cao  mua xong chỉ có xách vali vào ở thôi- Phù hợp để làm nơi an cư sinh sống yên bình hoặc làm văn phòng công ty  
","Nhà biệt thự, liền kề",4,Sổ đỏ,Đông-Nam,1.0,1.0,1.0,1.0, 09/11/2023,23/11/2023,Bán,1885096,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,3,,hoàn thiện ,1.0
"
Bán căn hộ 3 ngủ 83m2 giá 2.9 tỷ chung cư sài đồng Quận Long Biên - Hà Nội, LH 0911339***
","
2,9
Tỷ ","
83
m2
","['Hà Nội', 'Quận Long Biên', 'Mua bán Căn hộ chung cư tại Phố Hoàng Thế Thiện']","
Chuyển nhượng căn 3 PN giá 2.9 tỷ tại dự án Le Grand Jardin Sài Đồng, hàng xóm Vinhomes Riverside, nằm trong quần thể KĐT mới Sài Đồng – View hồ sài đồng.* Thông tin căn hộ chuyển nhượng+ Diện tích căn hộ: 84m².+ Thiết kế căn hộ 3PN+ Giá căn hộ 2.9 tỷ + Các căn hộ đều được thiết kế thông minh đảm bảo không gian thông thoáng, tối ưu công năng sử dụng và lấy ánh sáng tự nhiên cho từng căn hộ.------------------------------------------Chính sách quà tặng và chiết khấu hỗ trợ mua nhà từ chủ đầu tư1. Miễn 18 tháng phí dịch vụ.2. Tặng chuyến du lịch đến 60 triệu3. Chiết khấu 6% GTCH.4. Hỗ trợ VAY 70% GTCN ( lãi suất 0% trong vòng 12 tháng và ân hạn gốc + miễn trả nợ trước hạn).5. Giảm 2.8 triệu/m2/căn bàn giao thô.--------------Thông tin dự án Le Grand Jardin sài đồngChủ đầu tư: Công ty cổ phần phát triển nhà Hà Nội số 3.Đơn vị thi công: Công ty CP xây dựng Hòa Bình (Corporation).Đơn vị thiết kế cảnh quan: Công ty cổ phần West Design.Đơn vị tư vấn giám sát: Công ty cổ phần tư vấn công nghệ, thiết bị và kiểm định xây dựng Coninco.Quy mô dự án: Gồm 9 tòa nhà cao 15 tầng nổi với 1 tầng hầm thông nhau chung một khối đế. Một mặt sàn có 9 - 10 căn với 3 thang máy và 2 thang bộ, thiết kế diện tích đa dạng từ 50m2 -  63m2 – 65m2 – 76m2 – 84m2 -  99m2 - 107m2 ( Thiết kế từ 2 - 3 phòng ngủ).Số lượng đỗ xe đáp ứng:  Phân Lô N015 có (Ô tô: 214 + Xe máy: 459) và Phân lô No16 có (Ô tô: 170 + xe máy: 1358).Hình thức sở hữu: Sổ hồng lâu dài.Liên hệ: 09790492***hoặc 0911339***.Tham khảo thêm thông tin website: https://legrandjardin-hanco3.com/
",Căn hộ,,,,1.0,1.0,1.0,1.0, 11/10/2023,22/11/2023,Bán,2128774,,,,,,,,,,,,,,
"
Bán nhà biệt thự, liền kề quận Long Biên Hà Nội, 102m2 - 148m2 giá từ 20 tỷ
","
19,5 - 30
Tỷ ","
102 - 148
m2
","['liền kề  The Diamond Point', 'Mua bán Nhà biệt thự']","
Chuyển nhượng suất ngoại giao đẹp nhất tại dự án The Diamond Point.Vị trí tặng trưởng: Đường Nguyễn Lam, Phúc Đồng, Long Biên, Hà Nội (đối diện KĐT Vinhomes The Harmony).Quy mô dự án: Chỉ có 126 lô đất (Shophouse, liền kề và biệt thự song lập).Các loại diện tích đang bán:  + Liền kề 102m2 - hướng Đông Nam - giá 21 tỷ+ Liền kề 102m2 - hướng Tây Bắc - giá 19.5 tỷ+ Biệt thự Song lập 105m2 - hướng Tây Nam - giá 21.5 tỷ+ Biệt thự Song lập 130m2 - hướng Đông Nam - giá 28.9 tỷ+ Biệt thự song lập 145m2 - hướng Tây Nam - giá 30 tỷ  + Biệt thự song lập 148m2 - hướng Tây Nam - giá 28 tỷDự án được quy hoạch cực đẹp: Hệ thống khu vui chơi, vườn hoa dạo bộ, công viên cây xanh tạo ra khu vực có cuộc sống an lành, trường mầm non, cấp 1, cấp 2 và cấp 3; vườn hoa; công viên; 7 tòa chung cư. Quy hoạch hệ thống cơ sở hạ tầng đường lớn rộng 30m và đường nội bộ 13m.Pháp lý: Sở hữu lâu dài.
","Nhà biệt thự, liền kề",,,,,,,, 06/11/2023,20/11/2023,Bán,2002116,,,,,,,,,,,,,,
"
Bán gấp căn liền kề HC Golden City - 319 Bồ Đề, Long Biên, 5 tầng 127m2 giá 31.85 tỷ
","
31,8
Tỷ ","
127
m2
",['Mua bán Căn hộ chung cư  HC Golden City'],"
Do mua xong chưa có nhu cầu ở và điều chuyển công tác nên muốn bán gấp căn liền kề tại dự án Hc Golden CityGiá siêu hấp dẫn cho khách hàng thiện chí mua để ở và đầu tưThiết kế 5 tầng với điện tích là 127 m2---------------------------------------------------Vị trí đắc địa tại 319 đường Hồng Tiến Bồ Đề, Long Biên, Hà Nội+ Sát bệnh viện hàng đầu về chăm sóc sức khỏe là bệnh viện Tâm Anh + Có công viên Bồ Đề để cư dân đi dạo, rèn luyện thể dục thể thao.+ Chỉ cần 3 phút sẽ Liên kết với Sân Golf, Aeon Mall Long Biên, Big C Long Biên + Chỉ 5 Phút sẽ đến Time City, Phố Cổ, Hồ Tây qua các tuyến cầu Vĩnh Tuy, Chương Dương, Long Biên+ Thiết kế phong cách hiện đại - hoặc chủ nhà có thể thay đổi cách tân thiết kế theo phong cách mình muốn+ Sản phẩm có tiềm năng tăng giá cao trong Tương Lai, Hoặc cho Thuê sinh lợi nhuận caoHệ thống tiện tích hiện hữu cư dân sống tại dây sử dụng luôn và trải nghiệm cuộc sống hạnh phúc nhấtBên cạnh đó là Hệ thống trường học từ mầm non, cấp 1, cấp 2 và cấp 3 hoặc là trường quốc tế wellspringLiệu rằng lý do đã đủ để bạn đầu tư hoặc mua để ở, giữ giá trị dòng tiền
",Căn hộ,4,Sổ hồng,Tây-Nam,,,,, 06/11/2023,20/11/2023,Bán,1497683,,,,,,,,,,,5,Có,,
"
Bán căn hộ 4 phòng ngủ 117m2 hướng đông nam full đồ cao cấp chung cư Berriver Long Biên
","
5
Tỷ ","
117
m2
",['Mua bán Căn hộ chung cư  Premier Berriver Long Biên'],"
Chuyển nhượng căn hộ 4PN Diện tích 117m² Full đồ cao cấp ở ngay! - Thiết kế 117m² - 4PN + 2wc + phòng kho.- Nhà mới hoàn thiện Nội thất hiện đại sang xin mịn Full cả đồ liền tường và đồ thiết bị trong nhà – mua xong chỉ có việc xách vali về ở - Sổ hồng trao tay chỉ trong 1 nốt nhạc- Thiết kế căn hộ diện tích tối ưu công năng sử dụng nhất dự án berriver Long Biên- Chủ để lại full đồ kể cả đồ điện tử không mang gì theo- Xem nhà và thương lượng giá tốt trực tiếp với chủ nhà
",Căn hộ,4,Sổ hồng,Đông-Bắc,1.0,1.0,1.0,1.0, 07/11/2023,21/11/2023,Bán,2029274,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Đông-Nam,3,Có,Full toàn bộ,1.0
"
Bán căn 3 phòng ngủ - 97m2 giá 3.6 tỷ tại chung cư cao cấp Le Grand Jardin Sài Đồng, Long Biên
","
3,6
Tỷ ","
97
m2
",['Mua bán Căn hộ chung cư  Le Grand Jardin Sài Đồng'],"
Chuyển nhượng căn 3 PN giá 3.6 tỷ tại dự án Le Grand Jardin Sài Đồng, hàng xóm Vinhomes Riverside, nằm trong quần thể KĐT mới Sài Đồng – View hồ sài đồng.* Thông tin căn hộ chuyển nhượng+ Diện tích căn hộ: 97m².+ Thiết kế căn hộ 3PN+ Giá căn hộ 3.6 tỷ + Các căn hộ đều được thiết kế thông minh đảm bảo không gian thông thoáng, tối ưu công năng sử dụng và lấy ánh sáng tự nhiên cho từng căn hộ.------------------------------------------Chính sách quà tặng và chiết khấu hỗ trợ mua nhà từ chủ đầu tư1. Miễn 18 tháng phí dịch vụ.2. Tặng chuyến du lịch đến 60 triệu3. Chiết khấu 6% GTCH.4. Hỗ trợ VAY 70% GTCN ( lãi suất 0% trong vòng 12 tháng và ân hạn gốc + miễn trả nợ trước hạn).5. Giảm 2.8 triệu/m2/căn bàn giao thô.--------------Thông tin dự án Le Grand Jardin sài đồngChủ đầu tư: Công ty cổ phần phát triển nhà Hà Nội số 3.Đơn vị thi công: Công ty CP xây dựng Hòa Bình (Corporation).Đơn vị thiết kế cảnh quan: Công ty cổ phần West Design.Đơn vị tư vấn giám sát: Công ty cổ phần tư vấn công nghệ, thiết bị và kiểm định xây dựng Coninco.Quy mô dự án: Gồm 9 tòa nhà cao 15 tầng nổi với 1 tầng hầm thông nhau chung một khối đế. Một mặt sàn có 9 - 10 căn với 3 thang máy và 2 thang bộ, thiết kế diện tích đa dạng từ 50m2 -  63m2 – 65m2 – 76m2 – 84m2 -  99m2 - 107m2 ( Thiết kế từ 2 - 3 phòng ngủ).Số lượng đỗ xe đáp ứng:  Phân Lô N015 có (Ô tô: 214 + Xe máy: 459) và Phân lô No16 có (Ô tô: 170 + xe máy: 1358).Hình thức sở hữu: Sổ hồng lâu dài.Liên hệ: 09790492***hoặc 0911339***.Tham khảo thêm thông tin website: https://legrandjardin-hanco3.com/
",Căn hộ,3,Sổ hồng,,1.0,1.0,1.0,1.0, 07/11/2023,21/11/2023,Bán,1092591,,,,,,,,,,Đông-Nam,15,Có,Có,
"
Suất ngoại giao giá rẻ chung cư sài đồng 80 - 99m2 giá chỉ 25 triệu/m2 Full cơ bản, LH: 0979049***
","
1,85 - 2,3
Tỷ ","
79 - 99
m2
",['Mua bán Căn hộ chung cư  Khu đô thị Sài Đồng'],"
🔥Nhận nhà ở luôn căn GÓC ""2PN + 2WC diện tích 80 - 99m2"" View ĐẸP🎁 Đặc biệt căn hộ :- Tòa nhà cao 13 tầng với 7 căn/ sàn, có 3 thang may - Hiện tại đã đi vào hoạt động và vận hành- Nhận nhà ở ngay với bàn giao mới nguyên cơ bản chủ đầu tư- Cơ sở hạ tầng cùng hệ thống tiện ích xung quanh đầy hưởng thụ- Bàn giao căn hộ: Sàn gỗ, trần thạch cao, thiết bị chiếu sáng, điều hòa, tủ bếp và bếp, hút mùi.- View hồ sài đồng nằm trong quần thể KĐT sài đồng mới--------------------🔑 Liên hệ ngay lấy giá gốc chủ đầu tư rẻ hơn 25triệu/m2🔰 Vị trí đắc địa: Đường Huỳnh Văn Nghệ, KĐT Sài Đồng, Long Biên, Hà Nội☎️ Liên hệ xem nhà ngay : 0886222***
",Căn hộ,,Sổ hồng,Đông-Nam,1.0,1.0,1.0,1.0, 07/11/2023,21/11/2023,Bán,2367051,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,
