Title,Price,Area,Address,Gen_descrip,Loại hình,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Tình trạng pháp lý,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách,Số phòng ngủ,Số tầng,Hướng nhà
"
Bán căn hộ 4 phòng ngủ 150m2 BRG Lê Văn Lương 8.8 tỷ nhận nhà ngay
","
8,8
Tỷ ","
150
m2
",['Mua bán Căn hộ chung cư  BRG Diamond Residence'],"
Căn hộ 150m2 rộng rãi thiết kế 4 phòng ngủ cực hợp lý với 2 phòng ngủ master, 2 phòng ngủ thường, 3 ban công thoángVị trí trung tâm góc ngã tư Lê Văn Lương – Hoàng Đạo Thúy gần 1 loạt trường chất lượng cao: Hanoi – Amsterdam, liên cấp Ngôi sao Hà Nội, CLC Thanh Xuân,…Tòa nhà duy nhất trong khu vực sở hữu đến 5 hầm đậu xe với số slot đỗ ô tô nhiều hơn số căn hộKhách hàng quan tâm căn hộ có thể xem tận nơi căn – tầng thực tếGiá bán: 8.8 tỷ kí HĐMB trực tiếp chủ đầu tư BRGLiên hệ xem nhà: 0911.772.*** (em Ngọc)
",Căn hộ, 12/10/2023,07/12/2023,Bán,2568852,,,,,,,,,,,,,,,,,,
"
Bán nhà riêng đẹp ở ngay Xã Đàn - Đống Đa - giá tốt
","
4,2
Tỷ ","
41
m2
","['Hà Nội', 'Quận Đống Đa', 'Mua bán Nhà riêng tại Phường Ô Chợ Dừa']","
Chủ cần tiền bán gấp nhà 5 tầng ở Xã Đàn dt 41m2 Giá chỉ 4.2 tỷ ❤️‍🔥❤️‍🔥❤️‍🔥NHÀ MỚI ĐẸP - CÁCH 150M RA HỒ 3 MẪU - KHU VỰC TRUNG TÂM - ĐỂ XE THOẢI MÁI - 3 GÁC VÀO NHÀ ❤️‍🔥❤️‍🔥❤️‍🔥+ Vị trí đẹp ở cực thích, khu vực trung tâm gần hồ 3 mẫu, ngõ ngách thông khắp nơi.+ Thiết kế 5 tầng gồm 4 phòng và 1 sân phơi, tầng 1 bếp, phòng khách nơi để xe, sân rộng để xe tiếp khách thoải mái, nhà rất thoáng sáng mát mẻ.+ Pháp lý sổ đỏ giao dịch nhanh chóng.☎️ 0963443***
",Nhà riêng, 09/11/2023,07/12/2023,Bán,2619750,Sổ đỏ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
"
Nhà phố lạc trung, hai bà trưng, thang máy, gần ô tô, 33m2 x6 tầng, 5 tỷ 5
","
5,5
Tỷ ","
33
m2
","['Hà Nội', 'Quận Hai Bà Trưng', 'Mua bán Nhà riêng tại Đường Cầu Lạc Trung']","
Diện tích sổ đỏ 30 nhà vuông đẹp nội thất xịn gia đình đang sử dụng, nhà có 3P ngủ phòng, phòng khách, bếp đầy đủ công năng. 
• Ngõ nông chỉ có mấy chục nhà cực yên tĩnh( hình ảnh thực tế nhà ) 50M ra đến mặt phố Lạc Trung ô tô tránh nhau, 6p ra Time City. 
• Sổ đỏ vuông đẹp sẵn sàng chào đón chủ mới.
 
Chi tiết liên hệ Mr – Kiên – 
Chuyên thổ cư, còn hơn 200 nhà khu vực với nhiều mức giá,miễn phí dẫn khách xem nhà, tư vấn pháp lý.
",Nhà riêng, 09/11/2023,07/12/2023,Bán,2619673,Sổ đỏ,,,,,,,,,,,,,,,3,6,
"
3 tỷ căn 2N 72m2 đã full đồ, sổ hồng lâu dài tại Moonlight Hoài Đức.LH: 0984.506.***
","
3
Tỷ ","
72
m2
",['Mua bán Căn hộ chung cư  An Lạc Green Symphony'],"
Bán nhanh 3 tỷ căn hộ mới như hình có căn hộ 2N 2VS tầng 5, diện tích 72m2 tại Moonlight Hoài Đức cách Big C Thăng Long 6km, thuận tiện làm việc Mỹ Đình, Cầu Giấy -Hướng ban công Tây Bắc, view nội khu trung tâm công viên cây xanh. -Nội thất mới tinh: 3 điều hòa Samsung 2 chiều, 2 bình nóng lạnh, tủ bếp trên dưới, bếp từ, hút mùi, chậu rửa Haffler.. -Căn hộ 2 lô gia rộng, lô gia phòng khách thoải mái trồng cây xanh, lô gia bếp tha hồ giặt giũ, phơi đồ. Liên hệ chủ nhà: 0984506***
",Căn hộ, 09/11/2023,23/11/2023,Bán,2619651,Sổ hồng,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,,Đông-Bắc
"
Bán nhà chung cư khu đô thị Trung Hoà Nhân Chính
","
3,95
Tỷ ","
120
m2
","['Hà Nội', 'Mua bán Căn hộ chung cư tại Quận Cầu Giấy']","
Chính chủ bán nhà chung cư 120m, 3 ngủ, 3 vệ sinhNhà mới đẹp, chủ nhà sửa để ở, nay mua nhà đất nên cần bán 
",Căn hộ, 09/11/2023,07/12/2023,Bán,2619616,Sổ đỏ,,,,,,,,,,,,,,,,,
"
41,6m ful thổ sau bến xe Yên Nghĩa, Hà Đông, ô tô vào tận đất, sát vành đai 4 giá chưa đến 2 tỷ
","
Thỏa thuận
","
42
m2
","['Hà Nội', 'Quận Hà Đông', 'Mua bán Đất tại Phường Yên Nghĩa']","
Chính chủ bán mảnh đất 41,6m2 ngay phía sau bến xe Yên Nghĩa – quận Hà Đông,, sát vành đai 4. Đi vài bước chân là ra chợ và trường tiểu học, xung quanh dân trí đông đúc, ô tô đỗ ngay trước đất, tiềm năng phát triển x2 và x3 trong thời gian tới, sổ đỏ cầm tay ngay. Alo em 0915.151.*** – 091.116.7***.
",Đất, 09/11/2023,07/12/2023,Bán,2619603,Sổ đỏ,,,,,,,,,,,,,,,,,Đông-Nam
"
469m đất Hòa Lạc, Hà Nội ô tô đỗ trước đất, đối diện khu công nghệ cao, sát sân chơi Golf
","
Thỏa thuận
","
469
m2
","['Hà Nội', 'Huyện Quốc Oai', 'Mua bán Đất tại Đường 21A']","
Chính chủ em còn duy nhất mảnh đất Diện tích 469m2 xây biệt thự siêu đẹp độc nhất ở Hà Nội quá tiềm năng x2 X3; mặt tiền rộng, ô tô đỗ tận đất luôn; Xung quanh nhiều biệt thự Homestays; View đẹp độc đáo mà lại ở ngay trung tâm TP Hà Nội; đối diện khu đô thị vệ tinh Hoà Lạc; bên cạnh sân golf; vài bước chân là trường học và ủy ban nhân dân; Alo em  0915.151.*** – 091.116.7***.
",Đất, 09/11/2023,07/12/2023,Bán,2619599,Sổ đỏ,,,,,,,,,,,,,,,,,Đông-Nam
"
100m ful thổ cư tại Hòa Lạc, Hà Nội giá nhỉnh 1 tỷ bên cạnh sân Golf, đối diện khu công nghệ cao
","
Thỏa thuận
","
100
m2
","['Hà Nội', 'Huyện Quốc Oai', 'Mua bán Đất tại Xã Phú Mãn']","
Chính chủ em bán mảnh đất 100m2 Full thổ cư, mặt tiền 12m ô tô đỗ 2 làn xe trước mặt, bên cạnh là sân chơi Golf, đối diện là Khu sinh thái nghỉ dưỡng công nghệ cao, xung quanh là các nhà vườn biệt thự sang trọng, vài bước chân là ra ủy ban nhân dân và trường tiểu học, tiềm năng phát triển x2 x3 trong tầm tay luôn. Alo em chính chủ 0915.151.***.
",Đất, 09/11/2023,07/12/2023,Bán,2619596,Sổ đỏ,,,,,,,,,,,,,,,,,Đông-Nam
"
Bán nhà riêng Huyện Gia Lâm - Hà Nội giá 1.35 Tỷ
","
1,35
Tỷ ","
43
m2
","['Hà Nội', 'Huyện Gia Lâm', 'Mua bán Nhà riêng tại Đường Tỉnh lộ 181']","
Chính chủ tôi cần tiền nên cần bán nhanh mảnh đất sẵn căn nhà cấp 4 còn tương đối mới, ở ngày hoặc cho thuê được tạo dòng tiềnVị trí thửa đất tại Kim Sơn, Gia Lâm, Hà NộiDiện tích: 43m2Mặt tiền 6,68m, hậu 6,7mThế đất vuông vắn, tạo cho căn nhà cảm giác rộng rãiĐược sử dụng phần đất phía trước rộng 2,7m, ngõ vào rộng 2mNhà cấp 4 còn khá mới, thiết kế khung thép làm tầng 2Vị trí an cư tốt, hàng xóm thân thiện, an ninh trật tự đảm bảoBán kính 400m đầy đủ trường học các cấp, ủy ban, trạm y tế, chợ Keo...Giá muốn bán nhanh: Chỉ 1 tỷ 350tr cho cả đất và nhàLH: 0981656***  
",Nhà riêng, 09/11/2023,07/12/2023,Bán,2619530,Sổ đỏ,,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,Đông-Nam
"
Đất phân lô, ô tô, kinh doanh, văn phòng, ở. 0778667***
","
5,7 - 0
Tỷ ","
50
m2
","['Hà Nội', 'Quận Hà Đông', 'liền kề tại Đường Mậu Lương', 'Mua bán Nhà biệt thự']","
Đất phân lô ô tô đỗ cửa, vải hè rộng, đường thông mọi ngả, mấy chục mét ra Xa La, Cienco5, giao thông thuận tiện, gần viện 103, học viện quân Y.+ Tặng nhà cấp 4 mới có gác xép+ Khu vực phát triển chóng mặt, mua xây 6T thang máy+ Giá: 5.7 tỷ+ Sổ đỏ cất két sẵn sàng giao dịchLiên hệ: Mr.Ký: 0778 66778***gặp chính chủ bđs
","Nhà biệt thự, liền kề", 09/11/2023,07/12/2023,Bán,2530026,,,,,,,,,,,,,,,,,,
