Title,Price,Area,Address,Gen_descrip,Loại hình,Tình trạng pháp lý,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Hướng nhà,Số phòng ngủ,Căn góc,Số tầng,Nội thất
"
FULL Nội Thất - Đất nở hậu - Hàng Xóm Royal City - 4 Tầng Chỉ 3,3 tỷ
","
Thỏa thuận
","
30
m2
","['Hà Nội', 'Quận Thanh Xuân', 'Mua bán Nhà riêng tại Đường Giáp Nhất']","
FULL NỘI THẤT- ĐẤT NỞ HẬU – HÀNG XÓM ROYAL CITY - 4 TẦNG CHỈ 3,3 TỈTìm chủ cho em nhà mới xinh như Ngọc trinh, cách ô tô chỉ 20m, mấy bước chân là ra sân chơi, tập thể dục của phố, ngõ thông sang ngõ 103 Quan Nhân, ngõ 78 Nguyễn Trãi, tiện ích xung quanh bạt ngàn. Sổ đỏ nở hậu nhẹ, cất két sẵn sàng giao dịch, chủ vô cùng niềm nở hoan nghênh.Nhà thiết kế 4 tầng đầy đủ công năng:- Tầng 1: khách, bếp, wc- Tầng 2, 3: 2 P ngủ + WC.- Tầng 4: 1 Phòng + sân phơiLiên Hệ Zalo/Sđt: 0917799*** (Mrs Kim)     
",Nhà riêng,Sổ đỏ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 13/10/2023,10/11/2023,Bán,2570288,,,,,
"
Nhỉnh 2,5 tỷ căn 2N+1 cao cấp, sổ lâu dài tại Moonlight Hoài Đức. Liên hệ: 0984.506.***
","
3,5
Tỷ ","
80
m2
","['Hà Nội', 'Huyện Hoài Đức', 'Mua bán Căn hộ chung cư tại Đường Vành Đai 3.5']","
-Moonlight Hoài Đức ( đối diện Vinhomes Smart City) -Căn 2N+1 diện tích 80m2, ban công Đông Nam, tầng trung 12A -Sổ hồng lâu dài, nhận nhà trước Tết 2024 -Giá: nhỉnh 3,5 tỷ (bao phí) -Tòa nhà đã cất nóc, bàn giao 31/12/23 -Tòa nhà cao 21 tầng, 2 hầm, 2 tầng thương mại 13 căn hộ/ sàn sử dụng 5 thang máy - Bàn giao full nội thất cao cấp như ảnh(sàn gỗ, điều hòa, nóng lạnh, bếp từ, hút mùi...)               
",Căn hộ,Sổ hồng,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,, 06/11/2023,20/11/2023,Bán,2613808,Đông-Nam,,,,
"
💥 💥💥Trung tâm Hoàng Mai - Thoáng sáng - Ô tô gần - ở ngay
","
3,5
Tỷ ","
40
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Mua bán Nhà riêng tại Đường Giải Phóng']","
💥 💥💥TRUNG TÂM QUẬN HOÀNG MAI – THOÁNG SÁNG – Ô TÔ GẦN - Ở NGAYGIẢI PHÓNG – HOÀNG MAI Vị trí nhà trung tâm quận cách ngã tư vọng 500m – bệnh viện Bạch Mai – ĐH KTQDNhà có lửng – thiết kế đẹp , sang trọngThiết kế 5 tầng – 3 phòng ngủSổ chính chủ sẵn giao dịchDIỆN TÍCH 40m2 – nhỉnh 3.5 tỷ ( có thương lượng)📮 Zalo/FB: 0968263***/0388599*** (Tuấn Anh)
",Nhà riêng,,,,,,,,,,,,,,,, 06/11/2023,04/12/2023,Bán,2613805,,,,,
"
VIP - Xuân Đỉnh – 40M 5 Tầng Chỉ Hơn 4 Tỷ - Nhà Đẹp Ở Ngay
","
Thỏa thuận
","
40
m2
","['Hà Nội', 'Quận Bắc Từ Liêm', 'Mua bán Nhà riêng tại Đường Xuân Đỉnh']","
30M RA PHỐ - Ô TÔ ĐỖ GẦN - TIỆN ÍCH NGẬP TRÀN+ Vị trí đẹp, trung tâm, hàng xóm Ngoại Giao Đoàn, tiện ích bạt ngàn. Gần chợ, trường học các cấp 1-2-3 Xuân Đỉnh, CV hồ điều hoà... khu Stalake hưởng trọn mọi tiện ích.+ Ngõ thoáng rộng, xe ba gác tránh nhau thoải máiThiết kế:- Tầng 1: Khách, bếp, vs.- Tầng 2,3,4: Tổng 3ngủ, vs khép kín- Tầng 5: Phòng thờ, sân phơi.SỔ ĐỎ CHÍNH CHỦ.Liên Hệ: 083.999.3*** / 091.77.99.*** (Zalo Ms Kim)
",Nhà riêng,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 06/11/2023,04/12/2023,Bán,2613802,,,,,
"
Bán nhà phố Bạch Mai, 32m2, 3 tầng, 3 ngủ, giá 4 tỷ 2
","
4,2
Tỷ ","
32
m2
","['Hà Nội', 'Quận Hai Bà Trưng', 'Mua bán Nhà riêng tại Phố Bạch Mai']","
Nhà phố Bạch Mai 32m2, 3 tầng + Thiết kế: - Tầng 1: Phòng khách, bếp, wc – Tầng 2: 2 phòng ngủ, wc – Tầng 3: 1 phòng ngủ lớn. + Nhà chủ để sẵn cột chờ, khách mua có nhu cầu lên thêm 2-3 tầng thoải mái. + Sổ đỏ đẹp, chính chủ sẵn sàng giao dịch Chi tiết liên hệ Mr – Kiên – 0987209*** Chuyên thổ cư, còn hơn 200 nhà khu vực với nhiều mức giá,miễn phí dẫn khách xem nhà, tư vấn pháp lý
",Nhà riêng,Sổ đỏ,,,,,,,,,,,,,,, 06/11/2023,04/12/2023,Bán,2613749,,,,,
"
CĐT mở bán chung cư Lê Duẩn - Hồ Ba Mẫu, 32-50-62m2, giá 500-880-950tr/căn, sổ hồng riêng
","
500
Triệu ","
35
m2
","['Hà Nội', 'Mua bán Căn hộ chung cư tại Quận Đống Đa']","
CHÍNH CHỦ MỞ BÁN CHUNG CƯ LÊ DUẨN- GIẢI PHÓNG, CẠNH CÔNG VIÊN THỐNG NHẤT, THOÁNG ĐẸP- Gần các trường đại học nổi tiếng: Đại học Ngân Hàng, ĐH Bách Khoa, ĐH Kinh Tế Quốc Dân. Gần các siêu thị trung tâm mua sắm bậc nhất, ngân hàng thương mại và nội địa.- Nằm ở ngã tư Lê Duẩn, Xã Đàn, Giải Phóng, Đại Cồ Việt giao thông vô cùng thuận tiện lên phố, tập thể dục, đi chơi vô cùng thuận tiện- Diện tích: 30m2 - 35m2 - 45m2 - 50m2 - 55m2 -62m2-  Giá bán 550tr - 650tr  - 840tr - 880tr - 950 tr - 1.2 tỷ/ cănGiá đã gồm VAT phí làm sổ.Nhà xây dựng trên đất khu đất rộng 300m2, 4 mặt thoáng, khu dân trí cao, an ninh cực tốt.- Có 2 thang máy nhập khẩu và thang bộ.Full nội thất cao cấp 100% bằng gỗ thịt, hệ thống đèn chùm, led, truyền hình cáp, internet đầy đủ, thiết kế hiện đại, sang trọng****Liên hệ trực tiếp chủ đầu tư để mua giá gốc và hưởng chiết khấu cao
",Căn hộ,Sổ hồng,,,,,,,,,,,,,,, 06/11/2023,04/12/2023,Bán,1478091,,1,Có,,
"
Cần bán gấp chung cư cao cấp Thái Hà giá rẻ 1-3PN oto đỗ cửa, full nội thất cao cấp, PCCC đầy đủ
","
650
Triệu ","
30
m2
","['Hà Nội', 'Quận Đống Đa', 'Mua bán Căn hộ chung cư tại Đường Phạm Ngọc Thạch']","
UY TÍN - CHUYÊN NGHIỆP - GIÁ RẺ CHUNG CƯ  THÁI HÀ  - ĐÔNG TÁC, FULL ĐỒ, Ô TÔ ĐỖ CỬA1. Vị trí.- Chung cư Thái Hà cạnh các tuyến đường lớn như: Xã Đàn, Chợ Khâm Thiên, hào nam, khâm thiên, tôn đức thắng...- Đi lại thuận tiện, vị trí trung tâm Hà Nội, gần nhiều trường đại học như đại học Kinh Tế Quốc Dân, đại học Bách Khoa, đại học Xây Dựng, đại học Y Hà Nội...2. Giá bán.- Căn 25m2 - 28m2 - 32m2 - 39m2: Giá 550tr - 600tr - 720tr.- 800tr.- Căn 44m2 - 48m2 - 50m2: Giá 950tr - 1,05 tỷ - 1 tỷ500Chiết khấu ngay 30tr mỗi căn.3. Nội thất căn hộ.Sàn gỗ, trần thạch cao, đèn led, bếp từ, tủ bếp, bình nóng lạnh, thiết bị vệ sinh...4.Giấy tờ pháp lý:- Khi mua căn hộ chung cư Xã Đàn khách hàng được nhận đầy đủ giấy tờ theo quy định của nhà nước Tách sổ riêng từng căn.DỰ ÁN CHÍNH CHỦ ĐẦU TƯ – MIỄN TRUNG GIAN. XEM NHÀ 24/24.Không trả Góp, Có thể tư vấn zalo.
",Căn hộ,,,,,,,,,,,,,,,, 26/10/2023,23/11/2023,Bán,1926128,,,,,
"
Bán nhà phố bạch mai kinh doanh online, 3 ngủ , giá 4 tỷ 2
","
4,2
Tỷ ","
32
m2
","['Hà Nội', 'Quận Hai Bà Trưng', 'Mua bán Nhà riêng tại Phố Bạch Mai']","
1 NHÀ RA PHỐ - 3 PHÚT SANG ĐẠI HỌC - KINH DOANH ONLINE TỐT - 3 NGỦ ĐỦ CÔNG NĂNG , GIÁ 4.2 TỶ 
Nhà phố Bạch Mai 32m2,  3 tầng
 + Thiết kế: - Tầng 1: Phòng khách, bếp, wc –
 Tầng 2: 2 phòng ngủ, wc – 
Tầng 3: 1 phòng ngủ lớn. + 
Nhà chủ để sẵn cột chờ, khách mua có nhu cầu lên thêm 2-3 tầng thoải mái.
 + Sổ đỏ đẹp, chính chủ sẵn sàng giao dịch
Chi tiết liên hệ Mr – Kiên – 
Chuyên thổ cư, còn hơn 200 nhà khu vực với nhiều mức giá,miễn phí dẫn khách xem nhà, tư vấn pháp lý
",Nhà riêng,Sổ đỏ,,,,,,,,,,,,,,, 06/11/2023,04/12/2023,Bán,2613646,,3,,,
"
Bán gấp lô đất 40m2, MT 3,3m, ĐB Phùng Hưng, hà đông, Hà nội
","
4,6
Tỷ ","
40
m2
","['Hà Nội', 'Mua bán Đất tại Quận Hà Đông']","
Bán gấp lô đất 40m2, MT 3,3m, ĐB Phùng Hưng, hà đông, Hà nội-Diện tích: 40m2 -Mặt tiền: 3,3m-Hướng Đông bắcHiện trạng nhà cấp 4 đẹp.Thửa đất rất vuông vắn, Khu dân trí cao, ngay gần các trung tâm chợ lớn, chợ nhỏ và các siêu thị, trường học. Ô tô đỗ cửa, Nhà cách mặt Phố Phùng Hưng khoảng 100m.Sổ đỏ chính chủGiá bán 4,6 tỷ( có TL)Liên hệ xem nhà. 0949.237.2***A Nam
",Đất,Sổ đỏ,,,,,,,,,,,,,,, 06/11/2023,04/12/2023,Bán,2613534,Đông-Bắc,,,,
"
Bán nhà Lê Lợi, Hà Đông, 3 bước ra phố, 42mx4T, mới đẹp ở luôn, giá 4,65 tỷ
","
4,65
Tỷ ","
42
m2
","['Hà Nội', 'Quận Hà Đông', 'Mua bán Nhà riêng tại Đường Lê Lợi']","
- Vị trí gần ngay chợ Hà Đông, phường Nguyễn Trãi, dễ dàng di chuyển ra các phố Tô Hiệu, Lê Hồng Phong, Quang Trung, Lê Trọng Tấn, Tố Hữu, Trần Phú vv…, thuận tiện vào trung tâm Hà Nội và đi các tỉnh khác. Quanh nhà có đủ các tiện ích như TTTM, Siêu thị Điện máy, Chợ, Bênh viện, các trường Đại học, Trung học các cấp và nhiều tiện ích khác.- Nhà đẹp, kiến trúc hiện đại, tiện nghi, gồm 4 phòng ngủ, phòng khách, bếp, wc…, đầy đủ công năng sử dụng.- Sổ đỏ vuông nét, sẵn sàng giao dịch.- Liện hệ Mr Bình 09459361***để được tư vấn mua nhà và giới thiệu hơn 100 căn nhà từ 4 đến 10 tỷ khu vực Hà Đông.
",Nhà riêng,Sổ đỏ,,,,,,,,,,,,,,, 06/11/2023,04/12/2023,Bán,2613474,,,,,
