Title,Price,Area,Address,Gen_descrip,Loại hình,Tình trạng pháp lý,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Số phòng ngủ,Số tầng,Căn góc,Nội thất,Sofa phòng khách,Bàn trà,Đệm,Trần thả,Hướng nhà,Hướng ban công,Đường vào,Mặt tiền
"
Chính chủ - bán chung cư B1 Giáp Bát - Giải Phóng - Hoàng Mai giá từ 590tr / 1 căn, nội thất đầy đủ
","
620 - 820
Triệu ","
58 - 65
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Mua bán Căn hộ chung cư tại Đường Giải Phóng']","
Chính chủ - bán chung cư B1 Giáp Bát - Giải Phóng - Hoàng MaiLiên hệ Hưng chủ đầu tư để mua nhà : 0982882***Nhận bàn giao căn hộ luôn - căn hộ rất thoáng sáng.Ô tô đỗ trước cửa chung cư.Giá bán: 590tr - 755tr - 800tr - 900tr - hơn 1 tỷ.Diện tích: 45m² - 48m² - 50m² - 55m² - 58m² - 65m².Nội thất: Sàn gỗ, tủ bếp, trần thạch cao, thiết bị vệ sinh, bình nóng lạnh, đèn Led.Tòa nhà thiết kế tầng 1 để xe, có đầy đủ hệ thống phòng cháy chữa cháy tự động, an ninh tòa nhà bảo vệ chuyên nghiệp.Sổ hồng sở hữu vĩnh viễn - nhận nhà ở ngayChủ Đầu Tư : 0982882***Liên hệ trực tiếp Hưng chủ đầu tư để mua nhà giá gốc - Add Zalo để nhận video căn hộ.
",Căn hộ,Sổ hồng,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 27/10/2023,24/11/2023,Bán,2091452,,,,,,,,,,,,
"
Chính chủ - Bán chung cư L3 Phạm Ngọc Thạch - Xã Đàn - Đống Đa giá từ 590tr/căn, nội thất đầy đủ
","
680
Triệu ","
58
m2
","['Hà Nội', 'Quận Đống Đa', 'Mua bán Căn hộ chung cư tại Đường Phạm Ngọc Thạch']","
Chính chủ - bán chung cư L3 Phạm Ngọc Thạch - Xã Đàn - Đống ĐaLiên hệ Hưng chủ đầu tư để mua nhà : 0982882*** Chung cư xây dựng mới hiện đại, đã hoàn thiện có thể xách đồ về ở ngay.Gần các trường đại học - chợ - siêu thị - trường học các cấp - đi lại thuận lợi. Diện tích: 45m2 - 48m2 - 49m2 - 50m2 - 52m2 - 58m2 - 65m2Giá bán: 610tr - 721tr -  850tr - 916tr - hơn 1 tỷ. Tòa nhà thiết kế tầng 1 để xe, tầng trên cùng là tầng tum sân phơi chung còn lại là các tầng căn hộ, có đầy đủ hệ thống phòng cháy chữa cháy tự động, an ninh tòa nhà bảo vệ chuyên nghiệp. Chủ Đầu Tư : 0982882***Liên hệ trực tiếp chủ đầu tư để mua nhà - add Zalo để nhận video căn hộ.
",Căn hộ,Sổ hồng,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 27/10/2023,24/11/2023,Bán,1936062,2,6,Có,Đầy đủ nội thất,,,,,,,,
"
Chính chủ - Bán chung cư CT1 Vũ Tông Phan - Khương Trung - Thanh Xuân giá từ 570tr/căn, oto đỗ cửa
","
600 - 800
Triệu ","
45 - 60
m2
","['Hà Nội', 'Quận Thanh Xuân', 'Mua bán Căn hộ chung cư tại Phố Vũ Tông Phan']","
Bán chung cư mini Ngã Tư Sở - Khương Hạ giá chỉ từ 500tr, đủ đồ, ở ngay.1. THIẾT KẾ, QUI MÔ.Chung cư mini Khương Hạ nằm trong trung tâm thành phố, xung quanh đầy đủ tiện ích, Chung cư mini Khương Hạ cách Ngã Tư Sở chỉ 1,2km theo đường quy hoạch 40m, nằm gần ngay trên mặt phố Khương Hạ.Cách 100m là cầu Khương Đình và trường cao đẳng Sư Phạm Mầm non, gần các trường học cấp 1, 2, 3 Khương Đình, Kim Giang, Thanh Xuân.Quy mô.– Đất xây dựng: 235m2, gồm 7 tầng, 1 gác lửng, 1 tum.– Thiết kế với 5 căn trên 1 mặt sàn.– Xây dựng cầu thang bộ, và cầu thang máy nhập khẩu Hàn Quốc.– Đầy đủ hệ thống chiếu sáng công cộng, lối đi chung, hệ thống cứu hoả, chuông báo cháy….– Có ban quản lý 24/24h.- Giao thông thuận lợi, ô tô đỗ cửa.2. DIỆN TÍCH, GIÁ BÁN.GIÁ BÁN TỪ 500 TRIỆU – 1 TỶ, ĐẦY ĐỦ NỘI THẤT, Ở NGAY.CỤ THỂ:- Căn hộ 01: Diện tích 30 - 32m2 được thiết kế 1 ngủ, 1 bếp, 1 vệ sinh 1 ban công: Giá từ 670tr/căn.- Căn hộ 02 : Diện tích 52 - 55m2 được thiết kế 2 PN, 1 vệ sinh, 1 bếp, 1 ban công: Giá từ 1050 tr/căn.Lưu ý:- Giá bán tuỳ căn tầng diện tích, đã bao gồm chi phí tách sổ, quý khách hàng không phải mất thêm chi phí nào khác nữa vui lòng liên hệ để nhận bảng giá cụ thể chính xác.3. NỘI THẤT.Căn hộ Full nội thất gồm sàn gạch, tủ bếp, kệ bếp, thiết bị vệ sinh, bình nóng lạnh, cửa gỗ, bếp Gas, máy hút mùi, tủ quần áo, đầu chờ truyền hình cáp, internet….Thời gian bàn giao: VÀO Ở NGAY.Liên hệ xem nhà và tư vấn miễn phí.
",Căn hộ,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 27/10/2023,24/11/2023,Bán,884517,2,6,Có,Nội thất đầy đủ,1.0,1.0,1.0,1.0,,,,
"
Bán căn hộ TT 128C Đại La, nội thất đẹp long lanh, ô tô đỗ, sổ đỏ. Giá 1 tỉ 600 triệu.
","
1,6
Tỷ ","
55
m2
","['Hà Nội', 'Quận Hai Bà Trưng', 'Mua bán Căn hộ chung cư tại Phố Đại La']","
Bán căn hộ tập thể 128C Đại La (TT Đài Phát Thanh VN):- Vị trí đẹp: thuộc phường Đồng Tâm, quận Hai Bà Trưng, trung tâm Hà Nội.- Mô tả:+ Căn hộ nằm tại tầng 3, diện tích 55m2, gồm 1 phòng khách, 1 phòng ngủ, bếp, wc, ban công rộng. (anh chị có thể ngăn thêm 1 phòng ngủ nếu như có nhu cầu). Nhà đã sẵn nội thất đẹp, anh chị mua nhà chỉ việc xách vali tới ở luôn.+ Tầng 1 là đường ô tô tránh nhau, gần chợ và trường học, giao thông đi lại thuận tiện.+ Nhà có sổ đỏ riêng, pháp lí sạch.  Giá 1 tỉ 600 triệu.LH 0941.48.866***Cảm ơn anh chị đã đọc tin!
",Căn hộ,Sổ đỏ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 05/11/2023,03/12/2023,Bán,2613030,,,,,,,,,,,,
"
Bán 3 lô đất xã tả thanh oai- Thanh Trì - Hà Nội giá 950.00 Triệu sổ đỏ
","
950
Triệu ","
30
m2
","['Hà Nội', 'Huyện Thanh Trì', 'Mua bán Đất tại Đường Tả Thanh Oai']","
3 lô đất sổ đã tách sẵn, giao dịch sang tên trong 30 phút sổ đỏ chót, vị trí đẹp, dân đông đúc cách đường cầu tó, tả thanh oai chỉ 4km mặt tiền to, rộng đẹp phù hợp cho những khách hàng đang có nhu cầu tìm đất xây nhà bán có bán lẻ từng lô 1
",Đất,Sổ đỏ,,,,,,,,,,,,,,, 05/11/2023,03/12/2023,Bán,2612698,,,,,,,,,,,,
"
Chính chủ cho thuê CCCC Sunshine City ( Ciputra ) Full đồ nội thất cao cấp
","
23
Triệu ","
99
m2
",['Mua bán Căn hộ chung cư  Sunshine City'],"
Tôi chính chủ cần cho thuê căn hộ 3 phòng ngủ - 99m² tại S6 Sunshine City định ở lâu dài nên đầu tư 100% hàng nội thất cao cấp  + Đồ rời: Giường luxury, tủ, ghế sofa, bàn ăn, loa nghe nhạc âm thanh cao cấp...+ Đồ điện tử: Tivi, tủ lạnh 2 cánh, máy giặt, lò vi sóng,... Hệ thống tiện ích đồng bộ: Trung tâm mua sắm, gym, spa, bể bơi, vườn dạo bộ, Coffee,...Vị trí tòa giao thông thuận tiện di chuyển: gần TTTM Lotte Mall Tây hồ Đường Võ Chí Công, Hoàng Quốc Việt, Phạm Văn Đồng, Vành đai 3.. Liên hệ: 0917.6666***
",Căn hộ,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 05/11/2023,17/12/2023,Bán,2612384,,,,,,,,,,,,
"
Chính chủ bán nhanh khách sạn mt phố Hai Bà Trưng, Hội An
","
29
Tỷ ","
325
m2
","['Hà Nội', 'Quận Ba Đình', 'liền kề tại Phường Điện Biên', 'Mua bán Nhà biệt thự']","
Chính chủ bán nhanh khách sạn mt phố Hai Bà Trưng, Hội An- dt 325mv đất với  khối nhà trên 2 tuyến đường lớn của phố cổ.- Hồ bơi 40m- Nội thất đẹp, vận hành ngayGiá bán 29 tỷ - có bán lẻ căn phố Thích Quảng Đức riêng nếu khách cân đầu tư nhỏ   Gọi chị Thu 09324146***đi xem ngay
","Nhà biệt thự, liền kề",Sổ đỏ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 05/11/2023,03/12/2023,Bán,2406842,,,,,,,,,,,,
"
3,5 tỷ bán căn hộ 3pn full nội thất đẹp, tầng trung, hướng mát Vinhomes Smart City. LH: 0987825***
","
3,5
Tỷ ","
75
m2
",['Mua bán Căn hộ chung cư  Vinhomes Smart City'],"
Chính chủ cần bán căn hộ 3pn DT 75m2, BC Đông Bắc, hướng mát, Full nội thất cao cấp Toà S4 Vinhomes Smart City. Vị trí gần hồ, tiện ích hoàn thiện nhất. LH: 098.782.5***Toà S4 nằm tại vị trí trung tâm nhất của dự án, đối diện là công viên thể thao, gần công viên và hồ điều hoà, gần vườn Nhật, TTTM, di chuyển thuận lợi ra 3 nhà để xe nổi- Diện tích sử dụng: 75m2. Thiết kế gồm: 1 phòng khách, 3 phòng ngủ chính, phòng bếp và 2 phòng vệ sinh- Hướng cửa chính: Tây Nam- Ban công: Đông Bắc- Bàn giao full nội thất gồm: tivi, tủ lạnh, máy giặt, điều hoà, giường, tủ… chỉ cần xách Vali về ở- Sổ đỏ cất két, ko vay ngân hàng, sẵn sàng giao dịch nhanh gọn- Giá: 3,5 tỷ bao toàn bộ thuế phí đến khi ra sổLiên hệ 098.782.59***để nhận thông tin chi tiếtĐặc quyền khi trở thành cư dân Vinhomes: Sử dụng Full tiện ích 5 sao như: Bể bơi 4 mùa và hệ thống bể bơi tại các cụm KĐT, Công viên trung tâm hồ điều hoà cát trắng có hệ thống bếp nướng BBQ, Công viên thể thao với hàng nghìn máy tập, Khu vui chơi trẻ em nội khu và ngoại khu, Vườn Nhật mang đậm phong cách xứ Phù Tang, Trung tâm thương mại Mega Mall lớn nhất miền Bắc, Bệnh viện Vinmec, Trường học liên cấp Vinschool và 16 điểm trường quanh dự án.Liên hệ: Zalo 098.782.59***để trở thành cư dân Vinhomes Smart City.
",Căn hộ,Sổ đỏ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 05/11/2023,03/12/2023,Bán,2612293,3,,Có,True,,,,,Tây-Nam,Đông-Bắc,,
"
Chính chủ bán căn BT1-04 song lập 135m2 hướng cửa Tây Bắc view trường học
","
Thỏa thuận
","
128 - 220
m2
","['liền kề  An Lạc Green Symphony', 'Mua bán Nhà biệt thự']","
Chính chủ gửi bán căn biệt thự song lập BT1-04.Diện tích đất 135m2, xây 90m2.3 tầng trệt, 1 lầu.Bàn giao thô hoàn thiện mặt ngoài.Hướng cửa Tây Bắc, view trường học.Giá 103,5 tr/m2.Anh chị quan tâm liên hệ em tiếnEm cảm ơn.
","Nhà biệt thự, liền kề",Giấy phép xây dựng,,,,,,,,,,,,,,, 05/11/2023,19/11/2023,Bán,1501892,4,3,,,,,,,,,13m,"7,5m"
"
Có yên tâm khi mua căn hộ chung cư Grand sunlake 135 Trần Phú Văn Quán Hà Đông ( Hesco Văn Quán)
","
2,6
Tỷ ","
70
m2
",['Mua bán Căn hộ chung cư  Grand SunLake Văn Quán'],"
Có lên mua căn hộ cung cư tại dự án Grand Sunlake, địa chỉ 135 Trần Phú, Văn Quán, Hà ĐôngEm Tiến 09 77 - 5 6 5 *** 4 5 gửi anh chị khách hàng tóm tắt thông tin về dự án căn hộ chung cư Grand Sunlake Văn Quán Hà Đông.- Năm 2009 dự án được khởi công với chủ đầu tư là liên danh Công ty cổ phần thiết bị Thuỷ Lợi Hesco và Công ty bất động sản megastar. - Sau đó Công ty BĐS Megastar tiếp tục huy động vốn của công ty CP đầu tư phát triển và thương mại Hạ Long.- Tháng 12/2009 Công ty Hạ Long tiếp tục huy động vốn của người dân bằng cách ưu tiên mua nhà ở hình thành trong tương lai.- Năm 2013 lãnh đạo cả 2 doanh nghiệp là MegaStar và Công ty Hạ Long đều vướng vào vòng lao lý khiến dự án tạm dừng triển khai.- Năm 2015, Công ty Thăng Long mua lại dự án từ Megastar và ""kế thừa toàn bộ trách nhiệm và nghĩa vụ của Công ty BĐS Megastar đã thực hiện liên quan tới dự án; đảm bảo quyền, lợi ích hợp pháp của khách hàng đã huy động vốn và đối tác đầu tư đã ký kết hợp đồng với phạm vi nghĩa vụ và đối tượng cụ thể. - Như vậy những khách hàng đã đóng tiền để đầu tư mua căn hộ hình thành trong tương lai của Megastar đã được Thăng Long khẩn trương làm việc và thay mặt Megastar trả tiền cho khách hàng không tiếp tục đầu tư. Còn nếu khách hàng vẫn tiếp tục muốn đầu tư vào dự án sẽ phải đóng tiền theo đơn giá thời điểm hiện tại.- Hiện tại dự án đã hoàn thiện tất cả các thủ tục pháp lý theo quy định của pháp luật như giấy phép xây dựng, thẩm định các thiết kế kỹ thuật... Bảo lãnh ngân hàng cũng như biên bản nghiệm thu phần móng công trình...------------Giá bán hiện tại của dự án Grand Sunlake giao động từ 35-45tr/m². Căn 2 phòng ngủ diện tích từ 70-93m² giá từ 2,5- 3,3 tỷCăn 3 phòng ngủ diện tích từ 95-112m² giá từ 4,5-5 tỷHiện tại khách hàng đặt mua trong tháng 3 được chiết khấu lên đến 15% giá trị căn hộ, quà tặng lên đến 168 triệu đồng.Nếu Khách hàng vay vốn ngân hàng khách hàng đóng 30%- Ngân hàng giải ngân 70% miễn gốc lãi trong 18 tháng. ---------------Dự án đã có căn hộ mẫu và văn phòng bán hàng. Anh chị quan tâm căn hộ và tham quan căn hộ mẫu cũng như biết thêm về pháp lý án có thể ibx/call em Tiến 09 77 - 5 6 5 *** 4 5 , em cảm ơn.
",Căn hộ,,,,,,,,,,,,,,,, 05/11/2023,19/11/2023,Bán,2163021,,,,,,,,,,,,
