Title,Price,Area,Address,Gen_descrip,Loại hình,Tình trạng pháp lý,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Hướng nhà,Số phòng ngủ,Số tầng
"
Bán Chung Cư Lê Đức Thọ, Lô Góc, View Đẹp, Tặng Nội Thất Sang Chảnh, Dt 160m. Giá 4.2 Tỷ.
","
4,2
Tỷ ","
160
m2
","['Hà Nội', 'Quận Cầu Giấy', 'Mua bán Căn hộ chung cư tại Đường Dương Khuê']","
Bán Chung Cư Lê Đức Thọ, Lô Góc, View Đẹp, Tặng Nội Thất Sang Chảnh, Dt 160m. Giá 4.2 Tỷ.+ Vị trí đỉnh đi lại quá thuận tiện view nhìn ra Phố Lê Đức Thọ, giao Hàm Nghi, Hồ Tùng Mậu, gần ĐH Thương Mại, cách sân vận động Mỹ Đình mất 2 phút đi xe, đường thông các ngả, khu tập trung đông dân rất nhộn nhịp là khu Víp Dương Khuê+ Chủ nhà rất cẩn thận tỷ mỷ nên nội thất khỏi phải bàn. Nhà chủ ở giữ dìn, nội thất xịn xò, điều hoà, thiết bị về sinh nhập khẩu, tủ quần áo và điều hoà các phòng.+ Nhà có 3 phòng ngủ, lô góc nên phòng nào cũng thoáng sáng, xem nhà là mê luôn. Chủ bán chuyển đổi mua nhà mặt đất tiện kinh doanh.+ Sổ đỏ chính chủ.+ Liên hệ E Nam, để được xem nhà và tư vẫn miễn phí 24/7. 
",Căn hộ,Sổ đỏ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 03/11/2023,01/12/2023,Bán,2609494,,,
"
Bán gấp CH 2pn, 55m2, rẻ nhất Vinhomes Smart City, 2.36 tỷ, full đồ đẹp
","
2,36
Tỷ ","
54
m2
",['Mua bán Căn hộ chung cư  Vinhomes Smart City'],"
Thông tin căn hộ như sau:DT 55m² sử dụng, thiết kế căn hộ thoáng mát.Hướng ban công đông bắc mát mẻ cả ngày, tầng cao thoáng mát.Nội thất full đồ đẹp như trong ảnh.Giá: 2.36 tỷ thu về, 2.4 tỷ bao phí.LH: 0964 782 ***
",Căn hộ,Sổ đỏ,,,,,,,,,,,,,,, 03/11/2023,01/12/2023,Bán,2609488,Tây-Nam,,
"
Bán Toà CHDV Phố Minh Khai-63m2,7T,Nhà Mới-17 Phòng Cho thuê
","
11,9
Tỷ ","
63
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Mua bán Nhà riêng tại Đường Minh Khai']","
TOÀ CHDV CAO CẤP- NỞ HẬU- 17 PHÒNG- DÒNG TIỀN 90 TRIỆU/ THÁNG- XẤP XỈ 10%/ NĂM!  TIỆN ÍCH BẠT NGÀN- NHÀ SIÊU ĐẸP- CHỦ XÂY CHẤT LƯỢNG! TƯƠNG LAI BỪNG SÁNG!!!!! + Hệ Thống PCCC đạt tiêu chuẩn, khách xem mê mẩn: ---- 1/Quan trọng nhất cửa chống cháy TẦNG 1... bởi thiệt hại lớn nhất khi cháy nhà để xe, mà có cửa chống cháy thì THOẢI MÁI... 2/Có quả cầu chữa cháy 3/Bộ tiêu lệnh 4/Vòi rồng chữa cháy 5/Thang dây thoát hiểm 6/Mặt nạ phòng độc tầng 1 + Gần mặt Phố Minh Khai- tuyến phố cực đẹp 8 làn xe.. THIẾT KẾ Tầng 1: Để xe Tầng 2-6: Mỗi tầng 3 Phòng Tầng 7: 2 Phòng SỔ ĐỎ CHÍNH CHỦ-PHÁP LÝ CHUẨN!!  CAM KẾT THÔNG TIN THẬT-ẢNH THẬT! LIÊN HỆ XEM NHÀ MIỄN PHÍ EM CƯỜNG
",Nhà riêng,Sổ đỏ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 03/11/2023,01/12/2023,Bán,2609439,,,
"
Chính chủ ủy quyền bán tòa nhà 7 tầng 74m2, mặt tiền 6.3m, mặt phố Thái Hà, giá bán nhanh 47.5 tỷ
","
47,5
Tỷ ","
74
m2
","['Hà Nội', 'Quận Đống Đa', 'Mua bán Nhà mặt phố tại Phố Thái Hà']","
Chủ nhà ở Sài Gòn không có thời gian, ủy quyền cho tôi bán hộ căn nhà mặt phố Thái Hà, quận Đống Đa, thành phố Hà Nội. Diện tích 74m², mặt tiền 6.3m, xây tòa nhà 7 tầng, thông sàn, thang máy, chuyên cho thuê văn phòng, ngân hàng,... Hiện tại đang cho thuê cả tòa, dòng tiền ổn định.Ô đất vuông, vỉa hè trước tòa nhà 6m, xếp được 2 hàng xe, thuận tiện kinh doanh, oto đỗ cửa, phù hợp cho nhiều loại hình kinh doanh. Đường Thái Hà rộng – con phố kinh doanh nhộn nhịp nhất quận, chủ yếu mặt hằng thiết bị thông minh, nhà hàng, thời trang, chính vì thể mặt mặt luôn khan hiếm, được các cửa hàng săn đón Phố Thái Hà nối thẳng trục Chùa Bộc, Phạm Ngọc Thạch, Láng Hạ, Huỳnh Thúc Kháng, giao thông thuận tiện các hướng, xung quanh dân cư hiện hữu, quy hoạch ổn định, nhiều văn phòng, các trường đại học, thu hút sinh viên và người lao động, nhân viên văn phòng qua lại Căn nhà có sổ đỏ đứng tên 1 chủ, pháp lý rõ ràngGía bán công khai 47.5 tỷ. Liên hệ trao đổi trực tiếp với tôi sdt 0983353*** (Trần Liên) 
",Nhà mặt phố,Sổ đỏ,,,,,,,,,,,,,,, 03/11/2023,17/11/2023,Bán,2609471,,,
"
Bán Toà nhà cho Thuê Ngã Tư Sở- Quận Thanh Xuân - Hà Nội giá 11.00 Tỷ
","
11
Tỷ ","
60
m2
","['Hà Nội', 'Quận Thanh Xuân', 'Mua bán Nhà riêng tại Đường Nguyễn Trãi']","
BÁN TOÀ NHÀ CHO THUÊ-XÂY MỚI-THANG MÁY! 18 PHÒNG Full Đồ- đang cho thuê mỗi tháng 80 triệu/tháng.. Dòng tiền cao, tiện ích xung quanh sầm uất... + Khu vực trung tâm Thủ đô, di chuyển mọi nơi đều thuận tiện... GÀ ĐẺ TRỨNG VÀNG,DÒNG TIỀN CỰC TỐT... Doanh thu mỗi năm gần 1 tỷ ! Chưa kể giá trị BĐS tăng cao... NHÀ ĐẦY ĐỦ BẢN VẼ,GIẤY PHÉP XD, HỆ THỐNG PHÒNG CHÁY CHỮA CHÁY.. Thiết kế: TẦNG 1: ĐỂ XE TẦNG 2-7: MỖI TẦNG 3 PHÒNG KHÉP KÍN.. SỔ ĐỎ CHÍNH CHỦ,PHÁP LÝ CHUẨN. Giá: 11 tỷ ( CÓ THƯƠNG LƯỢNG) Liên hệ Xem nhà Miễn Phí Em Cường
",Nhà riêng,Sổ đỏ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 13/10/2023,10/11/2023,Bán,2570285,,,
"
Bán Toà nhà cho Thuê HOàng Ngân,52m2x5 Tầng,THANG máy- Quận Cầu Giấy - Hà Nội giá 8.80 Tỷ
","
8,8
Tỷ ","
52
m2
","['Hà Nội', 'Quận Cầu Giấy', 'Mua bán Nhà riêng tại Đường Hoàng Ngân']","
CHỈ 8.8 TỶ! NHÀ XÂY MỚI- THANG MÁY- HIỆN KHÔNG CÓ CĂN THỨ HAI!  DÒNG TIỀN 60 TRIỆU/THÁNG! TỔNG 12 PHÒNG CHO THUÊ KHÉP KÍN FULL ĐÒ!!!! GÀ ĐẺ TRỨNG VÀNG CẦY GIẤY!!!! + VỚI dòng tiền đều đặn hàng tháng- lãi vốn do giá BĐS tăng! HIện Cầu Giấy không có căn thứ hai! + Nhà xây mới 2023, đầy đủ giấy phép XÂY DỰNG, sổ đỏ đầy đủ. + Khu vực khách thuê cực kì đông. KHÔNG BAO GIỜ TRỐNG PHÒNG. THIẾT KẾ: Tầng 1: ĐỂ xe Tầng 2-5: Mỗi tầng 3 PHòng. SỔ ĐỎ CHÍNH CHỦ,PHÁP LÝ CHUẨN. GIÁ: 8.8 TỶ ( CÓ THƯƠNG LƯỢNG) Liên hệ XEM NHÀ MIỄN PHÍ Em Cường
",Nhà riêng,Sổ đỏ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 24/10/2023,21/11/2023,Bán,2591517,,,
"
Đi nước ngoài. Giảm 3 tỷ, bán nhanh nhà 216 phố Xã Đàn. 78m2, mt 6m, 7 tầng, nhà 2 mặt tiền
","
65
Tỷ ","
80
m2
","['Hà Nội', 'Quận Đống Đa', 'Mua bán Nhà mặt phố tại Phố Xã Đàn']","
Ra định cư nước ngoài cùng các con nên gia đình cần bán nhà mặt phố số 316 Xã Đàn, Đống Đa, Hà Nội.Nằm tại đầu quận Đống Đa, giao thông thuận lợi lên phố, tiện ích xung quanh đa dạng, cung đường chính, rộng. Đường Xã Đàn 10 làn xe, vỉa hè 2 oto đậu, có nhiều trụ sở cơ quan chính thống nhà nước, phù hợp rất nhiều loại hình kinh doanh, đặc biệt cửa hàng và khách sạn hoặc building.Nhà mới hoàn thành cuối 2017. Còn nguyên giấy tờ, hoàn công, GPXD, PCCC, xây chắc chắc, tất cả các tầng đều làm thông sàn, hệ thống điều hòa âm trần, thang máy, thiết bị vệ sinh, thiết bị chiếu sáng loại tốt.Diện tích 48m², xây 7 tầng, mặt tiền chính trên sổ 6m (hậu cũng 6m)Nhà 2 mặt tiền, mặt trước là Xã Đàn, mặt sau Đê La Thành, đầy đủ công năng, vỉa hè rộng gần 7m, hiện đang cho một đơn vị thuê lại 5 năm, hợp đồng còn 1 năm, khách mua dùng ngay gia đình sẽ thanh lý hợp đồng.Thửa khá vuông, đất lành, có lộc con cái, nay cả 2 con đều định cư nước ngoài nên bảo lãnh cả gia đình sang, gia đình cũng đã quyết định, cần bán nhà cho khách thiện chí sở hữu, kinh doanh,...Sổ đỏ chính chủ, đứng trên 1 người, sẵn sàng sang tên.Muốn bán nhanh nên gia đình giảm thêm 3 tỷ, giá mới 65 tỷ, có thể nói chuyện thêm với khách hàng thực sự quan tâm.Vì lý do riêng tư nên không thể đăng ảnh sổ, ai quan tâm có thể gọi, gia đình sẽ cung cấp ảnh sổ, để khách mua yên tâm pháp lý. Cam kết pháp lý sạch, không vướng phong thủy hay quy hoạch gìLiên hệ trao đổi trực tiếp Cô Liên 0983353*** 
",Nhà mặt phố,Sổ đỏ,,,,,,,,,,,,,,, 03/11/2023,17/11/2023,Bán,2609406,,,
"
Cơ hội đầu tư với lô đất 168m2 full thổ cư, MT 6m, Mặt Phố Đường 3 Phù Lỗ Sóc Sơn , Giá 16.Tỷ
","
16
Tỷ ","
168
m2
","['Hà Nội', 'Huyện Sóc Sơn', 'Mua bán Nhà mặt phố tại Đường 3']","
Diện tích 168m²:  Măt tiền 6m Với diện tích rộng , nơi đây tạo ra tiềm năng kinh doanh và đầu tư đáng kể. Đây không chỉ là nơi thích hợp để xây dựng ngôi nhà mơ ước mà còn là sự lựa chọn tuyệt vời để phát triển kinh doanh của chủ mới Vị trí vô cùng đắc địa: Nằm tại Mặt đường 3 Phù lô, Sóc Sơn, và trực tiếp nối với đường đi Thái Nguyên, đây là một trong những trục đường quan trọng tại Sóc Sơn. Mặt đường hướng Nam và nằm sát Quốc Lộ 3, tạo điều kiện thuận lợi cho kinh doanh sầm uất với đủ các loại hình dịch vụ, từ nhà hàng, cà phê, spa, salon tóc, nail, siêu thị, đến quầy thuốc. Có thể kinh doanh mọi loại hình và thu lợi nhuận lớn đều hàng tháng.Vị trí vô cùng đẹp: Đường trước nhà là trục chính trung tâm Sóc Sơn, ngay tiếp giáp với thị trấn Sóc Sơn. Điều này tạo ra sự thuận lợi cho giao thông, tiện ích, và đảm bảo giá trị bất động sản tiếp tục tăng.Thu nhập hàng tháng ổn định: Hiện nay,  mặt ngoài đang cho thuê và mang lại thu nhập gần 20 triệu/tháng. Điều này không chỉ giúp bù đắp chi phí mà còn là một cơ hội đầu tư hấp dẫn.Sổ đỏ vuông vắn và sẵn sàng giao dịch: Sự tự tin trong giao dịch được thể hiện thông qua sổ đỏ vuông vắn và sẵn sàng giao dịch, giúp bạn an tâm về tính pháp lý.Nếu bạn đang tìm kiếm một cơ hội đầu tư tại Sóc Sơn với tiềm năng phát triển đáng kể, đừng bỏ lỡ cơ hội này. Liên hệ ngay với chúng tôi để biết thêm chi tiết và lên lịch hẹn xem bất động sản này ngay hôm nay. Đây có thể là cơ hội đầu tư bạn đang chờ đợi!Liên hệ : 0904282858***Miễn Trung gian   
",Nhà mặt phố,Sổ đỏ,,,,,,,,,,,,,,, 03/11/2023,01/12/2023,Bán,2609411,Nam,,
"
Chính chủ bán nhà 6 tầng ngõ 72 Nguyễn Trãi - kinh doanh nhỏ - sát Ngã Tư Sở - hoàn thiện đẹp
","
4,95
Tỷ ","
33
m2
","['Hà Nội', 'Quận Thanh Xuân', 'Mua bán Nhà riêng tại Đường Nguyễn Trãi']","
Chính chủ bán nhà ngõ 72 Nguyễn Trãi, phường Nhân Chính, Thanh Xuân. Diện tích 33m² ,mặt tiền 4,5m, nhà xây mới 5,5 tầng, ngõ 2,5m, cách đường oto 80m, sát tòa Royal City. Nhà xây hiện đại, thiết kế hợp lý, xây kiên cố, chắc chắn. Hồ sơ thiết kế, xây dựng chuẩn. Nhà cách đường Láng 200m, cách Ngã Tư Sở 700m. Khu nhà ở dân trí cao, ngõ thông Quan Nhân, Cự Lộc. Gía bán 4,95tỷ. Sổ đỏ riêng từng căn. Chính chủ. Miễn trung gian.
",Nhà riêng,,,,,,,,,,,,,,,, 03/11/2023,01/12/2023,Bán,2200517,,,
"
Bán nhà biệt thự, liền kề Hà Đông - Hà Nội giá thỏa thuận
","
Thỏa thuận
","
90
m2
","['liền kề  Khu đô thị Thanh Hà Cienco 5', 'Mua bán Nhà biệt thự']","
Chính chủ gửi bán một số ô liền kề vị trí đẹp nhìn ra vườn hoa cả nghìn mét,  tại Khu đô thị Thanh Hà Mường Thanh.- Diện tích 90m  -  A2.7 Lk 4- 1  góc vườn hoa.- A2.7 LK 9-14Nằm bên trong KDT Thanh Hà Mường Thanh với đầy đủ tiện nghi:+ Hệ thống các công viên cây xanh.+ Hệ thống trường học.+ Khu thể dục thể thao liên hợp.+ Giá hơn 4 tỷLH 0983405***
","Nhà biệt thự, liền kề",,,,,,,,,,,,,,,, 27/10/2023,10/11/2023,Bán,2596745,,,
