Title,Price,Area,Address,Gen_descrip,Loại hình,Tình trạng pháp lý,Hướng nhà,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách,Ngày đăng,Ngày hết hạn,Loại tin,ID tin
"
Duy nhất căn 2N+, bồn tăm, thông thủy 86m2, rộng nhất, full NT, Vinhomes Smart City, nhỉnh 4 tỷ
","
4,15
Tỷ ","
85,2
m2
",['Mua bán Căn hộ chung cư  Vinhomes Smart City'],"
Tòa S403 vị trí trung tâm gần công viên, bệnh viện, Vincom.hướng Đông Nam mát mẻ.2 căn 1+ thông thủy 42.6m2, tổng 85.2m2 rộng rãi thành căn 2 N+, có phòng ăn riêng, phòng bếp riêng, Duy nhất có Bồn tắm.Layout chủ nhà thiết kế lại cực kỳ hợp lý.Tầng 6-8 đẹp, đặc biệt phân khu S4 có giá trị cao, và tòa S403 view ĐN cực đẹpNội khu có công viên, bể bơi và nhiều tiện ích khác...Tiện ích chung Vinhomes Smart City: Công viên hơn 20ha (công viên, hồ điều hòa vườn Nhật...), Bệnh viện Vinmec, Vincom, Vinbus miễn phí...Chủ nhà để lại Full nội thất hoặc thương lượng tiêu chuẩn bàn giao lại.Giá 4.15 tỷ bao phí.Liên hệ ngay em Tiệp 0902.227.2***để được tư vấn, xem trực tiếp căn hộ
",Căn hộ,Sổ đỏ,Đông-Nam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 31/10/2023,28/11/2023,Bán,2602571
"
Bán nhà mặt phố Thượng đình, Quận Thanh Xuân - Hà Nội
","
Thỏa thuận
","
155
m2
","['Hà Nội', 'Quận Thanh Xuân', 'Mua bán Nhà mặt phố tại Đường Thượng Đình']","
Bán gấp nhà mặt phố Thượng Đình - sát Nguyễn Trãi - đoạn rộng, đẹp nhất phố - 155m mặt tiền 7.5m giá: 60 tỷ. - Vị trí cực đẹp, đoạn đẹp nhất phố. Hàng xóm đều xây toà 7 - 8 tầng thang máy. Phố kinh doanh sầm uất, view cực thoáng. Giá đầu tư. - Sổ đỏ vuông, nở hậu nhẹ. Giá: 60 tỷ.
",Nhà mặt phố,Sổ đỏ,Đông-Nam,,,,,1.0,1.0,,,,,,,,1.0, 01/11/2023,29/11/2023,Bán,2604954
"
Bán nhà phố vương thừa vũ quận thanh xuân kinh doanh văn phòng. Diện tích 80M Giá 15 Tỷ
","
14 - 15
Tỷ ","
80
m2
","['Hà Nội', 'Quận Thanh Xuân', 'Mua bán Nhà riêng tại Đường Vương Thừa Vũ']","
BÁN NGAY NHÀ PHỐ VƯƠNG THỪA VŨ QUẬN THANH XUÂN 80M x 5T x MT4.5M GIÁ 15 TỶKINH DOANH SẦM UẤT , KẾT HỢP LÀM VĂN PHÒNG, PHÒNG KHÁM, Ô TÔ ĐỖ CỬA VÀO NHÀ + Nhà nằm khu vực dân trí cao dành cho quan chức tướng tá ở ,thiết kế vừa ở vừa kinh doanh.Thiết kế: - Tâng 1: Kinh doanh, để xe - Tâng 2: tầng 2 chia 2 phòng + vệ sinh- Tâng 3, 4: Mỗi tầng chia 2 phòng.- Tâng 5: sân phơi + Sổ đỏ chính chủ pháp lý chuẩn chủ nhà thiện chí bán để sang định cư nc ngoài với con.+ Quan tâm xin liên hệ ngay Mr Khương: 03925922***Số 1 về bđs Thổ cư Thanh Xuân và Đống đa để được hỗ trợ xem nhà. 
",Nhà riêng,Sổ đỏ,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 10/10/2023,07/11/2023,Bán,2428114
"
Phân lô Nguyễn Thị Định, oto tránh. Toà thương mại 550m2, 10 Tầng 1 Hầm
","
200
Tỷ ","
550
m2
","['Hà Nội', 'Quận Cầu Giấy', 'liền kề tại Đường Nguyễn Thị Định', 'Mua bán Nhà biệt thự']","
Phân lô Nguyễn Thị Định, oto tránh. Toà thương mại 550m2, 10 Tầng 1 Hầm ------------- * Thang máy, 10 Tầng với 9 Nổi 1 Hầm, MT lớn 20m. Đã trang bị đầy đủ trang thiết bị hiện đại. Bể bơi, phòng Gym, sân tập Golf. Có thể cho thuê văn phòng, khách sạn... - Sổ đỏ, pháp lý chuẩn. - Giá chào: Nhỉnh 200 tỷ ------------- LH: Tuân Nhà Phố .com (Mặt Phố, Biệt thự) - 0862682*** #tuannhapho #bannhamatpho #caugiay #nguyenthidinh #toanhathuongmai
","Nhà biệt thự, liền kề",Sổ đỏ,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 01/11/2023,29/11/2023,Bán,2604850
"
Giảm thêm 1 tỷ. 110m2, mặt tiền 6.8 mặt phố Tân Mai, vị trí đẹp, kinh doanh tốt, giá mới 33.1 tỷ
","
33,1
Tỷ ","
110
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Mua bán Nhà mặt phố tại Đường Tân Mai']","
Vì công việc cá nhân nên cần bán nhà mặt phố Tân Mai, cho thuê, kinh doanh tốt, xung quanh có chợ đầu mối, KĐT, chung cư, hồ.Diện tích 110m², nhà 2 mặt tiền trước sau, 1 mặt chính phố Tân Mai, 1 mặt ngõmặt tiền chính phố Tân Mai trên sổ 6.8m, vỉa hè rộng, ô tô xe máy đỗ vỉa hè ngày đêm, thuận tiện kinh doanh. Vị trí đẹp giữaHiện trạng nhà vẫn còn chắc chắn, kiên cố, đang cho 1 bên quen biết thuê lại làm cửa hàng, chủ mới mua về có thể xây lại hoặc để nguyên trạng, tương lai căn nhà phù hợp xây tòa nhà làm trụ sở công ty, tòa nhà văn phòng, phòng khám đa khoa, răng hàm mặt, trung tâm ngoại ngữ, thẩm mỹ viện, khách sạn, cửa hàng...Trục đường đôi đẹp, phát triểnSổ đỏ 1 chủ, không tranh chấp, không quy hoạchGiá bán 33.1 tỷ, Liên hệ trao đổi cô Liên 0965660*** (không qua trung gian)
",Nhà mặt phố,Sổ đỏ,,,,,,,,,,,,,,,, 01/11/2023,15/11/2023,Bán,2604845
"
Bán căn hộ 1PN+ Vinhomes Smart City, Nam Từ Liêm - Hà Nội giá 1.90 Tỷ Lh 0903.251.3***để xem nhà
","
1,9
Tỷ ","
47
m2
","['Hà Nội', 'Mua bán Căn hộ chung cư tại Quận Nam Từ Liêm']","
Bạn đang tìm kiếm một căn hộ 1 phòng ngủ sang trọng, tiện nghi và an ninh tại Vinhomes Smart City? Bạn muốn sở hữu một không gian sống xanh, thông minh và hiện đại trong lòng thành phố? Bạn muốn tận hưởng những tiện ích đẳng cấp như bể bơi, phòng gym, khu vui chơi trẻ em, công viên, trường học, bệnh viện và nhiều hơn nữa?Nếu câu trả lời là có, thì đây là cơ hội tuyệt vời dành cho bạn. Chủ nhà chuyển công tác muốn bán gấp căn hộ 1 phòng ngủ+ tại Vinhomes Smart City, diện tích 47m2, giá chỉ 1,9 tỷ bao gồm thuế phí. Căn hộ có thiết kế hiện đại, tối ưu hóa không gian, mang lại cảm giác thoải mái và rộng rãi cho gia chủ. Căn hộ có có view thoáng, rộng, đẹp và được trang bị đầy đủ nội thất cao cấp, chỉ việc xách vali vào ở.Vinhomes Smart City là khu đô thị thông minh hàng đầu Việt Nam, được quy hoạch theo tiêu chuẩn quốc tế. Khu đô thị có hệ thống giao thông thuận tiện, kết nối với các tuyến đường huyết mạch như Đại lộ Thăng Long, Vành đai 3,5, cao tốc Hà Nội - Hải Phòng. Khu đô thị cũng có hệ thống an ninh hiện đại, bảo vệ 24/7. Đừng bỏ lỡ cơ hội sở hữu căn hộ 1 phòng ngủ+ tại Vinhomes Smart City với giá cực kỳ hấp dẫn. Liên hệ ngay với chúng tôi để biết thêm chi tiết và xem nhà. Số điện thoại: 0903.251.***
",Căn hộ,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 01/11/2023,29/11/2023,Bán,2604840
"
Giảm 1 tỷ. 110m2,mặt tiền 6.8 mặt phố Giải Phóng, vị trí trung tâm hành chính quận, giá mới 27.5 tỷ
","
27,5
Tỷ ","
110
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Mua bán Nhà mặt phố tại Đường Giải Phóng']","
Chính chủ gửi bán nhanh căn nhà mặt phố Giải Phóng - Hà Nội.Diện tích: 110.2m², mặt tiền 6.8m, vỉa hè 5m, 1 mặt tiền, 1 mặt ngõ2 mặt tiền trước sau, tiện vừa ở vừa cho thuê, xung quanh dân cư hiện hữu, khu hành chính, tiện ích đa dạng, đầy đủ, giao thông thuận tiện các hướng nội, ngoại thànhNhà đang cho thuê, dòng tiền ổn định hàng tháng, cam kết lấy lại mặt bằng trước khi công chứng sang tênTương lai tòa nhà 7 tầng 1 hầm, cho thuê văn phòng, showroom, cửa hàng, nha khoa,…Sổ đỏ vuông, pháp lý rõ ràng - thiện chí bán - giá hạ rất sâu để quyết tâm bán.Giá: 27,5 tỷ - có thể nói chuyện thêm khi làm việc cụ thểLiên hệ trao đổi cô Liên 0965660***
",Nhà mặt phố,Sổ đỏ,,,,,,,,,,,,,,,, 01/11/2023,15/11/2023,Bán,2604834
"
Bán 64m2 đất Chu Xá Kiêu Kỵ , Gia Lâm ô tô chạy thông
","
2,88
Tỷ ","
64
m2
","['Hà Nội', 'Huyện Gia Lâm', 'Mua bán Đất tại Đường Kiêu Kỵ']","
Chính chủ cần tiền bán 64m2 thôn Chu Xá Kiêu Kỵ Gia Lâm- Mặt tiền : 4.02m hậu 4.02m vuông vắn- Đường trước nhà rộng 3m ô tô 4 chỗ chạy thông- Khu dân cư đông đúc gần chợ Gàu , vin 3 cách vinhomes ocean park 1km- pháp lý sổ đỏ chính chủ- Giá bán : 2.880 tỷLh : Mr Thăng
",Đất,Sổ đỏ,Bắc,,,,,,,,,,,,,,, 01/11/2023,15/11/2023,Bán,2604817
"
Bán đất Đa Tốn Huyện Gia Lâm - Hà Nội giá 4.60 Tỷ
","
4,6
Tỷ ","
100
m2
","['Hà Nội', 'Huyện Gia Lâm', 'Mua bán Đất tại Đường Đa Tốn']","
Bán 100m2 đất Đa Tốn Gia Lâm Hà Nội- Mặt tiền : 5m hậu 5.05m nở hậu- Đường rộng 4m trải nhựa- Vị trí : Cách Vinhomes 800m , gần đường cao tốc 5B Hà Nội - Hải Phòng - Quảng Ninh- Khu dân cư đông đúc , đầy dủ tiện ích : trường mầm non , tiểu học , chợ , siêu thị , trạm xe bus- Pháp lý sổ đỏ chính chủ- Giá bán : 4.6 tỷLh : Mr Thăng
",Đất,Sổ đỏ,Đông-Bắc,,,,,,,,,,,,,,, 01/11/2023,29/11/2023,Bán,2604812
"
Đất sổ đỏ 50m2 Thị Trấn Đông Anh. Vị trí đắc địa tiềm năng tăng giá tốt.Cơ hội cho nhà Đầu tư
","
Thỏa thuận
","
50
m2
","['Hà Nội', 'Huyện Đông Anh', 'Mua bán Đất tại Thị trấn Đông Anh']","
Chỉ hơn 1,6tỷ sở hữu Đất Đẹp sổ đỏ ngay tại TT Đông Anh. Đường 2,5m. Cạnh đường nhựa liên xãVị trí đẹp gần đường QL3 chỉ cách 300mCách Bệnh Viện Bắc Thăng Long 200mCách Phố Đản Dị Trung Tâm TT 1kmGần Nhà máy Z153, Gần Ga Đông AnhKhu vực dân cư đông đúc sầm uất phát triểnDiện tích 50m2 Cách đường nhựa xe tránh chỉ 15mGiao thông đi lại vô cùng thuận tiệnĐất sổ đỏ sẵn sàng giao dịchĐất tiềm năng tăng giá cao#datdonganh#datsodo#muadatdonganhgiare#datdepgancaunhattan
",Đất,,,,,,,,,,,,,,,,, 01/11/2023,15/11/2023,Bán,2604795
