Title,Price,Area,Address,Gen_descrip,Loại hình,Tình trạng pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách,Hướng nhà,Số phòng ngủ,Số tầng
"
Bán Siêu phẩm ngõ Tân Mai, ngõ nông, nội thất 5 sao, 30m2, 4 tầng, giá 3 tỷ 78
","
3,78
Tỷ ","
30
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Mua bán Nhà riêng tại Đường Tân Mai']","
Vị trí ngõ Tân Mai, Hoàng Mai nhà mới nội thất như khách sạn 5 sao,nội thất xịn sò chỉ việc xách valy về ở luôn. Gần phố Nguyễn Chính, Tân Mai, hồ Đền Lừ tập thể dục buổi sáng. Ra bến xe Giáp Bát, bến xe nước ngầm vài phút,vây quanh tiện ích bạt ngàn, nơi lý tưởng để an cư. Sổ đỏ chính chủ, sang tên trong ngày. cam kết nội thất như hình, Full nội thất, khách mua về chỉ việc vào ở Chi tiết liên hệ Mr – Kiên – 0987209*** Chuyên thổ cư, còn hơn 200 nhà khu vực với nhiều mức giá,miễn phí dẫn khách xem nhà, tư vấn pháp lý
",Nhà riêng,Sổ đỏ, 01/11/2023,29/11/2023,Bán,2604277,,,,,,,,,,,,,,,,,
"
1,930 tỷ Bán căn hộ 1PN+ Full nội thất, sẵn sổ Toà S4 Vinhomes Smart City. Liên hệ: 0987825***
","
1,93
Tỷ ","
43
m2
",['Mua bán Căn hộ chung cư  Vinhomes Smart City'],"
Chính chủ bán căn hộ 1PN+ công năng sử dụng như 2PN phù hợp với gia đình trẻ, người độc thân tại Vinhomes Smart City - Nam Từ Liêm - Hà NộiThiết kế thông minh gồm: 1 phòng khách, 1 phòng ngủ chính và không gian + có thể làm thành phòng ngủ cho trẻ, phòng làm việc, đọc sách hoặc ko gian trưng bàyThông tin căn hộ: - Toà: S4- Diện tích: 43m2, thiết kế 1PN+- Ban Công: Tây Bắc- View nội khu, ngoại khu- Full nội thất long lanh- Có sổ, ko vay- Giá bán: 1,930 tỷ bao phí ----------------------- Liên hệ Zalo 098.782.59***để xem nhà
",Căn hộ,, 26/10/2023,23/11/2023,Bán,2595175,,,,,,,,,,,,,,,,,
"
Nhà đẹp - Tặng nội thất - Đầy đủ công năng - Ngõ thông - 3 mặt thoáng sáng
","
3
Tỷ ","
38
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Mua bán Nhà riêng tại Đường Trương Định']","
NHÀ ĐẸP - TẶNG NỘI THẤT - CÔNG NĂNG FUll - HIẾM NHÀ BÁN - MẶT NGÕ Ô TÔ 3.5 TẤN - NGÕ THÔNG - NGÕ NÔNG RỘNG, CỰC THOÁNG - 3 MẶT THOÁNG SÁNG521 Truơng Định-Hoàng MaiDT: 38m2,nhà 3 tầng,mặt tiền 4,5m2Giá 3 tỷNhà 3 Tầng, diện tích sổ 32m , Thực tế sử dụng 38m2, vì chut mua thêm 6m phía sau nhà cho rộng, thoáng, 3 mặt thoáng, các tầng đều có ban công cực thoáng, sáng.Móng chắc chắn lên 5 tầng thoải mái, trước nhà rộng hơn 3m, nhà nhiều lộc, Chủ làm ăn Tốt , bán đi mua nhà to, đẹp hơn.Thiết Kế:- Tầng 1 : Khách , bếp + wc .- Tầng 2 : 2 phòng ngủ + 2wc .- Tầng 3 : 1 phòng ngủ , 1wc + sân phơi .Sổ đỏ chính chủ, sẵn giao dịch.LH:0913575***
",Nhà riêng,Sổ đỏ, 01/11/2023,29/11/2023,Bán,2360575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
"
Nhà dân xây mới-Mặt ngõ full công năng-Thông số đẹp-Diện tích rộng giá rẻ-Không lỗi phong thủy
","
4,2
Tỷ ","
40
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Mua bán Nhà riêng tại Đường Giáp Nhị']","
Giáp Nhị đt:40m,nhà 5 tầng,giá 4.25tỷ + Nhà cách ô tô và mặt phố Giáp Nhị khoảng 60m, Tiện ích : Gần hồ Linh Đàm, Hồ Đền Lừ ,Phố Trương Định, Giải Phóng, Tân Mai , Gần Bến xe, Bệnh Viện Bạch Mai, Đại học Kinh Tế Quốc Dân . +Nhà dân xây mặt tiền rộng,nở hậu - Tầng 1 : thông sàn,p.khách, wc,để xe - Tầng 2,3,4 : 2 ngủ+ wc (tổng 6 ngủ) - Tầng 5 : phòng thờ, sân phơi, trồng cây cảnh + Sổ đỏ chính chủ vuông đẹp,nở hậu
",Nhà riêng,Sổ đỏ, 01/11/2023,29/11/2023,Bán,2411555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
"
7 tầng thang máy mới tinh - đầy đủ nội thất cao cấp - gara ô tô
","
13,8
Tỷ ","
83
m2
","['Hà Nội', 'Quận Hai Bà Trưng', 'Mua bán Nhà riêng tại Đường Kim Ngưu']","
7 tầng thang máy mới tinh - đầy đủ nội thất cao cấp - gara ô tô.Kim Ngưu - Hai Bà Trưng.DT: 83m², nhà 7 tầng, mặt tiền 6m.Giá 13.8 tỷ.Nhà 7 tầng thang máy mới tinh, mặt tiền rất rộng, Gara ô tô 7 chỗ. Chủ nhà xây dựng diện tích 70m² từ tầng 1 lên đến tầng 7. Phần diện tích còn lại chủ nhà để sân trước và sân sau cho thoáng. Ngôi nhà được xây dựng rất tâm huyết. Đã lắp đầy đủ nội thất cao cấp: Điều hoà, bếp, tủ, bồn tắm, mành rèm,... Nhà vừa ở, vừa kinh doanh văn phòng, online. Hàng xóm thân thiện, văn minh, lịch sự.Tầng 1: Gara, WC, sân thoáng phía sau.Tầng 2: Tầng lửng làm phòng khách, WC.Tầng 3, 4: Thông sàn, WC.Tầng 5: 2 phòng, WC.Tầng 6: Bếp, khách, WC.Tầng 7: Phòng thờ, sân phơi, phòng kỹ thuật.Sổ đỏ hoa hậu cất két sẵn sàng giao dịch.
",Nhà riêng,Sổ đỏ, 01/11/2023,29/11/2023,Bán,2365051,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
"
Căn hộ dòng tiền 17 căn Studio Cao cấp-Thang máy-Ba gác đỗ cửa- Ngõ thông kinh doanh.
","
11,9
Tỷ ","
65
m2
","['Hà Nội', 'Quận Hai Bà Trưng', 'Mua bán Căn hộ chung cư tại Phường Minh Khai']","
296. Minh Khai DT: 63.3 m,nhà 7 tầng,mặt tiền 4,5m Giá 11.9 tỷ + Căn hộ dịch vụ đẳng cấp nhất với 17 phòng (căn studio) gồm nội thất vip, thang máy nhập, dòng tiền 1 tỷ/năm, pháp lý chuẩn, sổ đỏ đẹp, chủ hợp tác giao dịch nhanh gọn. + Thông số: Gia chủ kết hợp bên KTS lên bản vẽ, ý tưởng, thiết kế thông minh, tối ưu nhất với dòng tiền cực khủng, xây mới 100% với chất lượng cao nhất từ nền móng lên tới 7 tầng. * Tầng 1: Sảnh để xe máy. * Tầng 2-3-4-5-6: Mỗi tầng 3 phòng (Tổng 15 căn studio) * Tầng 7: Chia 2 phòng, sân phơi (Tổng 2 căn studio). + Vị trí: Nằm trên tuyến đường chính Minh Khai kết nối rất nhiều tuyến phố lớn, ngõ thông, kinh doanh nhiều loại hình, xe ba gác đỗ cửa, ngõ nông và gần phố, xung quanh đều là các trường ĐH lớn, trường cấp 1,2,3 và Bệnh viện, Ngân Hàng, cơ quan ban ngành, khu dân trí cao, an ninh bảo đảm.
",Căn hộ,Sổ đỏ, 01/11/2023,29/11/2023,Bán,2604217,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
"
Bán nhà mặt phố Hà Đông 2 mặt tiền có hầm cực đẹp kinh doanh
","
33
Tỷ ","
130
m2
",['Mua bán Nhà mặt phố   Kiến Hưng Luxury'],"
Nhà mặt phố Phúc La đường rộng 40m – vỉa hè đường gom 17m thoải mái đậu xe kinh doanhMặt tiền khủng trước sau rộng 6m, diện tích 130m2 xây 6 tầng 1 hầm cực đẹp, phù hợp cho công ty, ngân hàng, trung tâm ngoại ngữ… Nhận nhà vào kinh doanh được ngayGiá bán: 33 tỷLiên hệ xem nhà: 0911.772.*** (em Ngọc)
",Nhà mặt phố,, 01/11/2023,29/11/2023,Bán,2436163,,,,,,,,,,,,,,,Đông-Bắc,,
"
Bán penthouse duplex Long Biên diện tích 147m2 ban công Đông nam nhìn thẳng hồ điều hòa 22ha
","
8,5
Tỷ ","
147
m2
",['Mua bán Căn hộ chung cư  Khai Sơn Hill'],"
Căn penthouse thiết kế dạng duplex thông tầng 20-21 cực đẹp với diện tích sử dụng 147m2 chia 3 phòng ngủ 2 phòng khách rộng cực hợp lýCửa chính Tây bắc – ban công Đông nam nhìn thẳng ra công viên hồ điều hòa 22ha cực hiếm khu vực Long BiênChung cư nằm trong quần thể KĐT Khai Sơn city với hệ thống trường liên cấp Times School từ mầm non lên cấp 3, cách nhà chỉ 200m, công viên hồ điều hòa 22ha cách nhà chỉ 300m cực kì phù hợp gia đình trẻGiá bán: 8.5 tỷLiên hệ xem nhà: 0911772*** (em Ngọc)
",Căn hộ,Sổ đỏ, 01/11/2023,29/11/2023,Bán,2480810,,,,,,,,,,,,,,,Đông-Nam,,
"
Bán gấp nhà ngõ phố hoàng mai – phân lô – ô tô đỗ cửa, 41m2x5t nhỉnh 6 tỷ.
","
6,25
Tỷ ","
41
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Mua bán Nhà riêng tại Đường Hoàng Mai']","
- Nhà phân lô đẹp, ngõ rộng thoáng ô tô đỗ cửa. Giao thông thuận tiện các ngả đường Đại La, Bạch Mai, Minh Khai… vài phút lên phố cổ. Gần các trường đại học lớn ĐH Bách Khoa, Xây Dựng, KTQD và các bệnh viện Bạch Mai, Việt Pháp, Thanh Nhàn…
- Nhà mới đẹp về ở ngay, diện tích 41m2 thiết kế 5 tầng với mỗi tầng được tối ưu hóa công năng sử dụng.
- Chủ nhà cần bán gấp. Sổ đỏ cất két giao dịch ngay.
- Giá bán nhỉnh 6 tỷ, có thương lượng ra lộc
- Khách mua nhà gọi ngay Em Trang: (xem nhà 24/24h hoàn toàn miễn phí).
+ + Cam kết thông tin chuẩn 100%.
",Nhà riêng,Sổ đỏ, 01/11/2023,29/11/2023,Bán,2604190,,,,,,,,,,,,,,,,3,
"
Nhỉnh 4 tỷ chủ nhà bán Căt Lỗ Căn Góc 3PN tầng trung CT36 xuân la DT 86m2
","
4,4 - 4,5
Tỷ ","
86
m2
","['Hà Nội', 'Quận Tây Hồ', 'Mua bán Căn hộ chung cư tại Đường Xuân La']","
Em có căn hộ chung cư CT36 Xuân La được chủ nhà gủi bán nhanh giá CẮT LỖ rất nhiều so với mặt bằng các căn hộ khác ạ+ Căn Góc đẹp DT 86m2 thiết kế 3PN+2WcNội Thất căn hộ đã có đầy đủ , nhà mới đẹpGiá bán : chỉ nhỉnh 4 tỷ . chủ nhà cần tiền đang rất thiện chí bán , giá có thể thỏa thuận khi đã ưng căn hộ.Sổ đỏ chính chủ sẵn sang tên cho khách muaXem nhà (ah)chị liên hệ em qua số ĐT ĐT :09796028***Em Huân
",Căn hộ,Sổ đỏ, 01/11/2023,15/11/2023,Bán,2604215,,,,,,,,,,,,,,,,,
