Title,Price,Area,Address,Gen_descrip,Loại hình,Số phòng ngủ,Tình trạng pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Hướng nhà,Hướng ban công,Nội thất,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách,Số tầng,Căn góc
"
Bán gấp nhà phân lô đền lừ quận hoàng mai – ô tô đỗ cửa, 46m2x4t giá 6,85 tỷ
","
6,85
Tỷ ","
46
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Mua bán Nhà riêng tại Đường Đền Lừ']","
- Nhà phân lô vuông vắn, ngõ rộng thoáng ô tô đỗ cửa. Giao thông thuận tiện các ngả đường Tam Trinh, Minh Khai, Trương Định… vài phút lên phố cổ. Gần hồ Đền Lừ, chợ đầu mối, bến xe Giáp Bát vài phút ra khu đô thị TimesCity. 
- Nhà 4 tầng, dt 46m2 mỗi tầng 2 phòng ngủ phía sau có giếng trời rất thoáng. Chủ nhà xây rất kiên cố chắc chắn.
- Chủ nhà cần bán gấp. Sổ đỏ cất két giao dịch ngay.
- Giá bán 6,85 tỷ, có thương lượng ra lộc
- Khách mua nhà gọi ngay Em Trang: (xem nhà 24/24h hoàn toàn miễn phí).
+ + Cam kết thông tin chuẩn 100%.
",Nhà riêng,4,Sổ đỏ, 01/11/2023,29/11/2023,Bán,2604105,,,,,,,,,,,,,,,,,,,
"
Bán căn hộ 1PN+1 52m Masteri view hồ trung tâm Smart City giá 3 Tỷ
","
3
Tỷ ","
52
m2
",['Mua bán Căn hộ chung cư  Masteri West Heights'],"
Cần bán căn hộ tầng 3 tòa B phân khu cao cấp Masteri West Height view trực diện biển hồ cát trắng trái tim đại đô thị Vinhomes SMart CIty Tây Mỗ.Căn hộ tầng thấp tiện đi lại kinh doanh, buôn bán, mở vp, cửa hàng, spa, cắt tóc, thẩm mỹ.Tòa B nằm vị trí đẹp nhất dự án khi mặt trước đối diện biển hồ cát trắng và công viên trung tâm xanh mát rộng 10,5ha. mặt sau view trực diện côn viên nội khu rộng rãi, bể bơi và tiểu cảnh thác nước rộng 1500m, tiện ích đặc quyền đẳng cấp.Phân khu cao cấp bàn giao thiết bị nhập khẩu các thương hiệu hàng đầu thế giới như Daikin, Kouler, Hafele,....Giá trả thẳng nhỉnh 3 tỷ. Hỗ trợ vay ngân hàng 80% miễn gốc lãi 1,5 năm. 
",Căn hộ,,Sổ đỏ, 01/11/2023,29/11/2023,Bán,2604125,Đông-Bắc,,,,,,,,,,,,,,,,,,
"
Bán nhà mặt phố yên sở quận hoàng mai – ô tô tránh – kinh doanh – thang máy, 52m2x6t 9,5 tỷ
","
9,5
Tỷ ","
52
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Mua bán Nhà mặt phố tại Đường Nguyễn Tam Trinh']","
- Vị trí rất đẹp nhà mặt phố ngay gần ngã ba đường rộng ô tô tránh thoải mái, kinh doanh nhộn nhịp, 50m ra đường vành đai 3. Gần công viên Yên Sở, bến xe Nước Ngầm, khu đô thị Gamuda.
- Nhà mới đẹp ở ngay. Diện tích 52m2, mt 4m xây 6 tầng mỗi tầng 2 phòng ngủ khép kín. Chủ nhà xây rất chắc chắn kiên cố.
 + Tầng 1: Gara ô tô, phòng khách, bếp, phòng ăn.
 + Tầng 2,3,4,5: Mỗi tầng 2 ngủ + 2wc.
 + Tầng 6: Phòng thờ, sân phơi, tiểu cảnh, café.
- Sổ đỏ chính chủ giao dịch ngay.
- Giá bán 9,5 tỷ, có thương lượng 
- Khách mua nhà gọi ngay Em Trang: (xem nhà 24/24h hoàn toàn miễn phí).
+ + Cam kết thông tin chuẩn 100%.
",Nhà mặt phố,8,Sổ đỏ, 01/11/2023,29/11/2023,Bán,2604073,,,,,,,,,,,,,,,,,,,
"
Bán nhà riêng Quận Hà Đông - Hà Nội giá 5.25 Tỷ
","
5,25
Tỷ ","
35
m2
","['Hà Nội', 'Quận Hà Đông', 'Mua bán Nhà riêng tại Đường Phan Đình Giót']","
- Nhà cách mặt phố Phan Đình Giót vài bước chân., Lô góc ô tô vào cửa nhà Công năng đầy đủ ,- tiện ích xung quanh không thiếu gì - Tầng 1: Grara ôtô + 1WC, - Tầng 2: Phòng khách + Bếp, - Tầng 3-4: Mỗi tầng 2 phòng ngủ + 1WC, - Tầng 5: Phòng thờ + Sân Phơi, SỔ ĐỎ CHÓT CẤT KÉT SÃN SÀNG ĐỢI CHỦ MỚI 
",Nhà riêng,,, 01/11/2023,29/11/2023,Bán,2604064,,,,,,,,,,,,,,,,,,,
"
Bán nhanh căn hộ Studio rẻ nhất thị trường, Ocean Park Giá: 930 triệu có ra lộc LH:0818858***
","
930
Triệu ","
28
m2
",['Mua bán Căn hộ chung cư  Vinhomes Ocean Park'],"
Thông tin căn hộphân khu s1Diện tích: 28m2 thông thủyNội thất cơ bản chủ đầu tưThiên chí bán nên bán giá cắt lỗ 930tr 
",Căn hộ,,, 06/10/2023,03/11/2023,Bán,2558717,Đông-Bắc,,,,,,,,,,,,,,,,,,
"
Bán căn hộ mini Trần Cung  gần Bệnh Viện E 2 ngủ, 2 wc , để lại full đồ
","
1,2
Tỷ ","
46
m2
","['Hà Nội', 'Quận Bắc Từ Liêm', 'Mua bán Căn hộ chung cư tại Phố Trần Cung']","
Do chuyển công tác tôi cần bán Căn hộ miniDiện tích: 46m2Thiết kế 2 ngủ, 2 wc Giá 1,2 tỷ( có Thương lượng)Căn hộ tầng 6 thoáng, view đẹpCó thang máy, bảo vệ 24/24                  Gần chợ, trường , bãi đỗ ô tô ngay đầu ngõCách bệnh viện E Khoảng 500mRa Đường lớn Phạm Văn Đồng mất khoảng 100mXem nhà: 0983 169 ***  
",Căn hộ,,Sổ đỏ, 01/11/2023,15/11/2023,Bán,2604048,Đông-Nam,,,,,,,,,,,,,,,,,,
"
Bán nhà riêng Quận Bắc Từ Liêm 32m ô tô đỗ cổng gần ngoại giao đoàn tiện ích giá 4.45 Tỷ
","
4,45
Tỷ ","
3
m2
","['Hà Nội', 'Quận Bắc Từ Liêm', 'Mua bán Nhà riêng tại Đường Xuân Đỉnh']","
NHÀ ĐẸP Ô TÔ ĐỖ CỔNG - - CHỦ XÂY TÂM HUYẾT - TẶNG FULL NỘI THẤT.Mô tả :- Vị trí siêu hiếm, ô tô để quanh nhà, bãi gửi xe ô tô 3 bước chân. Nhà ở thoáng sáng vô cùng, tất cả cửa, thiết kế hiện đại tạo cảm giác nhà rất sang chảnh.- Thiết kế: + Tầng 1 phòng khách, bếp.+ Tầng 2,3,4 gồm mỗi tầng một phòng ngủ rộng, vệ sinh. + Tầng 5 , sân phơi, phòng thờ+ Sổ đỏ nở hậuThông sàn từ tầng 1 đến tầng 5, tầng 5 đổ full mái nên cực rộng.Trước chủ làm Spa tại nhà, nay chuyển về Thái Nguyên muốn bán nhanh gọn.Sổ đỏ chính chủLH : Em Hương 
",Nhà riêng,,, 01/11/2023,29/11/2023,Bán,2603904,,,,,,,,,,,,,,,,,,,
"
Bán nhà riêng Quận Tây Hồ 45m nhà mới gần ô tô tiện ích xung quanh đầy đủ giá 5.60 Tỷ
","
5,6
Tỷ ","
45
m2
","['Hà Nội', 'Quận Tây Hồ', 'Mua bán Nhà riêng tại Đường Lạc Long Quân']","
NHÀ MỚI CỰC ĐẸP - NGÕ THÔNG - 2 MẶT THOÁNG - CÁCH ÔTÔ TRÁNH 20M - SỔ VUÔNG ĐÉT - NỘI THẤT SANG XỊNCHỦ NHÀ LÀM ĂN VƯỢNG PHÁT NÊN ĐỔI NHÀ TO HƠN Cách chợ Nghĩa Đô 20m , cách ÔTÔ TRÁNH 20m , xe ba gác tránh xe máy, cách bãi trông giữ ôtô 50m , cách đường Lạc Long Quân chưa đầy 100m Nhà thiết kế 5 tầng hợp lý: - T1 Phòng khách, bếp ăn, để xe máy + WC - T2,3,4 mỗi tầng 1 PN rộng + Wc-T5 phòng thờ, sân phơi. Vị trí đắc địa, giao thương thuận tiện, nằm gần ngã 5 Lạc Long Quân - Hoàng Quốc Việt - Hoàng Hoa Thám - Bưởi - Thụy Khuê- Khu vực dân trí cao, sầm uất, tiện ích bạt ngànNhà 2 mặt thoáng trước sau , tầng nào cũng có ban công, cửa sổ thoáng sáng cả ngày.Sổ đỏ chính chủLH : Em Hương
",Nhà riêng,,Sổ đỏ, 01/11/2023,29/11/2023,Bán,2603869,,,,,,,,,,,,,,,,,,,
"
Bán căn 1pn+ 43m2 tầng trung, hướng mát, view bể bơi, toà S1 Vinhomes Smart City. LH: 098.782.5***
","
1,91
Tỷ ","
43
m2
",['Mua bán Căn hộ chung cư  Vinhomes Smart City'],"
Chính chủ bán gấp căn hộ 1pn+ DT 43m2, BC Tây Nam, View bể bơi, Full nội thất Toà S1 Vinhomes Smart City. Giá tốt nhất dòng căn hộ 1pn+. LH: 098.782.5***Nội khu S1 rộng 1000m2 được đánh giá đẹp và rộng nhất Vinhomes Smart City, thiết kế các toà vuông góc cách nhau 200m, ở chung cư nhưng ko gian gần như riêng tư tuyệt đối.- Diện tích sử dụng: 43m2. Thiết kế gồm: 1 phòng khách, 1 phòng ngủ chính và không gian + có thể làm thành phòng ngủ cho trẻ, phòng làm việc, đọc sách hoặc ko gian trưng bày- Hướng cửa chính: Đông Bắc- Ban công: Tây Nam View bể bơi nội khu- Bàn giao full nội thất- Đã có sổ đỏ, sẵn sàng giao dịch nhanh gọn- Giá: 1,910 tỷ bao toàn bộ thuế phí đến khi ra sổLiên hệ 098.782.59***để nhận thông tin chi tiếtĐặc quyền khi trở thành cư dân Vinhomes: Sử dụng Full tiện ích 5 sao như: Bể bơi 4 mùa và hệ thống bể bơi tại các cụm KĐT, Công viên trung tâm hồ điều hoà cát trắng có hệ thống bếp nướng BBQ, Công viên thể thao với hàng nghìn máy tập, Khu vui chơi trẻ em nội khu và ngoại khu, Vườn Nhật mang đậm phong cách xứ Phù Tang, Trung tâm thương mại Mega Mall lớn nhất miền Bắc, Bệnh viện Vinmec, Trường học liên cấp Vinschool và 16 điểm trường quanh dự án.Liên hệ: Zalo 098.782.59***để trở thành cư dân Vinhomes Smart City.
",Căn hộ,1,Sổ đỏ, 01/11/2023,29/11/2023,Bán,2603852,Đông-Bắc,Tây-Nam,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
"
Bán nhà riêng Trần Cung Cầu Giấy 59m gần phố nhà dân xây cực chắc chắn giá 5.40 Tỷ
","
5,4
Tỷ ","
59
m2
","['Hà Nội', 'Quận Cầu Giấy', 'Mua bán Nhà riêng tại Phố Trần Cung']","
NHÀ KHUNG CỘT - CÁCH Ô TÔ 20M –NHÀ THOÁNG SÁNG VÔ CÙNG - NGÕ TRƯỚC NHÀ 3M – NHÀ DÂN XÂY CHẮC CHẮNNhà thoáng trước sau, có sân để xe rộng rãi và sạch sẽ, vị trí đẹp 20m ra phố.Thiết kế: Tầng 1: sân để xe, phòng khách, bếp,WCTầng 2,3: Mỗi tầng 2 phòng ngủ, wcTầng 4: Phòng thờ , sân phơiSổ đỏ cất két, sẵn giao dịch. LH : Em Hương
",Nhà riêng,,Sổ đỏ, 01/11/2023,29/11/2023,Bán,2603685,,,,,,,,,,,,,,,,,,,
