Title,Price,Area,Address,Gen_descrip,Loại hình,Tình trạng pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách,Hướng nhà,Bồn tắm,Số phòng ngủ,Căn góc,Nội thất,Mặt tiền,Số tầng
"
Bán nhà riêng Quận Hà Đông - Hà Nội giá 5.25 Tỷ
","
5,25
Tỷ ","
35
m2
","['Hà Nội', 'Quận Hà Đông', 'Mua bán Nhà riêng tại Đường Phan Đình Giót']","
SIÊU PHẨM NHÀ PHAN ĐÌNH GIÓT Ô TÔ ĐỖ CỬA - NGÕ THÔNG - NHÀ MỚI ĐẸP 5 TẦNG - Nhà cách mặt phố Phan Đình Giót vài bước chân., Lô góc ô tô vào cửa nhà Công năng đầy đủ , tiện ích xung quanh không thiếu gì - Tầng 1: Grara ôtô + 1WC, - Tầng 2: Phòng khách + Bếp, - Tầng 3-4: Mỗi tầng 2 phòng ngủ + 1WC, - Tầng 5: Phòng thờ + Sân Phơi, SỔ ĐỎ CHÓT CẤT KÉT SÃN SÀNG ĐỢI CHỦ MỚI liên hệ : 0982173***
",Nhà riêng,Sổ hồng, 31/10/2023,28/11/2023,Bán,2602540,,,,,,,,,,,,,,,,,,,,
"
Bán nhà Ngọc Thụy, Long Biên 45m2, 5 tầng, giá 3,9 tỷ. Ngõ nông cách một nhà ra phố.
","
2,9 - 2,95
Tỷ ","
45
m2
","['Hà Nội', 'Quận Long Biên', 'Mua bán Nhà riêng tại Đường Ngọc Thụy']","
-Cần bán nhà đường Ngọc Thụy, Long Biên.DT 45m², 4 phòng ngủ chủ nhà tự xây 5 tầng tâm huyết để ở. Mặt tiền rộng để xe và quay đầu thoải mái.-Nhà vị trí đẹp ngõ thông các ngả gần chợ ,gần trường học các cấp, TTTM Mipec, một bước ra cầu Long Biên, Chương Dương vào phố cổ cực gần chỉ 10 phút.-Giá chỉ 3.9 tỷ-Liên hệ: M.r Hiển sđt 0916999***  (gọi ngay để được tư vấn và xem nhà miễn phí)
",Nhà riêng,Sổ đỏ, 31/10/2023,28/11/2023,Bán,2602699,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
"
Chính chủ bán Căn hộ K7 – Giải Phóng gần Kinh Tế Quốc Dân 50m, 2 ngủ, full đồ
","
680
Triệu ","
50
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Mua bán Căn hộ chung cư tại Đường Giải Phóng']","
Tôi cần bán gấp căn hộ mini tại Giải Phóng – Hoàng MaiDiện tích: 35 – 50m2Thiết kế 1-2 ngủ, 1 wcGiá : 680tr – 900 – 1,4 tỷChiết khấu sâu: 0983 169 ***Căn hộ vuông vắn, sáng, thoángTòa nhà đã trang bị hệ thống pccc, cửa chống cháy..Có bảo vệ 24/24, thang máyCách mặt đường lớn Giải Phóng khoảng 15mGần ngã tư VọngCách ĐH Kinh Tế Quốc Dân khoảng 1kmRất thích hợp cho gia đình trẻ, mua cho con em đi học…Xem nhà: 0983 169 ***
",Căn hộ,Sổ đỏ, 31/10/2023,14/11/2023,Bán,2602446,,,,,,,,,,,,,,Đông-Bắc,,,,,,
"
Bán nhà riêng số 2, Hoàng Liệt, Quận Hoàng Mai - Hà Nội giá 5.79 Tỷ
","
5,79
Tỷ ","
43
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Mua bán Nhà riêng tại Đường Bằng Liệt']","
Ngõ số 2 Hoàng Liệt, Hoàng Mai, HN+ Nhà xây mới, đang hoàn thiện,+ Thiết kế hiện đại, tầng 2 phòng đầy đủ công năng, chi tiết:Diện tích 43mX5 tầng- T1: Để xe, wc, bếp,- T2: (lửng) PK + wc,- T3, 4: 4PN + 2WC,- T5: Phòng thờ + sân phơi,+ Sổ đỏ phân lô vuông đẹp sẵn sàng giao dịchGiá: 5,79 tỷLH ngay: 09816915***để xem nhà
",Nhà riêng,, 31/10/2023,28/11/2023,Bán,2602442,,,,,,,,,,,,,,,,,,,,
"
Bán căn 4 phòng ngủ 150m2 ban công Tây nam hướng ra Hoàng Đạo Thúy giá 9 tỷ
","
9,1
Tỷ ","
150
m2
",['Mua bán Căn hộ chung cư  BRG Diamond Residence'],"
Tòa BRG Lê Văn Lương sở hữu quỹ căn 4 phòng ngủ diện tích đa dạng hiếm có khu vực Trung Hòa – Nhân Chính, phù hợp cho gia đình lớn, đảm bảo đủ chỗ đỗ ô tôCăn 4 ngủ đẹp 150m2 với 3 ban công rộng thoáng, phòng khách ban công Tây nam nhìn ra Hoàng Đạo Thúy và tòa Centerpoint đẹpCăn hộ tầng trung giá đẹp 9.1 tỷ nhận nhà hoàn thiện ngay đón TếtLiên hệ xem nhà: 0916.878.***
",Căn hộ,, 31/10/2023,28/11/2023,Bán,2602435,,,,,,,,,,,,,,Tây-Nam,,,,,,
"
Mở bán shop thương mại khối đế dự án Khai Sơn City Long Biên - giá chỉ từ 1,2 tỷ
","
1,2
Tỷ ","
40
m2
",['Mua bán Nhà phố thương mại Shophouse  Khai Sơn Town'],"
- Shophouse Thương Mại tầng 3 Khai Sơn City có diện tích hợp lý từ 33m 52m và chiều cao 3,9m cho phép khách hàng tùy biến thiết kế để phù hợp với nhiều loại hình kinh doanh như trong Time City: Kinh doanh thương mại, văn phòng cho thuê, nhà hàng ẩm thực, thời trang.- Nằm gần trục đường 40m, Cạnh ngay khách sạn 6 sao, khách sạn 5 sao và hồ điều hòa 23ha - Vị trí này được đánh giá là đắc địa trong tổng thể KĐT Khai Sơn City. Dự án chỉ cách phố cổ 5 phút di chuyển với tương lai lên tới 14 cây cầu cũng có thể 18 cây cầu bắc qua sông Hồng.- Dự kiến có khoảng hơn 7.600 cư dân tại khu cao tầng Khai Sơn City, 1.500 học sinh tại trường quốc tế liên cấp, khách sạn với sức chứa khoảng 1.500 khách và bệnh viện quốc tế với khả năng thăm khám gần 1.000 bệnh nhân.- Với mức giá bán từ 1,2 tỷ cho một gian thương mại, cùng chính sách chiết khấu lên tới 15,5% đang là mức giá ưu đãi nhất của một quần thể hơn 100ha của dự án Khai Sơn City. Bên cạnh việc tự vận hành kinh doanh, nhà đầu tư có thể cho thuê lại với mức lợi nhuận lên đến 18% - 20% khá cao cho các nhà đầu tư hoặc khách hàng có nhu cầu bán hàng.- Quý Anh Chị khách hàng lưu ý đây là kênh đầu tư an toàn có thể cho thuê hoặc sử dụng được ngay sau khi bàn giao, hầu hết các Shop thương mại của những dự án chung cư em đang bán có giá từ 4,5 tỷ trở lên. Duy nhất có dự án Khai Sơn với có mức giá này- Anh Chị quan tâm vui lòng liên hệ ngay để được nhận booking và ưu đãi tốt nhất về giá và nhanh nhất về hỗ trợ!
",Nhà phố thương mại Shophouse,Sổ hồng, 31/10/2023,28/11/2023,Bán,2472148,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Đông-Nam,1.0,,,,,
"
Bán gấp căn 2N1W 60m2 FULL Nội Thất Cao Cấp từ A-Z tại Vinhomes Ocean Park Gia Lâm LH: 0984 678 ***
","
1,75
Tỷ ","
55
m2
",['Mua bán Căn hộ chung cư  Vinhomes Ocean Park'],"
- Thiết kế căn hộ.- Diện tích 60m2.- Thiết kế gồm có 2PN1WC, ban công và logia.- Căn hộ bàn giao đầy đủ thiết bị ánh sáng, trần thạch cao, thiết bị vệ sinh cao cấp...- Vị trí trung tâm được coi là phân khu hoa hậu của dự án.- Đầy đủ nội thất cao cấp từ A-Z- Pháp lý rõ ràng, sổ hồng lâu dài, sẵn sàng công chứng.- Giá bán nhanh chỉ: 1.75 tỷ.* Tiện ích:+ Được hưởng miễn phí toàn bộ các dịch vụ tiện ích: Bể bơi bốn mùa, ngoài trời, sân chơi trẻ em, sân thể thao bóng đá, bóng bàn, bóng rổ, cầu lông, tenis,...+ Cực kỳ thuận tiện cho các cháu bé đi học trong khu, dễ dàng đăng ký các suất học mới.* Liên hệ em ngay để xem nhà trực tiếp miễn phí: 0984.678.*** (xem nhà 24/7).
",Căn hộ,Sổ hồng, 31/10/2023,28/11/2023,Bán,2602370,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,
"
Ngân hàng quân đội bán đấu giá thanh lý phát mại nhà đất (tài sản thế chấp) tại Hà Nội 2,91 tỷ
","
2,91
Tỷ ","
734,7
m2
","['Hà Nội', 'Huyện Phú Xuyên', 'Mua bán Nhà riêng tại Xã Khai Thái']","
Công ty TNHH quản lý nợ và khai thác tài sản Ngân hàng TMCP Quân đội (MBAMC) bán đấu giá thanh lý phát mại (tài sản thế chấp) là bất động sản tại Thôn Vĩnh Thượng, Xã Khai Thái, Huyện Phú Xuyên, Hà NộiThông tin chi tiết về giá/thời gian/hình thức bán/nội dung tài sản tại hình ảnh đính kèm.Quý khách hàng có nhu cầu mua xin liên hệ Mr Sơn 0917 346 ***
",Nhà riêng,Sổ đỏ, 31/10/2023,28/11/2023,Bán,2544100,,,,,,,,,,,,,,Đông-Bắc,,,,,,
"
Cắt lỗ - bán chung cư CT3A Thái Hà - Tây Sơn - Đống Đa (32 - 55m2) sổ đỏ - tặng full nội thất
","
800
Triệu ","
55
m2
","['Hà Nội', 'Quận Đống Đa', 'Mua bán Căn hộ chung cư tại Phố Thái Hà']","
BÁN CHÍNH CHỦ CHUNG CƯ MINI YÊN LÃNG - THÁI HÀ - ĐỐNG ĐA ( Studio - 1N - 2N ) - Tòa nhà nằm trên phố Thái Thịnh, nối liền trục đường Tây Sơn, Chùa Bộc.. - Gần rất nhiều trường đại học như: Đại học Y, HV Ngân Hàng, Thủy Lợi, Công Đoàn, Bách Khoa, ✅ Nội thất: Bàn giao gồm: ✅ Full nội thất cơ bản gồm tủ bếp, bếp từ, nóng lạnh, hút mùi, thiết bị vệ sinh cao cấp, sàn đá hoa. ✅ Tòa nhà có thang máy tốc độ cao, thiết bị PCCC, bảo vệ 24/24, nhà xe rộng. ✅ Các căn hộ được thiết kế thoáng sáng. ✅ Diện tích: 23m² - 30m² - 33m² - 35m² - 46m² - 48m² - 52m² - 55m²✅ Giá bán: 650 triệu - 750 triệu - 880 triệu - hơn 1.2 tỷ - 1.3 tỷ. Anh chị quan tâm CHỦ ĐẦU TƯ :  để được tư vấn chi tiết và tham quan thực tế miễn phí. ( KHÔNG TRẢ GÓP, KHÔNG HỖ TRỢ NGÂN HÀNG )
",Căn hộ,Sổ đỏ, 31/10/2023,14/11/2023,Bán,2056931,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2,Có,,,
"
Chính chủ - bán căn hộ C3 Giáp Nhất - Nguyễn Trãi 1 - 2 – 3 phòng ngủ 2WC - ở ngay và luôn - Mới
","
612
Triệu ","
30 - 60
m2
","['Hà Nội', 'Quận Thanh Xuân', 'Mua bán Căn hộ chung cư tại Đường Giáp Nhất']","
Chính chủ bán - Chung cư Nguyễn Trãi - Giáp Nhất 36 - 55m, Full Nội Thất, Ở ngay Tặng Vàng 24k.* Gần các trường đại học lớn, gần các * Vị trí chung cư : Trung tâm quận, gần các tuyến đường lớn, Gần các trường c1 c2* Gần ngay Trường Tiểu học Trung học, Gần công viên trung tâm* Diện tích: 35m2 - 40m2 - 44m2 - 45m2 - 46m2 - 48m2 - 50m2.* Giá bán: Từ 600tr - 760tr - 860tr - 920 tr hơn 1 tỷ 2* CHIẾT KHẤU GIẢM GIÁ NGAY 50 TRIỆU MỖI CĂN. * Quy mô và thiết kế: Gồm 6 tầng căn hộ, mỗi tầng 4-5 căn, rộng thoáng, tầng 1 để xe.* Tòa nhà được trang bị 1 thang máy tốc độ cao, bảo vệ trực 24/24, PCCC hiện đại.* Giá bán đã bao gồm chi phí làm sổ và nội thất căn hộ.* Nội thất: Tủ bếp trên dưới, bếp từ, hút mùi, thiết bị vệ sinh, bình nóng lạnh, đầu chờ internet, điều hòa.* Liên hệ chủ đầu tư Lộc  (tôi là chủ).* Xem nhà 24/24 - Có tư Vấn Zalo
",Căn hộ,Sổ đỏ, 31/10/2023,14/11/2023,Bán,1914300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2,Có,,,
