Title,Price,Area,Address,Gen_descrip,Loại hình,Tình trạng pháp lý,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Hướng nhà,Số phòng ngủ,Hướng ban công,Số tầng,Căn góc,Nội thất
"
Bán nhà đẹp lô góc phố Đức Giang, Ngô Gia Tự - ngõ ô tô, DT 68m2, MT 4,5m chỉ 3,96 tỷ
","
3,9 - 3,96
Tỷ ","
70
m2
","['Hà Nội', 'Quận Long Biên', 'Mua bán Nhà riêng tại Đường Thượng Thanh']","
Bán nhà đẹp lô góc phố Đức Giang, Ngô Gia Tự, Long Biên - ngõ ô tô, DT 68m², MT 4,5m chỉ 3,98 tỷ- Nhà nằm sát phố Đức Giang, Ngô Giá Tự, sát khu đô thị việt hưng, đường rộng 2 xe ô tô tránh, hiếm còn căn nào vị trí.Đẹp giá lại tốt như vậy.- Khu vực gần phố ngô gia tự, BV Đức Giang, chợ Việt Hưng nơi kinh doanh buôn bán.Sầm uất, xung quanh là trường học cấp 2 3 Lý Thường Kiệt, công viên, hồ sinh thái,Trung tâm thương mại BigC LB,- Hàng xóm Himlam, giao thông qua lại tấp nập, tiện ích khỏi bàn.+ Nhà dân tự xây tâm huyết, lô góc, kiên cố, chắc chắn, thoáng mát ở sướng. Đầy đủ công.Năng sử dụng: 3 Phòng ngủ lớn, 3 wc, phòng thờ, sân phơi rộng.+ Sổ đỏ đẹp chính chủ, pháp lý sạch. Sẵn sàng giao dịch.Bán nhà đẹp lô góc phố Đức Giang, Ngô Gia Tự, Long Biên - ngõ ô tô, DT 68m², MT 4,5m chỉ 3,98 tỷGiá 3,96 tỷ.
",Nhà riêng,Sổ đỏ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 29/10/2023,12/11/2023,Bán,2600191,,,,,,
"
Chính chủ cần bán 2 lô đất sạch No 3.6 và 4.0 giá gốc 50tr/m KDT Đại Kim Đinh Công 0903417***
","
50
Triệu ","
80
m2
",['Mua bán Đất nền dự án  Khu đô thị Đại Kim - Định Công'],"
Tôi chính chủ bán No 3.6 và no 4.0 dự án Đại Kim Định Công mở rộng - Hoàng Mai - dự án nội đô cuối cùng của Hà Nội đang đi vào sóng đường Vành Đai 2.5. - Giá bán no 3.6 giá bán bằng giá gốc 50 tr/m không chịu phí sang tên+ diện tích 87.8m MT 6.5m đường 8.5m cách 1 lô ra đường 17.5m+ Hướng DN - Giá bán no 4.0 giá bán bằng giá gốc 50tr/m+ diện tích 80m MT 5m giá bán 50tr/m đường 8m Tất cả đã đóng 50% gốchợp đồng hợp tác đầu tư Liên hệ: 0903 417 *** (Thu Giang).
",Đất nền dự án,Giấy chứng nhận quyền sở hữu,,,,,,,,,,,,,,, 29/10/2023,26/11/2023,Bán,2406591,Đông-Nam,,,,,
"
Bán nhà Khâm Thiên, 30m2, 5 tầng, gần ô tô, giá 4 tỷ 350
","
4,35
Tỷ ","
30
m2
","['Hà Nội', 'Quận Đống Đa', 'Mua bán Nhà riêng tại Phố Khâm Thiên']","
Vị trí trung tâm quận Đống Đa, ngõ thoáng xe ba gác phi, gần nhiều nhiều tuyến phố chính Khâm Thiên, Lê Duẩn, Tôn Đức Thắng, Nguyễn Lương Bằng, Xã Đàn, khu vực buôn bán sầm uất bất chấp mọi loại hình, dòng tiền ổn định, lãi vốn đột biến,gần nhiều trung tâm văn hóa, giải trí. Chủ xây tâm huyết tỉ mỉ từng chi tiết, đồ nội thất toàn hàng xịn. Sổ đỏ sẵn sàng giao dịch Chi tiết liên hệ Mr – Kiên – 0987209*** Chuyên thổ cư, còn hơn 200 nhà khu vực với nhiều mức giá,miễn phí dẫn khách xem nhà, tư vấn pháp lý
",Nhà riêng,Sổ đỏ,,,,,,,,,,,,,,, 29/10/2023,26/11/2023,Bán,2599817,,,,,,
"
Bán căn hộ 2PN Vinhomes Smart City, Nam Từ Liêm - Hà Nội giá 1.83 Tỷ
","
1,83
Tỷ ","
47
m2
",['Mua bán Căn hộ chung cư  Vinhomes Smart City'],"
Căn hộ 1PN+ Vinhomes Smart City có công năng như căn 2PN phù hợp với gia đình trẻThiết kế thông minh gồm 1 phòng khách, phòng ngủ chính, 1Vs và không gian +1 có thể làm thành ngủ cho trẻ hoặc không gian làm việc.Vinhomes Smart City là dự án có vị trí kết nối giao thông thuận tiện tại Nam Từ Liêm, Hà Nội; Có không gian xanh, sạch, đẹp, an ninh, đầy đủ tiện ích của đại đô thị Vinhomes.Nội thất đầy đủ.Pháp lý: sổ đỏ trao tay.Hỗ trợ vay vốn ngân hàng 70%.Liên hệ 0903.251.3***để xem nhà.
",Căn hộ,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 10/10/2023,07/11/2023,Bán,2565159,,,,,,
"
Bán căn hộ Northern Diamond, Long Biên 141 m2, full nội thất siêu đẹp, view Aeon Mall và sân golf.
","
5 - 5,5
Tỷ ","
141
m2
",['Mua bán Căn hộ chung cư  Northern Diamond'],"
Cần bán căn 4PN, 141 m² view Aeon Mall và sân Golf Long biên rất đẹp. Tầng đẹp tòa nhà Northern Diamond. Căn hộ đã có full nội thất cao cấp (Hafele, Bravat, Daikin... ) và có sổ lâu dài.Giá LH trực tiếp tôi không làm việc qua môi giới và trung gian.Vị trí trung tâm bên cạnh các dự án: Premier Berriver 390 Nguyễn Văn Cừ, One 18 Ngọc Lâm, HC Golden City 319 Bồ Đề, PHC Complex 158 Nguyễn Sơn, Tsg Lotus Sài Đồng, Le Grand Jardin Sài Đồng, Northern Diamond, Ecocity Việt Hưng, Ruby City Ct3, Vinhomes Riverside, Ecohome Phúc Lợi, No 15 Sài Đồng, Khai Sơn City, Hà Nội Homeland.
",Căn hộ,,,,,,,,,,,,,,,, 29/10/2023,12/11/2023,Bán,2599551,,,,,,
"
Bán căn hộ Khương Đình 1PN, 36m2, full đồ, có hầm để ô tô
","
830
Triệu ","
35
m2
","['Hà Nội', 'Quận Thanh Xuân', 'Mua bán Căn hộ chung cư tại Đường Khương Đình']","
Chính chủ, cắt lỗ bán căn hộ chung cư Khương Đình, full nội thất, có hầm để ô tô.- Vị trí ngay đường Khương Đình, trong khu tổ hợp chung cư cao cấp 460 Khương Đình, tiện ích xung quanh ngập tràn, siêu thị, trường học, phòng tập gem, bể bơi, ngay gần tòa nhà...- Gần các đường Vũ Tông Phan, Kim Giang, Hoàng Đạo Thành, Nguyễn Xiển,...* Diện tích 36m², gồm 1PN, 1PK, 1VS (full đồ).- Gía bán: 830tr.- Giá đã bao gồm chi phí ký sang tên, công chứng.
",Căn hộ,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 26/10/2023,23/11/2023,Bán,2594716,,,,,,
"
Bán nhà riêng Phố Đội Cấn, Quận Ba Đình - Hà Nội giá thỏa thuận
","
Thỏa thuận
","
41
m2
","['Hà Nội', 'Quận Ba Đình', 'Mua bán Nhà riêng tại Đường Đội Cấn']","
 Nhà đẹp mới xây, tiện ích xung quay rất thuận lợi, cách vài bước chân ra các tuyến phố lớn,- Thiết kế đẹp, tầng 1 lại có sân, phòng khách, bếp, Wc, tầng 2, 3, 4 mỗi tầng 2 phòng ngủ- Mở hậu- Sổ đỏ chính chủ- Giá thì quá là hấp dẫn 
",Nhà riêng,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,, 29/10/2023,26/11/2023,Bán,2599307,,,,,,
"
Bán nhà Tô Hiệu Hà Đông 45m2 5 tầng mặt tiền 6,5m phân lô, ô góc, gara Ô tô, kinh doanh gần phố
","
8
Tỷ ","
45
m2
","['Hà Nội', 'Quận Hà Đông', 'Mua bán Nhà riêng tại Đường Tô Hiệu']","
Bán nhà Tô Hiệu Hà Đông 45m2 5 tầng mặt tiền 6,5m phân lô, ô góc, gara Ô tô, kinh doanh gần phốCần bán nhà Tô Hiệu Hà Đông, xây mới sát Mặt phố Tô Hiệu - P. Nguyễn Trãi - Q. Hà Đông 45m² x 5 tầng, Ô góc siêu thoáng. Ngõ ô tô tránh đi lại thuận tiện. Ô tô vào nhà - Kinh doanh - làm văn phòng - cho thuê thuận tiện - Giá 8 tỷ - thương lượng linh động - gọi ngay 0906195***Nằm tại vị trí đẹp cách mặt phố Tô Hiệu 20m - gần chợ Hà Đông, biệt thự Huyndai, giáp phố Lê Lai thuộc khu phố buôn bán tấp nập, kinh doanh sầm uất các loại hình.. Kinh tế phát triển bậc nhất Hà Đông, Cách chợ Hà Đông 500m. Cách vườn hoa HĐ 700 M, Gần trường học các cấp từ mầm non tới THPT như Lê Lợi, Lê Quý Đôn, Lê Hồng Phong...Giao thông thuận tiện đi các tuyến phố Bà Triệu, Hà Trì, Lê Quý Đôn, Lê Lai. Lê Hồng Phong, Quang Trung. Cũng như thuận tiện vào trung tâm nội đô.Nhà xây dựng chắc chắn, set up đồ nội thất đầy đủ cực đẹp, thiết kế đẹp hiện đại gồm 5 phòng ngủ, sáng thoáng, rộng rãi, 4 phòng vệ sinh, khu bếp, khách và sân phơi đồ thuận tiện thiết kế hợp lí.Nhà thiết kế thoáng trước và sau, thoáng khí, nhiều ánh sáng. Ban công thiết kế đua tăng thêm diện tích, công năng sử dụng.Phù hợp mua giữ tiền, vừa ở, vừa kinh doanh hoặc cho thuê làm văn phòng vô cùng thuận tiện, tạo dòng tiền ổn định.Sổ đỏ chính chủ, sẵn sàng giao dịch.Giá: Thương lượng sâu, cho khách thiện chí, bao phí sang tên sổ đỏ).Liên hệ gặp Mr Tình : 09061956***xem nhà miễn phí, tư vấn thêm nhiều bất động sản như ý cùng khu vực tầm giá.
",Nhà riêng,Sổ đỏ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 29/10/2023,26/11/2023,Bán,2599124,,,,,,
"
Suất ngoại giao chung cư IA20 Ciputra 92m2 giá 16.8tr/m2 chênh 80tr
","
Thỏa thuận
","
92
m2
",['Mua bán Căn hộ chung cư  IA20 Ciputra'],"
Hiện tôi đang có mấy suất ngoại giao chung cư IA20 Ciputra nhà ở của thành phố Hà Nội dành cho cán bộ cấp cao. Dự án nằm trong quần thể KĐT Ciputra tiếp giáp với hai trục đường huyết mạch chính là Phạm Văn Đồng - Võ Chí Công. Chung cư IA20 Ciputra KĐT Nam Thăng Long được thừa hưởng toàn bộ tiện ích cao cấp đã tích hợp sẵn của KĐT Ciputra, là một phức hợp tòa nhà căn hộ cao cấp trong quần thể Ciputra. Dự án gồm có 02 tòa chung cư cao 29 tầng - 01 tòa cao 40 tầng và biệt thự - liền kề. Khu vực dân trí cao, an ninh đảm bảo 24/24, gần và tích hợp đầy đủ các tiện ích cao cấp, giao thông hết sức thuận tiện, không gian sống đẳng cấp và cảnh quan mang đến hơi thở trong lành.- Diện tích căn hộ: 92m2 - 95m2 - 98m2 - 100m2 - 107m2 - 110m2 - 112m2.- Giá gốc: 16.8tr/m2 – 18,5tr/m2 ( Chưa bao gồm thuế VAT)
- Vào tên Hợp đồng chính chủ. 
- Liên hệ trực tiếp: Mr. Thanh: - Email: lethanh.ocd@gmail.comI- Tiến độ thanh toán:  
- Đóng 30%, 70% hỗ trợ vay Bank lên 20 năm.II. Thông tin dự án:- Tên dự án: Cụm công trình nhà ở khu I. A20 khu đô thị Nam Thăng Long.- Vị trí: Lô đất I. A20 Khu Đô Thị Nam Thăng Long, Phường Đông Ngạc, Q. Bắc Từ Liêm, TP. Hà Nội (Ciputra - Hà Nội).- Chủ đầu tư: Công Ty CPĐT BĐS Đông Đô - Bộ Quốc Phòng.- Đơn vị thi công: Tập đoàn Vingroup & Tổng công ty đầu tư phát triển hạ tầng đô thị - UDIC.- Đơn vị thiết kế: Công Ty Cổ Phần Kiến Trúc Tây Hồ.- Quy mô khu đất rộng 30.091m2, trong đó:+ Khu cao tầng: 18.329m2, gồm 3 tòa chung cư cao tầng 29-40 tầng.+ Sân vườn: 7.214m2.+ Bãi đỗ xe ngoài trời: 1.020m2.+ Cây Xanh + Sân Chơi: 2.481m2.+ Khu thấp tầng: 5.356m2.+ Giao thông nội bộ: 3.825m2.- Mật độ xây dựng:+ Khu cao tầng: 54,5% đối với khối đế và 35,5% đối với phần thân.+ Khu thấp tầng: 77,6%.
",Căn hộ,Sổ hồng,,,,,,,,,,,,,,, 29/10/2023,26/11/2023,Bán,1424970,Tây-Bắc,3,Đông-Nam,18,Có,Có
"
Tam Trinh_Mai Động, Mặt Ngõ Thẳng Rộng, Thoáng Trước_Mặt Ngõ, Thoáng Sau_TimeCity, Ở Sướng
","
3,5
Tỷ ","
33
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Mua bán Nhà riêng tại Đường Tam Trinh']","
BÁN NHÀ ĐẦU PHỐ TAM TRINH, PHƯỜNG MAI ĐỘNG:DT 33m2 / MT 3.3m / 4 TẦNG -> GIÁ 3 TỶ 500 (THƯƠNG LƯỢNG)+ Nhà mình mặt ngõ thẳng, rộng và thoáng, đoạn đầu phố Tam Trinh, cách Cầu Mai Động 500m, phía sau nhà là KĐT TimeCity rất thoáng và đẹp, tiện ích xung quanh không thiếu gì.+ Thiết kế 4 tầng, khung cột bê tông kiên cố, thửa đất vuông vắn tỷ lệ đẹp (3.3m x 10m), cầu thang giữa với 4 phòng ngủ và 3 wc, đầy đủ nội thất, công năng thoải mái cho hộ gia đình đông người.+ Sổ đỏ đẹp như phân lô sẵn sàng giao dịch.Liên hệ ngay 036-587-22***để giao dịch chính chủ (miễn trung gian)
",Nhà riêng,Sổ đỏ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 28/10/2023,25/11/2023,Bán,2599074,,,,,,
