Title,Price,Area,Address,Gen_descrip,Loại hình,Số phòng ngủ,Tình trạng pháp lý,Hướng nhà,Số tầng,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách,Căn góc,Nội thất,Hướng ban công
"
Bán căn Shophouse kinh doanh tại chung cư Eurowindow River Park, diện tích 158m2 - 262m2
","
5,08 - 10,6
Tỷ ","
158 - 262
m2
",['Mua bán Nhà phố thương mại Shophouse  Khu đô thị Eurowindow River Park'],"
Cần bán một số suất ngoại giao khu Shophouse chân đế tại dự án Eurowindow River Park của chủ đầu tư Eurowindow HoulldingChiết khấu khủng 8% GTCH nếu không vay hoặc hỗ trợ VAY 70% với lãi suất 0% trong 18 thángDiện tích phong phú 158m2 - 220m2 - 262m2.Được thiết kế 3 tầng hoặc 4 tầng kinh doanh rất tốt. Vị Trí đẹp không tưởng .Phù hợp Kinh doanh , làm Văn Phòng ,nhà hàng , oto xe máy đậu trước Cửa Căn Hộ rộng thoải mái , bên cạnh đã có Ngân Hàng, phòng Khám Răng , nói chung là rất đẹp . Tiện ích trong nội khu đầy đủ  Có lối đi đằng sau , nếu cho thuê cũng sẽ không đi chung cùng lối với chủ nhà , còn kinh doanh thì cửa Sau đón cư Dân sống tại 5 toà chung cư , lên tới gần 10nghìn dân . Kinh doanh khỏi lo không có kháchVị trí nằm tại đế tòa Park 1, park 2 và tòa River Tower được nằm trong khu đô thị với nhiều tiện ích như sân vườn, bể bơi 4 mùa, đài phun nước, trường học liên cấp và các trường chuẩn, siêu thị....Vào tên trực tiếp hợp đồng với chủ đầu tư.
",Nhà phố thương mại Shophouse,4,Sổ đỏ,Đông-Nam,4, 27/10/2023,10/11/2023,Bán,1655982,,,,,,,,,,,,,,,,,
"
Nhà phố 245m2 - 7T. Thang máy độc quyền. Ô tô 9 chỗ đỗ trong nhà. 200m đến Phố Nhổn. LH: 0986732***
","
5,2
Tỷ ","
35
m2
","['Hà Nội', 'Huyện Hoài Đức', 'Mua bán Nhà mặt phố tại Đường Di Trạch']","
Nhà phố 245m2 - 7T. Thang máy độc quyền. Ô tô 9 chỗ đỗ trong nhà. 200m đến Phố Nhổn. LH: 0986732***- Diện tích: 35m.- Mặt tiền: 4,5m. Đất vuông vắn, rất đẹp.- Ô tô đỗ trong nhà- Đường trước nhà: 10m (đường phố) đối diện là trường cấp 1, 2 Di Trạch* Nhà thiết kế 7 Tầng- Tầng 1: chỗ để xe, thang máy, thang bộ- Tầng 2: phòng khách, phòng ăn, bếp, wc- Tầng 3, 4, 5, 6: mỗi tầng 1 phòng ngủ + 1 wc- Tầng 7: phòng thờ, sân phơi- Sổ đỏ chính chủ, không tranh chấp, có hồ sơ thiết kế rõ ràng.* Vị trí: Nhà nằm sát đường vành đai 3.5, đường 32, đường 70, đường Cầu Diễn, Hồ Tùng Mậu, rất thuận tiện giao thông đi lại, cách trung tâm Mỹ Đình 1km.- Nhà nằm gần khu đất đấu giá Phương Canh, Khu đô thị Di Trạch, Khu đô thị Vân Canh HUD, khu đô thị mới Wisteria, gần cụm công nghiệp vừa và nhỏ Nam Từ Liêm.- Xung quanh là các trường Đại học Công Nghiệp Hà Nội, Đại học Đông Á, Đại học Thành Đô. Nhà nằm gần các Trường mầm non và các Trường cấp 1, 2, 3 Phương Canh. Trường liên cấp quốc tế Penika.- Cách 1km sang đến các trường chuyên như Đoàn Thị Điểm, Việt Úc, Lômônôxốp.- Nhà nằm trong khu vực dân trí cao, an ninh tốt hàng xóm thân thiện. Khu vực đường nhựa sạch sẽ, nước máy Sông Đà.* Nội thất: Nhà xây khung bê tông cốt thép rất chắc chắn, thiết kế 7 tầng, có ban công thoáng mát, cầu thang ốp đá, tay vịn và cửa gỗ Lim. Thiết bị vệ sinh cao cấp Inax, dây điện Trần Phú.- Giá bán: 5,2 tỷ (bao phí sang tên và làm sổ).- Hỗ trợ vay ngân hàng 80% giá trị.Liên hệ: E Tường: 0986 732 6***hỗ trợ tư vấn và xem nhà 24/7.Xin cảm ơn!
",Nhà mặt phố,,Sổ đỏ,,, 27/10/2023,24/11/2023,Bán,2597271,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
"
Bán nhà ngõ 197 Hoàng Mai, cách ô tô 30m, 42mX4 tầng, 4,35 tỷ
","
4,35
Tỷ ","
42
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Mua bán Nhà riêng tại Đường Hoàng Mai']","
💥❤️🌹NHÀ ĐẸP HOÀNG MAI Ở NGAY SỔ VUÔNG NHƯ BÁNH TRƯNG TIỆN ÍCH NGẬP TRÀN, Ô TÔ CÁCH 30M😂🤪..🌟💥💥Mô tả:,+Vị trí sầm uất tiện ích đủ đầy bước chân ra cửa là chợ ba bước tới khu thể thao văn hoá.,++ Nhà ngõ197 cách ô tô 30m, rộng ba gác ầm ầm, thêm mấy bước chân ra tới hồ điều hoà yên tĩnh, đặc biệt nhà thoáng, Cách nhà 50m có hồ nước, sân chơi rộng của ngõ, cách nhà 200m có nhà văn hóa rộng khoảng 5000m2 đủ các trò chơi cho trẻ em và người lớn đánh cầu lông, bóng chuyền và gửi xe oto buổi tối. Ngoài ra gần nhà còn có 2 khu chung cư 151 Nguyễn Đức Cảnh đã hoàn thành có thể gửi xe oto thoải mái và chung cư Feliz Home sắp hoàn thiện nên rất nhiều chỗ đỗ xe oto và nhiều tiện ích. Trong bán kính 2km tới được các trường ĐH Bách Khoa, Xây dựng, KTQD , BV Bạch Mai, Thanh Nhàn, 108...,+ Nhà 42m x4 tầng xây dựng chắc chắn, chủ mới sửa lại như mới nội thất cực xịn sò phong thủy hữu tình đc chủ làm rất cẩn thận đẹp đẽ khách mua về chỉ việc xách vali vào ở chủ tặng lại toàn bộ nội thất.,+ + T1: phòng khách, bếp, wc,+ T2,3mỗi tầng 2 phòng,Wc,+ T4 phòng thờ, sân phơi khu giặt đủ cả.+ Giá: 4,35 tỷ+ Sổ đỏ chính chủ, cất két sẵn sàng giao dịchLH: 09816915***để xem nhà
",Nhà riêng,,Sổ đỏ,,, 27/10/2023,24/11/2023,Bán,2597258,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
"
Bán nhà Ngõ số 2 Hoàng Liệt, Hoàng Mai, HN Diện tích 43mX5 tầng
","
5,79
Tỷ ","
43
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Mua bán Nhà riêng tại Đường Hoàng Liệt']","
Ngõ số 2 Hoàng Liệt, Hoàng Mai, HN + Nhà xây mới, đang hoàn thiện,+ Thiết kế hiện đại, tầng 2 phòng đầy đủ công năng, chi tiết:Diện tích 43mX5 tầng- T1: Để xe, wc, bếp,- T2: (lửng) PK + wc,- T3, 4: 4PN + 2WC,- T5: Phòng thờ + sân phơi,+ Sổ đỏ phân lô vuông đẹp sẵn sàng giao dịchGiá: 5,79 tỷLH ngay: 09816915***để xem nhà
",Nhà riêng,,Sổ đỏ,,, 27/10/2023,24/11/2023,Bán,2597244,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
"
Bán nhà Trần Quốc Hoàn (Cầu Giấy)_DT 42m2_5 tầng_phân lô_ô tô tránh_1 nhà ra phố_ngõ thông.
","
9
Tỷ ","
42
m2
","['Hà Nội', 'Quận Cầu Giấy', 'Mua bán Nhà riêng tại Phường Nghĩa Tân']","
BÁN NHÀ TRẦN QUỐC HOÀN - DT 42M2 - 5 TẦNG - PHÂN LÔ - Ô TÔ TRÁNH - 1 NHÀ RA PHỐ - NGÕ THÔNG.- Đường trước nhà ô tô tránh.- Ngõ thông sang mặt phố Đặng Thuỳ Trâm.- Cách MP Đặng Thuỳ Trâm 5M.Thiết kế:Nhà dân xây 5 tầng, ban công từng tầng.- Tầng 1: Gara ô tô hoặc kinh doanh, vệ sinh.- Tầng 2: Phòng khách hoặc ngủ, bếp, vệ sinh.- Tầng 3,4: Tổng 2 ngủ rộng khép kín.- Tầng 5: Phòng thờ, sân phơi, sửa thành phòng ngủ được.Sổ đỏ chính chủ, giao dịch ngay.
",Nhà riêng,,Sổ đỏ,,, 27/10/2023,24/11/2023,Bán,2597200,,,,,,,,,,,,,,,,,
"
Bán TOÀ Dòng Tiền 55M2X6 Tầng-Thang Máy Quận Cầu Giấy - Hà Nội giá 9.60 Tỷ
","
9,6
Tỷ ","
55
m2
","['Hà Nội', 'Quận Cầu Giấy', 'Mua bán Nhà riêng tại Đường Cầu Giấy']","
HÀNG HIẾM-SIÊU HIẾM CẦU GIẤY-THIÊN ĐƯỜNG CHO THUÊ!!!! CHỈ 9.6 TỶ ! 10 PHÒNG KHÉP KÍN FULL ĐỒ-DOANH THU 50 TRIỆU/THÁNG! DÒNG TIỀN ĐỀU ĐẶN HÀNG THÁNG!!! +Vị trí có 102, thiên đường cho thuê không bao giờ trống phòng. + Tiện ích xung quanh bạt ngàn-không thiếu thứ gì. + TOÀ NHÀ CÓ THANG MÁY!!!! Thiết kế: Tầng 1: ĐỂ XE Tầng 2-6: Mỗi tầng 2 Phòng. SỔ ĐỎ CHÍNH CHỦ-PHÁP LÝ CHUẨN. GIÁ 9.6 TỶ ( CÓ THƯƠNG LƯỢNG)  Liên hệ XEM NHÀ MIỄN PHÍ Em Cường
",Nhà riêng,,Sổ đỏ,,, 27/10/2023,24/11/2023,Bán,2597150,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,
"
Hơn 4 Tỷ sở hữu đất sổ đỏ 83,7m2 Vĩnh Ngọc đường ô tô.Cạnh đường trục chính xe tránh,vị trí sầm uất
","
Thỏa thuận
","
83,7
m2
","['Hà Nội', 'Huyện Đông Anh', 'Mua bán Đất tại Đường Võ Nguyên Giáp']","
Chính chủ cần bán đất đẹp Vĩnh Ngọc ngay chân cầu Nhật Tân đường ô tô vào đất cạnh đường to trục chính. Giá đầu tư Địa chỉ : Ngọc Chi - Vĩnh Ngọc - Đông Anh- Hà Nội Diện tích : 83,7m2 Mặt tiền 4m Đường trước nhà 3,5m ngõ thông thoáng. Xe ô tô 7 chỗ vào đất Cách đường trục chính xe tránh nhau 15m, cạnh sân chơi Cách chợ Ngọc Chi 120m Vị Trí đắc địa cạnh cầu Nhật Tân Giao thông đi lại rất thuận tiện chỉ mất 5 phút sang đến trung tâm thành phố Khu vực sầm uất, tiện ích không thiếu gì Pháp lý chuẩn, minh bạch rõ ràng Sổ hồng sẵn có chỉ việc chuyển nhượngChi tiết liên hệ : 0868230***#datdonganh#datvinhngocdonganh#datdepgiatotdonganh#datnengiare#timdatdonganh
",Đất,,Sổ hồng,Bắc,, 24/10/2023,07/11/2023,Bán,2590825,,,,,,,,,,,,,,,,,
"
TÒA MỚI!! bán chung cư mini Phạm Văn Đồng - Xuân Đỉnh - Bắc Từ Liêm ( 32 - 55m2) full đồ, từ 600tr
","
610
Triệu ","
35 - 50
m2
","['Hà Nội', 'Quận Bắc Từ Liêm', 'Mua bán Căn hộ chung cư tại Đường Phạm Văn Đồng']","
TÒA MỚI!! bán chung cư mini Phạm Văn Đồng - Xuân Đỉnh - Bắc Từ Liêm ( 32 - 55m2) full đồ, từ 600tr Liên hệ chủ đầu tư - LỘC 096.164.39***để mua nhà giá rẻ Tòa nhà xây dựng mới hiện đại, đã hoàn thiện có thể xách đồ về ở ngay. - Giá bán: 600tr - 800tr - 900tr - 943tr - Hơn 1 tỷ2. - Diện tích: 45m² - 47m² - 49m² - 50m² - 65m². Tòa nhà thiết kế tầng 1 để xe, có đầy đủ hệ thống phòng cháy chữa cháy tự động, an ninh tòa nhà bảo vệ chuyên nghiệp. Liên hệ trực tiếp chủ đầu tư để mua nhà - Add Zalo để nhận video căn hộ.
",Căn hộ,,Sổ đỏ,,, 27/10/2023,10/11/2023,Bán,2195229,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
"
Bán gấp - chung cư mini X4home Xuân Đỉnh - Phạm Văn Đồng - hơn 500tr full đồ - ở ngay
","
580 - 1170
Triệu ","
30 - 55
m2
","['Hà Nội', 'Quận Bắc Từ Liêm', 'Mua bán Căn hộ chung cư tại Đường Hoàng Quốc Việt']","
CHÍNH CHỦ ĐẦU TƯ MỞ BÁN chung cư X4Home - Xuân Đỉnh - Tòa nhà chung cư tọa lạc tại vị trí đắc địa nhất khu Xuân Đỉnh - Ngõ to rộng, 2 ô tô tránh nhau thoải mái. - Ngay cạnh chợ đầu mối Xuân Đỉnh, trường học cấp 1,2,3 Xuân Đỉnh. - Từ tòa nhà có thể đi bộ ra công viên Hòa Bình tập thể dục. - Khu vực nhiều cây xanh thoáng, sáng. 2/ Diện tích đa dạng: 32m2 - 34- 45- 50- 55m2 - Thiết kế: 1 - 2 ngủ, 1 wc, 1 ban công phơi đồ. - Giá bán: 520tr - 680tr - 750tr - 950tr - HƠN 1 tỷ1 - 1 tỷ 2 . ( giá bao gồm phí làm sổ và VAT ) 3/ Nội thất đầy đủ: Tủ bếp, tủ âm tường, giường tủ, sofa, kệ tivi, máy hút mùi, bình nóng lạnh, bếp âm, sàn lát gạch, thiết bị wc đầy đủ, các đầu chờ: Internet, wifi có sẵn. 4/ Pháp lý: Đầy đủ giấy tờ - Sổ đỏ chính chủ Mua bán công chứng nhà nước Căn hộ mới 100% đã hoàn thiện. #Liên hệ Chủ Đầu Tư - Lộc : để được tư vấn nhanh hơn gọi trực tiếp!!!!#chudautu #chungcuminixuandinh #X4home
",Căn hộ,2,Sổ đỏ,,, 27/10/2023,10/11/2023,Bán,1880391,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Có,,
"
"" Mùa Dịch giảm SÂU"" Chung cư Ba Đình - Khu 7,2HA Vĩnh Phúc - nhận nhà vào ở luôn từ 550tr
","
550 - 1050
Triệu ","
31 - 56
m2
","['Hà Nội', 'Quận Ba Đình', 'Mua bán Căn hộ chung cư tại Đường Hoàng Hoa Thám']","
Chủ đầu tư tòa nhà mở bán trực tiếp căn hộ chung cư khu 7,2 HA Phố VĨNH PHÚC  - Hoàng Hoa Thám - Ba Đình. Căn hộ gần nhiều trường học - siêu thị - chợ - đầy đủ tiện nghi - nội thất cơ bản đầy đủ. - Xách vali về ở luôn được.  -- Giá bán: 600tr - 750tr - 950tr hơn 1 tỷ. -- Diện tích: 35m2 - 48m2 - 49m2 - 50m2 - 52m2.  +!! Nội thất: Sàn gỗ, tủ bếp, trần thạch cao, thiết bị vệ sinh, bình nóng lạnh, đèn Led. Tòa nhà thiết kế tầng 1 để xe, tầng trên cùng là tầng tum sân phơi chung còn lại là các tầng căn hộ, có đầy đủ hệ thống phòng cháy chữa cháy tự động, an ninh tòa nhà bảo vệ chuyên nghiệp. Liên hệ trực tiếp chủ đầu tư SĐT + ZALO trong bài viết  để được tư ấn 24/24h và xem nhà.
",Căn hộ,2,Sổ đỏ,,, 27/10/2023,10/11/2023,Bán,1662767,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Có,Có,
