Title,Price,Area,Address,Gen_descrip,Loại hình,Tình trạng pháp lý,Hướng nhà,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Đường vào,Mặt tiền
"
Chính chủ - Bán chung cư A1 Phạm Văn Đồng - Công Viên Hòa Bình - Bắc Từ Liêm - Nội thất đầy đủ
","
700
Triệu ","
52
m2
","['Hà Nội', 'Quận Bắc Từ Liêm', 'Mua bán Căn hộ chung cư tại Đường Phạm Văn Đồng']","
Chính chủ - bán chung cư A1 Phạm Văn Đồng - Công Viên Hòa Bình - Bắc Từ Liêm.Liên hệ Trường chủ đầu tư để mua giá gốc 0971 846 *** (Lưu ý miễn môi giới trung gian).Tòa nhà nằm trung tâm quận, đi lại thuận tiện giữa các quận, gần công viên, gần chợ, siêu thị, trường học cấp 1 cấp 2 cấp 3.Giá bán: 603tr - 700tr - 833tr - 900tr - 950tr - hơn 1 tỷ.Diện tích: 30m - 35m - 51m - 54m - 56m - 58m - 60mTòa nhà thiết kế tầng 1 để xe, có đầy đủ hệ thống phòng cháy chữa cháy tự động, an ninh tòa nhà bảo vệ chuyên nghiệp.Sổ hồng sở hữu vĩnh viễn.Liên hệ trực tiếp Trường chủ đầu tư xây dựng để mua nhà giá gốc 0971 846 ***.Add zalo để nhận video căn hộ. (Lưu ý miễn môi giới trung gian).
",Căn hộ,Sổ hồng,Tây,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 26/10/2023,23/11/2023,Bán,2595637,,
"
Bán gấp - Chung cư H2 Xuân Thủy - Trần Thái Tông - Cầu Giấy - Hà Nội - Nội thất đầy đủ
","
700
Triệu ","
52
m2
","['Hà Nội', 'Quận Cầu Giấy', 'Mua bán Căn hộ chung cư tại Đường Trần Thái Tông']","
Mở bán chung cư H2 Xuân Thủy - Trần Thái Tông - Cầu Giấy - Hà Nội.Liên hệ Trường chủ đầu tư để mua giá gốc 0971 846 *** (Lưu ý miễn môi giới trung gian).Khách hàng mua căn hộ ký hợp đồng trực tiếp với chủ đầu tư, nhận nhà về ở ngay, thiết kế hiện đại sáng thoáng đẹp.Giá bán: 605tr - 665tr - 750tr - 859 triệu - 884tr - 900tr - 1 tỷ.Diện tích: 30m - 35m -  50m - 52m - 55m - 58m - 60m - 68m - 71m².Khách hàng không mất thêm bất kỳ chi phí nào khác. Pháp lý đầy đủ và đảm bảo theo quy định của pháp luật.Liên hệ trực tiếp Trường chủ đầu tư xây dựng để mua nhà giá gốc 0971 846 ***.Add zalo để nhận video căn hộ. (Lưu ý miễn môi giới trung gian).
",Căn hộ,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 26/10/2023,23/11/2023,Bán,2595608,,
"
Nhà mặt phố Xã Đàn, 2 thoáng kinh doanh tốt, con đường tơ lụa quận Đống Đa. DT 75m2, 7 tầng, MT 5m
","
40,8
Tỷ ","
75
m2
","['Hà Nội', 'Quận Đống Đa', 'Mua bán Nhà mặt phố tại Phố Xã Đàn']","
Tòa nhà mặt phố Xã Đàn, 2 thoáng trước sau, kinh doanh đa dạng.Diện tích 75m², xây 7 tầng, mặt tiền 5m, vỉa hè 7mSổ vuông vắn,không lỗi phong thủy.Giá 40.8 tỷ, tin thật 100%Liên hệ trao đổi 09656606***c An   
",Nhà mặt phố,Sổ đỏ,,,,,,,,,,,,,,,, 26/10/2023,09/11/2023,Bán,2595614,,
"
Bán nhà Kiến Hưng- Đìa Lão, nhà mới xây chỉ việc ở giá nhỉnh 6 tỷ đường 15m kinh doanh
","
Thỏa thuận
","
50
m2
","['Hà Nội', 'Quận Hà Đông', 'Mua bán Nhà riêng tại Đường Văn Khê']","
Cần bán nhà khu Đìa Lão - Hoàng Công - Phúc la- Kiến Hưng, gần chung cư Kiến Hưng- Hà Đông, dân cư đông đúc sầm uất, vừa ở vừa kinh doanh, ô tô đậu vỉa hè rộng - Nhà 50m sổ đỏ sẵn sàng sang tên - giá 6,8 tỷ có thương lượng - Nhà view công viên - Xây mới 4 tầng vào ở ngay - Liên hệ xem nhà trực tiếp gọi 24/7: em Liễu 0399770***
",Nhà riêng,,,,,,,,,,,,,,,,, 17/10/2023,14/11/2023,Bán,2577834,,
"
tôi có căn hộ cc khâm thiên bán 52m mới nhận nhà nay chuyển công tác bán lại
","
129
Triệu ","
52
m2
","['Hà Nội', 'Mua bán Căn hộ chung cư tại Quận Đống Đa']","
tôi có căn hộ hộ ccmn bán , nhà mới nhận bàn giao mới  nhận bàn giao chưa ở ngay nào diện tích 52m tầng cao thoáng tháng máy siêu tốc thang bộcăn hộ có 2 pn/1pk /1 bếpcăn hộ có sàn gỗ, tủ bếp, bếp từ hút ùi nóng lạnh thiết bị vệ sinh.... 2 điều hòa giá bán 1,290 tỷ căn hộ như hình miễn trung gian môi giới
",Căn hộ,,,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0, 26/10/2023,23/11/2023,Bán,2595543,,
"
Sẵn nhà 4 tầng chỉ việc xách vali đến ở, tại trung tâm huyện Đan phượng, 75m2 giá 3,2tỷ
","
3,2
Tỷ ","
75
m2
","['Hà Nội', 'Huyện Đan Phượng', 'Mua bán Nhà riêng tại Đường Đại Phùng 2']","
Sẵn nhà 4 tầng chỉ việc xách vali đến ở, tại trung tâm huyện Đan phượng, 75m2 giá 3,2tỷDiện tích 75m2 Mặt tiền 4,91m nở hậuDân cư đông, thân thiện, văn minh, an ninh tốtCách ubnn xã 100mCách chợ, siêu thị 200mCách trường c1, c2, c3 bán kính 400mCách bệnh viện huyện 500mGiá 3,2 tỷLiên hệ sđt/zalo: 03636362***để xem nhà và cọc
",Nhà riêng,Sổ hồng,Tây-Bắc,,,,,,,,,,,,,,, 26/10/2023,23/11/2023,Bán,2595531,,
"
2,9 tỷ Bán nhanh căn hộ siêu đẹp Full nội thất, sẵn sổ Toà S1 Vinhomes Smart City. Liên hệ: 098
","
2,9
Tỷ ","
63
m2
",['Mua bán Căn hộ chung cư  Vinhomes Smart City'],"
Chính chủ bán căn hộ 2PN+ nội thất siêu đẹp tại Vinhomes Smart City - Nam Từ Liêm - Hà NộiThông tin căn hộ: - Toà: S1- Diện tích: 63m2, thiết kế 2PN+- Ban Công: Đông Nam- View nội khu, bể bơi - Full nội thất như hình (ko gồm đồ điện tử)- Đã có sổ đỏ, ko vay, sẵn sàng giao dịch - Giá bán: 2,9 tỷ bao phí ----------------------- Liên hệ Zalo 098.782.59***để xem nhà
",Căn hộ,,,,,,,,,,,,,,,,, 26/10/2023,23/11/2023,Bán,2595483,,
"
Bán căn shophouse vửa ở vừa kinh doanh giá rẻ nhất trục sao biển dự án vinhomes ocean park.
","
Thỏa thuận
","
70
m2
","['liền kề  Vinhomes Ocean Park', 'Mua bán Nhà biệt thự']","
Do chỉ có nhu cầu kinh doanh mặt trước nên cần bán lại mặt sau căn shophouse 4,5 tầng vừa ở vừa kinh doanh nằm trên trục sao biển 1 là dãy shophouse liền kề để ở đẹp nhất dự án vinhomes ocean park.Vị trí đối diện công viên vườn hoa trung tâm của phân khu sao biển và rất gần các tiện ích lớn của dự án như biển hồ nước mặn 6,1ha,hồ điều hòa 24,5 ha với bãi cát trắng trải dài…Diện tích 70m2Xây dựng.60m2/sàn(4,5 tầng)Mặt tiền.5mHướng nhà đông namSổ đỏ chính chủKhách hàng quan tâm lh,09482598***để được xem nhà và tư vấn mọi thủ tục sang tên
","Nhà biệt thự, liền kề",,Đông-Nam,,,,,,,,,,,,,,, 26/10/2023,23/11/2023,Bán,2205337,,
"
Bán căn liền kề đông nam đối diện công viên vườn hoa để ở đẹp nhất dự án Vinhomes Ocean Park
","
Thỏa thuận
","
70
m2
","['liền kề  Vinhomes Ocean Park', 'Mua bán Nhà biệt thự']","
Do chỉ sử dụng đến 1 căn mặt trước,nên chủ nhà gửi bán lại 1 căn mặt sau trục sao biển 1 hướng  đông nam.Vị trí đối diện công viên và sân chơi và gần với trục đường chính của phân khu sao biển đi ra biển hồ nước mặn,hồ điều hòa với bãi cát trắng trải dài và TTTM vincom chỉ vài bước chân rất phù hợp cho các gia đình sở hữu được 1 căn liền kề trong 1 đại dự án thông minh đầy đủ các tiện ích mà hiện tại ở  hà nội hay các vùng ven các tỉnh thành chưa thể có.Diện tích.70m2,xây dựng.60m2/sànMặt tiền.5m,với tổng diện tích xây dựng.235,5m2(4,5 tầng)Hướng nhà đông nam.Sổ đỏ cầm tay
","Nhà biệt thự, liền kề",Sổ đỏ,Đông-Nam,,,,,,,,,,,,,,, 26/10/2023,23/11/2023,Bán,2029146,13m,5m
"
2,9 tỷ Bán căn hộ 2PN+ đã có sổ đỏ. Toà S4 Vinhomes Smart City. Liên hệ: 0987825***
","
2,9
Tỷ ","
63
m2
",['Mua bán Căn hộ chung cư  Vinhomes Smart City'],"
Chính chủ bán căn hộ 2PN+ phòng khách rộng hoặc có thể cải tạo thành 3PN tại Vinhomes Smart City - Nam Từ Liêm - Hà NộiThông tin căn hộ: - Toà: S4- Diện tích: 63m2, thiết kế 1PN+- Ban Công: Đông Bắc- View nội khu- Nội thất đơn giản, có thể Setup lại từ đầu - Đã có sổ đỏ, ko vay, sẵn sàng giao dịch - Giá bán: 2,9 tỷ bao phí ----------------------- Liên hệ Zalo 098.782.59***để xem nhà
",Căn hộ,,,,,,,,,,,,,,,,, 26/10/2023,23/11/2023,Bán,2595414,,
