Title,Price,Area,Address,Gen_descrip,Loại hình,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Tình trạng pháp lý,Số phòng ngủ,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách,Hướng nhà,Hướng ban công,Số tầng,Căn góc,Nội thất
"
Bán penthouse duplex 167m2 cách công viên Ngọc Thụy chỉ 300m giá nhỉnh 8 tỷ
","
8,5
Tỷ ","
167
m2
",['Mua bán Căn hộ chung cư  Khai Sơn Town'],"
Căn penthouse độc đáo thiết kế dạng duplex thông tầng 20-21 chung cư Khai Sơn Long Biên, ban công Tây bắc nhìn ra cầu Đông Trù và sông Đuống cực thoángVị trí đẹp ngay gần công viên hồ Ngọc Thụy rộng 7ha mới khai trương 10/10/2023, cách phố cổ chỉ 5-7’ di chuyển, giao thông thuận tiện với tuyến đường Khai Sơn rộng 40m ngay trước mặtGiá bán: 8.5 tỷLiên hệ xem nhà: 0911.772.*** (em Ngọc)
",Căn hộ, 18/11/2023,16/12/2023,Bán,2635576,,,,,,,,,,,,,,,,,,,,,
"
Chung cư Riverview Tây Hồ - Nội thất đẹp – View Sông Hồng. 72m2. Giá 3,1 tỷ
","
3,1
Tỷ ","
72
m2
","['Hà Nội', 'Quận Tây Hồ', 'Mua bán Căn hộ chung cư tại Đường An Dương Vương']","
 - Căn Hộ thuộc chung cư Rieverview Tây Hồ. Diện tích 72m2 gồm 2 PN & 2 WC.- View nhìn ra Sông Hồng và Cầu Nhật Tân. - Có 2 logia nên rất thoáng mát và nhiều ánh sáng  ngập tràn các phòng.- Tiện ích vô vàn thừa hưởng dịch vụ khu đô thị Ciputra, trường mầm non , cấp 1+2 Phú Thượng, siêu thị, Gần TTTM LOTTE Lạc Long Quân,- Di chuyển nên cầu Thăng Long hta vàng đai 3 cầu nhật tân – Võ Chí Công mất 3p. Lên phố cổ, Hồ Gươm hay sân bay nội bài 15p - Giá trên chủ đã bao gồm cả phí sang tên chuyển nhượng cho khách. ** Liên Hệ E. Trang 09685223***để được xem và gặp trực tiếp chủ nhà đàm phán giá cả.  
",Căn hộ, 18/11/2023,16/12/2023,Bán,2637360,Giấy chứng nhận quyền sở hữu,,,,,,,,,,,,,,,,,,,,
"
Trung tâm quận hoàng mai – ngõ rộng thông – ô tô đỗ gần – ở ngay
","
4,2
Tỷ ","
46
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Mua bán Nhà riêng tại Đường Hoàng Mai']","
🌹🌹🌹 TRUNG TÂM QUẬN HOÀNG MAI – NGÕ RỘNG THÔNG – Ô TÔ ĐỖ GẦN – Ở NGAYĐường Hoàng Mai – Quận Hoàng MaiDiện tích 46m2 – 4,2 tỷ (có thương lượng)- Nhà thiết kế 4 tầng – 3 phòng ngủ - phòng thờ sân phơi- Ngõ rộng và thông – di chuyển thuận tiện – gần chợ gần trường- Sổ đẹp cất két sẵn giao dịchLiên hệ Tuấn Anh: /(call/sms/zalo/fb)
",Nhà riêng, 18/11/2023,16/12/2023,Bán,2637269,Sổ đỏ,3,,,,,,,,,,,,,,,,,,,
"
Bán chung cư cao cấp Làng Việt Kiều Châu Âu 170m2, 4PN, View hồ CHỈ 4.8 TỶ. LH 0869 792 ***
","
4,8
Tỷ ","
170
m2
","['Hà Nội', 'Quận Hà Đông', 'Mua bán Căn hộ chung cư tại Đường Nguyễn Văn Lộc']","
- Anh Luân chuyển nhà xuống Biệt thự cần bán lại căn chung cư cao cấp TSQ, gia đình có em bé nên muốn bán nhanh ổn định chỗ ở mới, rất thiện chí cho các bác, anh chị thích ở rộng rãi, tầng trung+ Chung cư Làng Việt Kiều Châu Âu tọa lạc trên phố Nguyễn Văn Lộc, Mỗ Lao, khu phố đắt đỏ sầm uất nhất quận Hà Đông. Tiện ích thực sự không thiếu thứ gì: Ngân hàng, chợ, siêu thị, nhà hàng, trường học,... + Giao thông kết nối thuận lợi: Tố Hữu, Vũ Trọng Khánh, Trần Phú,... Di chuyển vào trung tâm rất tiện và nhanh chóng. + Chung cư TQS EuroLand là tòa chung cư còn rất mới, diện tích 170m2 rất rộng đặc biệt có tới 3 ban công cực thoáng mát, phòng nào cũng mở cửa sổ. + Thiết kế đủ công năng 4 phòng ngủ, 3 vệ sinh, phòng khách, khu bếp, khu ăn, khu thờ, và 1 kho + Dưới chân toà nhà là trường liên cấp Quốc tế rất thuận tiện cho việc đưa đón học sinh đi học+ Sổ đỏ chính chủ. Sẵn sàng giao dịch.LH xem nhà: 0869 792 ***
",Căn hộ, 11/11/2023,09/12/2023,Bán,2538133,,,,,,,,,,,,,,,,,,,,,
"
Siêu Đẹp Cầu Giấy, Ô Tô Đỗ Gần, Tặng Full Nội Thất, Gần Phố, Ngõ Thông, Giá 5.9 Tỷ
","
5,9
Tỷ ","
33
m2
","['Hà Nội', 'Quận Cầu Giấy', 'Bán Nhà riêng tại Đường Trần Thái Tông']","
Diện tích 33/36T2, mặt tiền 3.5m, xây dựng 5 tầng Gia chủ tâm huyết làm nội thất xịn sò tặng lại cho người mua. Khách chỉ việc về ở. Ngõ rộng thoáng oto đỗ gần, ngõ thông Xuân Thủy, Dịch Vọng Hậu, Gần Đại Học Sư Phạm,…+ Vị trí cực đẹp, xung quanh rất nhiều tiện ích trường chợ.+ T1 khách bếp và wc+ T2.3.4 mỗi tầng 1 ngủ rộng và wc+ T5 phòng thờ sân phơi Sổ đỏ chính chủ sẵn sàng giao dịch. Sổ vuông đẹp Quý khách cần tìm nhà Cầu Giấy liên hệ Thành Trung để được hỗ trợ miễn phí.
",Nhà riêng, 18/11/2023,16/12/2023,Bán,2637236,Sổ đỏ,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
"
[ Cần Bán Gấp] Penthouse/Duplex 190m2 Roman Plaza Hà Đông - Sổ đỏ chính chủ Hotline: 0987106***
","
11
Tỷ ","
190
m2
",['Mua bán Căn hộ chung cư  Roman Plaza'],"
Chính chủ cần bán căn Penhouse/Duplex  Roman Plaza Tố Hữu. Nơi hưởng thụ cuộc sống thượng lưu – Phiên bản giới hạn toà nhà------------------------------------------Diện tích: 190 m² thông tầng (21- 22)+ Tầng 1: (01 ngủ, 01WC chung, bếp, sảnh, khu vực phòng ăn và khu vực phòng khách). Sân Vườn ban Công dài suốt chiều ngang căn hộ.+ Tầng 2: 01 ngủ master, 01 ngủ thường đều khép kín, phòng đọc sách và phòng thờ). 2 phòng ngủ đều có ban công riêng view về phố liền kề shophouse galaxy, tố hữu - Vạn Phúc (view thoáng vv). Căn góc. Cửa chính Đông Bắc.- Ban công Tây Nam.- Nội ngoại thất đầy đủ mới đẹp.- Tiện ích thông minh xịn xò.- View đẹp, căng tầm mắt. Tiện ích nội ngoại khu đầy đủ và đẳng cấp.- Phí dv 8k (1,5tr/ tháng).- Tặng lại 3 slot để xe ô tô.- Sổ đỏ khoá trong 3 lớp két sắt trong nhà. ( Giao dịch được ngay)Giá bán: 11 tỷ Hotline: 0987 106 ***
",Căn hộ, 18/11/2023,02/12/2023,Bán,2316897,Sổ hồng,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Tây-Nam,,,,
"
Mở bán mới tòa SA1 Vinhomes Smart City - giá từ 2.40 Tỷ
","
2,4
Tỷ ","
43
m2
",['Mua bán Căn hộ chung cư  Vinhomes Smart City'],"
𝐌𝐨̛̉ 𝐛𝐚́𝐧 𝐒𝐀𝟏, 𝐭𝐨̀𝐚 𝐜𝐮𝐨̂́𝐢 𝐠𝐢𝐚́ 𝐭𝐨̂́𝐭 𝐧𝐡𝐚̂́𝐭 𝐕𝐢𝐧𝐡𝐨𝐦𝐞𝐬 𝐒𝐦𝐚𝐫𝐭 𝐂𝐢𝐭𝐲:Bàn giao nhận nhà 2025.Toà 38 tầng, sàn 19 căn, 6 thang máy.Toà 38 tầng, sàn 19 căn, 6 thang máy.Vào tiền ít, tiến độ giãn.Hỗ trợ vay 70% GTCHLoại hình căn hộ:-  Căn Studio ( DT: Từ 26- 34m2 ) - Căn 1PN+1 ( DT: 43m2 )- Căn 2PN quốc dân ( DT: 54,4m2 )- Căn 2PN quốc dân ( DT: 54,4m2 )- Căn 3PN ( DT: 75- 82,7m2)Cơ hội mua nhà giá tốt nhất từ móngChỉ 15% ký HĐMB Tiến độ đóng giãn nhất Thiết kế siêu đẹp và tối ưu nhất dự ánDự kiến ra hàng 28/11/2023Hotline: 0986436***
",Căn hộ, 16/11/2023,14/12/2023,Bán,2633025,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,
"
Hiếm – 3 tỷ có nhà tt hoàng mai – diện tích rộng - gần phố - full nôi thất
","
3
Tỷ ","
35
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Mua bán Nhà riêng tại Đường Hoàng Mai']","
💥💥💥 HIẾM – 3 TỶ CÓ NHÀ TT HOÀNG MAI –DIỆN TÍCH RỘNG - GẦN PHỐ - FULL NỘI THẤT
 Đường Hoàng Mai – Hoàng Mai (Hoàng Văn Thụ) – Diện tích 37m2 – 3,1 tỷ (có thương lượng)
 - Ngõ rộng – Gần mặt phố - full nội thất ở ngay 
- Nhà thiết kế 4 tầng - 3 phòng ngủ rộng
 Sổ vuông đẹp giao dịch ngay
 Liên hệ Tuấn Anh:  / 0388599*** (call/sms/zalo/fb)
",Nhà riêng, 18/11/2023,16/12/2023,Bán,2637140,Sổ đỏ,3,,,,,,,,,,,,,,,,,,,
"
Bán gấp căn 2PN - 2VS tại Chung cư cao cấp The Matrix One - Tầng thoáng đẹp Giá chỉ 5.2 Tỷ
","
5,2
Tỷ ","
88
m2
",['Mua bán Căn hộ chung cư  The Matrix One'],"
Gia đình có căn 2PN - 2VS tại chung cư cao cấp The Matrix one cần bán gấp- Căn hộ thiết kế 2PN - 2VS- Diện tích 88m2- Thoáng view cực đẹp như hìnhGiá chỉ 5,2 tỷ rẻ nhất thị trườngLiên hệ ngay: 0961.766.***
",Căn hộ, 18/11/2023,16/12/2023,Bán,2073354,,,,,,,,,,,,,,,,,,,,,
"
lãi suất ngân hàng tăng nên cần bán căn hộ 47m2 1pN+1 ,Vinhomes Ocean Park . Giá 1.4 tỷ
","
1,25
Tỷ ","
46 - 49
m2
",['Mua bán Căn hộ chung cư  Vinhomes Ocean Park'],"
Do lãi suất ngân hàng tăng cao nên gia đình cần bán lại căn 47m2 1pn+1 , ở tòa S211 Vinhomes Ocean park_ Thiết kế 1pn+1 , 1 vệ sinh , 1 logia .._ Hướng cửa Tây Bắc , ban công Đông nam , thoáng mát , view nội khu _ Nội thất hoàn thiện cao cấp của chủ đầu tư ._ Giá bán thiện chí : 1.25 tỷ ( giá gốc 1.4 tỷ )Anh chị quan tâm vui lòng liên hệ để xem và mua : A.Dũng 0904.607.*** 
",Căn hộ, 18/11/2023,02/12/2023,Bán,2153570,Sổ hồng,,,,,,,,,,,,,,,,Đông-Nam,,,,
