Title,Price,Area,Address,Gen_descrip,Loại hình,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Tình trạng pháp lý,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bàn ghế P.khách,Hướng nhà,Số phòng ngủ,Số tầng
"
Căn 2pn 2vs 59m Masteri Vinhomes smart city view Biển hồ công viên trung tâm,tầng trung căn mới cđt
","
3,46
Tỷ ","
59
m2
",['Mua bán Căn hộ chung cư  Vinhomes Smart City'],"
🎉 CĂN HỘ 3 NHẤT: ĐẸP NHẤT - MÁT NHẤT VÀ RẺ NHẤT THỊ TRƯỜNG!👉 Căn hộ U39.1.3011 rẻ nhất dòng căn 2PN diện tích 54m2 thông thủy 59m tim tường view hồ!-  Hướng Đông Bắc mát mẻ, tầm view thoáng mát-  View công viên trung tâm- Giá niêm yết:  3.981 tỷ- Giá vay: 3.889 tỷ, chỉ cần chuẩn bị vốn 20% ~ 764 triệu. Được hỗ trợ vay 80%- Giá TTTĐ: 3.656 tỷ- Giá TTS: 3,462 tỷ, chiết khấu hơn 500 triệu @All
",Căn hộ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 24/10/2023,21/11/2023,Bán,2591573,,,,,,,,,,
"
Masteri-Vinhomes smart city căn 1+1 giá 2,6 tỷ ký mới cđt tầng trung view công viên bể bơi
","
2,6
Tỷ ","
42
m2
",['Mua bán Căn hộ chung cư  Vinhomes Smart City'],"
💥 💥  CĂN ĐẸP GIÁ TỐT CỰC HIẾM TẠI MASTERI WEST HEIGHTS 💥 💥Chỉ còn 1 ngày áp dụng mức giá cũ rẻ hơn 2-3%!💎 Căn hộ U39.1.2324 vip từ mã căn số tiến tới tầm view trực diện bể bơi đẳng cấp, vốn ban đầu chỉ 576 triệu!👉 Nhẹ gánh tài chính khi NH hỗ trợ vay 70% và không lo trả nợ lãi gốc lên tới 15 tháng👉 DT thông thủy: 42m2🌴 🌴 🌴  Hướng TN: view bao trọn nội khu, trực diện bể bơi cực chill, mỗi sáng thức dậy như ở resort cao cấp.- GIÁ NIÊM YẾT: 2.999 tỷ- GIÁ VAY: 2.930 tỷ- GIÁ TTTĐ: 2.754 tỷ- GIÁ TTS: 2.607 tỷ☎ CHỚP NGAY CƠ HỘI SỞ HỮU CĂN HỘ VVIP GIÁ TỐT, LIÊN HỆ: 0988148***
",Căn hộ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 24/10/2023,21/11/2023,Bán,2591564,,,,,,,,,,
"
Masteri-Vinhomes smart city,căn 3pn View Biển hồ công viên ký mới cđt Masteri Homes
","
5,98
Tỷ ","
80,1
m2
",['Mua bán Căn hộ chung cư  Vinhomes Smart City'],"
🔥 Quỹ Căn Cuối Cùng Giá Tốt Tòa B! Chỉ còn chưa đầy 1 ngày nữa để sở hữu căn hộ U39.1.2315A theo chính sách ưu việt! 👉 Chiết khấu lớn - 900 triệu/ căn 3PN. 👉 Chỉ cần vốn 20%, được hỗ trợ vay 80% 👉 View hồ công viên trung tâm thoáng mát 👉 Bàn Giao FULL Nội Thất nổi tiếng thế giới Căn hộ U39.1.2315A 3PN - Diện tích 80m2 - Giá niêm yết: 6,884 tỷ - Giá TTS: 5,985 tỷ - Giá TTTĐ: 6,322 tỷ - Giá vay: 6,726 tỷ 
",Căn hộ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 24/10/2023,21/11/2023,Bán,2591558,,,,,,,,,,
"
Điểm Chạm Hoàn Mỹ_Nhà Mới Kính Koong_Hiện Đại Mà Tinh Tế_Nội Thất 5*_1 Nhà Ra Phố
","
6,95
Tỷ ","
47
m2
","['Hà Nội', 'Quận Hai Bà Trưng', 'Mua bán Nhà riêng tại Phố Tương Mai']","
BÁN NHÀ PHỐ TƯƠNG MAI_HAI BÀ TRƯNG: 47m2 / 4 TẦNG / MT 4m -> GIÁ CHÀO 6 TỶ 95 (THƯƠNG LƯỢNG)+ Vị trí rất đẹp, cách đúng 1 nhà ra mặt phố Tương Mai, ô tô 4 chỗ đỗ cửa, phù hợp vừa ở vừa kinh doanh hoặc mở văn phòng.+ Thửa đất đẹp như phân lô với tỷ lệ vàng (4m x 12m), thiêt kế trẻ trung hiện đại mà tinh tế, nội thất đẹp như khách sạn 5*, với 4 phòng ngủ rộng thoáng, đáp ứng hoàn hảo cho một đại gia đình.+ Sổ đỏ sẵn sàng giao dịch. LH 0365872***
",Nhà riêng,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 24/10/2023,21/11/2023,Bán,2591557,Sổ đỏ,1.0,1.0,1.0,1.0,1.0,1.0,,,
"
Căn 3PN 103m SA5 Đông Nam Vinhomes Smart City,view vườn nhật bể bơi hồ cá giá gốc ký mới CĐT 4,3 tỷ
","
4
Tỷ ","
103
m2
",['Mua bán Căn hộ chung cư  Vinhomes Smart City'],"
- Cđt Samty - Vinhomes Smart City Nam Từ Liêm HN.- Bán căn hộ 3 phòng ngủ góc 2 VS 103m², các tầng trung, cao, thấp view trọn công viên nội khu bể bơi, hồ cá koi, trường học, cầu Hinoki cảnh quan đậm chất nhật bản.- Nhận bàn giao tháng 10/2024.- Nội thất cơ bản cđt trần sàn liền tường cao cấp. Full sàn gỗ, điều hòa 4 cái 4 phòng, cửa gỗ chống cháy khóa cửa nhập ngoại có vân tay, số, thẻ..- Thiết kế layout phù hợp, bếp bên trong có cửa thông gió.- Giá từ 4,25 tỷ. Vay trả góp 70%, miễn lãi đến tháng 3/2025.- Căn ký mới trực tiếp CĐT giá gốc CĐT, yên tâm về pháp lý sổ đỏ trao tay.Em còn các căn 3 ngủ tầng thấp, trung, cao, diện tích từ 75 - 103m² giá từ 3,5 tỷ.- A/c quan tâm LH hotline TPKD: để xem trực tiếp căn hộ.. Xin cảm ơn..!
",Căn hộ,1.0,,,,1.0,1.0,1.0,1.0, 24/10/2023,21/11/2023,Bán,2193251,,,,,,,,,,
"
Studio +1 Vinhomes Smart City tòa B Masteri tầng 3-16-33 trục số 10 view biển hồ giá gốc cđt 1,98tỷ
","
1,98
Tỷ ","
38
m2
",['Mua bán Căn hộ chung cư  Vinhomes Smart City'],"
- Căn Studio tòa B - Masteri West Heights tầng 3-16-33 - trục số 10 đẹp nhất tòa,layout rộng nhất có thêm không gian +1 sử dụng như 1+1 view trực tiếp biển hồ cát trắng nha trang công viên trung tâm.- Căn mới ký và chuyển khoản trực tiếp CĐT , Bàn giao tháng 6/2024.- Đặc quyền 51 tiện ích trong nhà ngoài trời.Khác biệt nhất: Khu duy nhất có 2,5 tầng hầm để xe ô tô trong Kđt Vinhomes Smart City.View đẹp nhất: Toạ lạc ngay vị trí kim cương đối diện công viên trung tâm với hồ cát trắng.Nhiều tiện ích nhất: Với 51 tiện ích vượt trội, sang trọng và miễn phí trọn đời.- Hiếm có nhất: Bể bơi trong nhà và vườn thượng uyển trên không. Cùng với hệ thống tiện ích giải trí gym, rạp chiếu Phim, Kidzone, khu không khí tươi...Sang trọng nhất: Bàn giao nội thất cao cấp liền tường từ các thương hiệu lớn: Hafele, Koller, Daikin.Thiết kế tường kính e - low cách âm, cách nhiệt vượt trội, full chạm trần sàn, phá vỡ mọi giới hạn tầm view.- Dòng tiền sinh lời nhất: 15% là sở hữu căn hộ. Nhận nhà tháng 6/2024. Phân khu cao cấp cho thuê nhanh, giá thuê cao. Lãi vốn tăng trưởng 13%/năm.- Liên hệ PKD: 0988 148 1***để gửi thông tin chi tiết.
",Căn hộ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 24/10/2023,21/11/2023,Bán,2424213,,,,,,,,,,
"
Bán 1315m2 Tản Lĩnh, Ba Vì, HN - giáp QL 87A, cuối đại lộ thăng long, cổng chào Ba Vì rẽ phải 500m
","
Thỏa thuận
","
1315
m2
","['Hà Nội', 'Huyện Ba Vì', 'Mua bán Đất tại Đường 87A']","
- Chính chủ bán lô đất 1315m² thôn Tam Mỹ xã Tản Lĩnh, huyện Ba Vì HN.- Lô đất view núi ba vì, cánh đồng rộng, thoáng. Mặt đường trục chính 2 xe ô tô tránh nhau được.- Làm việc chính chủ: 0988 148 ***- Thích hợp xây homestay, nhà ở nghỉ dưỡng cuối tuần hoặc đầu tư dài hạn.- Diện tích sổ đỏ: 1315m² có 200m² TC.- Đất giáp phường Xuân Khanh Sơn Tây, cách trung tâm Hà Nội 45km, gần cây xăng Tản Lĩnh, giáp về phường Xuân Khanh thị xã Sơn Tây nên cực kỳ giá trị.- Lô đất mặt đường bê tông to, hai ô tô tránh nhau.- Đất nằm trong khu trung tâm dân cư đông đúc, xung quanh có nhiều nhà cao tầng, có nhiều khu nghỉ dưỡng của người Hà Nội. Thuận tiện cho việc giao thương, buôn bán.- Hướng Nam, thế đất dương, view núi Ba Vì.- Rất phù hợp để làm homestay hoặc nghỉ dưỡng cuối tuần,- Đã có nước sạch nhà máy.- A/c quan tâm LH em Văn Anh chính chủ: 0988 148 1***để gửi thêm tt và xem đất.
",Đất,,,,,,,,, 24/10/2023,21/11/2023,Bán,2409911,,,,,,,,,,
"
Chính chủ cắt lỗ 88m2 full tc xã Hạ Bằng giáp khu CNC Hòa Lạc, Đh FPT. Đ lộ Thăng Long 1,35 tỷ
","
1,35
Tỷ ","
88
m2
","['Hà Nội', 'Huyện Thạch Thất', 'Mua bán Đất tại Đường Đại lộ Thăng Long']","
- Chính chủ bán lô đất 88m² full tc, xã Hạ Bằng Thạch Thất HN.- Giáp vàng đai khu Cnc Hòa Lạc giáp Đại Lộ Thăng Long.- Mặt tiền 6,4m đường rộng 5m ngay ngã 3 xe bán tải quay đầu được,- Thuộc khu cư dân đông đúc tiềm năng sinh lời hoặc xây nhà trọ,- A/c quan tâm lh em Văn Anh chính chủ. Zalo 0988 148 ***
",Đất,,,,,,,,, 24/10/2023,21/11/2023,Bán,2409897,,,,,,,,Nam,,
"
Bán chuyển nhượng căn hộ cao cấp 3 ngủ tại chung cư HPC Landmark 105 Tố Hữu - Hà Đông - giá 3.20 Tỷ
","
3,2
Tỷ ","
102
m2
",['Mua bán Căn hộ chung cư  HPC Landmark 105'],"
- Chuyển nhượng căn hộ chung cư cao cấp tại dự án HPC Landmark 105 Tố Hữu, Hà Đông. - Căn hộ tầng cao, diện tích thông thủy 102m2, thiết kế 3 phòng ngủ , phòng khách, bếp 2 WC, nội thất đầy đủ..- Pháp lý chuẩn chỉnh, sổ đỏ lâu dài, sẵn sàng giao dịch- Giá bán chỉ từ 31tr/m2 ( giá có thỏa thuận)- Vị trí trung tâm Quận Hà Đông, khu vực sầm uất, an sinh tốt, đầy đủ tiện nghi.. - Mọi chi tiết xin liên hệ E Đức 24/7, xin trân trọng.. 
",Căn hộ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 24/10/2023,21/11/2023,Bán,2403738,Sổ đỏ,1.0,1.0,1.0,1.0,1.0,1.0,,,
"
Bán căn hộ cao cấp 3 ngủ tại chung cư The Nine Tower Số 9 Phạm Văn Đồng, Cầu Giấy, giá 5.55 Tỷ
","
5,56
Tỷ ","
93
m2
",['Mua bán Căn hộ chung cư  The Nine Tower'],"
- Em cần bán căn hộ VIP tại dự án chung cư The Nine Tower Số 9 Phạm Văn Đồng Q Cầu Giấy. - Căn hộ toạ lạc tại tầng giữa, diện tích thông thủy 93m2, thiết kế 3 phòng ngủ, nội thất cao cấp đầy đủ.- Giá bán có thỏa thuận..- Pháp lý chuẩn, sổ đỏ chính chủ sở hữu lâu dài..- Vị trí đắc địa, dự án cao cấp, khu vực an sinh tốt, nhiều tiện ích, đáng sinh sống. - Mọi chi tiết xin liên hệ E Đức 24/7, xin trân trọng 
",Căn hộ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 10/10/2023,07/11/2023,Bán,2374205,Sổ đỏ,1.0,1.0,1.0,1.0,1.0,1.0,,,
