Title,Price,Area,Address,Gen_descrip,Loại hình,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Số phòng ngủ,Tình trạng pháp lý,Số tầng,Hướng nhà,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách
"
Chuyển nhượng căn hộ 2pn-68m2 chung cư KĐT Sài Đồng giá tốt,vị trí trung tâm
","
1,67
Tỷ ","
68
m2
","['Hà Nội', 'Quận Long Biên', 'Mua bán Căn hộ chung cư tại Phố Sài Đồng']","
Chỉ 1.67 tỷ căn hộ 2pn tòa nhà KĐT Sài Đồng+ Thiết kế căn hộ 2pn-1wc thiết kế tối ưu với 2 ban công rộng thoáng+ Căn hộ đầy đủ nội thất chỉ việc xách vali về ởLh  xem nhà thực tế 24/7
",Căn hộ, 24/10/2023,21/11/2023,Bán,2591132,,,,,,,,,,,,,,,,,,
"
Bán nhà hoàng quốc việt- 30mx 5t- mt3.8m- gần phố- nhà đẹp- nhỉnh 4 tỷ
","
4,55
Tỷ ","
30
m2
","['Hà Nội', 'Quận Cầu Giấy', 'Mua bán Nhà riêng tại Đường Hoàng Quốc Việt']","
NGÕ TO- GẦN PHỐ, GẦN Ô TÔ TRÁNH- BÁI ĐỖ XE CÁCH NHÀ 30M- NHÀ CÒN MỚI ĐẸP- CHỦ ĐỂ LẠI TOÀN BỘ NỘI THẤT- GIÁ CHÀO 4.55 TỶ 
Nhà vị trí rất đẹp, vài bước chân ra đường ô tô tránh, bãi đỗ ô tô cực gần. Nhà ở khu trung tâm nên chỉ mất ít phút để ra các tuyến đường lớn như Trần Cung, Phạm Văn Đồng, Nguyễn Văn Huyên, Nghĩa Tân, Tô Hiệu..Khu vực dân trí cao, an sinh đỉnh, gần nhiều tiện ích Công viên Nghĩa Đô, Viện E, Khu đô thị Nam Cường, KĐT Tây Hồ Tây. Bán kính 2km đầy đủ trường Đại học và trường học các cấp chất lượng cao...Nhà thiết kế hiện đại gồm 3 ngủ rộng, đầy đủ công năng, phòng thờ, sân phơi. Mặt tiền rộng và phòng nào cũng có cửa sổ nên nhà tràn đầy sinh khí. Chủ nhà do chuyển đổi công việc nên rất tiếc phải bán căn nhà. Sổ đỏ đẹp, sẵn sàng giao dịch. Chủ thiện chí tặng toàn bộ nội thất nên chủ mới chỉ việc xách valy vào ở. Giá chào 4.55 tỷ. 
GỌI NGAY Ms Vân để đi xem và làm việc trực tiếp với chủ nhà.
",Nhà riêng, 24/10/2023,21/11/2023,Bán,2590915,3,Sổ đỏ,5,,,,,,,,,,,,,,,
"
Đất Tiên Dương cạnh trường Quốc Tế Archimedes và KĐT Cổ Dương, chỉ hơn 2 Tỷ đường thông xe 7 chỗ
","
Thỏa thuận
","
48,3
m2
","['Hà Nội', 'Huyện Đông Anh', 'Mua bán Đất tại Đường 23B']","
Đất đẹp Tiên Dương chỉ hơn 2 Tỷ. cạnh trường Quốc Tế Archimedes và Khu Đô Thị Cổ Dương Địa chỉ : Cổ Dương, Tiên Dương, Đông Anh, Hà Nội Diện Tích 483m2 , Mặt tiền 4m đất 2 mặt thoáng cực kỳ đẹp và thoáng mát Mua để ở hoặc đầu tư đều rất tuyệt vời Cách chợ chỉ khoảng 30m Khu vực sầm uất cực kỳ phát triển Mua sắm đi lại cực kỳ thuận tiện Gần khu vui chơi sân Quảng Trường xã Tiên Dương Cách đường QL23B và trường Quốc tế Archimedes khoảng 200m Gần đường Võ Nguyên Giáp Cách Thị Trấn Đông Anh, trung tâm huyện chỉ 2Km Chỉ 7 phút đến sân bay Nội Bài, 10 phút đến Cầu Nhật Sổ đỏ sẵn có chỉ việc chuyển nhượng Nhanh tay liên hệ để mua được giá tốtLIÊN HỆ EM TẤM : 0868230*** #datdonganh#dattienduong#muabandatdonganh#datdepgiaredonganh
",Đất, 24/10/2023,07/11/2023,Bán,2590968,,Sổ hồng,,Đông,,,,,,,,,,,,,,
"
Bán nhà riêng Thái Hà - Đống Đa - kinh doanh - ô tô dừng đỗ
","
0,01 - 0,01
Triệu ","
42
m2
","['Hà Nội', 'Quận Đống Đa', 'Mua bán Nhà riêng tại Phố Thái Hà']","
✔️Ngõ thông✔️Phù hợp vừa ở vừa kinh doanh, văn phòng trụ sở công ty, online...  ✔️Khu vực đang phát triển bậc nhất.  ✔️Đường rộng thênh thang✔️Ô tô tránh✔️Thiết kế 5 tầng  ✔️VIEW THOÁNG VĨNH VIỄN✔️Nhà nằm ở vị trí đắc địa, khu phân lô vip. Giao thông vô cùng thuận tiện, thông ra nhiều tuyến phố lớn: Thái Hà, Đặng Tiến Đông, Hoàng Cầu...✔️Tiện ích xung quanh không thiếu thứ gì.✔️Giá bán: 11.6 tỷ✔️Pháp Lý: Sổ đỏ vuông đẹpLIÊN HỆ NGAY: EM HÀ 0362/355/330 Xem Nhà Miễn Phí
",Nhà riêng, 24/10/2023,21/11/2023,Bán,2590883,,Sổ đỏ,,,,,,,,,,,,,,,,
"
Bán nhà riêng Quận Thanh Xuân - Hà Nội giá 4.25 Tỷ
","
4,25
Tỷ ","
45
m2
","['Hà Nội', 'Quận Thanh Xuân', 'Mua bán Nhà riêng tại Đường Bùi Xương Trạch']","
Ô TÔ 5 TẠ Bùi Xương Trạch 45m 4 tầng mặt tiền 3.8m 4.25 tỷ Thanh Xuân + Vị trí cực đẹp ngõ ô tô 5 tạ vào đến cửa, thông thoáng. + Nhà 4 tầng đẹp long lanh, nội thất xịn, tổng 4 phòng ngủ thoáng trước sau phòng nào cũng có cửa sổ tràn ngập ánh sánh. + Sổ chính chủ.  
",Nhà riêng, 24/10/2023,21/11/2023,Bán,2588973,,,,,,,,,,,,,,,,,,
"
Cần Bán Căn Nhà Ngon , Bổ , Rẻ , Đẹp nhất ngõ 521 Trương Định quận Hoàng Mai , Hà Nội
","
4,6
Tỷ ","
45
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Mua bán Nhà riêng tại Phường Thịnh Liệt']","
Cần Bán Căn Nhà Ngon , Bổ , Rẻ , Đẹp nhất ngõ 521 Trương Định quận Hoàng Mai , Hà Nội + Diện tích sổ đỏ căn nhà là 45m2 , thực tế xây dựng khoảng 47m2. Căn nhà được gia chủ tự tay xây dựng tâm huyết , thiết kế 4 tầng , cầu thang giữa với 4 phòng ngủ đẹp , rộng rãi , thoáng mát . + Ngõ vào nhà rộng thoáng , trước nhà có khoảng sân rộng 15m2 , tha hồ để xe, Khu phân lô ngõ 521 Trương định , đường 3 ô tô tránh nhau cách nhà chỉ khoảng 20m , khi gia đình có công có việc gọi hay bắt taxi vô cùng thuận lợi . + Nhà nằm ở khu dân trí cao , hàng xóm xung quanh sống chan hòa tình cảm , tình thương mến thương , gần nhà là rất nhiều trường học các cấp như Cấp 1 , cấp 2 Thịnh Liệt , Tân mai . Trường THPT Trương định cách vài trăm m. chợ , siêu thị quanh nhà , mua bán , giao thương thuận tiện với các tuyến phố xung quanh + Gía bán : 4,6 Tỷ ( vẫn còn thương lượng ) + LH : Mrs. Diên Nguyễn . 0973897*** ( Chỉ bán Nhà Thật , Ảnh Thật )
",Nhà riêng, 24/10/2023,21/11/2023,Bán,2590839,,,,,,,,,,,,,,,,,,
"
Dân xây, mặt ngõ, ngõ nông, trung tâm đống đa, 50m ra phố. lh: 0948358***
","
Thỏa thuận
","
--
","['Hà Nội', 'Quận Đống Đa', 'Mua bán Nhà riêng tại Phố Chùa Láng']","
DÂN XÂY, MẶT NGÕ, NGÕ NÔNG, TRUNG TÂM ĐỐNG ĐA, 50M RA PHỐ. LH: 
+ Nhà ngay mặt ngõ 242 đường Láng, 50m ra Mặt đường Láng, trung tâm Đống Đa, ngõ nông, giao thông thuận tiện.
+ Nhà xây 5 tầng chắc chắn, tổng 5 ngủ, khách bếp, sân để xe…
Diện tích: 70m x 5 tầng, MT 3.5m, giá 7.7 tỷ.
+ Sổ đỏ vuông vắn, sẵn sàng giao dịch.
☎️Liên hệ: Hoàng Ngà – (zalo, call)
Chuyên Thổ Cư, Nhà Mặt Phố, Nhà dòng tiền, CCMNHỗ trợ vay vốn lên đến 80%
",Nhà riêng, 24/10/2023,21/11/2023,Bán,2590817,5,Sổ đỏ,5,,,,,,,,,,,,,,,
"
Chỉ hơn 6tỷ, sở hữu chung cư mini Giáp Nhất Thanh Xuân dt45m2 x5t 9phòng full nội thất
","
6,55
Tỷ ","
45
m2
","['Hà Nội', 'Quận Thanh Xuân', 'Mua bán Nhà riêng tại Đường Giáp Nhất']","
CHUNG CƯ MINI PHỐ GIÁP NHẤT - THANH XUÂN - DÒNG TIỀN 45 TR/ THÁNG - 9 PHÒNG FULL NỘI THẤT + Ccmn Giáp Nhất, trung tâm thanh xuân view royal city cách oto đỗ 80m ngõ thông tứ tung.+ Trước nhà rộng 3m, để xe thoải mái.+ Xung quanh là các TTTM, cao ốc VP, các trường ĐH, CĐ, bệnh viện, tiện ích vô vàn.+ Dòng tiền siêu tốt với tổng 9 PN, đầy đủ điều hoà, nóng lạnh, tủ bếp, dòng tiền 45triệu/ tháng.+ Thiết kế: 45m2x5 tầng – mặt tiền 3.5m – tổng 9 phòng full đồTầng 1: Để xe, máy giặt máy sấy, 1 phòng.-Tầng 2-5: Mỗi tầng 2 Phòng.+ Nội thất: Đầy đủ chỉ việc khai thác cho thuê bao gồm: Tủ bếp, hút mùi, bếp từ, chậu rửa, trần thạch cao, điều hòa, thiết bị vệ sinh và bình nóng lạnh, giường tủ …. Giá : 6.55 tỷ ( có thương lượng).Liên hệ: Nguyên Sơn - 098.1600.***- Miễn phí xem nhà 100%; Cam kết không thu bất cứ phí gì, kể cả giao dịch thành công. - Khách và chủ nhà trực tiếp đàm phán về giá.- Chuyên tư vấn nhà đất Thổ cư Hà Nội. Nguồn hàng phong phú.- Tư vấn pháp lý, quy hoạch, phong thủy, vay vốn ngân hàng.Trân trọng!
",Nhà riêng, 24/10/2023,21/11/2023,Bán,2590919,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"
Bán nhà phố mai dịch- phân lô-lô góc- ott-kd-30/36t2 x5t-mt4.5m- chỉ 6 tỷ 85.
","
6,85
Tỷ ","
30
m2
","['Hà Nội', 'Quận Cầu Giấy', 'Mua bán Nhà riêng tại Đường Cầu vượt Mai Dịch']","
KHU PHÂN LÔ VIP- TRƯỚC NHÀ Ô TÔ TRÁNH - LÔ GÓC - KINH DOANH - MẶT TIỀN LÝ TƯỞNG- 6 PHÒNG- VÀO Ở NGAY- GIÁ CHÀO 6.85 TỶ 
Nhà có vị trí trung tâm, đi đâu cũng tiện. Vài nháy ga là ra Hồ Tùng Mậu, Trần Vỹ, Cầu Diễn, Lê Đức Thọ, Phạm Văn Đồng, Doãn Kế Thiện, Hoàng Quốc Việt..bán kính qkm gần chục trường đại học, đầy đủ bệnh viện, chợ, trung tâm thương mại, trường học các cấp..Nhà thuộc khu phân quân đội ô tô tránh, lô góc 2 mặt đều ô tô, thông số đẹp.Nhà đua ra từ tầng 2 là 36m2, mỗi tầng 2 phòng, tổng 6 phòng cho thuê, hiện chủ đang cho thuê 25tr/tháng.Nhà xây khung cột chắc chắn, ở hay làm văn phòng, cho thuê phòng, thuê cửa hàng đều đẹp.Sổ đỏ nét, không lỗi phong thủy, giao dịch ngay. Chủ ở có lộc bán nhà mua nhà to hơn. Giá chào 6.85 tỷ ( có thương lượng) 
GỌI NGAY Ms Vân để đi xem và làm việc trực tiếp với chủ nhà.
",Nhà riêng, 24/10/2023,21/11/2023,Bán,2590774,6,Sổ đỏ,,,,,,,,,,,,,,,,
"
Bán sàn thương mại + sàn văn phòng tại GoldSeason - 47 Nguyễn Tuân. Sở Hữu Lâu Dài
","
7,8
Tỷ ","
150
m2
",['Mua bán Bất động sản khác  GoldSeason 47 Nguyễn Tuân'],"
 Mở bán sàn thương mại + sàn văn phòng tại GoldSeason - 47 Nguyễn Tuân - siêu phẩm hiếm gặp nhất thị trường.Pháp lý đầy đủ, SỞ HỮU LÂU DÀI Có sẵn hợp đồng thuê với giá từ 15 USD-30 USD/ tháng - khách mua tiếp nhận hợp đồng thuê ngay, tạo dòng tiền luôn.Không lo tìm khách vì đã lấp đầy bởi các thương hiệu lớn như Bệnh viện Hồng Ngọc, Kichi Kichi, Chef Dzung, The Coffee House...Diện tích bán : 149m2Giá bán :50 triệu/m2Liên hệ hotline: 0338 336 ***  để được tư vấn chuyên sâu về sản phẩm.
",Bất động sản khác, 24/10/2023,21/11/2023,Bán,2590784,,,,,,,,,,,,,,,,,,
