Title,Price,Area,Address,Gen_descrip,Loại hình,Tình trạng pháp lý,Hướng nhà,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách,Số phòng ngủ,Số tầng,Đường vào,Mặt tiền,Nội thất,Bồn tắm
"
Bán căn liền kề 3 mặt thoáng 126m2 KĐT Gamuda giá siêu đẹp 18. X tỷ LH 0977 699 ***
","
18,6
Tỷ ","
126
m2
","['liền kề  Gamuda Dahlia Homes', 'Mua bán Nhà biệt thự']","
Cần bán căn liền kề 3 mặt thoáng KĐT Gamuda Gardens, Hoàng Mai, Hà Nội.Diện tích 126m² xây 4 tầng hoàn mặt ngoài. Mặt tiền 8m, 3 mặt thoángGiá bán: 18. X tỷ siêu rẻ.Hướng tây tứ trạchlh chi tiết 0977699***
","Nhà biệt thự, liền kề",Sổ đỏ,Nam, 23/10/2023,20/11/2023,Bán,2589142,,,,,,,,,,,,,,,,,,,
"
Bán đất cạnh Hồ Đền Lừ - Ô tô vào nhà - Đường trước lô đất 5m - Giá bán nhỉnh 90 triệu/m2
","
5,75
Tỷ ","
58
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Mua bán Nhà riêng tại Đường Hoàng Mai']","
BÁN ĐẤT CẠNH HỒ ĐỀN LỪ - Ô TÔ VÀO NHÀ - ĐƯỜNG TRƯỚC LÔ ĐẤT 5M - GIÁ NHỈNH 90 TRIỆU/M2 MR.TUẤN 0866.422.*** Mảnh đất siêu hiếm còn sót lại cạnh khu phân lô Hồ Đền Lừ. - Hiện trạng là nhà C4. - Khu vực dân trí cao. - Ngõ thông các ngả, trước nhà đường rộng 5m. - sổ đỏ đẹp mặt tiền 5,5m nở hậu.
",Nhà riêng,,, 23/10/2023,20/11/2023,Bán,2589027,,,,,,,,,,,,,,,,,,,
"
Bán căn hộ Quận Ba Đình - Hà Nội giá 870.00 Triệu
","
870
Triệu ","
33
m2
","['Hà Nội', 'Mua bán Căn hộ chung cư tại Quận Ba Đình']","
bán lại căn hộ cc ngọc hà ba đình diện tích 33m chia 1 pn/1pk /1 bếp  vệ sinhcăn hộ có đồ đạc cơ bản tủ bếp bếp từ hút mùi nóng lạnh thiết bị vệ sinhvị trí căn hộ thuận tiện có thể đi được từ 2 đường ngõ 279 đội cấn và 173 hoàng hoa thám điện nước công tơ riêng giá nhà nước, có thang máy thang bộ bảo vệ , pccc đạt tiêu chuẩn
",Căn hộ,,, 23/10/2023,20/11/2023,Bán,2589014,,,,,,,,,,,,,,,,,,,
"
Bán căn hộ Nam Từ Liêm - Hà Nội giá 2.60 Tỷ Vinhomes smart city
","
2,6
Tỷ ","
61
m2
",['Mua bán Căn hộ chung cư  Vinhomes Smart City'],"
🌸NGAY HÔM NAY, TRỞ THÀNH CƯ DÂN TÒA SA5 - 1 trong những Tòa căn hộ cao cấp với mức giá hợp lý nhất Vinhomes Smart City! 🌸 8 LÝ DO NÊN SỞ HỮU CĂN HỘ SA5 TRONG THỜI ĐIỂM NÀY? 👉 Tòa căn hộ vừa ra hàng mở bán vào tháng 2/2023, chính sách bán hàng đang trong thời điểm tốt nhất, ngay trước thềm đợt tăng giá tiếp theo- Giá min đợt ra hàng này chỉ từ 1,3 tỷ/căn studio- Tiến độ thanh toán cực thoáng: kí cọc - 15% - 10% - 10% - 10% - 5% - 45% (khi nhận bàn giao) - 5% (khi nhận Sổ hồng)- Chiết khấu 1% cho Khách hàng mua căn thứ 2. Chiết khấu 8% thanh toán theo tiến độ- Ngân hàng hỗ trợ vay 70%, lãi suất 0% (không muộn hơn 15/3/2025) 👉 Tòa căn hộ đặc biệt với nhiều ưu thế đặc quyền nhất trong phân khu- Tòa duy nhất có Vườn Nhật trên mây- Tòa căn hộ có tầm view khoáng đạt nhất dự án- Tòa duy nhất có ban công Đông Nam, hướng ra view nội khu đậm chất Nhật bản- Tiêu chuẩn bàn giao cao cấp vượt trội hơn (điều hòa 2 chiều, cửa chống cháy, sàn gỗ, thiết bị vệ sinh, hệ thống chuông cửa kết nối với tầng 1 và dưới hầm) ☄️ Các tiện ích chung của dự ánMIỄN PHÍ Công viên Vườn Nhật đậm chất Nhật + Công viên trẻ Em khép kín rộng hơn 6haMIỄN PHÍ Công viên trung tâm 10,2ha với 17 công viên chủ đề, hồ điều hòa, bãi cát trắng như ở Biển.MIỄN PHÍ Công viên thể thao với hơn 1000 máy tập gym ngoài trời.MIỄN PHÍ hơn 160 sân tập thể thao như: Sân Tenis, Bóng bàn, bóng rổ, bóng đá, sân cờ vua, cờ tướng, sân tập Golf...MIỄN PHÍ bể bơi ngoài trời, bể bơi 4 mùa (*)MIỄN PHÍ di chuyển bằng Vinbus điện chạy nội khu.MIỄN PHÍ vui chơi, thăm quan trong TTTM Vincom Mega Mall rộng tới 66.000m2 với hơn 140 gian hàng của các thương hiệu nổi tiếng.Lh 0929583***  
",Căn hộ,Sổ hồng,Đông-Bắc, 23/10/2023,20/11/2023,Bán,2589023,,,,,,,,,,,,,,,,,,,
"
[Siêu hiếm] Bán nhà mặt phố Ấu Triệu - Cạnh Nhà Thờ Lớn, Hoàn Kiếm, Hà Nội
","
Thỏa thuận
","
70
m2
","['Hà Nội', 'Quận Hoàn Kiếm', 'Mua bán Nhà mặt phố tại Phố Ấu Triệu']","
• Diện tích: 70m vuông, sổ đỏ chính chủ • Tổng quan: - Nhà 5 tầng, kiến trúc Pháp, vị trí đắc địa, cực kì khan hiếm - 2 mặt phố: Mặt trước (mặt chính) phố Ấu Triệu, nhìn thẳng vào Nhà Thờ Lớn , hướng Nam ghé Đông. Mặt sau phố Thọ Xương, liền kề dãy khách sạn - Vị trí các khu lân cận: + Ngay khu phố cổ bậc nhất Hà Nội+ 1 phút đi bộ ra Hồ Gươm, các khu trung tâm ngân hàng, tài chính, cơ quan nhà nước, khách sạn, du lịch, ẩm thực, bệnh viện tuyến trung ương... + 5 -10 phút đi sang các quận trung tâm thành phố khác...• Tiềm lực khai thác kinh tế: 100% sinh lợi nhuận cao, làm nhà hàng, khách sạn cao cấp, văn phòng giao dịch... giá trị lâu dài • Thông tin liên hệ chính chủ: 0384388074***0389281519***0989229***• Giá cả: Trao đổi trực tiếp (miễn trung gian)                    
",Nhà mặt phố,Sổ đỏ,Nam, 23/10/2023,20/11/2023,Bán,2453718,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
"
Chính chủ bán chelsea residences 112m2 3pn2wc 6,8tỷ bao phí có thương lượng và ra lộc
","
6,8
Tỷ ","
112
m2
","['Hà Nội', 'Quận Cầu Giấy', 'Mua bán Căn hộ chung cư tại Phố Trung Kính']","
Gia đình chuyển công tác nên bán lại căn hộ đang ở tại chung cư Chelsea Park- DT 112m, thiết kế 3PN - 2WC.- Hướng cửa Tây Nam, ban công Đông Bắc- Sổ đỏ chính chủ sẵn sàng giao dịch.- Căn hộ bán đầy đủ nội thất đẹp như hình- Giá bán 6,8 tỷ Bao toàn bộ thuế phí có thương lượng và ra lộcLiên hệ xem nhà:
",Căn hộ,Sổ đỏ,, 23/10/2023,20/11/2023,Bán,2538701,,,,,,,,,,,,,,,,,,,
"
Bán đất tặng nhà, ô tô 5m, trung tâm đống đa, giá hơn 7 tỷ
","
7,2
Tỷ ","
50
m2
","['Hà Nội', 'Quận Đống Đa', 'Mua bán Nhà mặt phố tại Ngõ Thái Thịnh 1']","

BÁN ĐẤT TẶNG NHÀ, Ô TÔ 5M, TRUNG TÂM ĐỐNG ĐA.
THÁI THỊNH, 50M x 5 TẦNG, MT 5.3M, 7.2 TỶ
TỔNG 3 PHÒNG NGỦ ĐỦ CÔNG NĂNG
 
Sổ đỏ Chính chủ sẵn sàng giao dịch.
☎️Liên hệ: Hoàng Ngà – (zalo, call)
Chuyên Thổ Cư, Nhà Mặt Phố, Nhà dòng tiền, CCMN
Hỗ trợ vay vốn lên đến 80%
",Nhà mặt phố,Sổ đỏ,, 23/10/2023,20/11/2023,Bán,2588926,,,,,,,,,,,,,,3,5,,,,
"
Bán căn góc roman plaza 101m2 3pn3wc tầng trung full nội thất ban công đn 4,5 tỷ bao phí
","
4,5
Tỷ ","
101
m2
","['Hà Nội', 'Quận Nam Từ Liêm', 'Mua bán Căn hộ chung cư tại Đường Tố Hữu']","
Chính chủ cần bán căn góc 3PN 2WC, 101m² tầng trung, đẹp nhất, mới nhất và rẻ nhất tại tòa B1 chung cư Roman Plaza.Do gia chủ không còn nhu cầu sử dụng nữa, nên cần bán lại để đầu tư cái khác, cụ thể như sau:- Hướng: TB, ban công Đông Nam.- Thiết kế: 3 ngủ, 3WC DT: 101m².- Nội thất đẹp thiết kế sang trọng trẻ trung, nội thất nhập khẩu, làm tâm huyết.- Phòng khách, bếp, thiết bị vệ sinh tất cả đều mới và sử dụng tốt.- Nhà đã có sổ pháp lý rõ ràng.- View tầng đẹp không bị ồn ào, nắng chiếu, bụi, ban công thoáng, tầng trung.Giá: 4,5 tỷ bao phí có ra lộc cho khách thiện chí.Liên hệ xem nhà 24/7: .* Không tiếp môi giới.
",Căn hộ,Sổ đỏ,, 23/10/2023,20/11/2023,Bán,2533788,,,,,,,,,,,,,,3,,,,,
"
Tôi bán căn 4pn 174m2 tại dreamland bonanza tầng trung ban công đông nam full đồ sổ đỏ sẵn
","
8,7
Tỷ ","
174
m2
","['Hà Nội', 'Quận Nam Từ Liêm', 'Mua bán Căn hộ chung cư tại Đường Duy Tân']","
Tôi chủ căn hộ tại Dreamland Bonanza có nhu cầu muốn bán vì gia đình chuyển sang Vinhomes ở cùng với bố mẹ nên muốn tìm chủ nhân mới cho căn hộ này.Diện tích thông thủy 174m², thiết kế 4 ngủ, 3 vệ sinh.Vị trí căn hộ tầng trung.Hướng cửa Tây Bắc - Ban công Đông Nam + Đông Bắc.Nội thất full cao cấp.Giá bán. 8,7 tỷ.Liên hệ xem nhà 24/7:
",Căn hộ,Sổ đỏ,, 23/10/2023,20/11/2023,Bán,2550095,,,,,,,,,,,,,,4,,,,,
"
Tôi chính chủ bán căn 3PN2wc 99m full đồ sổ đỏ sẵn giá 4,3tỷ bao sang tên
","
5,2
Tỷ ","
124
m2
",['Mua bán Căn hộ chung cư  Roman Plaza'],"
Tôi chính chủ cần bán lại căn hộ 3PN2VS chung cư Roman Hà, Tố Hữu.Thông tin căn hộ như sau.- Diện tích thông thủy 99m2.- Thiết kế căn góc gồm 3PN, 2WC.- Hướng cửa Tây Bắc, hướng ban công Đông Nam- Nội thất đầy đủ chỉ cần xách vali đến ở.Giá bán 4,3tỷ bao phí sang tên.Liên hệ xem nhà trực tiếp tôi SĐT 093 277 6*** (miễn trung gian).Xin cảm ơn!
",Căn hộ,Sổ đỏ,, 18/10/2023,15/11/2023,Bán,2553479,,,,,,,,,,,,,,3,,,,,
