Title,Price,Area,Address,Gen_descrip,Loại hình,Tình trạng pháp lý,Hướng nhà,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Số phòng ngủ,Căn góc,Nội thất
"
bán gấp căn hộ 1+1 55m2 tòa the zen giá 2,4 tỷ lh 0977699***
","
2,4
Tỷ ","
55
m2
",['Mua bán Căn hộ chung cư  The Zen Residence'],"
gia đình cần bán gấp căn hộ 1+1 tòa the zen kđt gamuda gardens, hoàng  mai, hngiá bán: 2.4 tỷ full nội thất đẹp, diện tích 55m2, gồm 2 pn, 1 vslh chi tiết 0977.699.***
",Căn hộ,Sổ đỏ,Đông-Bắc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 20/10/2023,17/11/2023,Bán,2097733,,,
"
bán căn hộ 3pn 81m2 tòa the one gamuda giá 2,9 tỷ lh 0977.699.***
","
2,9
Tỷ ","
72
m2
",['Mua bán Căn hộ chung cư  Khu đô thị Gamuda Gardens'],"
Cần bán gấp căn hộ 3pn 81m2 the one kđt gamuda gardens, hoàng mai, hn Giá bán 2,9 tỷ bao phí sang tên Lh 0977.699.*** 
",Căn hộ,Sổ đỏ,Đông,,,,,,,,,,,,,,, 20/10/2023,17/11/2023,Bán,2098710,,,
"
Bán căn hộ 2pn 79m2 tòa the two full đồ giá 3,2 tỷ LH 0977 699 ***
","
3,2
Tỷ ","
79
m2
",['Mua bán Căn hộ chung cư  The Two Residence'],"
Gia đình cần bán gấp căn hộ 2pn 79m2 tòa The Two kđt Gamuda Gardens, Hoàng Mai, HNGía bán: 3,2 tỷ bao phí full đồlh 0977699***
",Căn hộ,Sổ đỏ,Nam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 20/10/2023,17/11/2023,Bán,2174307,,,
"
Bán gấp căn biệt thự gamuda 120m2 vị trí cực đẹp lh 0977.699.***
","
19
Tỷ ","
120
m2
","['liền kề  Khu đô thị Gamuda Gardens', 'Mua bán Nhà biệt thự']","
Cần bán gấp căn biệt thự 120m2 kđt gamuda gardens, hoàng mai, HN Giá bán: 19 tỷ full đồ đẹp Lh 0977.699.*** 
","Nhà biệt thự, liền kề",Sổ đỏ,Nam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 20/10/2023,17/11/2023,Bán,2098713,,,
"
Bán căn 2PN 79m2 tòa The Two full đồ giá 3 tỷ Lh 0977699***
","
3
Tỷ ","
79
m2
",['Mua bán Căn hộ chung cư  Khu đô thị Gamuda Gardens'],"
Cần bán gấp căn hộ 2pn 79m² tòa The Two KĐT Gamuda Gardens, Hoàng Mai, HN.Diện tích 79m2 gồm 2pn, 2vs, ban công thoáng mát, view đẹp.Nằm trong kđt gamuda gardens, với đầy đủ tiện ích 5*.Giá bán: 3 tỷ full đồ đẹp.LH chi tiết 0977699***
",Căn hộ,Sổ đỏ,Nam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 20/10/2023,17/11/2023,Bán,2447556,,,
"
Cần bán căn biệt thự Gamuda 190m2 full đồ siêu đẹp LH 0977699***
","
33
Tỷ ","
190
m2
","['liền kề  Khu đô thị Gamuda Gardens', 'Mua bán Nhà biệt thự']","
Gia đình chuyển đổi chỗ ở cần bán căn biệt thự song lập Gamuda Gardens, Hoàng Mai, Hà Nội.Diện tích 190m², 3 mặt thoáng, 3 tầng 1 tum, xây 110m²/ sàn, mặt tiền 9.8m.Nhà đã làm full đồ đẹp.Giá bán 33 tỷ.LH chi tiết 0977699***
","Nhà biệt thự, liền kề",Sổ đỏ,Bắc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 20/10/2023,17/11/2023,Bán,2447497,,,
"
Bán căn biệt thự liền kề 120m2 KĐT Gamuda Gardens full đồ đẹp giá 18. X tỷ, LH 0977699***
","
18,5
Tỷ ","
119
m2
","['liền kề  Khu đô thị Gamuda Gardens', 'Mua bán Nhà biệt thự']","
Gia đình cần bán gấp căn biệt thự liền kề KĐT Gamuda Gardens đã làm full nội thất đẹp.Căn hộ diện tích 120m² gồm 3 tầng. Hướng mát mẻ.Xây dựng 83m2/sàn xây tổng 3 sàn mặt tiền 5,5 m.Giá bán 18. X tỷ.LH CHI TIẾT: 0977699***
","Nhà biệt thự, liền kề",Sổ đỏ,Nam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 20/10/2023,17/11/2023,Bán,2444290,,,
"
Bán căn liền kề Gamuda full đồ có thang máy 120m2 giá 19. X tỷ LH 0977699***
","
19
Tỷ ","
118
m2
","['liền kề  Gamuda Dahlia Homes', 'Mua bán Nhà biệt thự']","
Do chuyển đổi chỗ ở nên gia đình cần bán căn liền kề gamuda gardens, Hoàng Mai, Hà Nội.Giá bán: 19.5 tỷ full đồ 120m² có thang máy.Xây 3 tầng 1 tum, mặt tiền 5.5m, 82m² sàn, 4 phòng ngủ, 1 phòng thờ.Hướng Nam mát mẻ vị trí rất đẹp thoáng trước thoáng sau.LH chi tiết: 0977699***
","Nhà biệt thự, liền kề",Sổ đỏ,Đông-Nam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 20/10/2023,17/11/2023,Bán,2444278,,,
"
Cần bán căn 1PN studio 45m2 full đồ tòa The Two giá 1,7 tỷ LH 0977 699 ***
","
1,7
Tỷ ","
46
m2
",['Mua bán Căn hộ chung cư  The Two Residence'],"
Cần bán gấp căn hộ 1PN studio 45m² tòa The Two KĐT Gamuda Gardens, Hoàng Mai, HN.Giá bán 1,7tỷ full đồ.LH xem nhà: 0977 699 ***
",Căn hộ,Sổ đỏ,Đông-Nam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 20/10/2023,17/11/2023,Bán,2238965,,,
"
Căn hộ cao cấp gần Mỹ Đình, giá từ 2,8 tỷ/ căn . Ngân hàng hỗ trợ tới 24 thág. Nhận nhà quý 4/2023.
","
42 - 48
Triệu ","
66 - 96
m2
","['Hà Nội', 'Huyện Hoài Đức', 'Mua bán Căn hộ chung cư tại Đường Xuân Phương']","
Chung cư Moonlight 1 An Lạc kết nối thuận tiện nội thành Hà Nội hay khu vực Cầu Giấy, Mỹ Đình- Căn hộ 2 phòng ngủ  2 vệ sinh- Diện tích 66m2 căn hộ 2 phòng ngủ giá chỉ hơn 2,8 tỷ- Thiết kế ban công phòng khách, 2 ngủ và 2 vệ sinh. các phòng đều có cửa sổ kính lớn chạm sàn, khu bếp có logia thông thoáng.- Nhìn hướng công viên cây xanh: Công viên âm nhạc, sân chơi trẻ em, đường dạo bộ  ...- Chỉ cần thanh toán 15% ký hợp đồng mua bán- Bàn giao cuối năm 2023 ( Quý 4/2023)...........Chính sách mua nhà vô cùng hấp dẫn- Miễn 2 năm phí dịch vụ- Tặng gói smart home trị giá 38 triệu (trừ trực tiếp vào giá bán căn hộ)- Chiết khấu 3% cho 60 khách hàng đầu tiên- Chiết khấu 3,5% cho khách hàng thanh toán theo tiến độ chuẩn- Chiết khấu 12% cho khách hàng thanh toán sớm (70%), tổng chiết khấu lên tới 15% giá trị căn hộ- Ngân hàng cho vay 65% miễn lãi miễn gốc 18 tháng, hoặc vay 50% miễn lãi và gốc 24 tháng...................Những lợi thế nên lựa chọn dự án Tòa Moonlight I - KĐT Anlac Green Symphony:1. Không gian xanh mà không khu đô thị nào có được2 . Cơ sở hạ tầng đầy đủ, đón đầu xu thế phát triển mới phía Tây thủ đô3. Tiềm năng tăng giá mạnh mẽ khi giá bán cạnh tranh với khu vực4. Phong cách thiết kế hiện đại, tiện ích đầy đủ  5. Pháp lý rõ ràng minh bạch, sở hữu lâu dài6. Chủ đầu tư tiềm lực, uy tín, sản phẩm chất lượng................................Mọi quan tâm vui lòng liên hệ 09.8686.00***phòng phụ trách dự án hỗ trợ nhiệt tìnhThông tin dự án https://batdongsan-datxanh.com.vn/moonlight-1-an-lac-green-symphony/Xin cảm ơn!
",Căn hộ,Sổ hồng,Đông-Nam,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,, 20/10/2023,03/11/2023,Bán,2216221,,,
"
Căn hộ rộng sống sang cho gia đình đa thế hệ tại Tecco Garden Thanh Trì, sự lựa chọn hoàn hảo
","
2,92 - 3,95
Tỷ ","
127 - 141
m2
",['Mua bán Căn hộ chung cư  Tecco Garden'],"
 * Căn hộ diện tích từ 127 - 141m2 thông thuỷ với  4 Phòng ngủ có 3 Vệ Sinh+ Các phòng ngủ đều có cửa sổ lô gia, đều là căn góc có 2 mặt thoáng, ban công rộng mở+ Bàn giao sàn gỗ, tường trần thạch cao, hệ thống cửa, hệ thống đèn , khóa thông minh, thiết bị vệ sinh cao cấp, vách tắm kính ... lắp đặt sẵn.......* Chính sách hấp dẫn ngay từ hôm nay:+ Giá bán quá tốt chỉ 23 - 30 triệu/m2, tổng giá chỉ từ 3 tỷ.+ Sổ hồng đã có, sở hữu lâu dài+ Quà tân gia giá trị tặng khách hàng đặt mua sớm+ Gói quà tặng nội thất lên đến 100 triệu kèm theo căn hộ+ Chiết khấu lên đến 9%GTCH cho khách hàng thanh toán sớm.+ Thanh Toán Theo Tiến Độ chuẩn Ck 4%GTCH, chỉ khoảng 900 triệu nhận nhà ở ngay, thanh toán theo nhiều đợt, mỗi đợt thanh toán 10% (không cần vay ngân hàng)+ Hỗ trợ lãi suất 0% trong 18 tháng.......Tecco Garden là dự án hiếm hoi thiết kế đẹp, hạ tầng hoàn chỉnh, tiện ích hiện hữu, chung cư bắt đầu có cư dân về ở ổn định....Kết nối ngoại khu di chuyển thuận tiện với hàng loạt tiện ích siêu thị, trường học, cơ quan của khu vực Thanh Trì.
",Căn hộ,Sổ hồng,Đông-Nam,1.0,,1.0,,,,,,,1.0,1.0,1.0,1.0,, 20/10/2023,03/11/2023,Bán,2180272,,,
"
Dự án bàn giao nhà ngay trung tâm Cầu Giấy. Sổ hồng lâu dài. Chiết Khấu thêm 7%. Hỗ Trợ 0% 12 Tháng
","
48
Triệu ","
88
m2
",['Mua bán Căn hộ chung cư  Hà Nội Paragon'],"
🌹 Tọa lạc tại trung tâm Quận Cầu Giấy - Sở hữu vị trí đắc địa trong quỹ đất quý hiếm giữa trung tâm thủ đô🌹 Giá bán 48 triệu/m2 tốt nhất khu vực🍀 Bao gồm 30 tầng căn hộ, 03 tầng hầm, 02 tầng dịch vụ.🍀 Gồm 03 tòa tháp: Happy Tower, Elite Tower & Victory Tower.🍀 Quần thể lớn, mật độ xây dựng chỉ 35%, độc nhất tại Cầu Giấy🍀 Diện tích: 88.8m2, 90.1m2, 138m2, 140.5m2 🍀 Thiết kế từ 2 đến 3 phòng ngủ.🍀 Mật độ thang máy: 3 thang/6 căn hộ, Thương hiệu Kone của Châu Âu.🍀 Bàn giao căn hộ: nội thất bếp , vệ sinh, thiết bị cửa, thiết bị rửa ......🍀 Tiếp giáp các tuyến đường huyết mạch: Cầu Giấy Xuân Thủy, Phạm Hùng, Phạm Văn Đồng, Hồ Tùng Mậu, Trần Thái Tông, tuyến đường sắt trên cao.🍀 Thuận tiện di chuyển tới tất cả các điểm trong thành phố và tỉnh lân cận.------------------------------------------📲  Liên hệ xem căn hộ thực tế 0986860***📲 Thông tin dự án https://batdongsan-datxanh.com.vn/ha-noi-paragon/
",Căn hộ,Sổ hồng,Đông-Nam,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,, 20/10/2023,03/11/2023,Bán,2519251,,,
